Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,65.5,66.03,65.04,65.35,985400,65.35
2014-02-18,65.22,65.64,64.07,64.97,1394300,64.97
2014-02-10,62.01,65.44,61.88,65.28,1163200,65.28
2014-02-03,60.23,62.64,59.44,62.24,1573700,61.8
2014-01-27,62.22,62.37,60.62,61.47,1546000,61.04
2014-01-21,63.22,63.83,61.55,62.07,1778400,61.63
2014-01-13,63.97,64.3,62.17,62.74,1445400,62.3
2014-01-06,63.42,63.78,61.98,63.62,1465200,63.17
2013-12-30,63.95,64.65,63.09,63.47,722000,63.02
2013-12-23,63.42,64.39,63.22,64.06,488800,63.61
2013-12-16,61.8,63.46,60.68,63.12,1200400,62.67
2013-12-09,62.62,62.97,60.55,61.18,1054900,60.75
2013-12-02,63.6,64.48,60.5,62.65,1662100,62.21
2013-11-25,63.52,64.68,63.18,63.87,813700,63.42
2013-11-18,63.64,63.98,61.57,63.49,1034700,63.04
2013-11-11,63.8,63.93,61.82,63.53,1387800,63.08
2013-11-04,64.87,64.89,63.53,64.8,1198600,63.89
2013-10-28,63.6,67.05,63.6,64.89,1817100,63.98
2013-10-21,64.64,65.25,61.75,63.88,1741200,62.98
2013-10-14,61.81,64.88,61.71,64.46,1217000,63.55
2013-10-07,60.26,61.95,58.83,61.68,1010600,60.81
2013-09-30,60.41,61.28,59.79,60.8,1220100,59.95
2013-09-23,61.31,61.96,60.45,60.91,1464600,60.05
2013-09-16,60.47,62.45,60.46,61.25,1407900,60.39
2013-09-09,58.85,60.47,58.38,60.28,1114600,59.43
2013-09-03,55.8,59.43,55.11,58.76,1950700,57.93
2013-08-26,56.81,56.97,54.65,55.15,928200,54.38
2013-08-19,56.46,56.84,55.43,56.67,1100300,55.87
2013-08-12,57.67,59.51,56.28,56.54,1499800,55.75
2013-08-05,59.25,59.47,57.19,57.71,1149600,56.47
2013-07-29,58.66,60.18,57.59,59.5,1586600,58.22
2013-07-22,60.69,60.94,57.94,58.78,1684400,57.52
