Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,110.38,111.24,110.03,110.16,1834100,110.16
2014-02-18,109.99,111.29,108.67,109.85,1652300,109.85
2014-02-10,106.9,110.44,106.48,110.24,1645900,110.24
2014-02-03,109.,109.56,104.93,106.9,2038600,106.9
2014-01-27,107.83,109.76,106.05,109.37,2417400,109.37
2014-01-21,105.86,110.42,105.13,107.4,2309600,107.4
2014-01-13,104.39,106.49,104.21,105.46,1870000,105.46
2014-01-06,104.78,105.31,102.81,104.86,1650100,104.86
2013-12-30,105.1,105.97,103.52,104.35,1276100,104.35
2013-12-23,105.29,105.8,104.41,105.1,694400,105.1
2013-12-16,104.39,105.61,102.53,105.18,1712900,105.18
2013-12-09,105.85,106.23,103.36,103.92,1420000,103.92
2013-12-02,108.86,109.4,103.42,105.58,2388800,105.58
2013-11-25,108.99,109.54,107.51,109.16,1354900,108.33
2013-11-18,109.,109.44,107.39,109.,3385200,108.17
2013-11-11,108.03,111.68,107.47,109.26,1581800,108.43
2013-11-04,108.05,109.72,106.72,108.03,1342900,107.21
2013-10-28,105.51,108.56,105.27,108.01,1842600,107.19
2013-10-21,98.83,105.56,98.,105.51,2329800,104.71
2013-10-14,96.45,99.63,96.22,99.18,1513700,98.43
2013-10-07,93.81,97.01,93.12,96.95,1498100,96.21
2013-09-30,94.4,94.89,93.2,94.26,1509800,93.54
2013-09-23,96.16,96.28,94.09,94.79,1205600,94.07
2013-09-16,96.55,97.98,96.03,96.2,1338000,95.47
2013-09-09,93.03,95.92,92.8,95.69,1322000,94.96
2013-09-03,94.16,94.22,91.44,93.06,1554500,92.35
2013-08-26,95.93,96.08,92.,93.48,1436100,91.96
2013-08-19,94.9,96.31,93.6,95.89,1414100,94.33
2013-08-12,98.09,98.97,94.88,94.94,1505000,93.39
2013-08-05,99.27,99.92,97.83,98.53,1227500,96.93
2013-07-29,98.19,99.99,97.7,99.61,1522000,97.99
2013-07-22,97.46,98.91,96.14,98.39,1944600,96.79
2013-07-15,99.89,100.81,98.16,99.49,2022500,97.87
2013-07-08,97.93,99.93,97.54,99.88,1482500,98.25
2013-07-01,96.88,98.05,96.03,97.39,1151200,95.8
2013-06-24,94.64,98.19,93.76,97.14,2116600,95.56
2013-06-17,98.31,99.68,93.81,95.78,3025900,94.22
2013-06-10,97.09,98.95,96.18,97.86,2204700,96.27
2013-06-03,97.,98.09,94.57,97.12,2890100,95.54
2013-05-28,104.26,104.62,96.82,96.83,4459600,94.46
2013-05-20,104.13,104.17,101.09,103.51,4062300,100.98
2013-05-13,103.46,105.07,102.97,104.35,2009400,101.8
2013-05-06,105.11,105.38,102.54,103.43,1893400,100.9
2013-04-29,103.07,105.68,102.54,105.38,2279700,102.8
2013-04-22,105.23,106.24,102.98,103.12,3151600,100.6
2013-04-15,100.9,106.54,100.19,106.1,2507300,103.51
2013-04-08,99.12,101.68,98.23,101.23,1663100,98.75
2013-04-01,97.57,100.,97.3,99.31,2318300,96.88
2013-03-25,95.9,97.99,94.44,97.98,2640200,95.58
2013-03-18,92.2,95.9,91.91,95.66,2239000,93.32
2013-03-11,94.23,94.68,92.66,93.26,2287400,90.98
2013-03-04,94.3,96.5,93.62,94.19,1898700,91.89
2013-02-25,94.61,95.91,93.74,94.3,3115400,91.22
2013-02-19,91.33,94.51,91.13,94.5,2837300,91.41
2013-02-11,90.24,91.27,89.38,91.2,1941000,88.22
2013-02-04,89.42,91.57,89.22,90.9,1846900,87.93
2013-01-28,86.46,90.19,86.26,90.01,2862400,87.07
2013-01-22,86.84,87.69,86.03,86.26,2173900,83.44
2013-01-14,85.24,86.85,85.05,86.82,1362800,83.98
2013-01-07,85.92,85.94,83.92,85.1,2020600,82.32
2012-12-31,82.79,86.5,82.71,86.36,1947900,83.54
2012-12-24,83.67,84.09,83.12,83.13,1192000,80.41
2012-12-17,85.18,86.43,83.9,84.05,2274000,81.3
2012-12-10,85.74,86.21,84.89,85.05,1673000,82.27
2012-12-03,85.83,86.1,84.57,85.91,1818000,83.1
2012-11-26,87.,87.,85.45,85.72,2272300,82.2
2012-11-19,85.5,87.34,85.41,87.34,1514700,83.76
2012-11-12,83.12,85.03,82.77,85.03,2180300,81.54
2012-11-05,83.04,83.75,82.15,83.13,1601500,79.72
2012-10-31,82.76,84.47,82.6,83.34,2167800,79.92
2012-10-22,86.69,86.88,82.27,82.75,2553200,79.35
2012-10-15,85.62,87.8,85.54,86.88,1333100,83.31
2012-10-08,86.83,86.92,85.5,85.65,1143700,82.14
2012-10-01,85.78,87.15,85.61,86.89,1480100,83.32
2012-09-24,85.2,86.19,84.81,85.78,1765300,82.26
2012-09-17,82.65,85.5,82.23,85.32,2290400,81.82
2012-09-10,82.9,83.39,81.89,82.68,2175900,79.29
2012-09-04,83.78,84.39,82.6,82.93,2708300,79.53
2012-08-27,83.6,83.96,82.49,83.6,1446500,79.46
2012-08-20,83.82,84.5,83.3,83.66,1739500,79.52
2012-08-13,82.69,84.05,82.43,83.95,1961600,79.79
2012-08-06,85.45,85.63,81.29,82.82,4340300,78.72
2012-07-30,87.12,88.25,85.19,85.35,3216000,81.12
2012-07-23,84.4,87.69,83.06,87.32,2822800,83.
2012-07-16,84.91,86.25,84.64,84.83,2027700,80.63
2012-07-09,83.91,85.35,83.75,85.21,1879900,80.99
2012-07-02,83.45,84.23,83.05,83.91,1572500,79.76
2012-06-25,81.,83.77,80.8,83.77,1983800,79.62
2012-06-18,82.44,83.33,80.61,81.38,2653100,77.35
2012-06-11,81.46,82.93,80.83,82.48,2667800,78.4
2012-06-04,78.33,81.34,77.8,81.2,3458200,77.18
2012-05-29,79.63,79.92,78.17,78.28,3712600,73.71
2012-05-21,78.86,79.71,78.05,79.46,4265400,74.82
2012-05-14,79.18,80.,78.65,78.83,2459600,74.23
2012-05-07,78.01,79.93,78.01,79.39,2821100,74.75
2012-04-30,77.9,79.02,77.74,78.29,3143900,73.72
2012-04-23,75.89,79.25,75.51,78.68,3480700,74.09
2012-04-16,74.48,77.09,74.39,76.47,2505100,72.01
2012-04-09,74.06,74.79,73.33,74.35,1766000,70.01
2012-04-02,73.76,74.84,73.71,74.37,2156700,70.03
2012-03-26,73.29,74.39,73.17,73.89,2284300,69.58
2012-03-19,72.83,73.64,72.57,73.13,1621800,68.86
2012-03-12,71.67,73.26,71.67,72.92,2155300,68.66
2012-03-05,72.36,72.85,71.26,71.77,2372900,67.58
2012-02-27,71.5,73.11,71.48,72.35,2376600,67.43
2012-02-21,71.57,72.01,70.94,71.81,2102600,66.93
2012-02-13,71.88,72.,71.04,71.57,2139400,66.7
2012-02-06,72.16,72.65,71.37,71.56,2029700,66.7
2012-01-30,70.97,72.73,70.5,72.23,2256100,67.32
2012-01-23,73.82,73.91,70.8,71.13,3655000,66.29
2012-01-17,73.26,74.25,73.22,73.83,2674400,68.81
2012-01-09,72.83,73.26,72.33,72.7,2271700,67.76
2012-01-03,73.96,73.98,72.43,72.63,2325800,67.69
2011-12-27,73.69,74.06,73.3,73.56,1277000,68.56
2011-12-19,71.27,73.76,71.04,73.73,2002600,68.72
2011-12-12,69.96,71.62,69.44,71.28,2408400,66.43
2011-12-05,71.47,71.56,69.66,70.14,2285100,65.37
2011-11-28,69.57,71.77,69.4,70.73,2630800,65.27
2011-11-21,69.16,69.85,68.27,68.69,3569600,63.39
2011-11-14,70.85,71.5,69.55,70.1,2378800,64.69
2011-11-07,69.5,71.18,69.28,71.1,1700700,65.61
2011-10-31,70.,70.44,68.52,69.71,2229100,64.33
2011-10-24,70.89,71.38,69.06,70.37,4024600,64.94
2011-10-17,71.61,73.23,70.61,73.,2192700,67.36
2011-10-10,71.5,72.28,70.99,71.91,2312900,66.36
2011-10-03,71.09,71.44,69.02,70.96,3929600,65.48
2011-09-26,70.13,71.78,69.73,71.01,3622500,65.53
2011-09-19,68.86,70.91,67.83,69.97,3685500,64.57
2011-09-12,66.89,69.88,66.29,69.78,2594000,64.39
2011-09-06,67.1,69.12,66.84,67.23,3003500,62.04
2011-08-29,68.21,69.63,67.55,68.13,3729700,62.23
2011-08-22,66.19,68.,65.15,67.83,4173700,61.95
2011-08-15,65.56,66.68,64.66,65.35,3190900,59.69
2011-08-08,63.31,65.39,61.,65.14,5670400,59.49
2011-08-01,65.88,65.95,62.64,64.07,3178500,58.52
2011-07-25,67.33,67.93,65.15,65.36,2603500,59.7
2011-07-18,66.93,67.99,66.23,67.9,2164900,62.02
2011-07-11,66.24,67.24,66.08,67.1,2340400,61.29
2011-07-05,67.16,67.35,66.11,66.62,2351900,60.85
2011-06-27,65.29,66.98,65.29,66.9,1803400,61.1
2011-06-20,66.25,67.15,65.17,65.36,1913800,59.7
2011-06-13,64.9,66.32,64.59,66.22,2812000,60.48
2011-06-06,66.03,66.44,64.57,64.62,2384800,59.02
2011-05-31,68.09,68.38,65.54,66.02,2816100,59.66
2011-05-23,67.85,68.49,66.96,67.66,1906600,61.14
2011-05-16,68.,68.49,67.91,68.18,1495900,61.61
2011-05-09,66.94,68.49,66.73,68.29,2072400,61.71
2011-05-02,66.18,67.37,65.94,66.88,2560300,60.44
2011-04-25,64.47,66.39,63.4,66.06,3797000,59.69
2011-04-18,65.2,66.5,65.01,66.05,2404600,59.69
2011-04-11,65.58,66.15,64.72,65.59,2702700,59.27
2011-04-04,65.94,66.06,65.23,65.43,2860900,59.12
2011-03-28,65.23,65.98,64.4,65.38,2298900,59.08
2011-03-21,64.6,65.55,64.53,65.1,2383500,58.83
2011-03-14,64.47,64.62,63.06,64.29,3074300,58.09
2011-03-07,64.87,65.02,64.08,64.65,2662400,58.42
2011-02-28,65.08,66.2,64.35,64.77,3258700,58.53
2011-02-22,65.06,65.67,64.44,65.08,2843100,58.18
2011-02-14,65.5,65.69,64.73,65.66,2444300,58.7
2011-02-07,65.04,66.,64.68,65.85,2633100,58.87
2011-01-31,64.93,65.05,63.76,65.01,3436300,58.12
2011-01-24,64.54,66.66,63.72,64.73,3791500,57.87
2011-01-18,63.79,64.9,63.5,64.28,2470800,57.46
2011-01-10,62.84,63.96,62.61,63.64,1997300,56.89
2011-01-03,63.18,63.36,62.33,62.99,2655200,56.31
2010-12-27,63.16,63.5,62.65,63.04,1037800,56.36
2010-12-20,62.78,63.5,62.72,63.22,1684100,56.52
2010-12-13,61.93,62.78,61.47,62.74,2387400,56.09
2010-12-06,62.02,62.24,61.22,61.7,2618900,55.16
2010-11-29,61.29,62.88,61.06,62.01,4639400,54.84
2010-11-22,61.78,62.17,61.1,61.64,2238200,54.52
2010-11-15,62.37,62.47,61.29,61.84,2315800,54.69
2010-11-08,62.93,63.03,61.66,62.02,2796500,54.85
2010-11-01,63.34,63.37,62.,63.03,3143100,55.75
