Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,32.28,32.61,31.45,32.1,24351000,32.1
2014-02-18,33.81,33.93,32.85,33.03,6241100,33.03
2014-02-10,33.97,34.14,33.46,33.78,5028300,33.78
2014-02-03,34.06,34.19,33.01,33.99,6664200,33.99
2014-01-27,35.76,35.96,33.6,34.01,7590900,34.01
2014-01-21,35.96,36.45,35.42,35.47,6487800,35.06
2014-01-13,35.89,35.96,35.43,35.57,7242400,35.16
2014-01-06,36.06,36.34,35.58,35.9,3972700,35.49
2013-12-30,35.98,36.51,35.75,35.97,3861700,35.56
2013-12-23,35.35,35.94,35.25,35.91,2982000,35.5
2013-12-16,33.02,35.22,32.58,35.22,9349800,34.82
2013-12-09,33.46,33.76,32.3,32.83,6735000,32.45
2013-12-02,35.54,35.69,32.82,33.51,8811800,33.13
2013-11-25,35.56,36.27,35.46,35.54,3537200,35.13
2013-11-18,35.33,35.79,35.14,35.52,3807900,35.11
2013-11-11,35.03,35.35,34.35,35.35,3645000,34.95
2013-11-04,35.43,35.48,34.5,35.,4371800,34.6
2013-10-28,36.58,36.6,34.94,35.31,7180100,34.91
2013-10-21,35.47,36.68,35.26,36.49,9923900,35.66
2013-10-14,35.4,35.68,34.67,35.33,6940100,34.53
2013-10-07,35.15,35.6,34.5,35.49,3921600,34.69
2013-09-30,35.65,36.13,35.11,35.4,3995200,34.6
2013-09-23,36.09,36.34,35.74,35.84,3035100,35.03
2013-09-16,35.3,36.9,34.54,36.21,8609900,35.39
2013-09-09,35.46,37.17,34.97,35.08,7964300,34.29
2013-09-03,38.18,38.3,34.82,35.22,14728300,34.42
2013-08-26,37.31,38.05,36.76,37.93,3936700,37.07
2013-08-19,37.31,37.41,36.35,37.23,3518600,36.39
2013-08-12,37.5,37.78,36.88,37.44,4093100,36.59
2013-08-05,37.58,38.24,37.35,37.6,3947100,36.75
2013-07-29,38.21,38.43,37.32,37.65,5613600,36.8
2013-07-22,39.63,39.7,38.44,38.71,4360500,37.44
2013-07-15,39.96,40.45,39.32,39.55,3036600,38.25
2013-07-08,38.52,40.11,38.52,40.07,2598900,38.76
2013-07-01,38.39,38.9,37.87,38.44,2937000,37.18
2013-06-24,36.1,38.79,35.52,38.15,5837500,36.9
2013-06-17,38.67,38.95,35.89,36.28,4974500,35.09
2013-06-10,39.7,39.73,36.95,38.42,3576600,37.16
2013-06-03,38.01,39.61,37.41,39.54,3392700,38.25
2013-05-28,40.99,41.04,37.98,37.98,3857900,36.74
2013-05-20,40.48,41.49,40.13,40.58,2958000,39.25
2013-05-13,39.45,40.48,39.18,40.48,2595800,39.15
2013-05-06,38.96,39.6,38.77,39.45,2584300,38.16
2013-04-29,39.07,39.11,38.42,38.85,3075700,37.58
2013-04-22,38.94,40.09,38.6,38.78,3451500,37.51
2013-04-15,38.55,39.02,37.6,38.87,3954200,37.24
2013-04-08,37.52,39.07,37.5,38.78,3087900,37.15
2013-04-01,38.67,39.39,37.24,37.52,4198700,35.95
2013-03-25,37.71,38.8,37.35,38.68,3928400,37.06
2013-03-18,36.21,37.86,36.11,37.62,3295400,36.04
2013-03-11,37.38,37.47,36.39,36.4,3618600,34.87
2013-03-04,37.2,37.78,36.83,37.37,3024600,35.8
2013-02-25,37.04,37.48,35.89,37.26,4555000,35.7
2013-02-19,37.52,37.79,36.55,37.,3780000,35.45
2013-02-11,37.57,37.91,37.35,37.52,2868800,35.95
2013-02-04,37.4,38.17,36.56,37.6,6373100,36.02
2013-01-28,37.55,38.21,37.17,37.49,9988000,35.92
2013-01-22,37.33,37.88,37.14,37.25,6015300,35.34
2013-01-14,37.07,37.7,36.54,37.41,4293800,35.49
2013-01-07,36.68,37.38,36.62,37.06,4411900,35.16
2012-12-31,34.64,37.08,34.49,36.71,4821800,34.82
2012-12-24,35.22,35.39,34.3,34.62,2408900,32.84
2012-12-17,33.82,35.5,33.8,35.34,6016500,33.52
2012-12-10,33.6,33.99,33.31,33.72,4474300,31.99
2012-12-03,34.06,34.22,33.56,33.58,4463600,31.85
2012-11-26,33.61,34.52,33.02,33.81,4996400,32.07
2012-11-19,32.69,33.91,32.67,33.72,3903600,31.99
2012-11-12,32.75,32.85,31.93,32.3,5887400,30.64
2012-11-05,34.06,34.29,32.47,32.58,4722000,30.91
2012-10-31,34.74,35.04,34.,34.11,7688900,32.36
2012-10-22,35.01,35.15,34.16,34.7,5912600,32.58
2012-10-15,34.63,36.13,34.36,34.97,8183100,32.83
2012-10-08,36.,36.05,34.15,34.5,11297400,32.39
2012-10-01,35.72,36.5,35.24,36.04,3412100,33.83
2012-09-24,35.93,36.05,35.11,35.52,3480000,33.35
2012-09-17,36.29,36.5,35.47,35.7,4697000,33.51
2012-09-10,35.83,36.4,35.63,36.23,3780500,34.01
2012-09-04,35.8,35.97,35.4,35.84,4049000,33.65
2012-08-27,35.4,35.86,35.02,35.77,3604200,33.58
2012-08-20,34.83,35.3,34.52,35.29,4188100,33.13
2012-08-13,34.66,35.07,33.67,34.22,7812800,32.12
2012-08-06,35.96,36.63,34.48,34.64,7780000,32.52
2012-07-30,35.97,36.1,35.15,35.89,3463900,33.69
2012-07-23,34.59,35.95,34.46,35.81,7228400,33.62
2012-07-16,34.6,35.54,34.44,34.99,12270000,32.53
2012-07-09,33.01,34.55,32.39,34.54,4461100,32.11
2012-07-02,32.41,33.36,32.03,32.96,3668400,30.64
2012-06-25,31.38,32.27,30.51,32.22,6042000,29.95
2012-06-18,31.75,32.51,31.45,31.68,5931300,29.45
2012-06-11,31.84,31.98,31.09,31.9,7350600,29.65
2012-06-04,32.31,33.14,31.02,31.53,19985100,29.31
2012-05-29,32.6,34.19,32.09,32.35,10881100,30.07
2012-05-21,32.54,34.33,31.6,32.42,19915800,30.14
2012-05-14,33.77,34.5,32.38,32.5,3331800,30.21
2012-05-07,34.96,35.28,33.74,33.99,2425200,31.6
2012-04-30,35.83,37.21,34.9,35.25,1905700,32.77
2012-04-23,35.86,36.1,34.68,35.84,2249700,33.32
2012-04-16,38.48,38.6,35.87,36.16,2240000,33.31
2012-04-09,39.14,40.12,37.63,38.41,1535300,35.39
2012-04-02,38.88,40.25,38.38,39.85,2002000,36.71
2012-03-26,39.12,39.25,37.76,38.65,1965900,35.61
2012-03-19,36.74,38.62,36.32,38.6,2319300,35.56
2012-03-12,37.41,37.66,35.27,36.85,2088800,33.95
2012-03-05,36.39,37.57,35.31,37.52,1923700,34.57
2012-02-27,33.44,36.33,33.23,36.29,2754200,33.43
2012-02-21,32.22,33.5,31.87,33.24,1767400,30.62
2012-02-13,32.5,33.,32.03,32.23,1968100,29.69
2012-02-06,31.95,32.78,31.76,32.35,1776300,29.8
2012-01-30,32.33,32.96,31.81,31.92,1904700,29.41
