Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,37.3,37.6,37.22,37.5,24223500,37.5
2014-02-18,37.98,38.11,36.89,37.18,28700800,37.18
2014-02-10,38.07,39.02,37.84,38.93,14667500,38.93
2014-02-03,38.02,38.94,37.1,37.95,19528000,37.95
2014-01-27,38.82,39.08,37.72,37.82,15428100,37.82
2014-01-21,39.64,40.09,38.82,38.84,14689000,38.84
2014-01-13,40.,40.13,39.28,39.28,12958700,39.28
2014-01-06,40.48,40.72,39.52,40.13,13121600,40.13
2013-12-30,40.77,41.39,40.35,40.46,11439600,40.46
2013-12-23,40.1,40.79,39.87,40.66,7769300,40.66
2013-12-16,39.46,40.19,38.87,40.04,18626200,40.04
2013-12-09,40.4,40.5,39.18,39.23,15404700,39.23
2013-12-02,40.1,40.5,39.75,40.46,15445200,40.46
2013-11-25,40.48,40.88,39.69,40.19,11712400,40.19
2013-11-18,40.24,40.49,39.92,40.43,17550400,40.15
2013-11-11,40.01,40.44,39.62,40.22,10951200,39.94
2013-11-04,39.71,40.25,39.22,40.05,13232300,39.77
2013-10-28,39.02,39.96,38.99,39.61,14079100,39.33
2013-10-21,38.95,39.37,38.6,39.03,14841300,38.76
2013-10-14,37.56,38.78,37.51,38.78,17734200,38.51
2013-10-07,37.08,37.92,36.83,37.77,17524000,37.51
2013-09-30,38.19,38.3,36.91,37.2,17723400,36.94
2013-09-23,39.16,39.19,38.15,38.4,13819200,38.13
2013-09-16,39.03,39.67,38.58,39.4,17838100,39.13
2013-09-09,38.52,38.78,38.27,38.69,11619400,38.42
2013-09-03,38.27,38.73,37.8,38.35,16618600,37.81
2013-08-26,38.6,38.6,37.8,38.18,15448100,37.64
2013-08-19,39.05,39.14,38.1,38.52,11912100,37.98
2013-08-12,40.04,40.1,38.71,39.05,15219700,38.5
2013-08-05,40.18,40.47,40.02,40.16,9276600,39.59
2013-07-29,40.61,40.75,39.91,40.22,14395200,39.65
2013-07-22,41.08,41.14,40.01,40.64,10152700,40.07
2013-07-15,41.05,41.25,39.5,41.09,16923400,40.51
2013-07-08,40.65,41.15,40.42,41.03,10482400,40.45
2013-07-01,40.5,40.92,40.03,40.52,9667400,39.95
2013-06-24,39.45,40.88,39.13,40.11,14201300,39.54
2013-06-17,40.54,41.44,38.97,39.76,17215200,39.2
2013-06-10,41.5,41.52,39.68,40.34,14169200,39.77
2013-06-03,39.95,41.73,39.63,41.41,15575700,40.54
2013-05-28,42.6,43.05,39.99,39.99,19614400,39.15
2013-05-20,42.95,42.95,41.5,42.24,11041300,41.36
2013-05-13,42.14,43.43,42.,42.97,11912400,42.07
2013-05-06,42.29,42.71,41.85,42.15,11163600,41.27
2013-04-29,42.24,42.56,41.49,42.24,12784200,41.36
2013-04-22,42.52,42.96,42.08,42.1,11697000,41.22
2013-04-15,40.85,42.77,40.05,42.66,20460800,41.77
2013-04-08,40.06,41.41,39.77,41.08,14974900,40.22
2013-04-01,40.39,40.9,40.01,40.08,11472800,39.24
2013-03-25,40.11,40.7,39.96,40.44,14543000,39.6
2013-03-18,38.61,40.43,38.57,40.04,17027100,39.2
2013-03-11,39.2,39.38,38.55,38.83,14057800,38.02
2013-03-04,38.6,39.42,38.45,39.22,12221400,38.12
2013-02-25,38.56,38.97,37.72,38.7,15729100,37.62
2013-02-19,37.51,38.52,37.41,38.52,15509400,37.44
2013-02-11,38.71,38.83,36.54,37.42,22151400,36.37
2013-02-04,37.48,39.06,37.3,38.77,15058100,37.69
