Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,55.,55.63,55.,55.12,2891800,55.12
2014-02-18,53.89,55.6,53.7,55.09,3682500,55.09
2014-02-10,52.35,55.,52.11,53.76,4404800,53.76
2014-02-03,52.86,52.91,50.54,52.3,3532500,52.3
2014-01-27,53.04,53.21,51.99,52.35,2896700,52.35
2014-01-21,55.2,55.2,52.67,52.89,3249700,52.89
2014-01-13,53.65,55.11,53.21,54.76,3412200,54.76
2014-01-06,53.94,54.48,52.81,53.8,3383900,53.8
2013-12-30,53.67,54.21,53.38,53.45,1793800,53.45
2013-12-23,53.65,54.,53.06,53.71,1562500,53.71
2013-12-16,52.72,54.05,52.3,54.,3809600,53.47
2013-12-09,54.58,54.92,52.47,52.61,3118200,52.1
2013-12-02,53.36,53.6,52.31,53.55,2366400,53.03
2013-11-25,52.99,53.69,52.6,53.12,2445300,52.6
2013-11-18,53.31,53.94,52.09,52.72,3160600,52.21
2013-11-11,52.61,53.18,51.84,53.05,3338000,52.53
2013-11-04,54.66,55.03,52.37,52.73,3269400,52.22
2013-10-28,54.62,55.93,53.08,54.63,3256900,54.1
2013-10-21,53.71,54.98,53.24,54.96,1645400,54.43
2013-10-14,52.2,53.99,51.72,53.69,2689600,53.17
2013-10-07,52.71,54.36,51.77,52.34,4343500,51.83
2013-09-30,52.39,53.46,52.08,53.22,3702100,52.18
2013-09-23,54.1,54.28,52.25,52.88,2186100,51.85
2013-09-16,54.68,55.65,53.8,54.03,5001500,52.97
2013-09-09,53.51,54.44,52.64,54.24,2985000,53.18
2013-09-03,52.49,53.81,52.01,53.21,2441700,52.17
2013-08-26,53.09,53.09,51.2,51.77,2720600,50.76
2013-08-19,52.42,53.61,51.91,52.82,2924900,51.79
2013-08-12,56.,56.59,52.53,52.77,3074700,51.74
2013-08-05,56.71,57.05,55.13,56.26,2264500,55.16
2013-07-29,56.75,57.75,56.01,57.5,2215700,56.38
2013-07-22,58.44,58.76,55.68,56.45,2126000,55.35
2013-07-15,56.5,58.05,56.48,57.66,2015700,56.53
2013-07-08,55.63,57.19,54.64,56.69,2205000,55.58
2013-07-01,55.75,56.25,54.85,55.24,2114200,54.16
2013-06-24,53.33,56.,52.91,55.87,4904600,54.78
2013-06-17,55.82,56.74,52.8,53.46,3631300,51.94
2013-06-10,54.48,56.48,53.44,55.68,2994100,54.09
2013-06-03,55.14,55.47,52.94,54.37,3487500,52.82
2013-05-28,57.38,57.84,54.8,55.13,3087700,53.56
2013-05-20,56.13,57.26,55.39,57.01,3565100,55.39
2013-05-13,55.27,56.13,53.95,56.11,2322800,54.51
2013-05-06,53.07,55.69,52.61,55.22,4036200,53.65
2013-04-29,51.27,54.1,50.04,53.11,3617700,51.6
2013-04-22,50.59,51.7,50.03,50.92,2362800,49.47
2013-04-15,51.74,51.88,49.79,50.35,2861800,48.92
2013-04-08,51.41,52.21,50.51,52.07,3341700,50.59
2013-04-01,51.38,52.51,51.14,51.24,2770100,49.78
2013-03-25,51.51,51.95,50.81,51.53,5218900,50.06
2013-03-18,49.94,52.29,49.85,51.19,5525800,49.25
2013-03-11,49.95,50.85,49.79,50.27,7403100,48.36
2013-03-04,48.4,50.,48.4,49.71,3337200,47.82
2013-02-25,47.77,48.91,46.73,48.57,3455300,46.73
2013-02-19,47.21,47.8,46.65,47.46,3967600,45.66
2013-02-11,46.94,47.65,46.56,47.17,3466400,45.38
2013-02-04,46.78,47.45,46.17,46.9,2440400,45.12
2013-01-28,47.5,47.59,46.16,46.6,2408900,44.83
2013-01-22,47.11,47.53,46.28,47.14,2672900,45.35
2013-01-14,46.64,47.11,46.18,47.05,2863200,45.26
2013-01-07,45.2,46.67,45.15,46.37,2948400,44.61
2012-12-31,44.18,46.5,44.16,45.37,3496400,43.65
2012-12-24,45.66,45.86,44.08,44.41,2311600,42.72
2012-12-17,46.64,46.65,45.49,45.53,3456100,43.31
2012-12-10,44.52,46.63,44.27,46.62,3301700,44.35
2012-12-03,45.26,46.6,44.46,44.67,3563600,42.49
2012-11-26,45.,46.37,44.06,45.24,3975000,43.03
2012-11-19,44.47,45.3,44.28,45.28,1826800,43.07
2012-11-12,43.62,44.96,43.25,44.19,3451100,42.04
2012-11-05,44.47,45.57,43.4,43.66,3658700,41.53
2012-10-31,45.62,46.2,44.53,44.56,3669200,42.39
2012-10-22,46.2,46.85,45.11,45.3,3946900,43.09
2012-10-15,47.17,47.74,45.9,46.03,5663700,43.79
2012-10-08,47.92,48.,45.44,47.1,8778900,44.8
2012-10-01,45.57,47.76,42.,47.57,13464300,45.25
2012-09-24,46.5,46.5,44.01,44.63,1947800,42.45
2012-09-17,44.,47.3,43.06,45.98,2713600,43.74
