Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,53.77,54.53,53.59,53.78,1823500,53.78
2014-02-18,55.26,55.93,53.07,53.53,1729400,53.53
2014-02-10,54.5,55.94,54.01,55.03,2350100,53.7
2014-02-03,52.55,55.,50.78,54.58,3546100,53.26
2014-01-27,52.93,53.62,51.72,52.36,2672400,51.09
2014-01-21,55.36,55.51,52.56,52.64,2772000,51.37
2014-01-13,57.75,57.94,55.07,55.17,2631800,53.84
2014-01-06,61.84,62.14,56.76,57.86,2405600,56.46
2013-12-30,61.07,62.52,60.76,61.48,775700,59.99
2013-12-23,61.5,63.68,60.68,60.87,873600,59.4
2013-12-16,55.68,62.04,55.68,61.04,1308900,59.56
2013-12-09,63.4,63.67,60.15,61.17,1451700,59.69
2013-12-02,64.82,67.12,61.49,63.34,1473900,61.81
2013-11-25,64.27,66.16,64.04,64.99,960000,63.42
2013-11-18,64.97,65.36,62.91,63.94,1846300,62.39
2013-11-11,62.89,65.37,62.5,64.66,1489900,62.8
2013-11-04,62.67,64.24,61.68,62.93,1748200,61.12
2013-10-28,61.58,63.05,61.01,62.56,1651200,60.76
2013-10-21,59.43,62.44,59.26,61.54,2195700,59.77
2013-10-14,56.16,59.26,56.13,59.23,2938600,57.53
2013-10-07,61.15,61.55,54.73,56.31,3842100,54.69
2013-09-30,60.61,62.14,60.22,62.08,2095900,60.3
2013-09-23,59.98,61.26,59.06,61.11,1367800,59.35
2013-09-16,59.43,61.14,58.76,59.99,1403400,58.27
2013-09-09,56.6,58.92,56.55,58.57,1307400,56.89
2013-09-03,57.97,58.47,56.26,56.45,2485900,54.83
2013-08-26,59.2,59.49,56.47,57.36,1525800,55.71
2013-08-19,59.,60.97,57.01,59.21,2109400,57.51
2013-08-12,60.93,61.36,59.07,59.08,1890300,57.1
2013-08-05,58.3,61.34,56.05,61.27,3201600,59.21
2013-07-29,53.66,58.69,53.61,58.4,2728100,56.44
2013-07-22,52.41,53.77,52.39,53.68,1280800,51.88
2013-07-15,51.7,52.72,51.58,52.49,1323900,50.73
2013-07-08,49.85,52.39,49.76,51.82,2478700,50.08
2013-07-01,49.67,50.18,48.77,49.67,1883000,48.
2013-06-24,50.99,51.03,49.06,49.25,2562600,47.6
2013-06-17,50.98,53.14,50.41,51.51,3290600,49.78
2013-06-10,50.99,51.67,49.78,50.79,2202500,49.09
2013-06-03,50.03,52.47,49.67,50.88,4081100,49.17
2013-05-28,50.52,50.52,48.76,50.01,2986800,48.05
2013-05-20,50.3,52.32,49.62,49.79,3078600,47.84
2013-05-13,51.5,51.5,49.28,50.29,2469100,48.32
2013-05-06,51.15,53.33,50.45,51.64,4007800,49.62
2013-04-29,50.52,51.27,49.59,51.17,1850700,49.17
2013-04-22,48.51,50.84,47.82,50.49,1933900,48.51
2013-04-15,49.93,50.12,47.78,48.42,2145700,46.53
2013-04-08,46.11,51.25,45.86,50.43,4440600,48.46
2013-04-01,44.56,46.31,44.52,46.2,2222000,44.39
2013-03-25,44.22,44.9,43.15,44.66,2384800,42.91
2013-03-18,44.71,45.19,42.83,44.06,2745200,42.34
2013-03-11,45.25,45.54,44.47,45.21,2122800,43.44
2013-03-04,45.07,45.58,44.66,45.29,2415000,43.52
2013-02-25,43.62,46.56,42.77,45.02,4306600,43.26
2013-02-19,44.,44.82,42.49,43.48,3637000,41.78
2013-02-11,45.56,46.04,43.65,44.06,4334300,42.05
2013-02-04,47.04,48.35,45.56,45.81,4891000,43.72
2013-01-28,48.19,48.66,47.15,47.25,3893700,45.1
2013-01-22,46.92,48.47,46.69,48.28,2841400,46.08
2013-01-14,44.82,47.42,44.81,46.91,4133400,44.77
2013-01-07,44.8,44.95,43.72,44.38,3792200,42.36
2012-12-31,45.71,47.98,44.,44.88,5046200,42.83
2012-12-24,47.28,47.97,45.26,45.9,1870400,43.81
2012-12-17,50.55,51.44,46.95,47.24,2862800,45.09
2012-12-10,51.15,51.65,49.89,50.42,3120000,48.12
2012-12-03,52.5,52.5,50.86,51.18,2156300,48.85
2012-11-26,48.87,52.35,48.73,52.15,2928100,49.77
2012-11-19,46.74,48.9,46.72,48.74,1739000,46.52
2012-11-12,46.56,48.2,44.93,46.2,2428100,43.87
2012-11-05,47.94,48.76,46.23,46.48,1850200,44.13
2012-10-31,47.75,48.57,46.23,48.04,3041800,45.61
2012-10-22,48.5,48.74,47.14,47.6,1481600,45.2
2012-10-15,48.41,50.,47.74,48.6,2252700,46.14
2012-10-08,50.34,50.75,48.01,48.26,1568500,45.82
2012-10-01,49.63,51.05,49.,50.56,2376300,48.01
2012-09-24,51.38,51.54,48.84,49.26,2357100,46.77
2012-09-17,50.15,52.2,49.28,51.74,2565000,49.13
2012-09-10,48.53,50.49,48.32,50.31,1692600,47.77
2012-09-04,48.49,48.87,47.96,48.51,1599900,46.06
2012-08-27,48.85,49.34,47.51,48.6,2021300,46.14
2012-08-20,49.56,50.18,47.64,48.83,3768800,46.36
2012-08-13,49.21,50.36,47.33,49.51,4652200,45.84
2012-08-06,49.4,50.75,48.59,49.29,2845100,45.63
2012-07-30,47.14,49.46,46.3,49.14,3224000,45.49
2012-07-23,45.56,47.4,44.2,47.12,2012700,43.62
2012-07-16,45.92,47.3,45.57,46.31,1651200,42.87
2012-07-09,45.66,46.21,44.27,46.05,2126000,42.63
2012-07-02,42.72,47.44,42.46,45.82,3734000,42.42
2012-06-25,41.3,42.62,40.32,42.53,2665300,39.38
2012-06-18,42.39,43.66,40.77,41.72,2647100,38.63
2012-06-11,43.2,43.25,41.75,42.65,3033500,39.49
2012-06-04,42.88,43.21,41.71,42.8,3145800,39.63
2012-05-29,46.88,47.41,42.65,42.89,5017000,39.47
2012-05-21,45.26,46.68,44.83,46.41,2739500,42.71
2012-05-14,48.03,48.93,44.98,45.11,3287200,41.52
2012-05-07,50.13,50.64,47.66,48.42,1924200,44.56
2012-04-30,50.91,51.84,49.02,50.27,2878400,46.27
2012-04-23,48.95,51.33,47.92,50.96,2226800,46.9
2012-04-16,47.89,49.44,47.2,49.26,2725500,45.34
2012-04-09,47.45,48.,46.53,47.67,2310500,43.87
2012-04-02,47.6,49.56,47.48,48.25,3595700,44.41
2012-03-26,48.85,49.96,47.76,48.,3333400,44.18
2012-03-19,46.8,49.09,46.42,48.55,2525900,44.68
2012-03-12,46.77,47.8,46.3,46.93,2473400,43.19
2012-03-05,46.22,47.02,45.06,46.74,2593600,43.02
2012-02-27,46.06,47.15,45.38,46.23,3161800,42.55
2012-02-21,45.73,46.58,44.45,46.26,3995700,42.58
2012-02-13,45.4,46.7,44.75,46.5,2240900,42.56
2012-02-06,44.,45.17,43.81,44.96,2609300,41.15
2012-01-30,41.13,44.37,40.63,44.26,3627700,40.51
2012-01-23,41.25,42.25,40.9,41.46,2129800,37.95
2012-01-17,40.78,41.91,40.62,41.22,2672500,37.73
2012-01-09,38.82,41.15,38.52,40.49,3965500,37.06
2012-01-03,41.11,41.41,38.45,38.87,6110000,35.58
2011-12-27,40.22,41.12,39.95,40.35,1901700,36.93
2011-12-19,38.64,40.26,37.57,40.25,2427900,36.84
2011-12-12,40.51,40.78,38.3,38.4,3108100,35.15
2011-12-05,43.26,44.35,40.5,40.83,4844700,37.37
2011-11-28,39.49,43.39,39.43,42.61,4294100,37.23
2011-11-21,40.22,40.6,38.31,38.33,2638900,33.49
2011-11-14,43.8,44.46,40.71,40.86,3072300,35.52
2011-11-07,42.52,44.01,41.15,43.94,3121700,38.2
2011-10-31,43.52,44.11,39.83,42.63,4062800,37.06
2011-10-24,42.91,45.45,42.24,43.89,2855000,38.16
2011-10-17,42.56,43.24,40.83,42.71,3184800,37.13
2011-10-10,41.15,42.78,40.95,42.66,2354700,37.09
2011-10-03,38.32,41.46,36.93,40.43,3596200,35.15
2011-09-26,41.07,42.82,38.51,38.51,4049600,33.48
2011-09-19,39.6,42.,38.,40.37,3936700,35.1
2011-09-12,35.93,40.52,35.78,40.28,4422000,35.02
2011-09-06,34.85,37.65,34.69,36.6,2986900,31.82
2011-08-29,37.06,38.66,35.73,35.85,3694600,31.17
2011-08-22,34.06,36.66,33.19,36.41,3690700,31.65
