Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,115.24,117.47,115.2,116.3,1016300,116.3
2014-02-18,113.77,116.49,113.23,115.58,870800,115.58
2014-02-10,112.83,113.83,111.67,113.5,867200,113.5
2014-02-03,110.25,113.95,106.67,113.02,1110900,113.02
2014-01-27,104.41,111.59,102.84,111.07,998500,111.07
2014-01-21,107.58,108.94,104.16,104.17,622000,104.17
2014-01-13,106.56,107.7,105.46,107.57,405000,107.57
2014-01-06,105.66,107.4,103.99,106.32,621900,106.32
2013-12-30,107.39,107.53,104.94,105.38,445900,105.38
2013-12-23,105.65,108.69,105.61,107.12,308800,107.12
2013-12-16,102.19,106.13,102.02,105.49,771500,105.49
2013-12-09,101.98,102.75,100.61,102.23,578900,102.23
2013-12-02,103.46,103.77,100.58,101.8,622300,101.8
2013-11-25,102.45,103.87,101.86,103.46,474400,103.46
2013-11-18,102.31,103.41,101.09,102.34,597900,102.34
2013-11-11,101.5,102.22,100.58,101.95,377000,101.95
2013-11-04,101.,102.73,100.26,101.5,607600,100.95
2013-10-28,97.18,101.45,95.59,100.76,971400,100.22
2013-10-21,94.9,97.67,94.15,97.53,497000,97.
2013-10-14,93.65,95.5,93.14,94.77,468600,94.26
2013-10-07,92.88,93.97,91.48,93.94,470900,93.43
2013-09-30,94.81,95.39,91.75,92.88,418400,92.38
2013-09-23,94.76,96.71,94.06,95.43,461700,94.91
2013-09-16,95.27,96.59,94.63,95.22,435200,94.71
2013-09-09,91.3,94.75,91.27,94.25,377100,93.74
2013-09-03,91.,91.88,90.16,91.19,428900,90.7
2013-08-26,92.59,93.17,90.07,90.33,355600,89.84
2013-08-19,91.05,92.74,91.04,92.65,365000,92.15
2013-08-12,92.8,93.42,91.09,91.2,549600,90.71
2013-08-05,94.09,94.14,92.38,92.89,560100,91.84
2013-07-29,91.4,94.32,90.8,94.32,615100,93.25
2013-07-22,92.33,93.75,91.27,92.15,759600,91.11
2013-07-15,90.35,92.42,90.05,92.37,511100,91.33
2013-07-08,87.44,90.71,86.95,90.22,795400,89.2
2013-07-01,86.58,87.22,84.5,87.09,346000,86.11
2013-06-24,83.51,86.53,82.6,85.74,544800,84.77
2013-06-17,86.5,87.04,83.78,84.17,431800,83.22
2013-06-10,86.81,87.38,85.5,86.04,435100,85.07
2013-06-03,85.29,86.88,84.05,86.81,456100,85.83
2013-05-28,85.91,87.23,84.13,85.09,483000,84.13
2013-05-20,85.44,87.96,84.5,85.19,582700,84.23
2013-05-13,83.74,85.76,83.28,85.55,494300,84.58
2013-05-06,82.54,84.98,82.54,83.78,432700,82.29
2013-04-29,81.37,83.7,80.61,83.42,521200,81.94
2013-04-22,81.5,83.,79.63,81.39,628900,79.94
2013-04-15,82.12,82.74,79.75,81.38,709500,79.93
2013-04-08,81.76,83.99,80.85,82.45,638500,80.99
2013-04-01,80.92,82.44,79.72,82.4,707100,80.94
2013-03-25,80.75,81.05,79.5,80.92,481800,79.48
2013-03-18,80.54,81.6,80.09,80.43,407800,79.
2013-03-11,77.06,81.13,76.75,81.13,779300,79.69
2013-03-04,76.12,77.25,75.21,77.18,581400,75.81
2013-02-25,77.11,77.44,75.2,76.4,675500,75.04
2013-02-19,77.74,77.9,76.13,76.88,675000,74.97
