Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,165.62,168.41,164.8,166.14,2534300,166.14
2014-02-18,161.53,165.89,161.53,164.33,2059400,164.33
2014-02-10,154.75,163.24,153.51,162.89,2297200,162.89
2014-02-03,150.54,155.7,144.69,155.13,2277300,155.13
2014-01-27,148.12,151.99,145.12,150.91,2515600,150.91
2014-01-21,154.,158.43,146.68,147.76,3090300,147.76
2014-01-13,153.7,154.35,149.19,153.82,2342800,153.82
2014-01-06,147.3,150.43,146.1,149.45,1386800,149.45
2013-12-30,148.04,148.86,145.84,147.06,871900,147.06
2013-12-23,144.95,149.99,144.74,148.13,1185700,148.13
2013-12-16,139.13,144.93,139.03,144.21,1639800,144.21
2013-12-09,138.5,139.86,137.22,139.03,1192200,139.03
2013-12-02,141.85,142.5,135.39,138.19,1686900,138.19
2013-11-25,141.16,144.43,140.8,141.67,3071100,141.67
2013-11-18,137.62,140.94,136.99,140.88,2256400,139.57
2013-11-11,137.92,138.4,135.54,137.45,1422300,136.17
2013-11-04,135.,138.15,134.91,138.11,1041500,136.83
2013-10-28,133.76,136.84,132.87,134.55,1479000,133.3
2013-10-21,128.9,134.19,125.09,134.,2122100,132.75
2013-10-14,125.84,129.61,125.33,128.9,1139800,127.7
2013-10-07,122.17,126.7,121.75,126.17,1429000,125.
2013-09-30,128.08,128.58,121.52,122.5,2265800,121.36
2013-09-23,128.12,129.95,127.,129.24,1268900,128.04
2013-09-16,128.21,131.6,127.9,128.,1532400,126.81
2013-09-09,123.97,127.39,123.82,127.25,1315000,126.07
2013-09-03,123.35,124.88,122.54,123.73,1471300,122.58
2013-08-26,126.,126.73,121.72,122.42,1402900,121.28
2013-08-19,121.92,126.3,121.25,126.,2767600,123.66
2013-08-12,123.84,124.3,121.7,122.2,1299000,119.93
2013-08-05,123.55,125.,123.23,124.02,1360500,121.72
2013-07-29,118.82,124.08,118.81,123.77,1648900,121.48
2013-07-22,115.8,120.38,115.18,120.,2100500,117.78
2013-07-15,112.75,115.63,112.46,115.55,1324600,113.41
2013-07-08,109.05,113.57,108.72,112.53,1245600,110.44
2013-07-01,108.46,108.85,105.54,108.66,1119800,106.65
2013-06-24,104.71,108.86,103.51,108.46,1961400,106.45
2013-06-17,108.25,109.26,105.,105.06,1958800,103.11
2013-06-10,107.44,108.46,105.22,107.7,1345700,105.7
2013-06-03,106.,107.46,103.04,107.36,1680500,105.37
2013-05-28,107.76,108.8,105.83,105.83,2742700,103.87
2013-05-20,105.93,107.93,105.46,107.06,2928000,103.95
2013-05-13,101.88,106.41,101.32,106.41,1768200,103.32
2013-05-06,101.72,102.89,101.06,101.94,1820400,98.98
2013-04-29,98.99,102.15,98.34,102.01,1832900,99.05
2013-04-22,96.6,99.49,95.67,98.97,1905100,96.09
2013-04-15,96.56,97.15,94.54,96.28,1562400,93.48
2013-04-08,94.58,97.57,94.04,97.18,1421100,94.36
2013-04-01,96.14,96.46,94.,94.53,2097900,91.78
2013-03-25,92.61,96.59,91.91,96.52,2256700,93.72
2013-03-18,91.81,93.57,91.65,92.26,1587600,89.58
2013-03-11,89.79,92.8,89.7,92.74,2139000,90.05
2013-03-04,87.84,90.2,86.51,89.99,1626000,87.38
2013-02-25,88.43,89.08,85.91,88.17,5943800,85.61
2013-02-19,87.95,88.67,87.1,88.12,3532700,84.43
2013-02-11,87.99,88.01,85.88,87.87,2078200,84.19
2013-02-04,86.54,88.23,86.37,88.01,2430000,84.33
2013-01-28,92.49,92.49,86.37,87.22,4556600,83.57
2013-01-22,94.,96.52,92.28,92.39,2881500,88.52
2013-01-14,93.09,95.,93.04,93.97,1399600,90.04
2013-01-07,93.43,94.77,92.46,93.71,1354900,89.79
2012-12-31,90.8,94.31,89.72,93.9,1953000,89.97
2012-12-24,93.15,93.18,91.09,91.34,1245600,87.52
2012-12-17,89.19,93.67,88.79,93.13,3103100,89.23
2012-12-10,91.75,93.,88.84,88.96,1640000,85.24
2012-12-03,93.25,93.43,90.7,91.9,1696700,88.05
2012-11-26,92.31,94.1,91.75,93.3,1845700,89.4
2012-11-19,88.83,91.9,88.65,91.83,1263700,86.91
2012-11-12,89.82,91.07,87.08,88.46,1796800,83.72
2012-11-05,93.49,95.92,89.16,89.98,2172300,85.16
2012-10-31,94.45,94.86,93.03,93.72,1574600,88.7
2012-10-22,92.65,94.96,91.39,92.84,1315400,87.86
2012-10-15,92.75,94.4,92.42,92.89,1222000,87.91
2012-10-08,94.2,94.82,92.48,92.96,787600,87.98
2012-10-01,93.37,94.9,92.28,94.37,1389700,89.31
2012-09-24,91.35,93.7,90.39,93.38,1558700,88.37
2012-09-17,92.29,92.95,91.05,91.29,2385600,86.4
2012-09-10,91.79,93.45,91.72,92.52,1176400,87.56
2012-09-04,91.19,92.98,90.01,92.18,1185800,87.24
2012-08-27,92.64,93.,90.52,91.14,1145800,86.25
2012-08-20,92.12,93.99,91.7,92.45,1592000,86.54
2012-08-13,90.71,92.5,90.54,92.4,1862300,86.5
2012-08-06,89.61,91.15,88.94,91.03,1066000,85.21
2012-07-30,89.59,90.,87.47,89.39,1972600,83.68
2012-07-23,86.9,90.51,86.56,90.2,1753900,84.44
2012-07-16,87.01,88.8,86.16,87.71,1231100,82.11
2012-07-09,86.89,88.23,85.65,87.25,1347500,81.67
2012-07-02,87.32,87.65,86.11,86.86,1199000,81.31
2012-06-25,84.67,87.09,83.15,87.08,1496200,81.52
2012-06-18,83.48,85.61,83.34,85.35,1468400,79.9
2012-06-11,83.79,83.89,82.39,83.45,1372400,78.12
2012-06-04,81.23,83.65,80.14,83.29,1893300,77.97
2012-05-29,83.29,83.69,81.01,81.22,3341100,76.03
2012-05-21,83.25,84.23,82.19,82.71,3328500,76.5
2012-05-14,84.66,85.4,82.6,82.78,1374200,76.56
2012-05-07,87.78,88.11,85.17,85.21,1766900,78.81
2012-04-30,91.1,91.1,87.83,87.83,1663600,81.23
2012-04-23,89.99,92.24,89.94,91.3,1610300,84.44
2012-04-16,89.55,91.24,89.03,90.84,1549200,84.02
2012-04-09,89.36,90.59,87.67,89.3,1421700,82.59
2012-04-02,89.41,91.61,89.41,90.15,1594200,83.38
2012-03-26,90.23,91.09,88.83,89.86,1284000,83.11
2012-03-19,88.92,89.88,88.64,89.77,1198000,83.03
2012-03-12,88.71,91.01,88.62,89.32,1655500,82.61
2012-03-05,89.02,89.12,87.41,88.91,1303600,82.23
2012-02-27,89.52,90.,88.,88.5,2109100,81.85
2012-02-21,87.86,90.15,86.79,89.53,4422600,81.88
2012-02-13,87.64,88.55,86.06,87.99,2553300,80.47
2012-02-06,84.38,88.07,84.34,87.51,2617300,80.03
2012-01-30,81.32,84.73,81.29,84.59,2553600,77.36
2012-01-23,82.83,82.95,81.25,82.02,1992600,75.01
2012-01-17,82.05,83.71,81.34,82.78,1882600,75.71
2012-01-09,80.35,81.77,79.76,81.52,1650400,74.56
2012-01-03,82.12,82.99,79.05,79.98,2851600,73.15
2011-12-27,81.33,81.86,80.85,80.9,1230500,73.99
2011-12-19,77.28,81.46,76.6,81.41,1936900,74.45
2011-12-12,77.44,77.88,76.02,77.1,2144000,70.51
2011-12-05,78.56,78.66,76.42,77.42,1830400,70.81
2011-11-28,76.81,79.8,76.,77.82,3169600,71.17
2011-11-21,74.16,76.23,72.37,75.39,3828000,68.07
2011-11-14,77.33,78.14,74.39,75.1,2959400,67.8
2011-11-07,76.43,78.87,75.77,77.42,2372200,69.9
2011-10-31,75.28,77.,73.48,76.52,2458900,69.09
2011-10-24,77.39,79.9,75.06,75.43,3058000,68.1
2011-10-17,75.75,77.4,74.24,77.4,1830800,69.88
2011-10-10,75.24,77.1,74.51,75.99,1492000,68.61
2011-10-03,72.58,74.8,70.37,74.,2507000,66.81
2011-09-26,72.98,75.23,71.,72.64,3308600,65.58
2011-09-19,75.06,77.04,70.77,72.09,4168100,65.09
2011-09-12,70.5,76.21,70.5,76.03,2912700,68.64
2011-09-06,69.67,73.18,69.1,71.57,2074600,64.62
2011-08-29,73.81,75.,71.13,71.37,2086600,64.44
2011-08-22,70.4,73.75,69.4,73.25,2015600,65.46
2011-08-15,69.83,71.93,68.17,69.39,3157700,62.01
2011-08-08,71.65,72.87,66.36,69.12,4903700,61.77
2011-08-01,76.11,76.11,71.3,72.82,4171500,65.08
2011-07-25,78.91,81.99,74.44,75.73,3185800,67.68
2011-07-18,78.12,80.39,76.96,79.6,1572700,71.14
2011-07-11,79.73,80.88,77.61,78.37,1886300,70.04
2011-07-05,81.63,82.23,80.31,80.51,1917800,71.95
2011-06-27,79.43,82.01,79.03,81.97,1432500,73.26
2011-06-20,79.72,80.95,78.57,79.2,2287300,70.78
2011-06-13,78.86,81.15,77.51,80.01,2689300,71.5
2011-06-06,76.2,78.02,76.1,77.3,2435600,69.08
2011-05-31,77.27,78.11,75.1,76.28,2462700,68.17
2011-05-23,79.02,79.8,76.68,77.26,2267300,69.05
2011-05-16,79.39,80.83,78.84,79.75,1699300,70.58
2011-05-09,80.02,80.51,79.24,79.59,1878000,70.44
2011-05-02,79.35,80.8,78.5,79.95,2822600,70.76
2011-04-25,77.48,79.81,77.08,79.25,2333400,70.14
2011-04-18,77.46,78.73,76.54,77.78,2197600,68.84
2011-04-11,80.34,81.22,75.81,78.19,2861200,69.2
2011-04-04,80.75,81.92,80.2,80.5,1840500,71.25
2011-03-28,80.77,81.34,79.57,80.98,1927100,71.67
2011-03-21,81.32,81.75,80.34,80.37,1839100,71.13
2011-03-14,79.74,81.49,78.2,80.53,3310900,71.28
2011-03-07,79.94,80.79,78.82,80.47,2054700,71.22
2011-02-28,80.51,80.89,78.8,79.85,1959500,70.67
2011-02-22,81.32,81.42,79.03,80.11,1820500,70.9
2011-02-14,81.77,82.09,80.1,81.81,2089000,71.73
2011-02-07,80.7,82.43,80.56,81.69,2402800,71.63
2011-01-31,78.88,81.66,78.59,80.71,2825600,70.77
2011-01-24,78.88,81.,77.52,78.2,4042600,68.57
2011-01-18,75.03,80.16,75.,79.22,4467800,69.46
2011-01-10,73.75,74.88,73.16,74.5,3513900,65.32
2011-01-03,70.2,73.96,69.62,73.63,3955600,64.56
2010-12-27,69.,69.96,68.65,69.91,1865100,61.3
2010-12-20,69.79,70.19,69.,69.25,2595700,60.72
2010-12-13,68.86,70.42,68.38,70.07,2424500,61.44
2010-12-06,69.25,69.83,68.02,68.84,2786700,60.36
2010-11-29,68.,70.1,67.68,69.18,2647900,60.66
2010-11-22,69.33,69.41,68.14,68.8,3612700,59.67
2010-11-15,69.73,70.11,67.71,69.43,4754900,60.21
2010-11-08,73.36,73.59,69.47,69.49,2877900,60.26
2010-11-01,71.71,73.7,70.39,73.27,2768500,63.54
2010-10-25,72.28,72.69,70.32,71.29,2198000,61.83
2010-10-18,69.9,71.89,67.87,71.78,3609800,62.25
2010-10-11,70.18,71.43,69.55,70.02,2367800,60.72
2010-10-04,69.63,71.5,69.25,70.1,2917600,60.79
2010-09-27,73.24,73.45,69.,69.61,3660800,60.37
2010-09-20,70.,73.19,69.52,73.13,2740600,63.42
2010-09-13,71.07,71.18,68.19,69.75,2661200,60.49
2010-09-07,70.66,70.7,68.62,70.38,2439700,61.04
2010-08-30,70.65,71.14,69.36,70.72,2535200,61.33
2010-08-23,73.68,73.72,70.,72.27,2097600,62.13
2010-08-16,72.42,73.91,71.51,73.2,3107000,62.93
2010-08-09,75.18,75.74,72.,72.72,2006800,62.52
2010-08-02,75.84,76.,74.2,75.07,2052300,64.54
2010-07-26,73.85,76.34,73.85,75.15,2581500,64.61
2010-07-19,74.34,74.83,72.35,73.95,2677100,63.57
2010-07-12,74.94,76.23,73.83,73.93,2013200,63.56
2010-07-06,75.03,76.21,73.65,75.24,2010000,64.68
2010-06-28,78.35,78.64,73.78,74.44,2240200,63.99
2010-06-21,81.45,81.7,77.58,78.05,2218500,67.1
2010-06-14,79.25,81.6,79.25,80.69,2023800,69.37
2010-06-07,77.99,78.86,75.74,78.75,2116500,67.7
2010-06-01,79.85,80.9,77.17,77.39,2107400,66.53
2010-05-24,80.76,81.37,78.19,79.92,2943100,68.71
2010-05-17,80.97,82.71,76.06,81.16,3520600,69.22
2010-05-10,83.98,84.89,80.1,80.79,2422600,68.91
2010-05-03,85.29,86.98,78.74,81.27,2747500,69.31
2010-04-26,87.03,87.06,83.89,84.89,1858200,72.4
2010-04-19,82.95,86.92,82.87,86.92,2189900,74.13
2010-04-12,82.72,83.58,81.49,82.99,1662700,70.78
2010-04-05,84.,84.49,81.88,82.79,1479200,70.61
2010-03-29,84.54,85.23,82.89,83.88,1751800,71.54
2010-03-22,85.39,86.35,83.46,84.24,2327800,71.85
2010-03-15,83.14,87.18,83.06,86.9,3252100,74.12
2010-03-08,81.19,83.35,80.32,83.09,2484900,70.87
2010-03-01,77.75,81.33,77.69,81.27,2433500,69.31
2010-02-22,77.19,78.05,75.62,77.76,2598400,66.32
2010-02-16,75.92,77.46,75.48,77.21,2519900,65.32
2010-02-08,75.68,76.42,74.47,75.58,3343100,63.94
2010-02-01,75.34,77.12,74.04,75.72,3689300,64.06
2010-01-25,76.25,78.47,74.37,74.52,3048200,63.04
2010-01-19,76.8,78.7,75.5,75.58,2817500,63.94
2010-01-11,75.76,77.19,75.19,76.76,2066800,64.94
2010-01-04,75.87,77.79,73.61,75.61,4128100,63.96
2009-12-28,75.12,77.22,74.77,75.35,1765900,63.74
2009-12-21,76.39,77.41,74.95,75.11,1886500,63.54
2009-12-14,77.05,78.47,75.77,76.34,3196600,64.58
2009-12-07,78.43,79.04,74.43,76.78,3015100,64.95
2009-11-30,76.98,79.65,76.13,78.21,2698700,66.16
2009-11-23,76.62,78.67,76.12,77.1,2319300,65.22
2009-11-16,76.36,77.6,73.81,76.1,2614500,63.86
2009-11-09,74.1,76.19,73.68,76.07,3026100,63.84
2009-11-02,69.04,73.93,67.9,73.77,3551800,61.91
2009-10-26,72.53,72.53,67.39,68.79,4869300,57.73
2009-10-19,75.64,77.38,69.4,72.19,7971700,60.58
2009-10-12,75.3,75.97,73.72,75.44,3050700,63.31
2009-10-05,75.5,76.34,72.89,75.82,4933800,63.63
2009-09-28,78.27,79.32,75.09,75.37,3233700,63.25
2009-09-21,79.5,80.14,76.93,77.89,3344800,65.36
2009-09-14,74.91,80.33,74.46,80.08,4529600,67.2
2009-09-08,75.19,75.78,72.2,75.64,5947000,63.48
