Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,50.,51.16,49.88,50.77,1931900,50.77
2014-02-18,49.3,50.96,49.03,49.95,1726900,49.95
2014-02-10,49.16,49.98,47.93,49.18,2044400,49.18
2014-02-03,47.85,49.36,45.71,49.28,2953400,49.28
2014-01-27,47.87,48.55,46.51,48.03,2636900,48.03
2014-01-21,51.87,52.04,47.87,47.87,1828200,47.87
2014-01-13,51.84,52.55,50.91,51.59,1711300,51.59
2014-01-06,51.01,52.4,50.69,52.13,1910000,52.13
2013-12-30,51.73,51.79,50.28,50.8,1663800,50.64
2013-12-23,51.75,52.24,51.45,51.65,1469400,51.49
2013-12-16,51.14,51.65,49.47,51.36,2433900,51.2
2013-12-09,51.48,51.94,50.2,50.94,1847000,50.78
2013-12-02,51.49,52.27,50.36,51.43,2005300,51.27
2013-11-25,50.6,51.61,50.27,51.33,1736800,51.17
2013-11-18,50.12,50.78,49.41,50.48,2065300,50.32
2013-11-11,48.83,50.02,48.18,50.,2262900,49.84
2013-11-04,45.89,49.42,45.62,48.76,2471200,48.61
2013-10-28,44.58,46.1,44.16,45.6,1882500,45.46
2013-10-21,45.54,45.7,43.4,44.66,1656900,44.52
2013-10-14,43.5,45.48,43.19,45.46,2063900,45.32
2013-10-07,42.63,43.84,40.84,43.8,1812400,43.66
2013-09-30,41.55,43.21,41.13,43.1,1656900,42.84
2013-09-23,42.25,42.81,41.65,42.15,1755000,41.9
2013-09-16,44.98,45.46,41.4,42.25,3866100,42.
2013-09-09,43.73,45.17,43.56,44.43,1713900,44.17
2013-09-03,42.72,44.32,42.25,43.73,1956600,43.47
2013-08-26,44.19,44.47,41.78,42.04,2571100,41.79
2013-08-19,43.37,44.84,42.23,44.19,2134300,43.93
2013-08-12,42.82,43.81,42.27,43.55,2075300,43.29
2013-08-05,44.19,44.23,42.56,43.31,1920900,43.05
2013-07-29,41.5,44.57,41.04,44.24,2686700,43.98
2013-07-22,41.05,41.86,40.83,41.55,1700200,41.3
2013-07-15,39.8,41.52,39.45,40.89,2832700,40.65
2013-07-08,39.08,40.66,38.26,39.56,3618800,39.33
2013-07-01,36.73,39.,36.72,38.98,2681600,38.63
2013-06-24,34.81,36.75,34.02,36.47,2373900,36.14
2013-06-17,34.92,36.5,34.74,35.42,3318300,35.1
2013-06-10,36.06,36.71,34.3,34.53,2721900,34.22
2013-06-03,35.78,35.96,33.57,35.89,3549600,35.57
2013-05-28,35.19,36.63,34.81,35.66,3140500,35.34
2013-05-20,35.2,36.11,33.92,34.48,2340600,34.17
2013-05-13,34.69,35.83,34.65,35.25,3451700,34.93
2013-05-06,33.12,34.92,33.,34.86,3074000,34.55
2013-04-29,33.37,34.04,31.01,32.96,4506300,32.66
2013-04-22,31.3,34.33,30.8,33.27,3274300,32.97
2013-04-15,32.69,32.72,30.69,31.22,3357300,30.94
2013-04-08,30.96,33.46,30.67,32.88,2642900,32.58
2013-04-01,32.6,32.9,30.04,30.87,2967100,30.59
2013-03-25,32.92,33.02,31.93,32.61,2562800,32.19
2013-03-18,32.66,33.19,32.01,32.67,2756000,32.25
2013-03-11,32.9,33.66,32.62,33.44,3458100,33.01
2013-03-04,29.6,33.11,29.5,33.,4052900,32.58
2013-02-25,29.92,29.97,27.82,29.8,4026000,29.42
2013-02-19,30.49,30.82,29.,29.73,3012600,29.35
2013-02-11,29.39,30.58,29.21,30.33,3252100,29.94
2013-02-04,29.15,29.85,28.38,29.43,2816500,29.05
2013-01-28,29.3,29.62,28.72,29.5,2717000,29.12
2013-01-22,27.66,29.14,27.58,29.11,2255600,28.74
2013-01-14,27.74,28.2,27.08,27.73,2254000,27.38
2013-01-07,27.96,27.98,27.2,27.84,2217900,27.48
2012-12-31,25.13,28.5,25.1,28.11,3979400,27.63
2012-12-24,25.75,26.,25.02,25.23,1780200,24.8
2012-12-17,25.43,26.53,25.36,25.9,3063600,25.46
2012-12-10,25.63,26.14,25.16,25.29,2294800,24.86
2012-12-03,24.84,25.83,24.77,25.78,2693800,25.34
2012-11-26,24.34,24.88,23.87,24.7,2206900,24.28
2012-11-19,24.23,24.61,23.88,24.61,2439800,24.19
2012-11-12,23.63,23.99,22.51,23.8,4070400,23.39
2012-11-05,25.07,26.1,23.06,23.57,5003200,23.17
2012-10-31,24.66,26.08,24.34,25.2,3776400,24.77
2012-10-22,25.27,25.54,24.39,24.68,2248200,24.26
2012-10-15,23.88,25.95,23.69,25.33,4051300,24.9
2012-10-08,24.16,24.66,23.55,23.76,3289300,23.36
2012-10-01,24.33,25.32,23.52,24.39,4569700,23.97
2012-09-24,24.63,24.98,23.65,24.19,3201700,23.7
2012-09-17,25.7,25.84,24.45,24.8,3737300,24.3
2012-09-10,24.3,26.1,24.2,25.8,3435600,25.28
2012-09-04,23.24,24.75,23.07,24.38,3340300,23.89
2012-08-27,23.97,23.98,22.97,23.22,2511200,22.75
2012-08-20,23.75,24.57,23.36,23.78,2536300,23.3
2012-08-13,22.91,24.19,22.66,23.89,3645300,23.41
2012-08-06,22.05,23.46,21.99,22.94,3117500,22.48
2012-07-30,20.23,22.42,19.68,22.03,4857000,21.58
2012-07-23,19.5,20.5,19.17,20.32,2975400,19.91
2012-07-16,20.72,21.06,20.06,20.08,3202000,19.67
2012-07-09,20.61,20.98,20.13,20.88,2665900,20.46
2012-07-02,21.73,21.89,20.45,20.77,2676700,20.35
2012-06-25,20.44,21.99,19.9,21.87,3046000,21.35
2012-06-18,20.96,21.84,20.41,20.81,3330900,20.31
2012-06-11,21.35,21.48,20.3,21.23,4722800,20.72
2012-06-04,19.52,21.51,19.04,20.98,3586900,20.48
2012-05-29,21.54,21.85,19.37,19.4,4406000,18.94
2012-05-21,20.68,21.88,20.58,21.27,3577800,20.76
2012-05-14,23.13,23.25,20.36,20.56,5051000,20.07
2012-05-07,22.98,24.09,22.67,23.58,4431900,23.02
2012-04-30,24.57,25.38,22.82,23.11,3332000,22.56
2012-04-23,23.18,24.76,22.97,24.67,3592300,24.08
2012-04-16,24.52,24.79,23.57,23.66,2955600,23.09
2012-04-09,24.9,25.,23.54,24.15,3713800,23.57
2012-04-02,26.36,26.83,25.39,25.55,3742000,24.94
2012-03-26,26.83,27.22,25.36,26.36,4756900,25.65
2012-03-19,26.73,27.33,25.86,26.45,4352300,25.74
2012-03-12,24.7,27.54,24.21,26.77,6045900,26.05
2012-03-05,24.79,25.01,23.7,24.7,3386900,24.04
2012-02-27,24.77,25.84,24.65,24.97,4201200,24.3
2012-02-21,25.34,26.05,24.87,25.08,4099100,24.41
2012-02-13,24.5,25.75,23.64,25.56,5338300,24.87
2012-02-06,23.6,24.63,23.12,24.17,5623900,23.52
2012-01-30,20.69,24.05,20.42,23.84,5557200,23.2
2012-01-23,22.55,23.08,20.19,20.98,7644200,20.42
2012-01-17,21.5,22.7,21.04,22.5,5072600,21.9
2012-01-09,20.22,21.98,20.06,21.07,4146800,20.5
2012-01-03,20.,20.45,19.38,20.06,3281500,19.52
2011-12-27,19.67,19.85,18.94,19.42,1752800,18.82
2011-12-19,18.61,19.72,17.78,19.72,3926100,19.11
2011-12-12,19.68,19.76,18.2,18.51,5501400,17.94
2011-12-05,20.64,21.04,19.57,20.04,6009300,19.42
2011-11-28,18.48,21.,18.24,20.06,5924400,19.44
2011-11-21,19.12,19.12,17.56,17.58,5925400,17.04
2011-11-14,19.95,20.48,19.15,19.45,6744800,18.85
2011-11-07,19.23,20.94,18.64,20.22,6390900,19.6
2011-10-31,20.88,20.88,17.54,19.28,8845200,18.69
2011-10-24,19.09,21.88,18.41,21.4,8378700,20.74
2011-10-17,17.96,19.25,17.,19.03,7748200,18.45
2011-10-10,15.5,18.11,15.5,17.99,8506800,17.44
2011-10-03,15.45,16.29,13.75,15.1,9529500,14.64
2011-09-26,15.56,17.15,15.22,15.63,7914200,15.1
2011-09-19,18.73,19.16,15.,15.3,8106200,14.78
2011-09-12,17.6,20.03,17.22,19.2,7781100,18.55
2011-09-06,18.11,19.45,17.88,18.03,5675300,17.42
2011-08-29,19.7,21.38,18.99,19.03,5732400,18.39
2011-08-22,20.09,20.58,18.41,19.29,7740300,18.64
2011-08-15,22.39,22.83,19.42,19.46,5907700,18.8
2011-08-08,22.69,23.24,20.4,22.24,10620200,21.49
2011-08-01,26.93,27.03,22.7,23.53,7381400,22.73
2011-07-25,27.37,27.62,26.07,26.5,3792600,25.6
2011-07-18,27.,28.13,26.36,27.79,2794000,26.85
2011-07-11,27.99,28.12,26.92,27.16,3312000,26.24
2011-07-05,29.04,29.67,28.2,28.53,2842200,27.56
2011-06-27,26.8,29.26,26.7,29.15,2894400,28.11
2011-06-20,26.81,27.83,26.26,26.76,3688400,25.81
2011-06-13,26.52,27.8,26.01,26.95,5227600,25.99
2011-06-06,27.41,27.63,25.97,26.3,3307300,25.36
2011-05-31,29.19,29.35,27.4,27.45,4612200,26.47
2011-05-23,28.73,28.96,28.29,28.87,2272500,27.84
2011-05-16,29.6,30.18,29.08,29.21,2550800,28.17
2011-05-09,29.84,30.55,29.55,29.79,2847900,28.73
2011-05-02,31.52,31.84,29.53,29.87,3605200,28.81
2011-04-25,29.68,32.39,29.46,31.23,3380000,30.12
2011-04-18,28.33,29.84,28.,29.83,2429000,28.77
2011-04-11,29.79,30.16,28.15,28.87,2415200,27.84
2011-04-04,30.56,30.77,29.66,29.79,2440400,28.73
2011-03-28,30.44,30.78,29.88,30.51,2277700,29.38
2011-03-21,30.14,30.48,29.17,30.32,2112300,29.19
2011-03-14,30.16,30.55,28.,29.56,5172700,28.46
2011-03-07,30.98,31.49,29.46,30.28,2769400,29.16
2011-02-28,31.74,32.09,29.68,30.92,3881800,29.77
2011-02-22,31.45,31.81,29.98,31.58,3835300,30.41
2011-02-14,31.7,32.68,30.89,32.06,2772300,30.87
2011-02-07,31.,31.78,30.27,31.75,3056300,30.57
2011-01-31,28.94,31.,28.78,30.9,3673400,29.75
2011-01-24,28.96,30.15,28.7,29.07,3407700,27.99
2011-01-18,29.16,29.41,28.28,29.01,3006000,27.93
2011-01-10,29.01,29.91,28.68,29.27,3844400,28.18
2011-01-03,28.17,29.71,28.,29.25,4164100,28.16
2010-12-27,28.18,28.58,27.33,27.81,1878000,26.73
2010-12-20,28.45,29.12,28.1,28.3,2754700,27.2
2010-12-13,28.41,28.71,27.68,28.43,3849900,27.33
2010-12-06,25.02,28.19,24.79,28.14,5950300,27.05
2010-11-29,23.42,25.34,23.17,25.21,3646300,24.23
2010-11-22,24.35,24.35,23.34,23.64,2698200,22.72
2010-11-15,24.13,24.91,23.45,24.52,4526900,23.57
2010-11-08,25.23,25.31,23.86,23.89,4586900,22.96
2010-11-01,24.71,25.57,23.41,25.43,5318300,24.44
2010-10-25,25.77,26.31,24.44,24.48,4698900,23.53
2010-10-18,25.16,26.45,25.08,26.01,4045000,25.
2010-10-11,25.08,25.85,24.79,25.09,3393000,24.12
2010-10-04,23.92,25.07,23.73,24.94,3792000,23.97
2010-09-27,24.03,24.5,23.23,23.97,3203000,23.03
2010-09-20,24.7,25.59,23.19,24.1,5265900,23.16
2010-09-13,25.9,26.14,24.53,24.56,6336800,23.6
2010-09-07,25.2,25.71,24.41,25.5,4539800,24.5
2010-08-30,23.75,26.1,22.44,26.09,5930000,25.07
2010-08-23,21.29,23.8,20.65,23.73,7911600,22.8
2010-08-16,22.51,22.94,21.01,21.33,4338300,20.49
2010-08-09,24.89,25.25,22.5,22.69,4646500,21.8
2010-08-02,26.63,26.83,24.06,24.69,4568600,23.72
2010-07-26,24.55,26.27,24.01,26.04,6192600,25.02
2010-07-19,22.85,24.68,21.95,24.61,6028200,23.65
2010-07-12,25.38,25.88,22.57,22.62,5760500,21.73
2010-07-06,24.03,25.63,23.23,25.58,3426600,24.58
2010-06-28,27.12,27.19,22.99,23.38,5345900,22.46
2010-06-21,28.25,28.68,26.17,27.07,5502400,26.
2010-06-14,26.89,28.21,26.88,27.81,7674700,26.71
2010-06-07,25.66,26.42,23.92,26.36,4039600,25.32
2010-06-01,26.03,27.65,25.19,25.31,4961900,24.31
2010-05-24,25.56,27.52,23.86,26.46,5471700,25.41
2010-05-17,27.97,29.17,24.78,25.51,7749400,24.5
2010-05-10,28.34,30.14,27.72,28.02,4028100,26.91
2010-05-03,30.62,31.33,25.63,26.64,6005300,25.59
2010-04-26,32.78,33.55,29.72,30.59,4473400,29.38
2010-04-19,30.9,32.89,30.88,32.79,3798200,31.49
2010-04-12,31.79,32.76,30.62,31.31,3582500,30.07
2010-04-05,31.72,32.54,30.68,31.66,3647600,30.41
2010-03-29,30.07,31.73,29.82,31.51,3329200,30.25
2010-03-22,28.34,30.32,27.83,29.75,3730000,28.56
2010-03-15,27.12,30.74,27.12,28.76,5502500,27.61
2010-03-08,27.06,27.75,26.56,27.36,2586200,26.27
2010-03-01,25.27,27.1,25.19,26.98,3556900,25.9
2010-02-22,25.6,25.89,24.42,25.18,4014900,24.18
2010-02-16,24.57,25.76,24.11,25.48,4134700,24.46
2010-02-08,23.82,25.2,23.37,24.7,5330900,23.72
2010-02-01,25.,26.3,22.52,23.72,5549500,22.77
2010-01-25,25.1,25.81,24.34,24.58,4048000,23.6
2010-01-19,26.85,27.71,24.32,24.47,4920300,23.49
2010-01-11,27.32,28.44,26.32,26.89,4439700,25.82
2010-01-04,25.32,27.59,24.93,27.03,4472700,25.95
2009-12-28,25.22,25.78,24.66,24.88,2223500,23.88
2009-12-21,23.68,25.62,23.37,25.23,3201600,24.22
2009-12-14,22.45,24.21,22.,23.29,4978600,22.35
2009-12-07,22.92,23.3,21.99,22.44,3688400,21.54
2009-11-30,23.05,23.97,22.3,23.08,5384700,22.15
2009-11-23,24.28,24.59,22.67,22.81,2655000,21.89
2009-11-16,23.96,25.19,23.15,23.53,4024800,22.58
2009-11-09,24.3,25.34,23.35,23.67,4406100,22.72
2009-11-02,24.11,25.18,22.41,23.75,6136700,22.79
2009-10-26,25.48,26.,22.23,23.83,8623700,22.87
2009-10-19,26.67,27.1,24.99,25.41,4298500,24.39
2009-10-12,28.1,28.1,25.73,26.47,4845700,25.41
2009-10-05,24.56,28.09,24.36,27.84,5394300,26.72
2009-09-28,24.25,26.92,22.99,24.05,5879700,23.07
2009-09-21,25.93,26.33,23.85,24.11,4856300,23.13
2009-09-14,24.67,27.82,24.13,26.31,5248300,25.24
2009-09-08,24.27,25.47,23.46,24.86,4521100,23.85
2009-08-31,24.68,25.39,22.21,23.8,4928800,22.83
2009-08-24,25.24,26.37,24.13,25.29,5872700,24.26
2009-08-17,23.36,25.24,22.03,25.07,7217700,24.05
2009-08-10,22.58,24.45,21.36,24.25,6610500,23.27
2009-08-03,21.6,23.36,21.47,22.64,7201400,21.72
2009-07-27,18.59,21.31,17.81,21.19,8791300,20.33
2009-07-20,16.62,18.71,16.59,18.61,6251200,17.85
2009-07-13,14.94,16.52,14.55,16.16,6606200,15.5
2009-07-06,16.12,16.82,14.34,14.6,8814100,14.01
2009-06-29,16.28,17.45,16.11,16.11,6925700,15.45
2009-06-22,16.42,17.16,15.3,16.18,9704300,15.51
2009-06-15,16.43,17.1,14.72,16.86,19028800,16.17
2009-06-08,19.3,19.58,17.2,17.75,6747900,17.02
2009-06-01,19.18,19.99,17.95,19.57,8256400,18.76
2009-05-26,16.84,19.,16.18,18.95,11000300,18.17
2009-05-18,16.59,18.71,16.34,17.03,10864500,16.33
2009-05-11,18.13,18.25,13.83,16.12,16257800,15.46
2009-05-04,11.58,18.56,10.87,18.24,22313000,17.49
2009-04-27,9.73,12.02,9.53,11.39,9126700,10.92
2009-04-20,9.75,10.91,8.66,10.16,13139400,9.74
2009-04-13,10.12,10.4,8.75,10.07,11176800,9.66
2009-04-06,6.35,10.43,6.16,10.4,24558500,9.97
2009-03-30,8.5,8.51,5.52,6.9,24625600,6.61
2009-03-23,8.15,10.92,8.,10.37,10367700,9.93
2009-03-16,8.84,10.05,6.93,7.31,15312000,7.
2009-03-09,5.2,9.91,4.9,9.03,11675300,8.64
2009-03-02,8.28,8.7,5.,5.4,11166900,5.17
2009-02-23,11.7,13.3,8.41,8.59,10915300,8.22
2009-02-17,13.06,13.77,10.51,11.44,8145000,10.95
2009-02-09,18.1,18.89,13.5,14.18,6409300,13.57
2009-02-02,14.71,17.86,14.55,16.52,4725000,15.81
2009-01-26,16.57,20.88,14.9,15.13,5487800,14.48
2009-01-20,17.5,18.,13.18,16.26,6795300,15.57
2009-01-12,20.03,20.21,16.16,18.21,6324000,17.43
2009-01-05,19.59,25.59,19.59,20.1,5653900,19.24
2008-12-29,17.,20.18,15.79,19.95,2701200,18.94
2008-12-22,19.05,19.05,15.86,16.81,2543000,15.96
2008-12-15,17.32,19.59,15.29,19.,5498300,18.04
2008-12-08,18.,19.94,15.59,17.34,6841100,16.46
2008-12-01,12.87,17.57,10.41,17.36,8274100,16.48
2008-11-24,7.11,13.84,6.18,13.73,9902500,13.03
2008-11-17,14.05,15.35,4.76,6.36,12545400,6.04
2008-11-10,20.05,20.9,12.62,14.35,5472100,13.62
2008-11-03,17.22,23.09,17.22,19.77,4803900,18.77
2008-10-27,21.48,22.15,16.34,17.24,4801200,16.37
2008-10-20,23.38,26.43,17.74,20.99,4041200,19.93
2008-10-13,25.93,31.25,21.14,23.09,6454800,21.92
2008-10-06,39.23,40.,13.38,23.95,8300400,22.74
2008-09-29,46.,47.7,38.72,39.23,3431000,36.74
2008-09-22,53.63,54.9,46.02,49.,1870800,45.89
2008-09-15,46.69,59.99,40.68,54.9,6004600,51.42
2008-09-08,53.71,54.74,48.66,51.9,2870700,48.61
2008-09-02,53.1,53.1,48.81,50.7,1902200,47.48
2008-08-25,49.68,51.59,47.74,50.76,1679000,47.54
2008-08-18,49.79,50.65,47.,49.6,1750300,46.45
2008-08-11,49.69,51.25,47.48,50.37,1774000,47.17
2008-08-04,47.52,50.77,47.07,50.27,2262600,47.08
2008-07-28,44.91,48.78,43.62,47.43,2749700,44.42
2008-07-21,44.25,48.11,43.26,45.02,2642100,42.16
2008-07-14,45.73,46.32,40.6,44.34,4086600,41.53
2008-07-07,45.94,47.26,43.71,45.33,3079700,42.45
2008-06-30,46.33,47.29,44.36,45.82,2130500,42.52
2008-06-23,48.51,49.51,45.79,46.32,2218500,42.98
2008-06-16,50.45,51.94,48.07,48.39,2077600,44.9
2008-06-09,52.93,53.36,49.93,51.29,1934000,47.59
2008-06-02,54.85,55.39,52.38,52.62,1807700,48.83
2008-05-27,53.9,56.,53.9,55.16,1992100,51.19
2008-05-19,55.2,56.11,53.45,53.96,1708600,50.07
2008-05-12,53.08,55.22,52.81,55.11,1517200,51.14
2008-05-05,55.73,56.13,52.23,52.88,1609900,49.07
2008-04-28,52.5,56.8,51.81,56.33,2334200,52.27
2008-04-21,52.45,52.7,49.62,52.29,1756900,48.52
2008-04-14,50.9,53.98,49.79,52.92,1205100,49.11
2008-04-07,55.15,55.4,51.01,51.01,1459100,47.33
