Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,48.23,48.84,48.07,48.22,2770800,48.22
2014-02-18,47.98,48.53,46.83,48.05,3710200,48.05
2014-02-10,49.67,50.22,46.48,48.,5202800,48.
2014-02-03,49.24,49.7,47.46,49.52,3458600,49.52
2014-01-27,49.47,49.8,48.3,49.22,3052900,49.22
2014-01-21,49.71,50.81,49.37,49.53,3764100,49.53
2014-01-13,49.47,49.76,49.1,49.22,3234800,49.22
2014-01-06,49.78,50.61,48.94,49.26,3237400,49.26
2013-12-30,50.51,50.89,49.76,49.8,1990300,49.8
2013-12-23,50.27,50.86,49.96,50.53,1772500,50.53
2013-12-16,50.2,50.24,48.88,49.9,5449100,49.9
2013-12-09,50.83,51.16,50.06,50.14,2319600,50.14
2013-12-02,51.4,51.55,50.45,50.8,2872200,50.8
2013-11-25,52.81,52.89,50.76,51.33,2682500,51.33
2013-11-18,52.86,53.27,51.55,52.56,4697100,52.01
2013-11-11,51.49,52.87,51.01,52.65,1991400,52.09
2013-11-04,51.51,51.99,50.39,51.46,2948000,50.92
2013-10-28,49.69,51.91,49.63,51.39,3079200,50.85
2013-10-21,47.59,49.77,47.46,49.59,2744000,49.07
2013-10-14,45.96,47.9,45.82,47.73,3192900,47.23
2013-10-07,44.8,46.17,44.12,46.11,2291100,45.62
2013-09-30,44.81,45.63,44.21,44.93,2490900,44.46
2013-09-23,45.09,45.28,44.33,45.23,2998100,44.75
2013-09-16,44.4,45.6,44.39,45.11,3027000,44.63
2013-09-09,44.15,44.56,43.38,44.02,2312200,43.56
2013-09-03,42.52,44.16,42.01,44.03,2633700,43.57
2013-08-26,43.48,43.78,41.9,42.3,2466800,41.85
2013-08-19,42.24,43.57,41.56,43.39,5482500,42.39
2013-08-12,43.46,43.63,42.02,42.16,2156500,41.18
2013-08-05,43.22,43.75,42.66,43.45,2893300,42.44
2013-07-29,43.97,44.,42.31,43.3,4186600,42.3
2013-07-22,46.53,46.6,43.34,43.94,4321500,42.92
2013-07-15,46.12,46.68,45.89,46.5,2063700,45.42
2013-07-08,44.67,46.81,44.4,46.17,2842800,45.1
2013-07-01,43.67,44.7,43.64,44.27,2551300,43.25
2013-06-24,43.42,45.5,42.38,43.68,5343300,42.67
2013-06-17,44.,45.07,42.62,43.74,3164900,42.73
2013-06-10,43.83,44.41,42.85,43.89,2852700,42.87
2013-06-03,42.41,43.9,41.72,43.61,3895800,42.6
2013-05-28,44.1,44.34,42.1,42.44,4456400,41.46
2013-05-20,44.37,44.44,43.1,43.88,4430700,42.32
2013-05-13,43.09,44.64,43.,44.27,2663600,42.7
2013-05-06,42.72,43.35,42.37,43.08,2127000,41.55
2013-04-29,42.86,43.24,42.54,42.73,2639700,41.22
2013-04-22,41.19,43.39,40.96,42.83,3009300,41.31
2013-04-15,41.17,41.58,40.62,41.23,1662600,39.77
2013-04-08,40.59,41.97,40.59,41.56,2904500,40.09
2013-04-01,40.5,41.35,40.02,40.57,2229800,39.13
2013-03-25,40.1,40.62,39.89,40.35,2368600,38.92
2013-03-18,39.2,40.43,39.,40.09,2491400,38.67
2013-03-11,38.7,39.9,38.35,39.39,4060800,37.99
2013-03-04,38.23,38.65,37.95,38.62,5653100,37.25
2013-02-25,41.35,41.69,38.17,38.2,7333000,36.85
2013-02-19,41.45,42.88,40.84,41.15,4225400,39.15
2013-02-11,40.17,42.47,38.99,41.46,2780100,39.44
2013-02-04,39.36,40.45,39.13,40.23,1921000,38.27
2013-01-28,39.84,39.98,39.03,39.52,2118900,37.6
2013-01-22,39.61,40.,39.11,39.66,2163800,37.73
2013-01-14,117.09,117.8,38.77,39.51,2998800,37.59
2013-01-07,117.74,118.04,113.53,117.02,6350100,37.11
2012-12-31,114.86,120.96,114.58,117.87,3036300,37.38
2012-12-24,116.6,117.19,113.91,115.35,2301900,36.58
2012-12-17,119.73,120.13,114.76,116.89,4958400,37.07
2012-12-10,121.67,121.94,118.71,119.42,2789100,37.87
2012-12-03,121.67,122.43,119.44,121.48,1673000,38.52
2012-11-26,122.99,123.,119.,121.16,2486900,38.42
2012-11-19,116.29,123.32,116.29,123.27,2131800,38.59
2012-11-12,112.84,115.67,112.22,115.28,2502400,36.09
2012-11-05,115.09,116.52,112.17,112.59,2611600,35.25
2012-10-31,115.39,118.21,115.22,115.35,4147900,36.11
2012-10-22,117.3,118.18,110.1,114.57,4144600,35.87
2012-10-15,113.56,118.9,113.4,117.28,3221300,36.72
2012-10-08,118.29,118.55,113.26,113.74,2045000,35.61
2012-10-01,117.27,118.87,114.96,118.34,3632000,37.05
2012-09-24,121.58,122.19,116.31,116.45,3553300,36.46
2012-09-17,114.97,122.53,114.97,122.44,5185000,38.33
2012-09-10,124.08,124.08,114.93,115.22,5131800,36.07
2012-09-04,125.91,127.15,123.35,123.64,2087300,38.71
2012-08-27,128.93,130.28,125.51,125.51,2219400,39.29
2012-08-20,130.94,131.15,127.25,128.38,2696800,39.71
2012-08-13,123.84,131.71,123.25,131.6,4434400,40.71
2012-08-06,126.51,127.21,121.93,123.8,2875500,38.29
2012-07-30,127.07,129.16,125.02,126.51,3870800,39.13
2012-07-23,136.51,137.12,125.14,127.45,4645900,39.42
2012-07-16,137.83,141.07,137.22,137.67,1820200,42.58
2012-07-09,135.91,138.88,134.88,138.66,1857100,42.89
2012-07-02,132.5,137.3,132.15,136.05,1981200,42.08
2012-06-25,129.09,133.31,126.78,131.95,2403300,40.82
2012-06-18,127.01,129.72,126.53,129.4,4179600,40.03
2012-06-11,123.76,127.31,122.3,127.17,2610300,39.34
2012-06-04,120.29,123.57,118.72,123.16,2670400,38.1
2012-05-29,125.4,126.18,119.79,119.98,6070500,37.11
2012-05-21,125.22,128.74,124.54,124.84,6931600,38.14
2012-05-14,128.33,129.33,124.83,125.1,2607700,38.22
2012-05-07,132.68,133.98,126.94,128.78,3954900,39.34
2012-04-30,135.73,136.22,132.64,132.65,3077800,40.52
2012-04-23,137.25,137.57,125.12,135.69,4101300,41.45
2012-04-16,137.69,138.12,133.17,137.95,2951200,42.14
2012-04-09,135.47,138.88,134.34,137.88,2592300,42.12
2012-04-02,129.76,136.9,129.66,136.46,3408300,41.69
2012-03-26,131.5,132.69,129.11,129.48,3027300,39.55
2012-03-19,130.6,132.37,129.06,131.2,3177900,40.08
2012-03-12,129.33,131.6,129.02,130.54,3084300,39.88
2012-03-05,129.06,130.62,126.76,128.91,3482200,39.38
2012-02-27,129.67,132.61,128.24,128.83,3919700,39.35
2012-02-21,128.24,130.13,126.72,130.01,8673400,39.24
2012-02-13,123.35,127.16,121.13,127.05,4656700,38.35
2012-02-06,111.26,127.68,111.07,122.58,5310100,37.
2012-01-30,107.06,111.69,106.83,111.57,4736600,33.68
2012-01-23,109.81,115.2,107.4,107.48,4991200,32.44
2012-01-17,113.86,114.83,109.45,109.69,3151800,33.11
2012-01-09,114.04,115.67,111.6,113.1,2644700,34.14
2012-01-03,115.28,115.51,111.77,114.06,3175900,34.43
2011-12-27,113.27,115.09,113.27,114.,2016300,34.41
2011-12-19,108.45,113.67,108.45,113.67,2583500,34.31
2011-12-12,108.79,110.97,107.93,108.03,4363000,32.61
2011-12-05,111.12,112.19,108.89,109.3,2888700,32.99
2011-11-28,110.49,112.96,107.77,110.02,3558100,33.21
2011-11-21,108.67,109.51,106.64,108.63,5189200,32.4
2011-11-14,109.04,111.57,107.49,109.49,6679000,32.66
2011-11-07,110.9,111.01,106.46,109.49,3272800,32.66
2011-10-31,114.57,114.57,107.23,109.39,3973900,32.63
2011-10-24,112.,116.65,109.19,114.61,5545300,34.18
2011-10-17,117.25,118.15,111.38,115.64,5459100,34.49
2011-10-10,117.45,120.,115.37,117.53,5400800,35.05
2011-10-03,110.66,116.7,109.,115.95,8834200,34.58
2011-09-26,107.08,112.71,107.08,110.7,6739800,33.02
2011-09-19,110.58,112.78,105.29,106.,4429300,31.62
2011-09-12,106.62,112.96,105.91,111.8,5322100,33.35
2011-09-06,107.98,110.75,106.98,107.54,5097900,32.08
2011-08-29,111.33,113.32,109.89,110.07,4168800,32.83
2011-08-22,110.01,112.12,106.7,110.11,5085000,32.46
2011-08-15,102.56,111.43,100.76,108.62,5176200,32.02
2011-08-08,102.42,103.94,97.38,101.62,9125100,29.96
2011-08-01,106.86,107.59,100.68,105.25,5094300,31.03
2011-07-25,111.98,111.98,104.43,106.22,4934800,31.32
2011-07-18,109.98,113.67,108.52,112.29,3466200,33.11
2011-07-11,110.12,110.9,108.39,109.96,3377100,32.42
2011-07-05,110.38,111.83,108.89,110.94,4611800,32.71
2011-06-27,110.1,111.75,108.24,110.38,5826600,32.54
2011-06-20,111.6,112.77,107.75,110.49,9015100,32.58
2011-06-13,99.79,113.88,99.73,111.34,8942700,32.83
2011-06-06,103.1,103.57,96.5,99.85,9969300,29.44
2011-05-31,115.76,116.55,107.29,107.73,5456200,31.76
2011-05-23,115.59,116.9,112.61,114.96,4691300,33.89
2011-05-16,111.56,116.86,110.86,116.37,3812900,33.92
2011-05-09,108.32,111.81,107.86,111.51,3541200,32.5
2011-05-02,106.98,109.04,104.87,108.62,6656500,31.66
2011-04-25,99.26,106.75,98.98,106.5,4362600,31.04
2011-04-18,98.47,100.22,97.1,99.21,2981900,28.92
2011-04-11,96.18,100.75,96.18,98.93,4383300,28.84
2011-04-04,95.01,96.74,94.44,96.25,3576600,28.06
2011-03-28,94.74,97.04,94.3,94.78,5403800,27.63
2011-03-21,87.32,94.98,87.14,94.74,14706200,27.62
2011-03-14,78.01,88.17,77.26,87.11,15887800,25.39
2011-03-07,77.92,79.81,77.36,79.35,5043400,23.13
2011-02-28,77.29,81.18,76.01,77.74,9520600,22.66
2011-02-22,79.22,80.56,77.07,77.19,6035100,22.5
2011-02-14,78.19,79.79,77.2,79.53,4368600,22.8
2011-02-07,76.79,79.,75.77,78.24,8054300,22.43
2011-01-31,74.95,75.96,74.3,75.,8962600,21.5
2011-01-24,74.6,76.16,72.4,74.65,7494500,21.4
2011-01-18,77.24,77.78,74.03,74.2,6849700,21.27
2011-01-10,77.17,78.42,76.49,77.07,7310100,22.09
2011-01-03,82.57,82.63,77.04,77.29,5700900,22.16
2010-12-27,82.4,82.67,81.64,82.06,1630500,23.52
2010-12-20,82.3,82.62,81.,82.58,2306400,23.67
2010-12-13,82.53,82.98,81.48,82.39,3582500,23.62
2010-12-06,81.55,82.72,80.59,82.15,3584400,23.55
2010-11-29,82.03,82.31,79.58,81.75,4777100,23.43
2010-11-22,85.8,86.04,83.52,83.52,5362900,23.62
2010-11-15,88.02,88.8,85.45,86.03,5405400,24.33
2010-11-08,88.62,89.71,86.89,87.8,2806100,24.83
2010-11-01,85.49,89.31,85.1,88.92,2779400,25.15
2010-10-25,86.51,87.47,84.13,85.34,3158800,24.13
2010-10-18,83.1,84.1,82.54,84.05,2262200,23.77
2010-10-11,79.64,83.59,79.29,82.97,3368200,23.46
2010-10-04,80.04,80.46,78.54,79.97,3571200,22.62
2010-09-27,81.34,81.71,79.76,80.03,2934200,22.63
2010-09-20,81.05,83.03,79.63,81.4,3587100,23.02
2010-09-13,82.19,82.24,79.97,80.7,3224100,22.82
2010-09-07,80.53,81.91,80.07,81.76,3647000,23.12
2010-08-30,76.34,80.7,75.34,80.7,6586500,22.82
2010-08-23,75.09,78.85,74.03,77.2,6077800,21.51
2010-08-16,75.02,76.38,74.25,74.74,3240100,20.83
2010-08-09,76.46,76.66,74.39,75.3,4404600,20.98
2010-08-02,76.67,77.,74.46,76.32,3765100,21.27
2010-07-26,76.88,77.72,74.96,76.24,2761300,21.25
