Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,47.21,47.78,47.21,47.22,7786700,47.22
2014-02-18,47.5,47.68,46.51,47.06,6578600,47.06
2014-02-10,46.11,47.39,45.91,47.28,5912900,47.28
2014-02-03,46.26,46.64,44.45,46.07,8063500,46.07
2014-01-27,47.78,48.32,45.62,46.29,8775300,46.29
2014-01-21,47.59,48.3,47.18,47.83,7842900,47.83
2014-01-13,49.4,49.91,47.56,47.61,5607500,47.61
2014-01-06,48.97,49.78,48.,49.68,5203700,49.49
2013-12-30,48.98,49.86,48.83,48.95,4093900,48.77
2013-12-23,47.96,49.45,47.96,48.83,3487500,48.65
2013-12-16,47.47,48.92,46.44,47.97,7185500,47.79
2013-12-09,47.89,48.18,46.82,47.11,5084600,46.93
2013-12-02,47.58,48.48,45.75,47.98,7955900,47.8
2013-11-25,48.05,48.32,47.45,47.48,5319800,47.3
2013-11-18,51.74,51.85,47.16,47.9,12985900,47.72
2013-11-11,48.82,52.08,48.72,51.77,8594300,51.58
2013-11-04,49.49,50.5,48.48,48.72,5695200,48.54
2013-10-28,50.49,50.74,49.15,49.18,7784900,49.
2013-10-21,47.59,50.63,47.4,50.59,7634100,50.4
2013-10-14,48.45,49.12,47.58,47.66,8234700,47.3
2013-10-07,47.54,48.81,46.1,48.8,6610100,48.43
2013-09-30,47.31,48.8,47.2,48.14,6276500,47.78
2013-09-23,47.66,48.43,47.02,47.77,5752200,47.41
2013-09-16,47.3,49.17,46.42,47.84,8429800,47.48
2013-09-09,45.82,47.58,45.8,46.86,5913700,46.51
2013-09-03,46.25,46.49,45.17,45.6,5656500,45.26
2013-08-26,47.01,47.44,45.65,45.82,6127100,45.48
2013-08-19,44.07,47.51,43.52,46.98,12985400,46.63
2013-08-12,45.59,46.25,43.76,43.96,7399000,43.63
2013-08-05,44.81,46.25,44.17,45.68,7362700,45.34
2013-07-29,43.95,45.27,43.38,44.99,6504000,44.65
2013-07-22,44.15,45.3,43.61,43.97,6250800,43.64
2013-07-15,44.,44.55,43.5,44.27,5525400,43.76
2013-07-08,42.88,44.2,42.87,43.83,5637900,43.32
2013-07-01,41.19,42.89,40.95,42.78,6579700,42.29
2013-06-24,39.05,41.38,38.87,40.9,9568200,40.43
2013-06-17,41.38,41.79,39.27,39.55,9392600,39.09
2013-06-10,41.58,41.84,40.52,41.16,6311400,40.69
2013-06-03,42.12,42.46,39.56,41.6,9652000,41.12
2013-05-28,43.12,43.49,42.11,42.11,7083600,41.62
2013-05-20,42.26,43.84,42.06,42.64,10680900,42.15
2013-05-13,41.88,43.55,41.88,42.67,6453100,42.18
2013-05-06,39.54,42.4,39.5,42.07,9609400,41.58
2013-04-29,37.78,39.61,37.56,39.59,7201100,39.13
2013-04-22,38.03,38.34,37.39,37.7,6920400,37.27
2013-04-15,38.6,39.18,37.09,38.12,9366400,37.52
2013-04-08,38.36,39.42,38.32,38.92,7347700,38.31
2013-04-01,37.8,38.75,37.33,38.39,9050200,37.79
2013-03-25,38.11,38.76,37.88,37.92,7208200,37.33
2013-03-18,38.46,39.,37.55,37.83,8056900,37.24
2013-03-11,39.13,39.69,38.74,38.81,7218200,38.2
2013-03-04,38.12,39.39,37.91,39.31,7169900,38.69
2013-02-25,38.07,38.52,35.86,38.38,16350100,37.78
2013-02-19,39.26,39.72,37.23,37.67,9703700,37.08
2013-02-11,39.12,39.98,38.76,39.14,7293900,38.53
2013-02-04,38.29,39.2,37.92,39.03,8286300,38.42
2013-01-28,38.71,39.15,37.96,38.56,8642900,37.96
2013-01-22,37.03,39.26,36.8,38.58,12560500,37.97
2013-01-14,35.8,37.15,35.21,36.99,9134400,36.41
2013-01-07,34.99,35.88,34.43,35.83,8148900,35.12
2012-12-31,34.84,36.4,34.61,35.58,8592000,34.87
2012-12-24,34.97,35.54,34.54,34.98,6602100,34.28
2012-12-17,34.47,36.14,34.47,35.04,12541000,34.34
2012-12-10,35.16,35.25,34.2,34.46,8610500,33.77
2012-12-03,35.93,36.47,34.8,35.11,12325200,34.41
2012-11-26,34.89,36.27,34.55,36.09,16184800,35.37
2012-11-19,33.78,35.15,33.73,35.15,14407700,34.45
2012-11-12,31.77,32.88,31.23,31.98,12369100,31.34
2012-11-05,33.02,33.42,31.32,31.47,9504200,30.84
2012-10-31,32.69,33.63,31.79,33.15,12731100,32.49
2012-10-22,32.45,32.73,31.17,31.36,9117900,30.73
2012-10-15,31.72,33.29,31.55,32.64,11622200,31.83
2012-10-08,31.58,31.75,30.59,31.18,9814100,30.41
2012-10-01,30.31,32.,30.04,31.77,13905400,30.98
2012-09-24,30.,30.56,29.66,30.24,12020200,29.49
2012-09-17,29.49,30.21,28.85,30.19,13627800,29.44
2012-09-10,28.32,29.77,28.09,29.4,11884800,28.67
2012-09-04,28.56,28.78,27.81,28.32,14466100,27.62
2012-08-27,27.84,28.71,27.55,28.48,12461400,27.78
2012-08-20,26.19,27.81,25.97,27.73,22239900,27.04
2012-08-13,26.74,27.87,26.34,27.87,13350200,27.18
2012-08-06,25.6,26.97,25.34,26.77,11811800,26.11
2012-07-30,27.02,27.08,24.76,25.49,16698200,24.86
2012-07-23,25.18,27.25,25.11,27.07,10562200,26.4
2012-07-16,26.55,26.57,25.2,25.79,18773700,25.
2012-07-09,27.58,27.72,25.9,26.72,13402100,25.9
2012-07-02,28.46,28.63,27.06,27.85,10559500,26.99
2012-06-25,27.09,28.44,26.78,28.44,11922300,27.56
2012-06-18,27.88,28.71,27.25,27.31,13303700,26.47
2012-06-11,28.05,28.08,26.61,28.05,18091300,27.19
2012-06-04,26.05,28.13,26.03,27.92,16610400,27.06
2012-05-29,27.43,27.69,26.13,26.36,20451800,25.55
2012-05-21,26.17,27.37,25.28,27.24,29599300,26.4
2012-05-14,29.46,29.92,28.22,28.48,18498800,27.6
2012-05-07,31.34,31.37,29.57,29.62,15971300,28.71
2012-04-30,31.49,32.23,31.05,31.09,9309800,30.13
2012-04-23,31.28,31.85,30.92,31.61,9669000,30.64
2012-04-16,31.94,32.29,31.51,31.65,10148900,30.54
2012-04-09,30.83,31.86,30.33,31.69,11098400,30.58
2012-04-02,31.31,31.63,30.63,31.35,12785300,30.25
2012-03-26,30.97,31.57,30.85,31.38,12459000,30.28
2012-03-19,30.35,31.,30.1,30.74,12975300,29.66
2012-03-12,29.96,30.8,29.7,30.41,19139800,29.34
2012-03-05,27.97,29.94,27.78,29.77,20469300,28.73
2012-02-27,27.24,28.67,27.11,28.13,17409300,27.14
2012-02-21,28.23,28.46,26.58,27.16,18105900,26.21
2012-02-13,27.28,27.84,27.05,27.68,12260400,26.71
2012-02-06,27.16,27.3,26.69,27.09,13284500,26.14
2012-01-30,26.68,27.41,26.38,27.2,13995700,26.25
2012-01-23,26.46,27.18,25.93,26.91,15042700,25.97
2012-01-17,26.51,27.57,26.42,26.53,17155800,25.46
2012-01-09,26.38,26.68,25.96,26.32,13280400,25.26
2012-01-03,25.66,26.51,25.44,26.34,15000500,25.28
2011-12-27,25.21,25.75,25.01,25.38,10128700,24.36
2011-12-19,25.06,26.04,24.64,25.27,15894600,24.25
2011-12-12,24.72,25.02,24.04,25.02,20014800,24.01
2011-12-05,24.51,25.25,24.18,24.97,22186700,23.97
2011-11-28,23.16,25.1,22.96,24.31,20177000,23.33
2011-11-21,22.94,23.22,22.39,22.68,10516900,21.77
2011-11-14,23.2,24.05,22.8,23.31,20187900,22.37
2011-11-07,21.6,23.75,21.48,23.11,18464600,22.18
2011-10-31,21.17,21.66,20.34,21.54,12849800,20.67
2011-10-24,22.11,22.48,21.26,21.37,15766000,20.51
2011-10-17,20.57,22.2,20.57,22.13,14039300,21.24
2011-10-10,20.48,21.,20.24,20.93,13173900,19.95
2011-10-03,19.39,20.65,18.55,20.34,21122300,19.39
2011-09-26,19.84,20.67,19.3,19.34,14742600,18.44
2011-09-19,20.01,20.45,18.53,19.74,16215700,18.82
2011-09-12,18.72,20.45,18.7,20.38,14744900,19.43
2011-09-06,18.35,19.81,18.28,18.96,14701700,18.08
2011-08-29,20.55,20.56,18.86,18.94,17644400,18.06
2011-08-22,19.92,20.6,19.47,20.24,15123300,19.3
2011-08-15,19.23,20.22,19.1,19.31,24669100,18.41
2011-08-08,19.75,20.08,18.07,19.51,24304000,18.6
2011-08-01,21.61,21.68,19.86,20.15,23462800,19.21
2011-07-25,22.38,22.92,21.31,21.58,15535900,20.57
2011-07-18,22.58,23.25,22.38,22.62,11060700,21.57
2011-07-11,23.35,23.55,22.64,22.86,12211500,21.66
2011-07-05,23.81,24.21,23.2,23.61,12615200,22.37
2011-06-27,23.19,23.91,22.97,23.82,11899900,22.57
2011-06-20,22.6,23.77,22.57,23.25,18975100,22.03
2011-06-13,22.05,23.08,22.03,22.83,20773300,21.63
2011-06-06,23.07,23.49,22.2,22.26,18672600,21.09
2011-05-31,24.28,24.34,23.18,23.4,16278600,22.17
2011-05-23,24.25,24.57,24.05,24.25,14023000,22.98
2011-05-16,24.82,25.58,24.43,24.46,18605200,23.18
2011-05-09,25.7,26.31,25.48,25.76,11793700,24.41
2011-05-02,26.38,26.6,25.56,25.64,14121500,24.3
2011-04-25,26.57,26.87,25.91,26.25,12526000,24.87
2011-04-18,26.64,27.33,26.36,26.67,9532500,25.27
2011-04-11,26.78,27.32,26.59,27.05,9276100,25.53
2011-04-04,26.69,26.98,26.41,26.82,9253900,25.31
2011-03-28,27.18,27.21,26.26,26.74,8842600,25.23
2011-03-21,26.49,27.45,26.16,27.19,12304000,25.66
2011-03-14,26.74,26.9,25.97,26.2,16073600,24.73
2011-03-07,26.23,27.21,25.86,26.94,13668800,25.42
2011-02-28,25.4,26.54,25.24,26.24,14773300,24.76
2011-02-22,26.5,26.61,25.,25.27,19150800,23.85
2011-02-14,25.09,26.44,24.94,26.3,12448300,24.82
2011-02-07,24.76,25.16,24.13,25.09,11639400,23.68
2011-01-31,25.13,25.3,24.23,24.71,14266000,23.32
2011-01-24,24.93,26.29,24.87,25.25,12155100,23.83
2011-01-18,25.05,25.5,24.26,25.01,12427300,23.6
2011-01-10,23.92,25.16,23.54,25.,10059800,23.59
2011-01-03,25.21,25.42,23.89,23.99,10785600,22.54
2010-12-27,25.39,25.56,24.82,25.08,5834000,23.56
2010-12-20,25.23,25.86,25.18,25.52,9230400,23.98
2010-12-13,25.15,25.65,24.86,25.17,16131200,23.65
2010-12-06,24.76,25.8,24.71,25.22,18756300,23.69
2010-11-29,22.15,25.04,21.66,24.86,21731200,23.36
2010-11-22,22.02,22.73,21.87,22.24,10828100,20.89
2010-11-15,21.75,22.48,21.34,22.09,16618700,20.75
2010-11-08,22.02,22.3,21.55,21.69,11173600,20.38
2010-11-01,21.31,22.47,21.09,22.29,9280000,20.94
2010-10-25,22.07,22.18,21.18,21.34,8570100,20.05
2010-10-18,21.34,22.37,20.8,22.,17161000,20.67
2010-10-11,22.69,22.83,21.28,21.56,15154200,20.15
2010-10-04,22.26,22.91,21.97,22.7,11815200,21.22
2010-09-27,22.42,22.7,21.9,22.35,10845200,20.89
2010-09-20,21.14,22.53,21.08,22.48,11114500,21.01
2010-09-13,21.68,21.97,20.96,21.02,9587000,19.65
2010-09-07,21.81,21.85,21.44,21.52,7620700,20.11
2010-08-30,21.04,22.5,20.25,21.96,14611400,20.53
2010-08-23,20.94,21.15,19.78,21.1,19181600,19.72
2010-08-16,20.08,20.85,19.58,20.64,18733800,19.29
2010-08-09,20.39,20.46,19.35,19.59,13453900,18.31
2010-08-02,21.07,21.4,20.2,20.28,11834700,18.96
2010-07-26,21.23,21.99,20.13,20.74,12999800,19.39
2010-07-19,20.03,21.14,19.64,21.11,11187600,19.73
2010-07-12,20.36,21.31,19.99,20.04,14099300,18.63
2010-07-06,20.44,20.64,19.64,20.43,17185600,18.99
2010-06-28,21.38,21.49,20.01,20.27,14107900,18.84
2010-06-21,22.81,22.98,21.06,21.33,16979400,19.83
2010-06-14,23.68,23.93,22.36,22.62,18146800,21.03
2010-06-07,23.61,23.86,22.99,23.48,13467400,21.83
2010-06-01,24.58,24.89,23.4,23.52,13957500,21.86
2010-05-24,24.17,25.39,23.53,24.75,15707200,23.01
2010-05-17,25.77,25.9,23.09,24.2,26919300,22.5
2010-05-10,26.64,27.41,25.78,26.07,16909000,24.23
2010-05-03,27.29,27.93,24.14,25.31,17937700,23.53
2010-04-26,28.14,28.54,26.75,27.12,17453900,25.21
2010-04-19,26.2,28.25,25.92,28.22,13624200,26.23
2010-04-12,25.59,26.8,25.37,26.29,13663800,24.35
2010-04-05,24.6,25.69,24.53,25.63,10946000,23.74
2010-03-29,24.51,24.62,24.16,24.54,8503200,22.73
2010-03-22,24.65,25.03,24.31,24.48,11877400,22.68
2010-03-15,25.,25.31,24.65,24.78,12263600,22.96
2010-03-08,24.08,25.,23.85,24.95,11020400,23.11
