Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,21.76,22.28,21.73,22.16,9630200,22.16
2014-02-18,21.42,21.92,20.88,21.76,8220300,21.76
2014-02-10,21.42,21.53,20.94,21.3,7448800,21.3
2014-02-03,20.98,21.53,20.23,21.43,9154900,21.43
2014-01-27,20.84,21.57,20.22,20.95,10312800,20.95
2014-01-21,21.67,22.1,20.72,20.84,10654900,20.84
2014-01-13,21.17,21.98,20.64,21.22,8442700,21.22
2014-01-06,19.48,21.15,19.07,21.03,9194800,21.03
2013-12-30,18.8,19.51,18.74,19.42,4777100,19.42
2013-12-23,18.95,19.,18.6,18.74,2870800,18.74
2013-12-16,18.74,18.94,18.2,18.86,6406600,18.86
2013-12-09,18.31,18.93,17.95,18.63,7868700,18.63
2013-12-02,18.62,18.83,17.73,18.31,6834800,18.27
2013-11-25,18.6,18.98,18.41,18.59,4683000,18.55
2013-11-18,18.22,18.57,17.96,18.56,6826400,18.52
2013-11-11,17.75,18.54,17.73,18.16,8410200,18.12
2013-11-04,17.53,18.13,17.52,17.69,9966800,17.65
2013-10-28,17.2,17.49,16.92,17.47,7271400,17.43
2013-10-21,16.05,17.34,15.96,17.17,7786900,17.13
2013-10-14,15.14,16.18,15.11,16.07,5473900,16.04
2013-10-07,14.79,15.32,14.73,15.23,6656200,15.2
2013-09-30,14.46,14.93,14.11,14.89,5542100,14.86
2013-09-23,14.43,14.82,14.31,14.64,5470600,14.61
2013-09-16,14.06,14.66,14.02,14.41,8005400,14.38
2013-09-09,13.04,13.96,12.98,13.9,6330200,13.87
2013-09-03,12.97,13.26,12.73,13.1,4893200,13.07
2013-08-26,13.28,13.36,12.64,12.81,5106300,12.78
2013-08-19,13.27,13.29,12.99,13.27,4873000,13.24
2013-08-12,13.68,13.83,13.22,13.34,7048200,13.31
2013-08-05,14.13,14.24,13.69,13.74,4718500,13.71
2013-07-29,13.77,14.22,13.65,14.19,5131100,14.12
2013-07-22,13.78,14.02,13.24,13.79,6147800,13.72
2013-07-15,13.46,13.9,13.16,13.81,5692700,13.74
2013-07-08,12.86,13.48,12.76,13.46,5398000,13.39
2013-07-01,12.96,13.25,12.58,12.79,4490900,12.73
2013-06-24,13.35,13.44,12.79,12.89,8478400,12.83
2013-06-17,13.93,13.94,13.35,13.48,6931100,13.41
2013-06-10,13.94,14.1,13.73,13.87,5532700,13.8
2013-06-03,14.18,14.28,13.19,13.88,9232500,13.81
2013-05-28,14.4,14.44,14.06,14.17,7685000,14.06
2013-05-20,14.38,14.56,13.87,14.28,9092400,14.17
2013-05-13,14.15,14.49,13.94,14.38,10877700,14.27
2013-05-06,14.08,14.49,14.03,14.16,5119000,14.05
2013-04-29,13.45,14.11,13.4,14.07,6010700,13.96
2013-04-22,13.46,13.61,13.11,13.39,7173800,13.29
2013-04-15,13.11,13.4,12.61,13.34,6614500,13.24
2013-04-08,12.83,13.25,12.64,13.15,6455400,13.05
2013-04-01,13.47,13.51,12.45,12.81,9134100,12.71
2013-03-25,12.95,13.58,12.75,13.48,9173300,13.37
2013-03-18,12.29,12.93,12.14,12.87,5579700,12.77
2013-03-11,12.19,12.55,12.07,12.38,6990200,12.28
2013-03-04,11.76,12.3,11.75,12.26,7158500,12.16
2013-02-25,11.63,11.95,11.23,11.82,6397200,11.72
2013-02-19,11.64,11.7,11.31,11.6,5164000,11.5
2013-02-11,11.67,11.76,11.38,11.6,5445000,11.5
2013-02-04,11.22,11.73,11.15,11.64,8624200,11.54
2013-01-28,11.54,11.54,11.2,11.23,8838800,11.13
2013-01-22,11.28,11.62,11.19,11.44,10466300,11.34
2013-01-14,11.05,11.45,10.94,11.26,9623300,11.16
2013-01-07,10.9,11.27,10.8,11.05,8348600,10.95
2012-12-31,10.13,10.92,10.1,10.88,6851100,10.79
2012-12-24,10.47,10.53,10.13,10.16,3353900,10.07
2012-12-17,10.25,10.61,10.24,10.46,7980800,10.37
2012-12-10,9.75,10.41,9.7,10.19,7594100,10.1
2012-12-03,9.58,9.89,9.42,9.81,7575400,9.73
2012-11-26,9.3,9.58,9.16,9.53,6891800,9.44
2012-11-19,9.,9.37,8.92,9.37,5249900,9.28
2012-11-12,9.08,9.21,8.7,8.93,6784900,8.84
2012-11-05,9.03,9.32,8.93,9.06,6298100,8.97
2012-10-31,8.75,9.1,8.74,9.03,5559200,8.94
2012-10-22,8.9,8.95,8.68,8.74,6696700,8.66
2012-10-15,8.87,9.1,8.81,8.88,6351100,8.79
2012-10-08,8.99,9.03,8.68,8.84,5012500,8.75
2012-10-01,8.78,9.17,8.75,8.97,8590300,8.88
2012-09-24,8.82,8.99,8.75,8.77,5327700,8.69
2012-09-17,9.01,9.14,8.8,8.84,6585900,8.75
2012-09-10,9.23,9.28,8.95,9.07,6531000,8.98
2012-09-04,8.93,9.32,8.77,9.19,7013700,9.1
2012-08-27,9.21,9.24,8.81,8.94,5391500,8.85
2012-08-20,9.1,9.53,9.08,9.21,10283700,9.12
2012-08-13,9.03,9.15,8.91,9.13,6853000,9.04
2012-08-06,9.15,9.35,8.92,9.07,6658000,8.97
2012-07-30,8.87,9.28,8.85,9.13,10456200,9.03
2012-07-23,8.72,8.92,8.45,8.9,9081100,8.8
2012-07-16,9.48,9.82,8.82,8.86,11083900,8.76
2012-07-09,9.23,9.77,9.14,9.44,9845500,9.34
2012-07-02,9.3,9.35,9.06,9.27,7340200,9.17
2012-06-25,9.1,9.42,8.71,9.22,10915400,9.12
2012-06-18,8.92,9.37,8.8,9.21,9830000,9.11
2012-06-11,9.11,9.4,8.86,8.93,11586800,8.83
2012-06-04,8.85,9.15,8.58,9.06,10356700,8.96
2012-05-29,8.86,9.14,8.76,8.95,10832600,8.84
2012-05-21,8.18,8.85,8.05,8.76,11691700,8.66
2012-05-14,8.02,8.38,8.,8.15,11649100,8.05
2012-05-07,8.11,8.35,8.04,8.05,7139300,7.95
2012-04-30,8.22,8.37,8.07,8.1,7269300,8.
2012-04-23,7.84,8.29,7.76,8.25,9248300,8.15
2012-04-16,7.97,8.3,7.85,7.91,10951300,7.82
2012-04-09,8.18,8.3,7.9,7.94,7563900,7.85
2012-04-02,8.22,8.5,8.15,8.31,9305600,8.21
2012-03-26,8.31,8.47,8.15,8.24,8784400,8.14
2012-03-19,8.34,8.44,8.13,8.23,6462000,8.13
2012-03-12,8.35,8.53,8.03,8.31,11761600,8.21
