Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,75.57,76.97,75.56,75.96,7942200,75.96
2014-02-18,78.46,78.49,74.85,75.7,6776800,75.7
2014-02-10,76.66,77.66,75.13,77.39,4925500,77.39
2014-02-03,76.05,76.93,72.11,76.31,8843300,76.31
2014-01-27,78.95,80.55,71.75,75.68,12261200,75.68
2014-01-21,823.02,826.56,78.5,78.51,8340300,78.51
2014-01-13,835.46,838.,804.14,818.42,9853600,81.84
2014-01-06,831.96,847.48,824.66,834.76,7365800,83.48
2013-12-30,830.12,839.38,826.,830.81,6869700,82.97
2013-12-23,825.06,828.34,811.05,827.87,6161000,82.68
2013-12-16,793.,823.21,788.63,817.05,10043200,81.6
2013-12-09,762.9,801.63,758.,787.97,10575800,78.69
2013-12-02,760.81,763.75,744.06,758.47,4073400,75.75
2013-11-25,759.17,765.15,752.4,760.81,3623200,75.98
2013-11-18,753.72,759.7,743.45,754.45,4126000,75.34
2013-11-11,734.11,753.6,731.53,752.26,4331600,75.13
2013-11-04,738.33,739.82,719.63,734.47,4967600,73.35
2013-10-28,724.03,739.24,707.39,737.48,6630600,73.65
2013-10-21,717.02,732.45,707.01,723.78,4435800,72.28
2013-10-14,679.42,716.39,674.3,715.19,5914600,71.42
2013-10-07,667.78,685.54,647.44,684.18,5899000,68.33
2013-09-30,677.66,679.58,664.05,673.33,4547800,67.18
2013-09-23,685.36,691.66,671.74,681.85,5379800,68.03
2013-09-16,673.8,695.01,668.65,685.74,5661600,68.42
2013-09-09,638.01,672.3,635.53,666.41,7565400,66.49
2013-09-03,612.,639.74,610.49,636.62,6276000,63.52
2013-08-26,625.75,625.75,603.59,606.08,5777800,60.47
2013-08-19,619.15,627.59,616.86,626.11,4942200,62.47
2013-08-12,639.61,639.61,615.63,618.21,4518200,61.68
2013-08-05,641.22,656.98,637.68,637.96,5680400,63.65
2013-07-29,598.87,649.65,567.02,645.57,17281000,64.41
2013-07-22,594.34,604.85,589.65,598.15,5777600,59.68
2013-07-15,599.24,600.95,582.95,593.33,5985600,59.2
2013-07-08,597.18,602.74,587.38,598.86,5490800,59.75
2013-07-01,578.61,595.03,577.55,595.03,5509500,59.37
2013-06-24,563.37,577.43,557.48,574.5,7884000,57.26
2013-06-17,574.07,591.89,568.88,573.29,8359400,57.14
2013-06-10,567.6,575.54,557.06,571.16,5820000,56.93
2013-06-03,571.34,576.9,557.1,566.25,5853000,56.44
2013-05-28,580.,585.27,569.61,570.25,4527000,56.84
2013-05-20,583.14,589.,563.32,571.46,4876400,56.96
2013-05-13,553.,585.,553.,584.78,5443000,58.29
2013-05-06,553.6,557.54,533.79,555.13,4768800,55.33
2013-04-29,537.48,557.66,535.35,553.55,7863400,55.18
2013-04-22,522.05,539.,518.79,535.33,3792000,53.36
2013-04-15,530.23,533.85,518.56,521.96,5725000,52.03
2013-04-08,530.69,542.32,523.15,532.99,5990800,53.13
2013-04-01,542.44,546.9,526.99,531.6,4948400,52.99
2013-03-25,520.25,541.96,518.77,541.13,6924500,53.88
2013-03-18,515.31,519.66,508.16,517.5,5408800,51.52
2013-03-11,529.58,532.47,518.22,519.37,6153800,51.71
2013-03-04,515.98,531.23,515.76,529.23,5262600,52.69
2013-02-25,525.34,526.,507.36,518.3,6782200,51.6
2013-02-19,525.,526.49,510.56,523.83,5754000,52.15
2013-02-11,525.62,526.16,516.15,523.13,5355800,52.08
2013-02-04,516.29,524.47,512.09,524.47,6376400,52.22
2013-01-28,520.94,535.35,513.,518.71,11759400,51.64
2013-01-22,524.79,525.7,514.63,519.42,6369700,51.72
2013-01-14,529.55,529.98,513.42,521.,7595600,51.87
2013-01-07,512.5,532.47,511.66,528.68,9766000,52.64
2012-12-31,483.37,515.46,482.9,510.98,9941700,50.85
2012-12-24,492.86,496.25,481.12,483.08,4840700,48.07
2012-12-17,483.42,498.62,481.08,493.57,7421800,49.11
2012-12-10,480.36,487.6,475.48,482.3,6977000,47.99
2012-12-03,491.,494.51,473.86,476.09,6787600,47.37
2012-11-26,480.18,490.75,474.77,488.68,7068600,48.63
2012-11-19,469.4,482.58,468.39,481.24,4733700,47.89
2012-11-12,465.68,476.92,453.57,464.59,6832800,46.23
2012-11-05,467.26,472.89,458.48,464.66,6109800,46.24
2012-10-31,452.52,476.99,451.18,469.45,10269300,46.71
2012-10-22,472.98,472.98,447.38,452.98,7584200,45.07
2012-10-15,472.34,486.08,467.9,470.06,7931600,46.77
2012-10-08,474.24,476.04,460.48,473.36,7914400,47.1
2012-10-01,453.18,483.,452.5,475.27,7525000,47.29
2012-09-24,457.5,457.73,445.77,451.48,5599800,44.9
2012-09-17,454.32,461.79,447.25,459.52,7825600,45.7
2012-09-10,436.62,456.66,436.33,454.18,7170800,45.16
2012-09-04,417.54,436.79,417.54,436.2,6592200,43.38
2012-08-27,422.49,426.47,419.01,422.9,4228600,42.05
2012-08-20,427.1,429.81,416.67,422.45,5284200,42.01
2012-08-13,424.57,433.15,422.12,426.81,4667000,42.44
2012-08-06,424.2,427.86,413.18,426.03,8311200,42.37
2012-07-30,436.2,446.75,418.1,424.13,12974800,42.18
2012-07-23,416.27,436.75,404.7,436.75,8275600,43.43
2012-07-16,439.77,448.,421.43,423.15,9320800,42.08
2012-07-09,434.33,436.43,412.84,429.6,7857400,42.72
2012-07-02,435.07,445.25,430.16,441.63,6294700,43.92
2012-06-25,432.85,435.73,416.76,430.11,7324800,42.74
2012-06-18,424.93,435.08,420.6,435.08,6486600,43.24
2012-06-11,420.5,426.69,408.,426.69,7038800,42.4
2012-06-04,391.7,425.07,390.1,416.55,9194400,41.39
2012-05-29,417.33,419.75,389.9,391.78,8325000,38.93
2012-05-21,396.,428.77,394.2,413.96,10327600,41.14
2012-05-14,418.17,421.,394.56,394.56,11003400,39.21
2012-05-07,434.65,442.82,418.27,422.4,10128600,41.98
2012-04-30,459.4,466.98,433.84,439.69,15764600,43.69
2012-04-23,436.01,462.34,420.75,457.58,10173200,45.47
2012-04-16,440.87,443.29,429.01,440.44,6815400,43.77
2012-04-09,432.94,443.8,424.19,440.46,8564200,43.77
2012-04-02,421.84,442.2,419.,439.85,9700000,43.71
2012-03-26,427.29,437.56,420.,420.54,7973600,41.76
2012-03-19,419.77,428.1,415.01,424.01,6583200,42.11
2012-03-12,418.07,426.13,416.8,420.17,6732400,41.73
2012-03-05,414.52,421.07,406.28,419.52,8103800,41.66
2012-02-27,412.33,428.57,410.97,412.78,9562800,40.99
2012-02-21,395.45,418.76,394.01,415.61,10690000,41.27
2012-02-13,399.52,400.,389.77,396.,7144600,39.33
2012-02-06,393.,401.79,387.,396.14,10279600,39.34
2012-01-30,346.97,391.3,346.25,390.32,18162200,38.76
2012-01-23,339.95,354.94,336.26,348.79,8528000,34.64
2012-01-17,341.07,356.,337.5,340.66,12841200,33.83
2012-01-09,344.87,351.28,337.32,339.08,12379600,33.67
2012-01-03,378.37,378.64,341.78,342.92,18298200,34.05
2011-12-27,378.79,381.32,371.39,372.82,4947500,37.01
2011-12-19,362.7,378.15,358.,378.15,9209800,37.54
2011-12-12,373.98,375.31,358.29,362.16,7898000,35.95
2011-12-05,382.99,383.35,366.36,377.42,8951800,37.46
2011-11-28,355.92,384.99,354.8,378.38,10465000,37.56
2011-11-21,355.01,358.35,345.,346.2,8768700,34.37
2011-11-14,366.27,373.55,356.,360.42,9518200,35.78
2011-11-07,361.97,370.37,355.37,370.15,9528800,36.74
2011-10-31,351.15,368.99,333.36,360.09,15926600,35.74
2011-10-24,332.8,355.,324.58,354.58,10821200,35.2
2011-10-17,340.84,342.16,322.49,333.4,11028000,33.1
2011-10-10,315.53,344.92,315.53,341.58,11320000,33.91
2011-10-03,314.5,324.,293.01,311.46,16628000,30.92
2011-09-26,339.84,343.96,312.48,317.16,13170800,31.47
2011-09-19,341.55,361.94,323.23,337.03,17741000,33.44
2011-09-12,319.95,352.,314.7,346.95,23655000,34.42
2011-09-06,313.08,345.13,311.52,322.02,15598200,31.95
2011-08-29,329.47,335.75,320.05,320.68,11189000,31.82
2011-08-22,307.94,329.81,301.4,325.33,10301600,32.28
2011-08-15,331.02,338.5,300.,300.16,16238600,29.78
2011-08-08,314.87,332.72,291.67,328.07,24755400,32.55
2011-08-01,308.24,340.42,298.49,326.54,23777600,32.4
2011-07-25,310.27,318.71,299.6,303.25,8690000,30.09
2011-07-18,306.64,315.71,303.95,314.14,8703200,31.17
2011-07-11,313.19,313.35,303.73,307.55,11308600,30.51
2011-07-05,312.42,322.28,312.,315.29,13358200,31.28
2011-06-27,273.08,315.64,270.4,314.47,24974400,31.19
2011-06-20,265.99,276.3,265.37,274.2,7357800,27.19
2011-06-13,267.02,275.68,264.87,266.09,10050800,26.39
2011-06-06,276.76,277.73,258.34,267.03,13824800,26.48
2011-05-31,286.78,288.57,275.51,277.06,8467500,27.48
2011-05-23,274.5,286.32,268.,285.24,10579800,28.29
2011-05-16,278.21,284.77,276.51,277.57,8104000,27.53
2011-05-09,274.52,282.75,273.11,280.,6035600,27.77
2011-05-02,276.97,286.8,273.07,274.25,10216800,27.2
2011-04-25,273.28,278.1,270.69,275.89,5958200,27.36
2011-04-18,266.49,273.75,263.48,273.28,6807200,27.1
2011-04-11,262.88,269.96,260.55,267.58,9720600,26.54
2011-04-04,254.91,267.,254.86,263.06,9817200,26.09
2011-03-28,250.76,262.38,247.83,253.55,11239800,25.13
2011-03-21,243.33,253.3,243.33,247.7,8386800,24.55
2011-03-14,247.2,249.59,241.4,241.68,8512600,23.95
2011-03-07,249.91,252.89,242.02,248.42,8050600,24.62
2011-02-28,247.58,251.78,240.36,249.75,10084600,24.75
2011-02-22,245.31,250.53,242.96,246.71,8690500,24.45
2011-02-14,252.54,258.83,248.61,250.74,10055400,24.85
2011-02-07,247.27,254.84,247.27,253.49,6170600,25.12
2011-01-31,234.,249.43,230.31,247.24,10532800,24.5
2011-01-24,233.54,243.6,233.46,234.87,8473000,23.28
2011-01-18,236.22,238.98,228.03,233.53,13929700,23.15
2011-01-10,231.35,236.91,228.39,236.91,9595000,23.48
2011-01-03,226.44,233.48,219.33,231.09,18125400,22.9
2010-12-27,218.3,226.75,217.54,224.11,8383400,22.2
