Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,22.45,22.82,22.26,22.27,2458600,22.27
2014-02-18,22.45,22.65,21.91,22.44,3146500,22.44
2014-02-10,22.,22.7,21.28,22.46,5749600,22.46
2014-02-03,21.14,22.04,20.6,22.02,3956400,22.02
2014-01-27,21.51,22.22,20.77,21.16,4263100,21.16
2014-01-21,22.14,22.42,21.19,21.45,4001600,21.45
2014-01-13,23.31,23.35,22.,22.1,4821300,22.1
2014-01-06,23.25,23.6,22.55,23.46,3023700,23.46
2013-12-30,22.46,23.2,22.46,23.16,2520000,23.08
2013-12-23,21.86,22.87,21.78,22.47,2016300,22.4
2013-12-16,21.48,21.98,21.01,21.69,3756600,21.62
2013-12-09,21.71,21.96,21.04,21.28,3769800,21.21
2013-12-02,22.38,22.44,21.17,21.64,4105200,21.57
2013-11-25,21.86,22.59,21.49,22.42,3870500,22.35
2013-11-18,21.26,22.08,20.69,21.79,4552200,21.72
2013-11-11,20.35,21.49,20.07,21.2,3214600,21.13
2013-11-04,21.13,21.28,19.78,20.35,3455900,20.28
2013-10-28,20.97,21.93,20.62,21.02,5354800,20.95
2013-10-21,19.94,21.27,19.52,20.99,4550200,20.92
2013-10-14,20.29,20.4,19.11,19.98,4902200,19.91
2013-10-07,20.7,20.8,19.28,20.55,5138400,20.48
2013-09-30,20.89,21.59,20.64,20.96,3197100,20.81
2013-09-23,21.87,22.27,20.97,21.12,3489200,20.97
2013-09-16,21.2,22.94,21.01,21.99,5335700,21.83
2013-09-09,19.72,21.2,19.72,20.81,4080800,20.66
2013-09-03,19.15,19.82,18.8,19.63,4467000,19.49
2013-08-26,19.38,19.55,18.27,18.92,3302200,18.78
2013-08-19,18.95,19.71,18.58,19.35,4458900,19.21
2013-08-12,19.71,20.03,18.43,19.02,4202300,18.88
2013-08-05,21.46,21.52,19.7,19.9,3035000,19.76
2013-07-29,19.81,21.64,19.7,21.55,6800700,21.4
2013-07-22,20.85,21.41,19.58,19.84,4420400,19.7
2013-07-15,20.8,21.06,20.1,20.89,3073500,20.74
2013-07-08,19.92,21.25,19.28,20.75,4233600,20.6
2013-07-01,19.61,20.24,19.3,19.79,3306400,19.65
2013-06-24,18.71,20.08,18.43,19.49,5142500,19.28
2013-06-17,20.99,21.6,18.43,19.06,5889600,18.85
2013-06-10,20.35,21.35,19.5,20.79,5168400,20.57
2013-06-03,21.13,21.21,19.49,20.21,5734100,19.99
2013-05-28,22.52,22.66,21.01,21.02,4302700,20.79
2013-05-20,22.7,22.83,21.26,22.14,5379500,21.9
2013-05-13,21.59,22.81,21.31,22.74,3825200,22.49
2013-05-06,21.61,21.77,21.01,21.56,5002000,21.33
2013-04-29,20.71,22.1,19.2,21.6,8440600,21.37
2013-04-22,19.32,20.69,18.86,20.62,4316500,20.4
2013-04-15,19.94,19.96,18.51,19.27,4921100,19.06
2013-04-08,19.27,20.29,19.11,20.11,3796200,19.89
2013-04-01,20.27,20.29,18.46,19.28,3990900,19.07
2013-03-25,20.68,20.94,20.13,20.25,3274200,19.95
2013-03-18,19.71,21.07,19.62,20.6,4588900,20.3
2013-03-11,20.21,20.55,19.39,19.96,4834100,19.67
2013-03-04,19.1,20.28,19.04,19.94,4143100,19.65
2013-02-25,19.03,19.49,17.98,19.22,4761400,18.94
2013-02-19,20.04,20.13,18.41,18.92,6418900,18.64
2013-02-11,17.79,20.7,17.66,20.,9413700,19.71
2013-02-04,18.36,18.55,17.66,17.79,3440000,17.53
2013-01-28,18.39,18.82,17.91,18.55,3972100,18.28
2013-01-22,17.75,18.41,17.43,18.36,4478400,18.09
2013-01-14,17.67,17.9,17.2,17.78,3997700,17.52
2013-01-07,17.3,18.14,17.12,17.69,3324700,17.43
2012-12-31,16.02,17.6,15.85,17.47,4595900,17.21
2012-12-24,16.28,16.58,15.93,16.04,2128200,15.73
2012-12-17,16.23,16.74,15.92,16.27,4936500,15.96
2012-12-10,15.97,16.56,15.64,16.12,3151700,15.81
2012-12-03,17.05,17.14,15.68,15.99,4366800,15.69
2012-11-26,16.8,17.19,16.54,16.96,4870300,16.64
2012-11-19,15.2,16.91,15.18,16.9,4614700,16.58
2012-11-12,15.37,15.75,14.36,14.92,4236500,14.64
2012-11-05,14.73,16.5,14.49,15.29,4888200,15.
2012-10-31,14.77,16.4,14.77,15.89,6398300,15.59
2012-10-22,15.01,15.92,14.33,14.6,5673900,14.32
2012-10-15,14.32,15.56,14.21,15.04,5263600,14.75
2012-10-08,15.87,15.91,14.06,14.3,6173600,14.03
2012-10-01,15.17,16.33,15.02,15.97,4675400,15.59
2012-09-24,16.37,16.37,14.82,15.05,6587900,14.69
2012-09-17,15.8,16.48,15.36,16.25,7128000,15.86
2012-09-10,14.12,16.21,14.07,15.8,6000100,15.42
2012-09-04,14.17,14.29,13.42,14.15,4746600,13.81
2012-08-27,14.16,14.23,13.7,14.16,2961200,13.82
2012-08-20,13.87,14.21,13.52,14.13,5206900,13.79
2012-08-13,12.96,14.04,12.69,13.89,5692800,13.56
2012-08-06,12.79,13.2,12.48,12.97,4219500,12.66
2012-07-30,13.28,13.39,11.53,12.71,10368400,12.4
2012-07-23,13.82,14.05,12.82,13.3,7039900,12.98
2012-07-16,13.94,14.5,13.33,14.15,6103400,13.81
2012-07-09,14.07,14.23,13.14,14.05,5450200,13.71
2012-07-02,13.87,14.25,13.68,14.16,4423400,13.82
2012-06-25,12.52,14.02,12.1,13.87,6618400,13.46
2012-06-18,13.57,14.15,12.65,12.76,7166200,12.39
2012-06-11,13.69,13.74,12.78,13.6,6796200,13.2
2012-06-04,12.08,13.53,11.55,13.5,7451700,13.11
2012-05-29,12.78,13.04,11.96,12.04,8121500,11.69
2012-05-21,11.94,12.97,11.71,12.6,7375100,12.23
2012-05-14,13.75,13.89,11.7,11.85,10746000,11.5
2012-05-07,14.3,14.68,13.71,13.97,7151900,13.56
2012-04-30,13.33,14.65,13.1,14.4,9754500,13.98
2012-04-23,11.78,13.5,11.72,13.44,5576400,13.05
2012-04-16,12.27,12.65,11.66,12.,5617000,11.65
2012-04-09,12.55,12.75,11.99,12.14,7738900,11.79
2012-04-02,13.3,13.5,12.54,12.77,8248400,12.4
2012-03-26,13.79,14.41,13.09,13.37,5506800,12.9
2012-03-19,13.41,14.35,13.07,13.58,7335600,13.11
2012-03-12,12.11,13.79,11.94,13.38,8535100,12.91
2012-03-05,11.55,12.39,11.01,12.11,6728400,11.69
2012-02-27,11.42,12.13,11.39,11.56,5769700,11.16
2012-02-21,12.16,12.25,11.53,11.57,6988800,11.17
2012-02-13,12.86,13.29,11.18,12.1,12718200,11.68
2012-02-06,12.81,13.14,12.6,12.72,4187700,12.28
2012-01-30,12.14,12.95,11.87,12.92,4737000,12.47
2012-01-23,12.45,13.04,11.92,12.33,6060300,11.9
2012-01-17,12.22,12.97,11.95,12.41,7847800,11.98
2012-01-09,11.4,12.29,11.32,12.09,7669600,11.67
