Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,96.43,96.94,96.24,96.5,4472200,96.5
2014-02-18,96.03,97.,95.46,96.45,4554700,96.45
2014-02-10,95.75,95.97,94.5,95.78,4746200,95.78
2014-02-03,94.54,95.95,92.22,95.92,6022400,95.92
2014-01-27,94.29,94.68,92.87,94.17,5852700,94.17
2014-01-21,95.36,95.96,94.39,94.43,6382400,94.43
2014-01-13,95.83,96.3,94.59,94.93,4837800,94.93
2014-01-06,96.62,97.08,95.,95.8,6159100,95.8
2013-12-30,96.88,97.15,96.26,96.54,2686200,96.54
2013-12-23,96.72,97.28,96.05,96.91,2104400,96.91
2013-12-16,94.97,96.51,94.27,96.51,5674200,96.51
2013-12-09,96.13,96.5,94.04,94.44,4687700,94.44
2013-12-02,97.29,97.29,95.2,96.8,5100100,96.8
2013-11-25,98.75,99.27,96.95,97.37,8090000,97.37
2013-11-18,96.9,98.51,96.9,98.27,8399700,97.46
2013-11-11,96.83,98.7,96.4,96.92,4854900,96.12
2013-11-04,97.26,98.19,96.32,97.01,4740200,96.21
2013-10-28,94.69,97.5,94.68,97.24,4122800,96.44
2013-10-21,93.7,95.49,93.24,94.78,5111900,94.
2013-10-14,94.41,95.7,93.45,95.2,5032700,94.41
2013-10-07,94.26,94.8,93.14,94.74,4100800,93.96
2013-09-30,96.46,96.69,94.01,94.7,4559700,93.92
2013-09-23,96.97,98.6,96.82,97.12,3860600,96.32
2013-09-16,97.88,98.99,96.9,96.9,5107000,96.1
2013-09-09,96.22,97.85,96.21,97.35,3876800,96.55
2013-09-03,95.1,96.75,94.12,96.26,3833000,95.47
2013-08-26,95.36,96.33,94.01,94.36,4369000,93.58
2013-08-19,95.12,95.99,94.91,95.13,7404600,93.59
2013-08-12,97.49,97.8,95.01,95.03,4285000,93.49
2013-08-05,99.01,99.44,97.07,97.62,3798800,96.04
2013-07-29,97.96,99.24,97.39,99.2,4048300,97.59
2013-07-22,97.75,98.08,96.3,98.03,6833300,96.44
2013-07-15,101.6,101.73,99.3,100.27,4434800,98.65
2013-07-08,100.28,101.81,99.2,101.58,4109500,99.93
2013-07-01,99.35,100.84,99.25,99.86,3378500,98.24
2013-06-24,96.54,100.11,96.02,99.,4184900,97.4
2013-06-17,99.3,100.07,96.62,97.23,4904000,95.66
2013-06-10,99.8,100.18,97.87,98.42,4259000,96.83
2013-06-03,96.77,98.69,95.16,98.28,5075000,96.69
2013-05-28,101.06,101.94,96.56,96.57,9081700,95.01
