Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,34.26,34.67,34.23,34.4,7195600,34.4
2014-02-18,34.25,34.95,33.94,34.3,8544300,34.3
2014-02-10,32.79,34.28,32.75,34.12,7824700,34.12
2014-02-03,32.8,33.06,31.84,32.93,8950200,32.93
2014-01-27,33.64,33.98,32.28,32.76,9982100,32.76
2014-01-21,34.9,34.9,33.62,33.65,17727400,33.65
2014-01-13,35.58,36.05,34.23,35.25,12781100,35.25
2014-01-06,34.85,35.84,34.38,35.8,9338600,35.8
2013-12-30,34.53,35.43,34.53,34.75,5182400,34.75
2013-12-23,34.68,34.98,34.52,34.91,4398200,34.91
2013-12-16,33.85,34.94,33.5,34.67,10709200,34.53
2013-12-09,35.08,35.2,33.69,33.85,9008400,33.71
2013-12-02,33.6,35.13,33.22,35.09,8902400,34.95
2013-11-25,34.09,34.2,33.14,33.53,6048900,33.4
2013-11-18,33.98,34.21,33.38,33.89,6423100,33.75
2013-11-11,32.72,34.3,32.07,34.05,11366100,33.91
2013-11-04,33.63,33.87,31.76,32.68,11219800,32.55
2013-10-28,33.34,34.1,33.29,33.59,8697900,33.46
2013-10-21,32.36,33.58,32.28,33.48,7641300,33.35
2013-10-14,30.76,32.49,30.42,32.45,9914600,32.32
2013-10-07,30.49,31.35,30.33,30.85,7601500,30.73
2013-09-30,31.49,31.8,30.07,30.86,10288400,30.74
2013-09-23,31.77,32.35,30.05,31.8,7236000,31.67
2013-09-16,31.73,33.08,31.64,32.3,10393900,32.03
2013-09-09,30.91,31.57,30.69,31.55,7238700,31.29
2013-09-03,31.14,31.24,30.43,30.94,8401200,30.68
2013-08-26,31.22,31.3,30.15,30.67,7578500,30.41
2013-08-19,30.99,32.56,30.4,31.32,8189200,31.06
2013-08-12,31.96,32.32,30.73,30.96,9436300,30.7
2013-08-05,31.76,32.91,31.14,32.16,9834600,31.89
2013-07-29,31.45,32.,30.99,31.94,8202200,31.67
2013-07-22,30.69,31.6,30.45,31.58,9272600,31.32
2013-07-15,30.47,31.18,29.75,30.69,11518400,30.43
2013-07-08,28.95,30.42,28.69,30.36,8867000,30.11
2013-07-01,28.79,29.45,28.5,28.78,6861500,28.54
2013-06-24,28.59,29.33,28.43,28.53,9298100,28.29
2013-06-17,29.91,30.64,28.22,28.85,12356700,28.48
2013-06-10,29.84,30.23,29.19,29.81,9393400,29.43
2013-06-03,29.47,30.06,29.08,29.86,9128800,29.48
2013-05-28,31.23,31.92,29.21,29.48,15197300,29.1
2013-05-20,31.49,31.99,30.59,30.95,12233400,30.55
2013-05-13,30.52,31.68,30.45,31.5,10919200,31.1
2013-05-06,31.64,31.8,30.43,30.63,13094100,30.24
2013-04-29,31.52,31.83,31.3,31.73,8865300,31.32
2013-04-22,31.4,32.1,31.26,31.56,11524100,31.16
2013-04-15,30.68,31.8,29.73,31.69,14442400,31.28
2013-04-08,30.15,30.65,29.92,30.55,11530700,30.16
2013-04-01,30.42,30.95,29.84,30.03,9728200,29.64
2013-03-25,29.95,30.66,29.7,30.62,14676000,30.23
2013-03-18,28.26,30.12,28.07,29.73,14336000,29.1
2013-03-11,28.54,28.68,28.16,28.41,11578900,27.8
2013-03-04,27.7,28.75,27.61,28.58,14095400,27.97
2013-02-25,26.79,27.86,26.48,27.81,15057000,27.22
2013-02-19,26.75,27.19,26.64,26.77,17239000,26.2
2013-02-11,27.73,27.83,26.45,26.72,19633700,26.15
2013-02-04,28.01,28.15,27.58,27.76,11289500,27.17
2013-01-28,27.88,28.32,27.54,28.22,7135900,27.62
2013-01-22,27.73,28.04,27.3,27.78,14984200,27.19
2013-01-14,27.46,28.1,27.17,28.08,13518800,27.48
2013-01-07,26.62,27.54,26.46,27.42,12023900,26.84
2012-12-31,25.04,26.83,25.,26.74,11341000,26.17
2012-12-24,25.69,25.8,25.06,25.26,6414100,24.72
2012-12-17,26.01,26.16,25.47,25.76,16089400,25.08
2012-12-10,25.62,26.23,25.61,26.04,10628200,25.35
2012-12-03,26.02,26.02,25.3,25.58,10110600,24.91
2012-11-26,25.5,25.99,25.16,25.89,12118900,25.21
2012-11-19,25.82,26.04,25.27,25.62,10604700,24.95
2012-11-12,26.08,26.17,24.5,25.56,15685400,24.89
2012-11-05,26.2,26.63,25.76,26.02,18611200,25.34
2012-10-31,26.75,26.85,26.24,26.28,16603900,25.59
2012-10-22,27.02,27.13,26.18,26.6,13052800,25.9
2012-10-15,27.48,27.56,26.92,27.01,13174300,26.3
2012-10-08,27.85,27.9,27.1,27.22,16928100,26.5
2012-10-01,41.08,42.54,27.39,27.81,25693000,27.08
2012-09-24,41.58,41.95,40.9,41.35,16148500,26.84
2012-09-17,39.48,42.19,39.33,41.78,31182400,27.12
2012-09-10,40.37,40.76,39.5,39.93,17189900,25.73
2012-09-04,41.3,42.44,39.7,39.99,20309500,25.77
2012-08-27,41.84,42.,41.23,41.51,8609800,26.75
