Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,57.26,58.04,57.16,57.6,4390700,57.6
2014-02-18,56.79,57.71,55.3,57.12,5752400,57.12
2014-02-10,55.7,57.,55.6,56.88,3565300,56.88
2014-02-03,56.56,56.58,53.33,55.59,8411300,55.59
2014-01-27,57.3,57.63,56.11,56.56,4571800,56.56
2014-01-21,59.65,59.89,57.16,57.16,4661900,57.16
2014-01-13,59.78,59.98,58.88,59.51,4880400,59.51
2014-01-06,59.15,60.93,57.92,59.95,7690000,59.95
2013-12-30,57.47,58.5,57.04,58.34,5494600,58.34
2013-12-23,57.3,57.69,57.,57.4,2147500,57.12
2013-12-16,56.24,57.77,56.05,56.89,4691900,56.61
2013-12-09,58.17,58.2,55.56,55.89,3272400,55.62
2013-12-02,57.32,58.18,56.66,58.14,4149000,57.86
2013-11-25,57.75,57.97,56.91,57.32,2670600,57.04
2013-11-18,58.43,58.62,56.52,57.6,4396400,57.32
2013-11-11,58.2,58.85,57.3,58.55,3582800,58.26
2013-11-04,56.45,58.09,56.45,58.03,4937500,57.75
2013-10-28,57.33,58.82,56.96,57.26,4971800,56.98
2013-10-21,56.43,57.88,56.01,57.36,3797600,57.08
2013-10-14,54.76,56.7,54.52,56.59,3661900,56.31
2013-10-07,52.96,55.04,52.44,54.99,3947400,54.72
2013-09-30,52.82,53.88,52.6,53.35,3484500,53.09
2013-09-23,53.72,53.89,52.64,53.,2829800,52.47
2013-09-16,54.04,54.3,53.29,53.71,3790900,53.17
2013-09-09,53.48,54.26,53.44,53.58,3194900,53.04
2013-09-03,52.25,53.88,51.78,53.46,6494100,52.92
2013-08-26,52.77,53.,51.22,51.75,5075800,51.23
2013-08-19,53.65,54.26,52.4,52.74,5049700,52.21
2013-08-12,55.21,55.35,53.89,53.91,4341400,53.37
2013-08-05,54.76,55.98,54.67,55.37,4434700,54.81
2013-07-29,55.54,55.9,54.35,54.94,5552000,54.39
2013-07-22,54.95,55.63,54.84,55.6,3625200,55.04
2013-07-15,53.58,55.12,53.33,55.02,5113300,54.47
2013-07-08,52.61,53.77,52.48,53.44,4827700,52.9
2013-07-01,52.06,52.63,51.28,52.41,3880000,51.88
2013-06-24,52.07,52.76,51.19,51.47,5165000,50.68
2013-06-17,53.17,53.8,51.06,52.49,6604200,51.68
2013-06-10,52.,53.3,51.09,52.92,4964700,52.1
2013-06-03,51.24,52.13,50.6,52.08,5489900,51.28
2013-05-28,51.54,52.39,50.95,51.01,6815600,50.22
2013-05-20,49.69,53.83,49.59,51.33,8189200,50.54
2013-05-13,48.9,50.17,48.9,49.84,4159100,49.07
2013-05-06,47.67,49.21,47.55,49.17,3560200,48.41
2013-04-29,46.57,47.97,46.17,47.72,4046100,46.98
2013-04-22,46.3,47.31,45.79,46.36,3194200,45.65
2013-04-15,46.96,47.27,45.39,46.03,4300800,45.32
2013-04-08,46.36,47.98,46.11,47.2,4107900,46.47
2013-04-01,46.9,47.48,46.17,46.28,4173500,45.57
2013-03-25,46.16,47.01,45.61,46.96,3665800,45.98
2013-03-18,45.01,46.04,44.8,45.99,3980300,45.03
2013-03-11,45.6,46.24,45.42,45.42,4009300,44.47
2013-03-04,45.,46.24,44.72,45.6,3446700,44.65
2013-02-25,45.,45.46,43.51,45.23,5593600,44.29
2013-02-19,45.99,46.25,44.44,44.72,7451400,43.79
2013-02-11,47.09,47.4,46.52,47.12,4230800,46.14
2013-02-04,46.56,47.18,46.23,47.1,3658000,46.12
2013-01-28,46.46,47.13,46.19,46.92,4403000,45.94
2013-01-22,45.54,46.49,45.08,46.42,4877900,45.45
2013-01-14,43.99,45.67,43.77,45.67,4893400,44.72
2013-01-07,42.52,44.12,42.39,44.07,4368100,43.15
2012-12-31,40.6,42.71,40.28,42.66,5192200,41.77
2012-12-24,41.87,41.98,40.68,40.75,2999700,39.9
2012-12-17,41.95,42.89,41.79,42.02,4356100,41.15
2012-12-10,42.45,43.02,41.79,41.86,3642500,40.99
2012-12-03,42.28,42.6,41.62,42.56,4376200,41.42
2012-11-26,42.96,43.05,41.91,42.11,4999200,40.98
2012-11-19,41.36,43.27,41.31,43.27,4373800,42.11
2012-11-12,41.23,41.91,40.44,41.1,4322900,40.
2012-11-05,41.87,43.,40.76,41.16,4918300,40.06
2012-10-31,41.89,42.79,41.33,42.,4906800,40.87
2012-10-22,41.86,42.53,41.35,41.6,3741300,40.49
2012-10-15,43.01,43.95,41.96,42.,5020400,40.87
2012-10-08,44.51,44.66,42.36,43.05,5175200,41.9
2012-10-01,43.27,44.79,43.1,44.67,4762900,43.47
2012-09-24,43.29,44.04,42.74,43.12,4427800,41.72
2012-09-17,42.91,43.47,42.4,43.35,4836500,41.94
2012-09-10,41.47,43.05,41.42,43.05,4251300,41.65
2012-09-04,40.67,41.75,40.61,41.61,4369400,40.25
2012-08-27,40.63,41.,40.3,40.66,3168400,39.34
2012-08-20,40.73,41.79,40.19,40.58,4841600,39.26
2012-08-13,40.12,40.91,39.93,40.84,3586600,39.51
2012-08-06,39.85,40.45,39.62,40.26,3640800,38.95
2012-07-30,38.93,39.88,38.53,39.81,4944300,38.51
2012-07-23,37.76,39.12,37.06,39.03,4790700,37.76
2012-07-16,37.56,39.1,37.52,38.22,5406900,36.97
2012-07-09,37.94,38.67,37.46,37.56,3544000,36.34
2012-07-02,38.75,39.17,37.76,37.96,3166300,36.72
2012-06-25,37.87,38.76,36.91,38.73,4867500,37.22
2012-06-18,37.53,38.6,37.53,38.16,6363300,36.67
2012-06-11,37.46,38.15,36.9,37.77,5010600,36.3
2012-06-04,36.14,37.4,35.67,37.33,4331800,35.87
2012-05-29,37.03,37.33,36.1,36.11,4687500,34.7
2012-05-21,36.93,38.1,36.26,36.88,5132200,35.44
2012-05-14,37.72,38.45,36.84,36.96,5159600,35.52
2012-05-07,38.05,38.99,37.62,38.03,3782300,36.55
2012-04-30,37.93,38.78,37.84,38.15,4496700,36.66
2012-04-23,37.35,37.72,36.88,37.69,7454100,36.22
2012-04-16,37.81,38.34,37.3,37.61,4322300,36.14
2012-04-09,37.77,38.36,37.35,37.51,4617000,36.05
2012-04-02,39.16,39.8,38.,38.2,4867200,36.71
2012-03-26,39.06,40.37,38.93,39.19,5132000,37.43
2012-03-19,39.39,39.72,38.36,38.7,4474000,36.96
2012-03-12,37.68,39.75,37.52,39.68,6274500,37.9
2012-03-05,37.8,38.29,37.34,37.67,5167500,35.98
2012-02-27,37.93,38.8,37.6,37.91,5248000,36.21
2012-02-21,39.34,39.45,37.76,38.12,7423700,36.41
2012-02-13,39.84,40.53,39.09,39.94,5481600,38.15
2012-02-06,40.,40.78,39.33,39.73,5208800,37.95
2012-01-30,39.17,40.25,38.55,40.2,6723300,38.39
2012-01-23,39.6,40.16,39.01,39.28,5422800,37.52
2012-01-17,39.4,39.98,38.61,39.94,5251500,38.15
2012-01-09,38.86,39.92,38.27,38.65,5240400,36.91
2012-01-03,38.92,39.23,38.12,39.03,6080800,37.28
2011-12-27,37.73,38.66,37.37,38.25,4084800,36.3
2011-12-19,35.4,37.94,34.98,37.84,5490400,35.91
2011-12-12,35.7,36.09,35.11,35.3,5463900,33.5
2011-12-05,36.68,36.69,35.2,35.92,7989300,34.09
2011-11-28,34.29,37.67,34.07,34.61,10411600,32.85
2011-11-21,33.36,34.99,33.21,33.68,7440700,31.97
2011-11-14,34.87,35.14,33.34,33.94,4894500,32.21
2011-11-07,34.52,35.37,33.88,35.1,4836200,33.31
2011-10-31,34.95,35.07,33.11,34.38,6707300,32.63
2011-10-24,34.4,35.54,33.65,35.48,4874200,33.67
2011-10-17,33.04,34.65,32.26,34.29,5839200,32.54
2011-10-10,33.22,33.66,32.41,33.1,5175700,31.41
2011-10-03,33.2,33.4,31.06,32.83,7827000,31.16
2011-09-26,33.34,35.08,32.84,33.24,5800000,31.31
2011-09-19,34.51,35.13,32.45,33.06,7355600,31.14
2011-09-12,33.07,35.03,32.94,35.02,5956300,32.99
2011-09-06,33.6,35.42,33.17,33.38,7115500,31.44
2011-08-29,34.57,35.62,33.83,34.21,5989900,32.22
2011-08-22,31.89,34.61,31.14,34.05,10041200,32.07
2011-08-15,31.73,33.27,30.94,31.29,8181800,29.47
2011-08-08,32.67,33.19,30.18,31.54,13904200,29.71
2011-08-01,36.36,36.36,32.5,33.31,9842900,31.38
2011-07-25,36.71,36.93,35.55,36.05,6036500,33.96
2011-07-18,36.75,37.52,36.27,37.07,4580600,34.92
2011-07-11,37.65,38.1,36.99,37.12,5727200,34.96
2011-07-05,38.57,38.73,37.57,38.,6171000,35.79
2011-06-27,38.49,39.19,38.01,39.12,5993900,36.61
2011-06-20,38.02,39.09,37.52,38.4,6511700,35.94
2011-06-13,38.14,38.97,37.89,38.19,7126700,35.74
2011-06-06,39.14,39.23,37.92,38.02,4724100,35.58
2011-05-31,40.37,40.81,38.7,39.27,6301500,36.75
2011-05-23,41.78,41.85,39.91,40.31,8361200,37.73
2011-05-16,41.98,43.33,41.93,42.21,7206900,39.5
2011-05-09,42.49,43.,41.68,42.03,6311400,39.34
2011-05-02,41.97,43.16,41.94,42.69,4823900,39.95
2011-04-25,40.72,42.2,40.33,41.75,4167200,39.07
2011-04-18,40.77,41.2,40.13,40.84,4305100,38.22
2011-04-11,40.16,41.54,39.7,41.05,5610200,38.42
2011-04-04,39.5,40.1,39.18,39.67,4917000,37.13
2011-03-28,38.42,39.9,38.3,39.5,4190000,36.76
2011-03-21,37.82,38.61,37.25,38.36,4806200,35.69
2011-03-14,37.59,38.01,36.31,37.51,6184000,34.9
2011-03-07,39.38,40.22,37.77,38.08,5835900,35.43
2011-02-28,39.91,40.25,38.47,39.26,7233000,36.53
2011-02-22,39.61,40.67,39.1,39.88,7227500,37.11
2011-02-14,39.61,41.37,39.15,41.27,5557600,38.4
2011-02-07,39.23,39.98,39.1,39.69,6091000,36.93
2011-01-31,38.07,39.33,37.9,39.24,5447600,36.51
2011-01-24,38.42,38.84,37.51,38.05,7094100,35.41
2011-01-18,37.3,39.,37.12,38.51,7738800,35.83
2011-01-10,36.35,37.34,36.17,37.2,7068900,34.62
2011-01-03,37.25,37.52,36.35,36.41,10667000,33.88
2010-12-27,36.94,37.39,36.9,37.09,3579500,34.3
2010-12-20,38.75,39.53,36.71,36.96,10099000,34.18
2010-12-13,36.17,37.49,35.79,37.4,9098900,34.59
2010-12-06,34.19,35.96,33.8,35.94,6986700,33.24
2010-11-29,33.66,34.42,33.33,34.21,7621500,31.64
2010-11-22,34.46,34.83,33.7,33.84,6821000,31.3
2010-11-15,34.8,34.99,34.03,34.6,6016500,32.
2010-11-08,35.11,35.88,34.43,34.63,4731100,32.03
2010-11-01,35.6,35.87,34.92,35.35,5851700,32.69
2010-10-25,36.14,36.62,35.13,35.23,8117000,32.58
2010-10-18,33.35,36.,33.16,35.75,10845500,33.06
2010-10-11,33.41,33.69,33.02,33.29,5323400,30.79
2010-10-04,33.64,34.01,33.05,33.45,5248000,30.94
2010-09-27,33.81,33.81,33.05,33.63,6027900,30.9
2010-09-20,33.54,34.15,33.2,33.84,7564700,31.09
2010-09-13,33.69,33.92,33.04,33.3,9335400,30.59
2010-09-07,32.92,33.47,32.23,33.34,6347900,30.63
2010-08-30,32.46,33.1,31.4,32.98,7596000,30.3
2010-08-23,34.93,35.52,30.8,32.52,15871800,29.88
2010-08-16,35.4,36.77,34.35,34.77,6603800,31.94
2010-08-09,36.9,37.7,35.49,35.57,5464400,32.68
2010-08-02,37.49,38.08,37.2,37.81,4956400,34.74
2010-07-26,36.49,37.59,35.89,36.97,6252600,33.97
2010-07-19,37.33,37.7,35.92,36.58,5662000,33.61
2010-07-12,37.64,38.37,37.14,37.27,5744100,34.24
