Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,50.52,51.15,50.47,50.87,5561300,50.87
2014-02-18,50.38,51.76,50.08,50.52,6171900,50.52
2014-02-10,49.08,50.65,48.28,50.39,6032500,50.39
2014-02-03,49.06,49.17,46.98,49.11,6775900,49.11
2014-01-27,49.51,49.98,48.34,49.05,6161200,48.76
2014-01-21,53.43,53.46,49.46,49.51,6280900,49.22
2014-01-13,53.9,54.4,52.8,52.96,4778900,52.65
2014-01-06,53.49,54.7,53.21,54.1,4992300,53.78
2013-12-30,53.98,54.1,52.89,53.81,3448300,53.5
2013-12-23,53.37,54.32,53.04,53.96,3778200,53.64
2013-12-16,51.45,53.32,50.13,53.12,8176000,52.81
2013-12-09,51.89,52.24,50.94,51.19,5777400,50.89
2013-12-02,52.42,53.08,50.94,51.67,5252200,51.37
2013-11-25,52.95,52.98,52.13,52.19,3964400,51.89
2013-11-18,51.97,53.11,51.89,52.65,6181800,52.34
2013-11-11,50.,52.09,48.89,52.01,7196600,51.71
2013-11-04,47.45,50.66,47.31,50.14,7010400,49.85
2013-10-28,48.65,49.4,47.,47.32,6115100,46.77
2013-10-21,49.52,49.81,47.92,48.63,5008300,48.07
2013-10-14,48.4,49.67,47.96,49.45,4816400,48.88
2013-10-07,47.15,48.75,45.75,48.74,5152200,48.18
2013-09-30,46.6,47.73,46.12,47.69,6567000,47.14
2013-09-23,47.44,48.34,46.8,47.21,6007000,46.67
2013-09-16,49.34,50.79,46.87,47.49,11425100,46.94
2013-09-09,48.01,49.78,47.98,48.83,4634500,48.27
2013-09-03,46.84,48.98,46.58,47.98,5609700,47.43
2013-08-26,48.33,48.46,45.52,46.19,5742400,45.66
2013-08-19,48.11,48.97,47.11,48.26,5556900,47.7
2013-08-12,49.32,49.79,47.67,48.28,6026600,47.72
2013-08-05,50.6,51.04,48.69,49.77,5355200,49.2
2013-07-29,48.81,51.65,47.92,50.8,7534700,49.94
2013-07-22,48.85,49.86,48.3,48.93,5964400,48.1
2013-07-15,48.79,49.06,47.49,48.64,6881500,47.81
2013-07-08,47.83,49.25,47.55,49.08,6674300,48.24
