Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,80.54,80.92,80.05,80.15,1765800,80.15
2014-02-18,81.48,82.09,79.85,80.22,1462600,79.92
2014-02-10,79.77,82.05,78.99,81.53,1611700,81.23
2014-02-03,76.,81.08,74.07,79.97,2628200,79.67
2014-01-27,73.41,77.3,72.83,76.04,1981900,75.76
2014-01-21,77.25,77.7,73.22,73.27,1045200,73.
2014-01-13,78.04,78.35,75.59,76.75,1666800,76.46
2014-01-06,77.8,78.45,77.09,78.04,1157200,77.75
2013-12-30,77.26,78.81,76.53,77.54,899200,77.25
2013-12-23,76.55,77.59,75.48,77.47,648300,77.18
2013-12-16,71.16,76.16,71.16,76.,1622800,75.72
2013-12-09,74.93,75.32,71.59,72.2,1096900,71.93
2013-12-02,74.4,75.79,72.44,74.73,1566700,74.45
2013-11-25,74.28,75.85,73.54,74.5,613400,74.22
2013-11-18,72.48,74.47,72.21,74.28,1186700,74.
2013-11-11,71.52,72.61,70.37,72.12,989500,71.58
2013-11-04,71.37,71.62,69.78,71.42,917100,70.88
2013-10-28,71.24,71.76,69.19,71.08,1541900,70.55
2013-10-21,69.,74.37,68.65,71.35,1589200,70.81
2013-10-14,67.19,69.47,66.96,68.93,1075300,68.41
2013-10-07,65.67,67.98,65.34,67.85,1151600,67.34
2013-09-30,65.47,67.23,65.07,66.03,1009900,65.53
2013-09-23,66.96,66.96,64.91,65.92,990900,65.42
2013-09-16,62.17,65.95,62.17,65.68,1293600,65.19
2013-09-09,60.07,62.45,60.07,61.74,1022100,61.28
2013-09-03,59.08,60.93,58.59,60.03,1555800,59.58
2013-08-26,60.36,60.65,58.23,58.37,875300,57.93
2013-08-19,60.56,60.82,58.83,60.,1107500,59.55
2013-08-12,62.55,63.87,60.06,60.66,1202600,59.92
2013-08-05,62.24,64.22,61.91,62.76,1179600,62.
2013-07-29,60.31,62.98,59.61,62.76,1085400,62.
2013-07-22,58.58,61.32,55.72,60.5,1640700,59.76
2013-07-15,57.76,59.,57.16,58.49,1228100,57.78
2013-07-08,55.18,57.76,55.01,57.44,1230600,56.74
2013-07-01,53.56,54.99,53.45,54.87,836900,54.2
2013-06-24,53.57,54.12,52.68,53.19,1766400,52.54
2013-06-17,54.95,56.55,53.01,54.41,1952900,53.75
2013-06-10,54.79,55.71,54.16,54.73,1311600,54.06
2013-06-03,54.6,55.04,53.36,54.74,1723100,54.07
2013-05-28,54.16,55.39,53.76,54.55,1323400,53.89
2013-05-20,55.47,55.94,52.91,53.45,1400300,52.8
2013-05-13,55.54,56.07,55.05,55.7,1084000,54.74
2013-05-06,54.5,55.69,54.1,55.69,1156200,54.73
2013-04-29,54.,55.,53.28,54.43,2550100,53.49
2013-04-22,51.81,52.25,50.98,52.,1335400,51.1
2013-04-15,51.45,52.15,51.07,51.85,2152100,50.95
2013-04-08,51.49,52.21,51.11,51.8,1806200,50.91
2013-04-01,51.87,52.27,50.51,51.54,1892400,50.65
2013-03-25,49.01,52.38,48.93,52.08,2938100,51.18
2013-03-18,48.33,49.1,47.56,48.37,1352400,47.53
2013-03-11,47.71,49.68,47.52,48.9,2862600,48.06
2013-03-04,47.35,48.57,46.56,47.56,2301200,46.74
2013-02-25,46.08,47.47,44.93,47.26,2428600,46.44
2013-02-19,44.85,46.2,44.75,46.04,3834000,45.24
2013-02-11,42.79,45.3,42.52,44.95,6113300,43.9
2013-02-04,58.04,58.39,42.07,42.67,17041200,41.68
2013-01-28,56.97,58.62,56.3,58.34,2381200,56.98
2013-01-22,54.2,57.25,53.88,56.98,2093900,55.65
2013-01-14,53.87,54.81,53.59,54.34,2105300,53.08
2013-01-07,54.83,55.36,53.46,53.87,2099800,52.62
2012-12-31,53.11,55.85,53.11,55.1,1424100,53.82
2012-12-24,54.14,54.43,53.16,53.23,892500,51.99
2012-12-17,54.06,55.02,53.71,54.04,2783700,52.78
2012-12-10,55.03,57.44,53.08,53.98,5512400,52.72
2012-12-03,53.21,56.83,52.93,56.53,3624000,55.21
2012-11-26,51.37,53.6,51.26,53.11,3434200,51.87
2012-11-19,51.35,51.95,50.65,51.94,892000,50.48
2012-11-12,50.95,51.91,49.56,50.73,1513000,49.31
2012-11-05,54.37,54.37,50.28,50.77,3258300,49.34
2012-10-31,56.01,56.75,54.27,54.43,2280900,52.9
2012-10-22,55.93,56.7,54.16,56.03,1360600,54.46
2012-10-15,55.37,56.64,54.92,56.09,1653300,54.52
