Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,81.3,81.8,80.85,80.96,1924200,80.96
2014-02-18,77.89,81.71,74.68,80.9,3386400,80.9
2014-02-10,76.59,79.19,76.19,77.67,2072400,77.67
2014-02-03,76.78,77.28,73.23,75.95,3576900,75.95
2014-01-27,78.61,80.29,74.86,76.89,3340900,76.89
2014-01-21,83.04,83.32,78.02,78.29,1922800,78.29
2014-01-13,83.52,84.18,82.2,82.28,1034700,82.28
2014-01-06,83.62,85.,82.91,83.83,1231000,83.83
2013-12-30,83.27,84.48,82.21,83.44,1816900,83.44
2013-12-23,83.58,83.95,82.55,82.95,951900,82.95
2013-12-16,83.69,83.95,82.06,82.89,1192400,82.89
2013-12-09,85.72,86.2,83.,83.16,1223600,83.16
2013-12-02,84.69,85.93,84.03,85.58,1408100,85.24
2013-11-25,84.12,85.12,83.61,84.51,1015400,84.17
2013-11-18,85.24,85.24,82.04,84.09,1649100,83.75
2013-11-11,80.74,86.63,78.94,84.85,1963500,84.51
2013-11-04,82.18,82.66,79.06,80.48,1302800,80.16
2013-10-28,80.94,83.24,80.73,81.95,1408900,81.62
2013-10-21,80.12,84.,77.61,81.09,2896800,80.77
2013-10-14,76.02,79.96,74.82,78.81,1665000,78.49
2013-10-07,74.9,76.75,74.11,76.73,929500,76.42
2013-09-30,75.03,75.29,73.69,75.12,1619300,74.82
2013-09-23,77.7,77.83,74.73,75.24,930000,74.94
2013-09-16,76.12,78.68,75.71,77.47,1599100,77.16
2013-09-09,74.97,75.9,73.98,75.64,1446800,75.34
2013-09-03,74.91,75.5,73.79,74.76,1421300,74.12
2013-08-26,76.99,77.,73.7,75.03,1253400,74.39
2013-08-19,75.85,77.28,75.8,76.95,1204700,76.29
2013-08-12,77.26,77.99,75.24,76.11,1129200,75.46
2013-08-05,76.69,80.38,76.38,77.84,2228800,77.18
2013-07-29,73.,76.53,72.23,76.,1790100,75.35
2013-07-22,73.35,78.29,70.54,73.68,2581200,73.05
2013-07-15,74.59,74.59,71.87,73.3,1909300,72.68
2013-07-08,69.21,75.,68.71,74.27,3797300,73.64
2013-07-01,79.62,80.98,66.8,69.33,5829200,68.74
2013-06-24,77.52,79.74,76.22,79.23,1414600,78.55
2013-06-17,81.77,83.68,77.54,78.25,1171600,77.58
2013-06-10,82.81,82.89,80.58,81.35,824600,80.32
2013-06-03,81.05,83.06,78.88,82.63,1208500,81.58
2013-05-28,84.9,86.87,81.06,81.07,1542400,80.04
2013-05-20,80.47,86.,79.35,84.44,2380400,83.37
2013-05-13,79.08,81.36,79.08,80.47,1205200,79.45
2013-05-06,80.48,80.85,78.07,78.97,989700,77.97
2013-04-29,80.41,82.41,79.17,80.72,1331100,79.7
2013-04-22,81.,82.21,77.19,79.97,1909700,78.96
2013-04-15,77.29,81.66,76.85,81.13,2291300,80.1
2013-04-08,75.62,78.35,75.5,77.51,788300,76.53
