Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,47.99,48.48,47.84,48.07,2176700,48.07
2014-02-18,47.41,48.19,47.3,47.96,1990600,47.96
2014-02-10,45.81,47.69,45.39,47.67,1904100,47.67
2014-02-03,45.72,45.9,44.25,45.88,3291100,45.88
2014-01-27,46.04,46.41,45.45,45.71,2772700,45.71
2014-01-21,48.63,48.83,46.37,46.37,2336600,46.12
2014-01-13,47.46,48.73,47.3,48.5,1915700,48.24
2014-01-06,48.06,48.71,47.52,48.19,1583500,47.93
2013-12-30,48.35,48.56,47.61,47.85,1340700,47.59
2013-12-23,48.39,48.51,47.86,48.29,1272000,48.03
2013-12-16,47.45,48.41,46.85,48.13,1915300,47.87
2013-12-09,48.08,48.36,47.17,47.25,1768600,47.
2013-12-02,47.46,48.04,46.69,48.03,1874200,47.77
2013-11-25,47.92,47.97,47.35,47.45,1471200,47.19
2013-11-18,47.25,47.95,46.99,47.94,1756600,47.68
2013-11-11,46.21,47.31,46.01,47.27,1839800,47.02
2013-11-04,46.05,46.6,45.48,46.14,2187200,45.89
2013-10-28,46.57,46.75,45.65,45.93,2019500,45.68
2013-10-21,45.5,46.78,45.29,46.56,2305400,46.31
2013-10-14,43.1,45.6,42.99,45.53,2680500,45.28
2013-10-07,43.01,43.3,41.98,43.26,2455800,43.03
2013-09-30,43.46,43.86,42.78,43.54,2293500,43.05
2013-09-23,44.16,44.63,43.55,43.76,3184500,43.27
2013-09-16,42.69,44.46,42.62,44.23,2812200,43.73
2013-09-09,41.36,42.58,41.35,42.41,1983600,41.93
2013-09-03,41.76,41.93,40.95,41.31,1814700,40.85
2013-08-26,42.51,42.63,40.94,41.23,2037500,40.77
2013-08-19,41.7,42.82,41.52,42.51,2716000,42.03
2013-08-12,41.75,42.3,41.46,41.72,1535400,41.25
2013-08-05,42.38,42.46,41.28,41.9,1426400,41.43
2013-07-29,41.91,42.64,41.59,42.49,1528900,42.01
2013-07-22,41.76,42.,41.39,41.99,1568500,41.52
2013-07-15,41.7,41.98,41.39,41.8,1520000,41.33
2013-07-08,41.06,41.88,40.32,41.65,2072900,41.18
2013-07-01,40.07,40.97,39.96,40.95,1838100,40.24
2013-06-24,38.99,40.33,38.5,39.92,2523000,39.23
2013-06-17,40.14,40.47,38.83,39.34,3575100,38.66
2013-06-10,40.52,40.66,39.59,39.95,2046800,39.26
2013-06-03,40.06,40.57,37.47,40.45,2519000,39.75
2013-05-28,40.77,41.13,40.01,40.02,2405500,39.33
2013-05-20,41.,41.68,40.03,40.43,2466300,39.73
2013-05-13,39.47,41.09,39.34,41.09,2652700,40.38
2013-05-06,38.8,39.85,38.66,39.47,2204800,38.79
2013-04-29,37.39,38.93,37.31,38.77,2317000,38.1
2013-04-22,37.32,37.74,37.09,37.33,1996200,36.68
2013-04-15,38.3,38.3,37.,37.27,2651300,36.63
2013-04-08,37.11,38.63,37.01,38.34,2846200,37.68
2013-04-01,37.88,38.13,37.14,37.39,2197000,36.52
2013-03-25,37.5,38.,37.15,37.97,2598900,37.08
2013-03-18,36.63,37.66,36.59,37.4,2916200,36.53
2013-03-11,36.91,37.18,36.4,37.09,2710300,36.22
2013-03-04,37.01,37.47,36.8,36.98,2936400,36.12
2013-02-25,36.68,37.25,35.53,37.24,5050600,36.37
2013-02-19,35.6,36.6,35.18,36.59,3087500,35.74
2013-02-11,36.56,36.58,34.43,36.12,4713600,35.28
2013-02-04,35.62,36.93,35.59,36.55,3577100,35.7
2013-01-28,35.15,36.15,34.85,35.88,6337300,35.04
2013-01-22,34.87,35.32,34.8,35.,3893200,34.18
2013-01-14,35.21,35.21,34.64,34.94,2342000,33.9
2013-01-07,35.15,35.36,34.73,35.26,1854900,34.21
2012-12-31,34.12,35.59,33.95,35.39,2361400,34.34
2012-12-24,34.9,35.02,34.2,34.23,1714800,33.21
2012-12-17,34.38,35.28,34.3,35.03,3531500,33.99
2012-12-10,35.03,35.07,34.2,34.21,1936400,33.19
2012-12-03,35.28,35.44,34.72,35.11,1957600,34.07
2012-11-26,35.52,35.71,34.9,35.22,3033600,34.17
2012-11-19,34.86,35.78,34.56,35.78,2353900,34.72
2012-11-12,34.23,34.54,33.88,34.54,3299500,33.51
2012-11-05,34.24,34.94,33.96,34.16,2496300,33.14
2012-10-31,33.8,34.94,33.53,34.28,3242300,33.26
2012-10-22,34.2,34.4,33.09,33.74,2393300,32.74
2012-10-15,34.37,35.19,34.1,34.35,2043500,33.33
2012-10-08,34.59,34.78,34.18,34.34,1803100,33.32
2012-10-01,34.05,34.9,34.05,34.77,2333500,33.51
2012-09-24,34.33,34.5,33.61,33.93,2473100,32.7
2012-09-17,34.83,34.99,34.08,34.5,2185300,33.25
2012-09-10,34.26,34.9,33.88,34.9,2674800,33.64
2012-09-04,34.12,34.43,33.75,34.32,2092100,33.08
2012-08-27,34.06,34.38,33.55,34.17,1765000,32.93
2012-08-20,34.15,34.21,33.64,34.05,1567800,32.82
2012-08-13,33.89,34.25,33.74,34.24,1690600,33.
2012-08-06,33.63,34.31,33.33,34.02,2482800,32.79
2012-07-30,33.26,33.85,32.66,33.41,2606900,32.2
2012-07-23,32.01,33.5,31.42,33.36,2804900,32.15
2012-07-16,32.38,32.91,32.11,32.37,2530800,31.2
2012-07-09,32.52,32.65,31.63,32.35,2621100,31.18
2012-07-02,32.47,32.86,32.22,32.66,2599300,31.26
2012-06-25,30.9,32.23,30.78,32.23,3205900,30.85
2012-06-18,31.8,31.8,30.74,31.22,5408000,29.88
2012-06-11,32.17,32.24,31.51,31.78,2730400,30.42
2012-06-04,31.59,32.88,31.34,31.98,3636900,30.61
2012-05-29,32.45,32.5,31.51,31.54,3350600,30.19
2012-05-21,31.6,32.64,31.53,32.3,2384300,30.91
2012-05-14,32.8,32.9,31.55,31.63,2825000,30.27
2012-05-07,34.13,34.35,32.95,33.05,4127500,31.63
2012-04-30,33.1,34.68,32.91,34.09,3731800,32.63
2012-04-23,31.98,33.47,31.77,33.2,2886100,31.77
2012-04-16,32.13,32.94,31.88,32.38,2631000,30.99
2012-04-09,31.98,32.33,31.41,31.92,1995600,30.55
2012-04-02,32.73,32.96,32.09,32.31,1984300,30.92
2012-03-26,32.77,33.14,32.58,32.79,2052100,31.17
2012-03-19,32.86,33.05,32.32,32.5,2007500,30.89
2012-03-12,32.18,33.4,32.04,32.96,2831800,31.33
2012-03-05,31.57,32.33,31.27,32.25,2866800,30.66
2012-02-27,31.5,32.05,31.19,31.7,2647200,30.13
2012-02-21,31.82,32.33,31.64,31.77,2659200,30.2
2012-02-13,32.26,32.47,31.16,32.22,3830500,30.63
2012-02-06,32.37,32.72,31.96,32.04,2634900,30.46
2012-01-30,31.47,32.55,31.28,32.53,2879900,30.92
2012-01-23,31.52,31.94,31.07,31.77,2288400,30.2
2012-01-17,31.54,31.86,31.17,31.63,4081000,29.86
2012-01-09,30.69,31.48,30.69,31.37,5244400,29.61
2012-01-03,32.09,32.26,30.71,30.72,3457400,29.
2011-12-27,31.59,32.,31.55,31.62,1997800,29.85
2011-12-19,30.59,31.74,30.16,31.74,2247400,29.96
2011-12-12,30.77,31.,30.2,30.42,3260700,28.71
2011-12-05,30.63,31.19,30.27,31.06,2835700,29.32
2011-11-28,28.94,30.87,28.61,30.37,2930500,28.67
2011-11-21,28.87,29.07,28.06,28.47,2206000,26.87
2011-11-14,30.85,31.02,29.04,29.24,3082500,27.6
2011-11-07,30.5,31.39,30.11,31.02,2914500,29.28
2011-10-31,30.79,31.42,29.45,30.58,4523800,28.87
2011-10-24,30.41,31.93,29.42,30.95,4612600,29.22
2011-10-17,27.96,30.36,27.3,30.36,3929700,28.66
2011-10-10,27.15,28.32,27.09,28.2,2833200,26.62
2011-10-03,26.51,27.53,25.29,26.66,4281700,25.17
2011-09-26,26.97,27.85,26.47,26.55,3898700,24.86
2011-09-19,28.01,28.53,26.13,26.68,3536700,24.98
2011-09-12,28.16,28.9,27.85,28.57,4391300,26.75
2011-09-06,28.15,29.83,28.03,28.57,4830200,26.75
2011-08-29,29.32,29.93,28.71,28.99,3510000,27.14
2011-08-22,27.94,29.3,27.31,29.06,6085300,27.21
2011-08-15,28.28,28.63,27.12,27.3,6017200,25.56
2011-08-08,27.8,28.82,25.89,28.02,9035700,26.24
2011-08-01,29.74,29.78,27.49,28.27,5949400,26.47
2011-07-25,29.56,30.41,28.93,29.49,3656600,27.61
2011-07-18,29.83,30.25,29.1,29.79,2596700,27.89
2011-07-11,30.85,31.04,29.7,29.87,2736700,27.97
2011-07-05,31.41,31.57,30.95,31.25,2499800,29.26
2011-06-27,29.89,31.57,29.89,31.54,3047000,29.32
2011-06-20,29.65,30.67,29.54,29.92,3872600,27.82
2011-06-13,29.9,30.31,29.54,29.79,3721800,27.7
2011-06-06,30.26,30.67,29.44,29.61,3176300,27.53
2011-05-31,30.99,31.07,29.8,30.27,3526900,28.14
2011-05-23,30.06,30.89,29.68,30.76,2508600,28.6
2011-05-16,29.64,30.64,29.63,30.43,2300800,28.29
2011-05-09,29.74,30.15,29.51,29.74,2536100,27.65
2011-05-02,30.37,31.1,29.66,29.74,4388900,27.65
2011-04-25,29.75,30.49,29.36,30.28,2613400,28.15
2011-04-18,29.18,29.92,28.71,29.78,2689200,27.69
2011-04-11,30.09,30.12,29.09,29.52,1998300,27.45
2011-04-04,30.,30.34,29.57,30.07,2728900,27.96
2011-03-28,29.92,30.15,29.58,30.,2651900,27.7
2011-03-21,29.42,29.9,28.82,29.8,3104000,27.51
2011-03-14,29.58,30.8,28.89,29.19,5813700,26.95
2011-03-07,30.19,30.5,29.17,30.27,3868300,27.95
2011-02-28,30.1,30.62,29.56,30.24,3578400,27.92
2011-02-22,29.84,30.51,29.63,30.2,3959400,27.88
2011-02-14,28.72,31.08,28.66,30.78,4650300,28.42
2011-02-07,28.5,28.9,28.35,28.8,2599800,26.59
2011-01-31,27.81,28.87,27.72,28.39,2588600,26.21
2011-01-24,27.53,28.69,27.41,27.78,2331800,25.65
2011-01-18,27.73,27.91,27.15,27.6,2044500,25.29
2011-01-10,26.95,27.71,26.72,27.71,2617700,25.39
2011-01-03,27.51,27.82,26.92,27.07,3915400,24.8
2010-12-27,27.19,27.5,27.16,27.34,1073200,25.05
2010-12-20,27.05,27.35,27.04,27.3,1736700,25.01
2010-12-13,26.99,27.28,26.72,27.09,2743900,24.82
2010-12-06,25.97,27.,25.89,26.91,2258500,24.66
2010-11-29,24.83,26.42,24.71,26.09,3207100,23.91
2010-11-22,25.05,25.19,24.72,25.07,2232500,22.97
2010-11-15,25.48,25.8,24.71,25.21,2903100,23.1
2010-11-08,25.86,26.49,25.01,25.42,3592500,23.29
2010-11-01,25.09,26.34,24.98,25.97,1857500,23.8
2010-10-25,25.29,25.44,24.73,24.98,2492900,22.89
2010-10-18,23.95,25.29,23.94,25.19,3373400,23.08
2010-10-11,23.77,24.24,23.59,23.92,2806500,21.92
2010-10-04,23.83,24.07,23.4,23.72,2890000,21.73
2010-09-27,24.15,24.72,23.8,23.92,2635000,21.73
2010-09-20,24.29,24.54,23.48,24.34,2637900,22.11
2010-09-13,24.43,24.5,23.83,24.27,3668900,22.04
2010-09-07,24.35,24.48,24.01,24.12,3063100,21.91
2010-08-30,23.83,24.61,23.49,24.58,3330900,22.33
2010-08-23,23.29,23.97,23.08,23.96,3260700,21.76
2010-08-16,23.39,24.12,22.85,23.14,2866500,21.02
2010-08-09,24.03,24.17,23.17,23.49,2326900,21.34
2010-08-02,23.87,24.2,23.59,23.99,2766300,21.79
2010-07-26,22.98,23.73,22.85,23.52,2483300,21.36
