Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,131.89,133.46,131.44,132.2,2454300,132.2
2014-02-18,132.31,132.75,130.05,131.57,2581500,131.57
2014-02-10,129.65,132.19,128.66,132.12,2780500,132.12
2014-02-03,128.22,130.39,123.61,130.33,4741800,129.48
2014-01-27,130.02,131.27,126.42,128.19,3489800,127.35
2014-01-21,138.45,138.95,130.22,130.22,2830200,129.37
2014-01-13,135.81,138.82,134.57,137.31,2451900,136.41
2014-01-06,138.75,139.29,135.68,136.18,2830900,135.29
2013-12-30,139.08,140.43,137.61,138.45,2186500,137.55
2013-12-23,137.1,139.4,136.32,139.35,2201100,138.44
2013-12-16,126.77,138.09,126.47,136.72,4905900,135.83
2013-12-09,128.8,129.66,125.98,126.43,2509000,125.6
2013-12-02,131.67,132.,125.15,128.61,4788300,127.77
2013-11-25,131.8,134.16,130.94,133.51,2797100,132.64
2013-11-18,129.91,132.55,128.55,131.02,2118600,130.16
2013-11-11,127.54,130.12,127.25,129.85,2307300,128.37
2013-11-04,125.98,128.02,124.86,127.99,2166500,126.53
2013-10-28,124.13,126.93,123.8,125.9,2091300,124.47
2013-10-21,122.79,124.96,122.5,124.42,2411700,123.
2013-10-14,120.26,123.45,119.79,122.84,2523100,121.44
2013-10-07,118.56,120.77,116.65,120.72,2496100,119.35
2013-09-30,119.39,119.96,117.89,119.4,2105100,118.04
2013-09-23,120.43,121.87,119.26,120.22,2699200,118.85
2013-09-16,119.79,122.27,118.65,120.01,3682200,118.64
2013-09-09,115.63,118.91,115.51,118.6,2162300,117.25
2013-09-03,114.57,115.82,112.85,115.04,2098400,113.73
2013-08-26,114.38,115.17,112.36,113.58,1786300,112.29
2013-08-19,115.83,115.96,113.34,114.4,2046300,113.1
2013-08-12,118.,119.18,115.64,115.9,2003900,113.95
2013-08-05,118.17,119.2,117.04,118.31,1993500,116.32
2013-07-29,116.41,119.26,116.06,118.26,2267100,116.27
2013-07-22,116.,117.3,114.84,116.91,2513100,114.94
2013-07-15,115.14,116.47,114.06,116.19,2531800,114.24
2013-07-08,112.,115.24,111.9,115.14,2350900,113.2
2013-07-01,108.37,111.56,108.21,111.54,2275200,109.66
2013-06-24,108.78,110.9,107.15,109.35,2892300,107.51
2013-06-17,111.85,113.25,108.52,109.59,2786900,107.75
2013-06-10,111.41,112.07,108.58,111.03,2199500,109.16
2013-06-03,110.7,111.2,107.64,111.11,2780300,109.24
2013-05-28,111.15,112.38,110.27,110.27,2660600,108.42
2013-05-20,111.13,112.34,109.49,110.27,2712100,108.42
2013-05-13,109.99,111.78,109.71,111.39,2836800,108.9
2013-05-06,107.63,110.64,107.45,110.48,2908800,108.01
2013-04-29,103.91,108.6,102.89,107.83,3212800,105.42
2013-04-22,105.71,108.15,103.46,103.79,4296200,101.47
2013-04-15,107.15,107.91,104.28,105.71,3187400,103.34
2013-04-08,105.86,108.72,105.1,107.68,2365900,105.27
2013-04-01,106.,106.97,104.35,105.78,2261900,103.41
2013-03-25,106.53,106.8,104.68,106.31,2509700,103.93
2013-03-18,105.23,106.49,104.64,106.42,2233800,104.04
2013-03-11,105.33,106.88,104.88,106.4,2671700,104.02
2013-03-04,103.51,105.81,102.59,105.71,2580200,103.34
2013-02-25,103.91,104.56,101.75,103.77,2675600,101.45
2013-02-19,103.42,104.4,102.39,103.54,2725000,101.22
2013-02-11,102.39,103.59,102.04,103.23,1977400,100.92
2013-02-04,100.77,103.33,100.58,102.66,2509300,99.75
2013-01-28,100.98,101.99,100.06,101.56,3387000,98.68
2013-01-22,98.39,100.87,98.1,100.59,3712100,97.73
2013-01-14,96.4,98.8,96.1,98.74,2556600,95.94
2013-01-07,95.02,96.99,94.76,96.28,2657100,93.55
2012-12-31,91.55,95.48,91.4,95.37,2799200,92.66
2012-12-24,92.7,93.73,91.61,91.78,1683600,89.17
2012-12-17,92.39,94.14,91.94,93.1,3614100,90.46
2012-12-10,91.37,94.,91.35,92.28,3212900,89.66
2012-12-03,91.41,91.68,89.6,91.51,2279900,88.91
2012-11-26,89.54,91.97,89.48,90.95,2297900,88.37
2012-11-19,89.25,90.33,88.4,90.28,1959000,87.72
2012-11-12,88.96,90.19,86.74,88.5,3323400,85.42
2012-11-05,88.08,91.23,88.08,88.81,3193800,85.72
2012-10-31,88.03,89.97,87.49,88.97,3239600,85.87
2012-10-22,92.41,93.06,87.41,88.03,4104900,84.97
2012-10-15,92.71,95.1,92.37,92.94,3061700,89.71
2012-10-08,94.55,95.46,92.4,92.75,2630800,89.52
2012-10-01,92.9,95.2,92.21,94.96,3261600,91.66
2012-09-24,92.85,94.1,91.7,92.42,2818300,89.2
2012-09-17,93.66,94.09,92.73,93.21,4022700,89.97
2012-09-10,92.27,93.98,90.46,93.98,3778200,90.71
2012-09-04,92.03,93.65,91.1,92.82,2989100,89.59
2012-08-27,92.92,93.,91.3,92.6,1835100,89.38
2012-08-20,94.,94.17,91.79,92.83,2035100,89.6
2012-08-13,92.29,94.3,91.74,94.24,2473400,90.39
2012-08-06,92.,92.34,90.95,92.29,1847100,88.52
2012-07-30,91.41,91.95,89.23,91.7,2649600,87.95
2012-07-23,88.44,92.08,87.58,91.71,3500200,87.96
2012-07-16,88.12,91.2,87.55,89.99,3315900,86.31
2012-07-09,88.86,89.82,85.34,87.59,3540700,84.01
2012-07-02,89.29,89.95,88.28,88.99,1954400,85.35
2012-06-25,85.87,89.6,85.29,89.6,3216400,85.94
2012-06-18,87.07,88.38,86.38,86.83,3271700,83.28
2012-06-11,86.54,87.91,85.08,87.44,3214100,83.86
2012-06-04,82.79,86.19,81.99,86.,2824700,82.48
2012-05-29,85.38,86.,82.72,82.85,3015400,79.46
2012-05-21,83.88,85.2,82.95,84.78,2663800,81.31
2012-05-14,85.46,86.55,83.27,83.51,2878700,80.09
2012-05-07,87.7,88.62,85.98,86.73,2817400,82.61
2012-04-30,89.25,89.95,88.3,88.67,2326900,84.46
2012-04-23,86.52,89.75,86.02,89.36,3360500,85.12
2012-04-16,86.04,87.8,85.92,87.48,2587600,83.32
2012-04-09,86.24,86.93,84.44,85.69,2639400,81.62
2012-04-02,88.79,89.36,86.97,87.27,2345100,83.12
2012-03-26,88.92,89.61,87.72,89.21,2369800,84.97
2012-03-19,89.52,89.9,87.72,88.46,2578900,84.26
2012-03-12,87.1,90.,86.96,89.56,3275300,85.31
2012-03-05,87.4,87.45,84.83,86.8,2792400,82.68
2012-02-27,87.41,88.32,87.04,87.52,2826800,83.36
2012-02-21,87.74,88.46,87.27,88.2,2778200,84.01
2012-02-13,87.57,88.15,86.75,87.56,2882200,83.4
2012-02-06,87.15,88.29,86.69,87.14,2757700,82.44
2012-01-30,86.5,88.29,85.79,87.73,3037900,83.
2012-01-23,85.7,87.99,84.63,87.46,4089700,82.75
2012-01-17,84.85,86.23,84.02,85.65,3338000,81.03
2012-01-09,83.58,85.19,83.07,83.6,3488600,79.1
2012-01-03,83.76,84.44,82.7,83.37,3085700,78.88
2011-12-27,81.91,82.64,80.94,81.73,1994400,77.33
2011-12-19,79.02,82.21,77.51,82.2,3392700,77.77
2011-12-12,81.9,81.99,78.26,78.87,4251200,74.62
2011-12-05,81.33,82.8,80.26,82.2,4856900,77.77
2011-11-28,77.2,81.46,77.03,79.76,5388500,75.46
2011-11-21,79.28,79.64,75.49,76.13,3963300,72.03
2011-11-14,81.56,83.1,79.67,80.54,4174800,75.67
2011-11-07,79.27,82.66,78.3,82.29,4645500,77.31
2011-10-31,79.88,80.59,76.26,79.3,4292700,74.5
2011-10-24,80.32,82.4,75.97,81.,7307000,76.1
2011-10-17,78.63,80.56,75.66,80.48,4320800,75.61
2011-10-10,75.12,79.34,75.09,78.89,3881300,74.12
2011-10-03,71.13,75.45,68.63,73.82,6382700,69.35
2011-09-26,74.39,77.77,71.71,71.79,5731700,67.45
2011-09-19,79.57,79.92,72.,73.99,5623500,69.51
2011-09-12,76.21,81.65,76.,80.53,5594000,75.66
2011-09-06,77.44,80.65,76.,76.65,5657600,72.01
2011-08-29,81.3,83.95,78.92,79.35,4173100,74.55
2011-08-22,78.34,80.65,76.5,80.01,5484900,75.17
2011-08-15,82.66,83.66,76.6,76.87,5872500,72.22
2011-08-08,80.75,82.86,78.01,82.54,9148400,77.03
2011-08-01,87.98,88.17,81.24,82.75,7239100,77.22
2011-07-25,94.84,95.53,86.6,87.14,6139700,81.32
2011-07-18,95.1,96.38,93.38,95.38,3380500,89.01
2011-07-11,96.45,97.3,94.56,95.47,4245100,89.09
2011-07-05,96.4,98.19,96.06,97.62,3273800,91.1
2011-06-27,91.08,96.95,90.84,96.67,3489300,90.21
2011-06-20,91.42,93.92,90.68,90.89,3024900,84.82
2011-06-13,91.3,92.99,90.58,91.78,3109900,85.65
2011-06-06,90.38,92.43,90.24,90.73,2948500,84.67
2011-05-31,94.05,94.68,90.19,90.7,3122700,84.64
2011-05-23,92.29,93.99,91.38,93.47,2735500,87.22
2011-05-16,95.54,96.23,92.75,93.56,3332700,87.31
2011-05-09,95.3,97.18,94.44,96.01,3130200,89.07
2011-05-02,97.58,97.95,94.4,95.6,3403200,88.69
2011-04-25,93.91,97.5,93.27,97.21,4129800,90.18
2011-04-18,91.94,94.43,90.58,93.92,3159100,87.13
2011-04-11,93.59,94.64,91.75,92.82,3070300,86.11
2011-04-04,92.68,94.1,92.6,93.22,2530300,86.48
2011-03-28,92.42,94.33,91.9,93.13,2990300,86.4
2011-03-21,90.27,92.98,90.17,92.27,2993100,85.6
2011-03-14,91.21,91.21,86.91,88.98,4722900,82.55
2011-03-07,92.58,94.16,89.71,91.61,3628700,84.99
2011-02-28,91.9,93.4,90.24,92.19,3489300,85.53
2011-02-22,92.73,93.65,89.27,90.25,4312100,83.73
2011-02-14,91.72,92.97,91.,92.96,3373200,86.24
2011-02-07,88.17,91.95,87.81,91.8,3262700,84.66
2011-01-31,87.93,88.45,87.31,88.29,2992000,81.42
2011-01-24,89.21,90.5,87.2,87.44,5221600,80.63
2011-01-18,87.84,89.39,87.25,89.29,2676100,82.34
2011-01-10,85.72,88.87,85.72,88.1,2735700,81.24
2011-01-03,86.75,87.9,85.63,86.23,3233200,79.52
2010-12-27,86.38,87.42,86.,86.3,1663200,79.58
2010-12-20,86.6,87.82,85.83,86.47,2888800,79.74
2010-12-13,84.54,87.,84.43,86.37,3644500,79.65
2010-12-06,87.,87.42,83.23,84.32,5344300,77.76
2010-11-29,83.7,87.24,83.,86.94,3875100,80.17
2010-11-22,84.66,85.07,83.14,84.4,3107100,77.83
2010-11-15,86.69,86.78,83.52,85.01,3751800,78.39
2010-11-08,85.8,87.17,84.95,86.24,4881800,79.03
2010-11-01,84.57,87.87,83.3,86.34,4538900,79.12
2010-10-25,90.63,91.49,83.8,84.22,6234500,77.18
2010-10-18,89.09,90.9,87.51,90.44,3468800,82.88
2010-10-11,89.48,89.89,86.78,89.14,2739600,81.69
2010-10-04,87.29,89.92,86.11,89.16,3324400,81.71
2010-09-27,86.86,88.,85.44,87.62,2965700,80.3
2010-09-20,86.26,87.63,85.35,86.96,3045100,79.69
2010-09-13,84.56,86.17,83.62,86.07,3351500,78.88
2010-09-07,83.23,84.08,82.02,83.94,2631000,76.92
2010-08-30,80.56,83.71,78.4,83.48,3457700,76.5
2010-08-23,81.01,82.3,79.2,81.,3663800,74.23
2010-08-16,83.33,84.89,80.11,80.66,3649300,73.92
2010-08-09,87.73,88.38,83.16,84.01,3369700,76.51
2010-08-02,86.8,88.07,86.02,87.29,2788400,79.5
2010-07-26,86.5,87.48,84.86,85.54,3998300,77.9
2010-07-19,81.48,86.27,80.01,86.17,4562000,78.48
2010-07-12,81.87,84.57,80.7,80.95,4080500,73.72
2010-07-06,78.45,82.25,77.5,82.16,3940900,74.82
2010-06-28,78.95,80.22,76.85,77.67,5834100,70.73
2010-06-21,81.96,83.,77.87,78.9,3885500,71.85
2010-06-14,78.99,81.38,78.06,81.18,4287400,73.93
2010-06-07,76.16,78.39,72.72,78.3,5762500,71.31
2010-06-01,78.72,79.87,75.8,76.1,6536800,69.3
2010-05-24,80.73,81.69,77.31,79.31,5017900,72.23
2010-05-17,84.88,86.2,78.14,80.7,6011800,73.49
2010-05-10,85.6,87.04,83.95,84.68,4383200,76.64
2010-05-03,89.19,90.52,68.96,82.63,6501700,74.78
2010-04-26,86.82,90.25,86.74,88.67,6740800,80.25
2010-04-19,83.61,87.09,83.14,86.58,4486000,78.36
2010-04-12,83.76,85.,82.69,83.76,4078400,75.8
2010-04-05,84.22,84.63,82.77,83.49,3382800,75.56
2010-03-29,81.24,84.5,81.03,83.85,4777400,75.89
2010-03-22,81.5,82.41,80.75,81.,3854000,73.31
2010-03-15,81.16,84.,80.53,81.96,4532900,74.17
2010-03-08,82.42,82.53,80.51,81.38,3691200,73.65
2010-03-01,80.57,82.5,80.35,82.44,2905100,74.61
2010-02-22,81.71,81.76,78.64,80.15,3573700,72.54
2010-02-16,80.08,81.74,79.34,81.52,3158600,73.78
2010-02-08,78.48,80.39,77.25,79.18,4414500,71.19
2010-02-01,80.84,81.68,77.26,78.54,4488900,70.62
2010-01-25,82.33,82.89,79.11,80.49,4551800,72.37
2010-01-19,83.82,85.17,81.3,81.48,4440900,73.26
2010-01-11,84.38,84.6,82.87,83.37,3130000,74.96
2010-01-04,83.09,84.6,81.7,84.32,3807000,75.81
2009-12-28,82.78,84.32,82.54,82.67,2716100,74.33
2009-12-21,81.03,83.,80.93,82.55,1859200,74.22
2009-12-14,82.01,83.02,80.34,80.97,4824200,72.8
2009-12-07,77.91,81.81,76.,81.75,4908300,73.5
2009-11-30,76.89,79.14,76.47,78.24,3466900,70.35
2009-11-23,77.15,78.07,76.12,76.75,2494800,69.01
2009-11-16,77.55,78.79,76.22,76.64,2837000,68.91
2009-11-09,75.93,79.,75.5,77.32,3041200,69.07
2009-11-02,73.86,75.81,73.35,75.41,3289900,67.36
2009-10-26,77.66,78.61,73.14,73.57,4302900,65.72
2009-10-19,76.27,79.25,75.6,77.82,4551500,69.52
2009-10-12,74.85,77.23,74.2,76.02,3202600,67.91
2009-10-05,71.94,74.95,71.9,74.73,2927400,66.76
2009-09-28,73.93,75.41,71.62,71.93,3551600,64.25
2009-09-21,73.91,76.,73.37,73.8,2938900,65.92
2009-09-14,73.72,75.49,73.42,74.62,3503000,66.66
2009-09-08,71.7,74.49,71.41,74.,3901600,66.1
2009-08-31,71.45,72.79,69.89,71.35,3583700,63.74
2009-08-24,72.74,73.21,70.46,71.92,3643900,64.25
2009-08-17,70.49,72.91,69.26,72.64,3722000,64.89
2009-08-10,72.59,72.92,70.32,71.32,4695700,63.25
2009-08-03,71.8,73.5,71.23,72.9,4729000,64.65
2009-07-27,69.39,71.39,68.38,70.52,4395000,62.54
2009-07-20,63.62,69.9,63.08,69.42,5984700,61.56
2009-07-13,59.83,63.54,59.3,62.92,4262500,55.8
2009-07-06,59.87,61.3,57.81,59.79,5251600,53.02
2009-06-29,59.36,61.29,58.8,60.25,4803500,53.43
2009-06-22,58.62,59.47,56.61,59.26,4135600,52.55
2009-06-15,60.4,60.4,58.25,59.37,4182300,52.65
2009-06-08,60.97,61.46,59.07,61.,4164200,54.1
2009-06-01,57.9,61.29,57.9,60.94,4818000,54.04
2009-05-26,55.95,58.13,55.23,57.1,4190000,50.64
2009-05-18,58.3,59.68,55.99,56.07,4111500,49.72
2009-05-11,59.41,59.8,56.6,57.92,4609300,50.92
2009-05-04,57.89,60.23,57.61,60.09,4985000,52.83
2009-04-27,56.45,58.98,56.3,57.88,5210000,50.88
2009-04-20,53.39,57.02,51.63,57.,6680300,50.11
2009-04-13,52.78,55.03,52.05,53.81,5224900,47.31
2009-04-06,52.,53.7,50.6,53.13,4447200,46.71
2009-03-30,49.72,52.9,48.08,52.11,5929100,45.81
2009-03-23,46.8,51.13,46.57,50.33,6446600,44.25
2009-03-16,48.48,49.75,45.6,45.93,6371600,40.38
2009-03-09,41.31,48.5,41.2,48.,7469000,42.2
2009-03-02,44.62,45.43,40.87,41.83,8726000,36.77
2009-02-23,47.56,47.62,45.17,45.46,7388200,39.97
2009-02-17,48.93,48.93,46.44,47.25,6975300,41.54
2009-02-09,52.46,54.66,48.64,49.42,6642000,42.98
2009-02-02,52.79,53.02,50.01,52.39,6417500,45.56
2009-01-26,53.54,57.71,52.95,53.79,6357500,46.78
2009-01-20,56.42,56.6,52.31,52.9,5512500,46.01
