Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,35.34,35.7,35.28,35.38,6287400,35.38
2014-02-18,35.55,35.7,35.1,35.37,6280500,35.37
2014-02-10,35.41,35.62,34.74,35.57,8391200,35.57
2014-02-03,35.17,35.34,33.8,35.3,14371000,35.3
2014-01-27,37.32,37.32,34.33,35.22,13484500,35.22
2014-01-21,37.19,37.63,36.95,37.3,9346500,37.3
2014-01-13,37.25,37.33,36.76,37.03,7952500,37.03
2014-01-06,37.77,37.82,36.96,37.26,8856600,37.26
2013-12-30,38.36,38.54,37.65,37.72,7278800,37.72
2013-12-23,38.21,38.46,37.85,38.31,8292900,38.31
2013-12-16,37.14,38.58,37.07,38.57,11106700,38.09
2013-12-09,37.5,37.75,36.84,37.1,9214000,36.64
2013-12-02,37.01,37.46,36.86,37.46,7368400,36.99
2013-11-25,37.39,37.43,36.91,36.98,4948600,36.52
2013-11-18,38.07,38.1,36.68,37.27,7222300,36.81
2013-11-11,37.5,38.,37.06,38.,5947700,37.53
2013-11-04,37.53,37.89,37.02,37.55,6948300,37.08
2013-10-28,36.27,37.69,36.27,37.33,7952800,36.87
2013-10-21,35.95,36.75,35.77,36.25,9027600,35.8
2013-10-14,35.41,35.99,35.26,35.86,6511500,35.41
2013-10-07,34.47,35.65,34.41,35.54,7126500,35.1
2013-09-30,34.5,34.88,34.23,34.65,6024900,34.22
2013-09-23,35.39,35.44,34.53,34.71,7188800,34.28
2013-09-16,35.19,36.,35.03,35.55,7027400,35.11
2013-09-09,34.45,35.42,34.35,34.84,15541700,34.41
2013-09-03,34.07,34.56,33.72,34.4,10977800,33.51
2013-08-26,34.37,34.39,33.54,33.88,7913700,33.
2013-08-19,34.28,34.31,33.12,34.28,10094600,33.39
2013-08-12,35.25,35.28,34.25,34.29,8037000,33.4
2013-08-05,35.61,35.69,35.08,35.37,6055500,34.46
2013-07-29,35.83,35.88,35.01,35.68,8207300,34.76
2013-07-22,37.09,37.13,35.16,35.9,9979800,34.97
2013-07-15,36.9,37.48,36.8,37.15,6426600,36.19
2013-07-08,35.69,37.09,35.65,36.92,8183300,35.97
2013-07-01,35.22,35.75,35.11,35.49,5848900,34.57
2013-06-24,34.6,35.77,34.4,34.99,11567800,34.09
2013-06-17,35.7,36.25,34.25,34.93,9866800,34.03
2013-06-10,36.31,36.5,35.48,35.58,15289300,34.66
2013-06-03,36.06,36.6,35.21,36.15,12559500,34.79
2013-05-28,37.36,37.53,36.07,36.1,7792200,34.74
2013-05-20,37.41,37.53,36.51,37.09,8193900,35.69
2013-05-13,36.62,37.61,36.53,37.44,7676300,36.03
2013-05-06,36.48,36.73,36.01,36.68,7866200,35.3
2013-04-29,36.11,36.9,36.,36.51,8848800,35.13
2013-04-22,35.06,36.12,34.95,36.07,8736100,34.71
2013-04-15,35.76,35.76,34.45,35.02,9818800,33.7
2013-04-08,34.89,35.94,34.8,35.91,7803400,34.56
2013-04-01,34.19,35.25,34.08,34.84,7989200,33.53
2013-03-25,33.96,34.54,33.81,34.39,6878500,33.09
2013-03-18,33.49,34.17,33.34,33.91,7433100,32.63
2013-03-11,34.02,34.39,33.52,33.68,22766400,32.41
2013-03-04,33.51,34.34,33.51,34.,14450300,32.3
2013-02-25,35.44,35.47,33.43,33.49,14706900,31.81
2013-02-19,34.5,35.32,34.44,35.32,8312200,33.55
2013-02-11,34.74,34.84,34.06,34.38,8046300,32.66
2013-02-04,34.05,34.88,33.69,34.69,8101000,32.95
2013-01-28,33.49,34.25,33.31,34.2,8599700,32.49
2013-01-22,33.24,33.54,32.8,33.45,8333600,31.77
2013-01-14,32.98,33.32,32.65,33.27,8969600,31.6
2013-01-07,32.49,33.03,31.85,32.93,9609400,31.28
2012-12-31,31.02,32.7,30.94,32.54,10380200,30.91
2012-12-24,31.81,31.85,31.05,31.09,7907500,29.53
2012-12-17,33.26,33.33,31.4,31.85,15266800,30.25
2012-12-10,33.48,33.59,32.84,33.16,10446200,31.07
2012-12-03,33.93,33.97,33.1,33.47,8821400,31.37
2012-11-26,33.26,33.93,32.98,33.81,9914300,31.68
2012-11-19,31.58,33.48,31.55,33.48,9823800,31.37
2012-11-12,31.43,31.57,30.01,31.24,11392300,29.28
2012-11-05,31.7,32.27,30.82,31.48,10692700,29.5
2012-10-31,31.79,32.24,31.69,31.7,8624600,29.71
2012-10-22,32.65,32.95,31.58,31.76,10178100,29.76
2012-10-15,33.11,33.59,32.6,32.63,7832200,30.58
2012-10-08,33.96,34.02,32.5,33.12,13855700,31.04
2012-10-01,33.38,34.25,33.37,34.,9739300,31.86
2012-09-24,34.03,34.54,33.23,33.39,11696800,31.29
2012-09-17,32.81,34.15,32.81,34.06,12088500,31.92
2012-09-10,34.25,34.59,32.72,32.94,12959100,30.87
2012-09-04,34.02,34.65,34.01,34.27,16025000,31.7
2012-08-27,34.23,34.76,33.92,33.96,18529600,31.42
2012-08-20,35.39,35.44,33.02,34.08,13318200,31.53
2012-08-13,34.98,35.47,34.9,35.41,6719500,32.76
2012-08-06,35.92,36.08,34.61,34.96,9305700,32.34
2012-07-30,35.88,36.29,35.4,35.92,9181700,33.23
2012-07-23,35.73,36.09,35.33,35.9,11992600,33.21
2012-07-16,35.57,36.05,35.52,35.91,8164800,33.22
2012-07-09,34.97,35.71,34.94,35.62,8408700,32.95
2012-07-02,34.57,35.1,34.5,34.97,6797600,32.35
2012-06-25,33.78,34.6,33.52,34.55,8182900,31.96
2012-06-18,33.74,34.12,33.64,33.87,9079900,31.33
2012-06-11,33.17,34.08,32.91,33.77,18143000,31.24
2012-06-04,31.62,33.01,31.54,32.91,22638700,30.07
2012-05-29,32.19,32.46,31.58,31.69,12108400,28.96
2012-05-21,31.67,32.4,31.42,32.11,7822100,29.34
