Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,112.11,112.33,108.88,108.97,4251500,108.97
2014-02-18,108.36,112.95,108.36,112.45,3063100,112.45
2014-02-10,110.55,111.95,108.76,109.49,3124100,109.49
2014-02-03,106.68,110.84,104.08,110.75,2915900,110.75
2014-01-27,107.84,108.71,105.72,106.55,2904200,106.55
2014-01-21,113.48,114.37,107.6,107.94,3351100,107.94
2014-01-13,112.61,113.72,111.29,113.11,2102600,113.11
2014-01-06,116.82,117.43,111.02,113.06,4215600,113.06
2013-12-30,115.65,117.5,115.03,116.35,1690500,115.91
2013-12-23,114.2,115.71,113.55,115.39,1027300,114.95
2013-12-16,110.95,114.83,110.83,113.73,2544500,113.3
2013-12-09,111.75,112.54,110.04,110.66,1958700,110.24
2013-12-02,113.73,114.56,110.43,111.75,1939500,111.33
2013-11-25,113.54,114.5,112.44,113.33,1793800,112.9
2013-11-18,111.06,114.08,109.,113.86,2939300,113.43
2013-11-11,107.38,111.31,106.02,111.06,3180200,110.64
2013-11-04,105.32,107.4,102.88,107.22,3684400,106.81
2013-10-28,108.16,108.81,104.33,105.15,2155400,104.75
2013-10-21,105.8,108.13,105.32,108.,2293300,107.59
2013-10-14,105.97,107.09,104.75,105.74,2513600,105.34
2013-10-07,104.82,106.62,103.12,106.58,3032500,106.18
2013-09-30,104.59,106.18,101.78,105.63,3620400,105.23
2013-09-23,105.61,106.46,105.03,105.61,1739700,104.78
2013-09-16,105.25,107.73,104.13,106.05,2588700,105.22
2013-09-09,100.87,105.,100.52,104.18,2461000,103.36
2013-09-03,99.09,102.12,98.84,99.89,3463900,99.11
2013-08-26,97.07,99.65,96.28,97.89,2538900,97.12
2013-08-19,95.07,96.81,94.,96.22,2355900,95.46
2013-08-12,95.61,98.17,94.56,94.99,2913400,94.24
2013-08-05,97.68,97.88,94.71,96.25,3803800,95.49
2013-07-29,100.28,101.87,97.19,97.46,3769200,96.69
2013-07-22,104.,104.8,99.96,100.51,2661500,99.72
2013-07-15,103.21,104.18,101.4,104.16,2285000,103.34
2013-07-08,98.88,103.54,98.68,102.95,2743200,102.14
2013-07-01,99.2,99.61,96.5,98.71,3032200,97.93
2013-06-24,101.57,103.,97.89,98.8,3248400,97.64
2013-06-17,106.68,106.8,102.32,103.19,2841900,101.98
2013-06-10,105.,106.77,102.59,105.63,3269900,104.39
2013-06-03,100.42,102.63,97.05,101.65,3824000,100.46
2013-05-28,105.36,105.86,100.64,100.64,3391100,99.46
2013-05-20,108.43,108.78,103.31,104.83,2560600,103.6
2013-05-13,107.77,109.33,106.41,108.38,2226400,107.11
2013-05-06,107.17,108.63,106.61,108.12,1689000,106.86
2013-04-29,105.07,107.73,104.18,107.28,1865900,106.03
2013-04-22,103.37,106.47,102.07,104.68,1934000,103.46
2013-04-15,104.79,105.49,101.53,103.22,2870200,102.01
2013-04-08,104.98,107.25,104.7,105.45,2369400,104.22
2013-04-01,105.5,107.24,103.22,105.1,3757400,103.87
2013-03-25,101.28,105.82,98.92,105.63,3449600,104.02
2013-03-18,103.41,103.61,100.94,101.32,1807300,99.77
2013-03-11,103.13,104.96,102.73,104.24,2038500,102.65
2013-03-04,101.41,103.49,100.43,103.35,1781600,101.77
2013-02-25,100.19,102.,98.01,101.66,2280300,100.11
2013-02-19,102.45,103.22,97.9,99.98,3803100,98.45
2013-02-11,101.81,103.52,100.89,103.51,2106000,101.93
2013-02-04,101.54,102.49,99.52,101.15,2398700,99.61
2013-01-28,103.7,103.7,101.,102.27,2119800,100.71
2013-01-22,102.05,104.19,101.87,103.45,2477800,101.87
2013-01-14,100.37,102.47,99.98,102.47,2869800,100.91
2013-01-07,95.65,100.62,95.,100.08,4257400,98.55
2012-12-31,92.95,96.71,92.77,96.11,2480600,94.64
2012-12-24,90.94,94.43,90.9,93.08,1907000,91.3
2012-12-17,89.64,92.86,89.45,92.55,2633400,90.78
2012-12-10,90.69,91.48,88.98,89.13,2043100,87.42
2012-12-03,91.98,92.49,88.56,90.69,2330800,88.95
2012-11-26,90.46,93.,89.11,91.59,2459800,89.84
2012-11-19,86.56,90.72,86.44,90.58,2379900,88.84
2012-11-12,86.76,87.54,82.7,85.23,2834500,83.6
2012-11-05,85.94,89.95,85.63,86.43,2233500,84.77
2012-10-31,87.38,87.86,85.54,85.87,2139300,84.22
2012-10-22,88.35,88.97,85.93,86.6,2002400,84.94
2012-10-15,89.03,90.82,88.15,88.69,3048700,86.99
2012-10-08,90.75,92.2,88.06,88.57,2798800,86.87
2012-10-01,91.71,92.18,87.57,91.16,4346800,89.41
2012-09-24,90.58,91.78,89.29,91.02,2829100,88.91
2012-09-17,88.57,91.95,87.77,90.92,3452100,88.81
2012-09-10,89.65,90.12,87.92,88.97,2837800,86.91
2012-09-04,86.94,89.9,86.07,89.39,2466900,87.32
2012-08-27,85.68,88.01,85.36,87.11,2431700,85.09
2012-08-20,88.1,88.84,84.86,85.34,2522200,83.36
2012-08-13,86.39,88.96,85.99,87.87,2811700,85.83
2012-08-06,87.6,89.73,86.35,86.74,3210300,84.73
2012-07-30,87.04,88.37,85.38,87.04,3159000,85.02
2012-07-23,85.97,87.12,84.09,86.88,2864300,84.86
2012-07-16,84.02,87.77,83.7,87.52,3596900,85.49
2012-07-09,82.12,84.25,81.49,83.86,3095900,81.91
2012-07-02,82.98,84.02,81.5,82.09,2514300,80.19
2012-06-25,77.86,82.79,76.89,82.78,4326700,80.57
2012-06-18,78.88,81.19,77.07,78.45,2407300,76.35
2012-06-11,79.8,80.1,77.47,78.7,2833900,76.6
2012-06-04,76.05,80.32,74.77,79.4,3085600,77.28
2012-05-29,73.75,77.81,73.65,76.17,5385000,74.14
2012-05-21,70.15,74.09,69.87,73.56,2897200,71.59
2012-05-14,71.66,73.05,69.7,69.89,3538200,68.02
2012-05-07,73.38,74.18,71.08,72.45,4035600,70.51
2012-04-30,77.58,78.,73.35,73.6,2642600,71.63
2012-04-23,76.4,78.26,74.98,77.84,2261800,75.76
2012-04-16,77.51,78.13,76.16,77.16,2217200,75.1
2012-04-09,77.51,78.95,74.15,77.07,4327100,75.01
