Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,55.87,56.92,55.87,56.18,11012500,56.18
2014-02-18,55.22,56.34,54.99,56.03,10824400,56.03
2014-02-10,54.29,55.75,54.22,55.44,11703400,55.44
2014-02-03,52.91,55.2,51.92,54.77,16983700,54.77
2014-01-27,52.86,54.1,51.78,52.97,19817600,52.97
2014-01-21,52.03,52.25,50.86,51.98,13957000,51.98
2014-01-13,50.9,53.44,50.79,51.95,18699600,51.95
2014-01-06,49.81,50.4,49.34,49.88,10217900,49.88
2013-12-30,49.74,50.08,49.3,49.73,7279500,49.73
2013-12-23,49.44,49.9,49.23,49.79,5457700,49.79
2013-12-16,48.3,49.45,47.61,49.32,12873200,49.32
2013-12-09,49.38,49.85,48.03,48.38,10815900,48.38
2013-12-02,49.74,50.42,48.77,49.39,11198400,48.95
2013-11-25,48.95,49.95,48.94,49.83,14921700,49.38
2013-11-18,48.04,49.04,47.65,48.94,10266400,48.5
2013-11-11,46.91,48.28,46.65,48.07,11782700,47.64
2013-11-04,45.92,46.87,45.32,46.8,13611700,46.38
2013-10-28,45.57,45.82,44.62,45.23,17806700,44.82
2013-10-21,46.7,46.86,45.85,46.54,14253000,46.12
2013-10-14,46.8,47.45,46.42,46.61,16089800,46.19
2013-10-07,47.92,48.23,46.96,47.29,13217100,46.86
2013-09-30,47.64,49.23,47.29,48.23,17405900,47.8
2013-09-23,47.79,48.22,47.29,47.79,11606800,47.36
2013-09-16,48.25,48.71,47.63,48.01,13685800,47.58
2013-09-09,47.6,48.51,47.48,47.79,18110200,47.36
2013-09-03,47.52,47.88,47.01,47.49,14960100,46.64
2013-08-26,47.8,47.9,46.47,47.29,9579300,46.45
2013-08-19,47.47,48.38,47.3,47.73,10215900,46.88
2013-08-12,48.16,48.85,47.48,47.7,10092600,46.85
2013-08-05,48.39,48.84,48.07,48.39,8583900,47.53
2013-07-29,48.27,49.08,47.84,48.54,14223200,47.67
2013-07-22,47.85,48.49,47.35,48.49,9877700,47.62
2013-07-15,48.51,48.89,47.2,47.79,13297300,46.94
2013-07-08,47.37,48.66,47.24,48.54,9874400,47.67
2013-07-01,46.26,47.3,46.03,47.16,9851200,46.32
2013-06-24,46.47,47.48,46.06,46.45,13903800,45.62
2013-06-17,48.33,48.55,46.21,47.,16881700,46.16
2013-06-10,48.65,48.89,46.49,47.95,29593300,47.09
2013-06-03,48.93,50.16,47.75,48.19,34048300,46.9
2013-05-28,47.94,48.64,46.51,46.7,17661300,45.45
2013-05-20,45.96,48.3,45.1,47.16,28950200,45.9
2013-05-13,45.84,47.26,45.01,45.99,14110200,44.76
2013-05-06,45.51,46.,44.88,45.95,15006500,44.72
2013-04-29,47.88,48.12,44.6,45.67,19596300,44.45
2013-04-22,47.45,48.79,47.11,47.87,14800700,46.59
2013-04-15,46.89,47.5,46.41,47.49,12257600,46.22
2013-04-08,45.09,47.51,44.96,47.11,13418000,45.85
2013-04-01,44.,46.16,43.77,45.13,15025900,43.92
2013-03-25,43.95,44.4,43.51,44.2,13210600,43.02
2013-03-18,43.78,44.29,43.57,43.9,12896900,42.72
2013-03-11,42.95,45.42,42.87,44.09,32558400,42.91
2013-03-04,42.92,43.93,42.76,42.97,18140400,41.42
2013-02-25,43.31,43.45,42.1,42.63,15051000,41.09
2013-02-19,41.6,43.27,41.58,42.97,14330900,41.42
2013-02-11,41.19,41.57,40.83,41.42,13824600,39.93
2013-02-04,41.39,41.66,40.83,41.18,19787300,39.69
2013-01-28,43.34,43.77,41.51,41.83,18494000,40.32
2013-01-22,42.77,43.46,42.55,43.46,13017600,41.89
2013-01-14,43.31,43.56,42.5,42.98,13369500,41.43
2013-01-07,42.04,43.33,41.85,43.23,12287600,41.67
2012-12-31,40.28,42.5,40.02,41.97,17311500,40.46
2012-12-24,41.43,41.75,40.63,40.64,9083300,39.17
2012-12-17,43.63,44.46,41.45,41.52,20282300,40.02
2012-12-10,44.46,45.49,43.41,43.54,12222200,41.97
2012-12-03,44.47,44.83,44.16,44.63,9990100,42.61
2012-11-26,44.,44.95,43.54,44.3,10688300,42.3
2012-11-19,43.32,44.29,43.09,44.28,7965100,42.28
2012-11-12,44.47,44.52,42.36,43.07,12011100,41.12
2012-11-05,45.82,46.32,43.62,44.05,14421900,42.06
2012-10-31,46.42,46.71,45.44,46.,12250500,43.92
2012-10-22,46.81,47.03,45.79,46.15,11815400,44.06
2012-10-15,45.74,48.,45.69,47.03,11266200,44.9
2012-10-08,46.17,46.54,45.35,45.62,8081300,43.56
2012-10-01,44.97,46.5,44.97,46.28,9057100,44.19
2012-09-24,44.95,45.7,44.78,45.1,11555700,43.06
2012-09-17,43.48,45.25,43.48,44.91,11716400,42.88
2012-09-10,43.97,44.71,43.44,43.62,10981100,41.65
2012-09-04,43.14,44.44,42.87,44.05,12784800,41.66
2012-08-27,42.98,43.58,42.64,43.05,11905800,40.72
2012-08-20,43.35,43.8,42.61,43.12,9663900,40.78
2012-08-13,44.58,44.64,43.09,43.34,9097700,40.99
2012-08-06,44.2,44.64,43.7,44.57,10009900,42.15
2012-07-30,44.64,44.93,43.52,44.15,11337800,41.76
2012-07-23,43.22,45.17,42.26,45.1,18654300,42.65
2012-07-16,43.22,44.37,43.,43.41,15719000,41.06
2012-07-09,41.71,43.57,41.06,43.47,22443200,41.11
2012-07-02,41.25,41.96,41.23,41.51,10299100,39.26
2012-06-25,39.91,41.75,39.7,41.75,15230500,39.49
2012-06-18,38.72,40.31,38.72,40.18,14606100,38.
2012-06-11,38.62,39.1,38.27,38.94,20251100,36.83
2012-06-04,37.18,38.55,37.12,38.46,27677000,35.98
2012-05-29,37.69,37.87,37.02,37.18,11318800,34.78
2012-05-21,37.73,37.89,37.02,37.55,9621500,35.13
2012-05-14,37.85,38.45,37.58,37.82,14977900,35.38
2012-05-07,38.51,38.81,37.95,38.03,10773100,35.58
2012-04-30,38.64,39.5,38.59,38.84,13685800,36.34
2012-04-23,38.55,38.94,38.13,38.46,12341200,35.98
2012-04-16,37.88,38.88,37.88,38.73,11684300,36.23
2012-04-09,38.58,38.98,37.77,37.78,14016700,35.34
2012-04-02,38.3,38.95,38.21,38.88,12870100,36.37
2012-03-26,38.26,39.,37.78,38.4,14535900,35.92
2012-03-19,37.94,38.05,37.53,38.01,11770600,35.56
2012-03-12,37.72,38.4,37.65,38.03,13687100,35.58
2012-03-05,38.01,38.52,36.91,37.6,27914200,34.79
2012-02-27,37.94,38.49,37.56,37.93,14463400,35.09
2012-02-21,38.47,38.63,37.9,38.2,9875700,35.34
2012-02-13,38.1,38.88,37.8,38.56,12674300,35.68
2012-02-06,38.21,38.78,37.78,37.91,10986300,35.08
2012-01-30,38.38,39.01,38.,38.37,15911900,35.5
