Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,29.66,30.6,29.55,30.31,13108900,30.31
2014-02-18,29.62,29.86,28.89,29.62,13105000,29.62
2014-02-10,29.66,30.55,29.47,29.69,11736600,29.69
2014-02-03,29.51,29.97,28.78,29.69,16620600,29.69
2014-01-27,30.42,30.64,29.28,29.51,15511400,29.51
2014-01-21,33.21,33.49,30.09,30.45,17598100,30.4
2014-01-13,31.3,33.52,30.6,33.4,18860800,33.34
2014-01-06,31.75,31.93,31.1,31.3,8939900,31.25
2013-12-30,31.07,31.7,30.74,31.51,8035400,31.46
2013-12-23,31.15,31.25,30.73,31.06,5317500,31.01
2013-12-16,31.27,31.65,30.37,30.93,14558400,30.88
2013-12-09,30.69,31.17,30.04,31.09,10858600,31.04
2013-12-02,31.52,31.85,30.13,30.46,11272000,30.41
2013-11-25,31.38,31.8,31.25,31.3,8204300,31.25
2013-11-18,30.44,31.35,30.19,31.34,10798700,31.29
2013-11-11,29.4,30.52,29.27,30.3,11725000,30.25
2013-11-04,29.23,29.59,28.69,29.44,12650800,29.39
2013-10-28,29.23,29.55,28.73,29.2,11534800,29.15
2013-10-21,29.54,29.67,28.92,29.23,12621400,29.13
2013-10-14,27.73,29.97,27.5,29.69,18294800,29.59
2013-10-07,26.71,28.01,26.41,27.95,13931200,27.86
2013-09-30,26.69,27.26,26.57,26.99,12025300,26.9
2013-09-23,27.98,28.03,26.7,27.08,16408800,26.99
2013-09-16,28.48,29.5,28.04,28.19,17420300,28.09
2013-09-09,26.96,28.4,26.95,28.13,12199200,28.03
2013-09-03,26.22,27.04,25.95,26.81,11067800,26.72
2013-08-26,26.33,26.67,25.25,25.76,10295400,25.67
2013-08-19,26.33,26.48,25.76,26.32,11420900,26.23
2013-08-12,26.64,27.13,26.22,26.47,9762500,26.38
2013-08-05,27.75,27.99,26.74,26.76,9180400,26.67
2013-07-29,27.58,28.02,26.98,27.85,12855900,27.76
2013-07-22,27.75,27.98,27.4,27.7,14038300,27.56
2013-07-15,26.47,27.95,26.16,27.6,21410000,27.46
2013-07-08,24.81,26.14,24.45,26.13,16540000,25.99
2013-07-01,24.64,25.19,23.83,24.57,15780600,24.44
2013-06-24,24.29,25.39,23.92,24.43,17515100,24.3
2013-06-17,26.08,26.69,24.16,24.91,21952300,24.78
2013-06-10,26.97,27.17,25.41,25.83,24274000,25.7
2013-06-03,26.06,27.,24.6,27.,23497700,26.86
2013-05-28,24.81,26.42,24.53,25.9,20584900,25.77
2013-05-20,25.11,25.69,23.98,24.35,14900200,24.22
2013-05-13,23.8,25.24,23.53,25.19,17352300,25.06
2013-05-06,22.8,23.94,22.78,23.94,14541400,23.82
2013-04-29,21.56,23.15,21.53,22.76,16631000,22.64
2013-04-22,20.61,21.81,20.53,21.4,18678900,21.29
2013-04-15,21.75,22.25,20.16,20.58,32322200,20.43
2013-04-08,21.48,22.63,21.19,21.82,16954000,21.66
2013-04-01,21.99,22.13,20.79,21.56,19362300,21.4
2013-03-25,22.37,22.49,21.78,21.98,17795900,21.82
2013-03-18,23.03,23.19,21.93,22.18,21625600,22.01
2013-03-11,23.03,23.66,22.53,23.59,16915400,23.41
2013-03-04,22.36,23.37,22.12,23.03,17589900,22.86
2013-02-25,23.83,23.85,21.78,22.43,23254400,22.26
2013-02-19,23.99,24.47,22.56,23.58,18760400,23.4
2013-02-11,23.21,23.94,23.13,23.87,15041900,23.69
2013-02-04,22.84,23.58,22.67,23.32,20462700,23.15
2013-01-28,22.79,23.74,22.05,23.51,20632800,23.33
2013-01-22,22.13,23.03,22.03,22.7,24177400,22.48
2013-01-14,20.24,22.46,19.75,22.38,32458100,22.16
2013-01-07,20.02,20.43,19.41,20.17,26278900,19.97
2012-12-31,18.6,20.25,18.52,20.19,27902500,19.99
2012-12-24,18.9,19.11,18.5,18.62,9543300,18.44
2012-12-17,18.08,19.45,18.07,18.92,20968700,18.74
2012-12-10,16.91,18.09,16.8,18.05,21816100,17.88
2012-12-03,17.01,17.12,16.35,16.97,14617400,16.81
2012-11-26,16.32,17.1,16.23,16.87,18468500,16.71
2012-11-19,16.49,16.8,16.15,16.43,12880100,16.27
2012-11-12,16.7,16.91,15.95,16.18,15682900,16.02
2012-11-05,17.65,18.24,16.3,16.61,23195200,16.45
2012-10-31,17.19,17.84,17.13,17.78,23629600,17.61
2012-10-22,17.51,17.67,16.86,17.04,18362400,16.83
2012-10-15,17.51,18.57,17.31,17.53,28157400,17.31
2012-10-08,17.17,17.91,17.16,17.31,16681800,17.09
2012-10-01,16.94,17.88,16.73,17.5,19912800,17.28
2012-09-24,16.85,17.33,16.3,16.74,20048600,16.53
2012-09-17,17.99,18.09,16.84,17.08,24951900,16.87
2012-09-10,16.93,18.5,16.6,18.24,30174000,18.01
2012-09-04,15.29,17.11,15.13,17.08,33671900,16.87
2012-08-27,14.62,15.25,14.45,15.,18977200,14.81
2012-08-20,14.58,15.34,14.18,14.56,17139300,14.38
2012-08-13,14.48,14.79,14.29,14.59,12974500,14.41
2012-08-06,13.89,14.73,13.79,14.61,15688200,14.43
