Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,35.7,36.16,35.62,35.89,1060300,35.89
2014-02-18,36.27,36.56,35.57,35.7,948700,35.7
2014-02-10,34.69,36.37,34.69,36.23,1330000,36.23
2014-02-03,36.07,36.22,33.59,34.84,1548900,34.84
2014-01-27,35.73,37.1,35.12,36.07,2749500,34.79
2014-01-21,37.57,37.68,35.72,35.77,1138400,34.5
2014-01-13,35.45,37.99,34.91,37.32,1786200,35.99
2014-01-06,36.12,36.71,35.29,35.61,1614100,34.34
2013-12-30,36.64,37.04,36.06,36.11,702300,34.82
2013-12-23,36.06,36.79,35.93,36.67,492300,35.36
2013-12-16,35.17,36.72,35.17,35.85,1263900,34.57
2013-12-09,35.74,35.94,34.65,35.16,739800,33.91
2013-12-02,35.09,35.9,34.79,35.71,936000,34.44
2013-11-25,35.19,35.5,34.77,35.11,726400,33.86
2013-11-18,34.86,35.22,34.,35.19,861100,33.94
2013-11-11,34.03,34.84,33.65,34.78,1369300,33.3
2013-11-04,35.16,35.35,33.38,33.99,1649500,32.54
2013-10-28,39.1,39.25,34.7,35.13,1901400,33.63
2013-10-21,38.68,39.33,38.11,39.31,425800,37.64
2013-10-14,37.45,38.79,37.42,38.68,636400,37.03
2013-10-07,37.26,37.87,36.58,37.76,662600,36.15
2013-09-30,38.25,38.62,37.36,37.52,721100,35.92
2013-09-23,38.13,39.05,37.99,38.69,765600,37.04
2013-09-16,39.01,39.38,37.62,38.31,1081000,36.68
2013-09-09,37.03,38.57,37.01,38.56,659800,36.92
2013-09-03,36.29,37.38,36.,36.98,612400,35.4
2013-08-26,36.31,36.93,35.67,35.85,723600,34.32
2013-08-19,36.28,36.47,35.95,36.33,379200,34.78
2013-08-12,36.77,37.35,35.62,36.37,515900,34.82
2013-08-05,37.47,37.48,36.78,36.9,479500,35.33
2013-07-29,36.26,37.73,35.82,37.61,786400,36.01
2013-07-22,36.57,36.88,35.85,36.35,612100,34.56
2013-07-15,35.87,36.71,35.58,36.64,632800,34.84
2013-07-08,34.64,36.04,34.48,36.04,717900,34.27
2013-07-01,34.36,34.86,33.95,34.48,674500,32.78
2013-06-24,34.26,34.67,33.51,34.11,1134300,32.43
2013-06-17,35.56,35.88,34.02,34.65,1302900,32.94
2013-06-10,35.75,35.9,34.96,35.72,629000,33.96
2013-06-03,35.09,35.69,34.55,35.67,991000,33.91
2013-05-28,35.65,36.,34.96,35.,1285900,33.28
2013-05-20,35.57,35.77,34.18,35.,1358600,33.28
2013-05-13,35.23,36.47,35.16,35.77,1557900,34.01
2013-05-06,34.5,35.27,34.36,35.24,1268700,33.51
2013-04-29,34.38,35.46,33.47,34.5,1506000,32.8
2013-04-22,34.59,35.37,34.1,34.19,967700,32.27
2013-04-15,35.62,35.62,33.83,34.4,1095700,32.47
2013-04-08,35.98,36.74,35.1,35.77,1297700,33.76
2013-04-01,36.32,36.73,35.4,36.01,1038300,33.99
2013-03-25,36.31,36.83,35.79,36.3,1093500,34.26
2013-03-18,37.27,38.39,36.5,36.67,1226000,34.61
2013-03-11,36.48,37.84,36.35,37.7,1302400,35.58
2013-03-04,35.45,36.48,35.2,36.42,749200,34.38
2013-02-25,35.04,36.06,34.34,35.6,1168700,33.6
2013-02-19,35.51,35.75,34.02,34.96,1829300,33.
2013-02-11,31.7,35.8,31.38,35.65,1588300,33.65
2013-02-04,31.74,31.85,31.14,31.72,650700,29.94
2013-01-28,32.99,33.03,31.19,31.98,1838600,29.95
2013-01-22,32.4,33.05,31.96,33.05,1555600,30.95
2013-01-14,33.02,33.02,32.4,32.49,1117000,30.42
2013-01-07,33.2,33.2,32.38,33.06,824200,30.96
2012-12-31,31.27,33.26,31.19,33.21,899600,31.1
2012-12-24,31.5,31.78,31.19,31.38,660200,29.38
2012-12-17,30.37,31.71,30.32,31.48,1139400,29.48
2012-12-10,30.62,31.11,30.22,30.29,862600,28.36
2012-12-03,31.04,31.1,30.11,30.69,825100,28.74
2012-11-26,29.44,30.98,29.21,30.91,1164400,28.94
2012-11-19,29.04,29.46,28.71,29.42,826300,27.55
2012-11-12,29.57,29.77,27.93,28.66,1275900,26.61
2012-11-05,29.8,30.36,29.21,29.52,711500,27.41
2012-10-31,29.69,30.55,29.42,29.92,746700,27.78
2012-10-22,30.45,30.5,29.3,29.61,907200,27.49
2012-10-15,30.07,31.03,29.98,30.37,982000,28.2
2012-10-08,30.32,30.58,29.98,30.08,942000,27.93
2012-10-01,30.71,31.34,30.45,30.45,947100,28.27
2012-09-24,30.71,31.09,30.3,30.6,828400,28.41
2012-09-17,29.47,31.12,29.42,30.7,891400,28.5
2012-09-10,29.43,31.04,29.25,30.81,1228700,28.6
2012-09-04,28.74,29.77,28.41,29.63,708900,27.51
2012-08-27,28.77,29.,28.43,28.76,587800,26.7
2012-08-20,28.63,28.87,28.34,28.74,673800,26.68
2012-08-13,28.21,28.98,27.92,28.76,752300,26.7
2012-08-06,27.83,28.23,27.49,28.18,703200,26.16
2012-07-30,28.56,28.65,26.97,27.79,1041800,25.8
2012-07-23,28.6,29.6,27.73,28.7,1275600,26.41
2012-07-16,28.55,29.29,28.25,29.07,857600,26.75
2012-07-09,28.11,28.81,27.93,28.57,1232000,26.29
2012-07-02,28.76,28.94,28.1,28.22,922500,25.97
2012-06-25,27.88,29.56,27.56,28.75,1113500,26.46
2012-06-18,28.06,28.83,27.57,28.18,999000,25.94
2012-06-11,28.14,28.27,27.41,28.21,913900,25.96
2012-06-04,26.42,28.,26.15,27.99,971500,25.76
2012-05-29,27.94,28.27,26.17,26.34,1365500,24.24
2012-05-21,26.88,28.13,26.84,27.73,1345200,25.52
2012-05-14,27.55,28.31,26.72,26.83,1532800,24.69
2012-05-07,27.71,28.46,27.26,27.86,1523400,25.64
2012-04-30,31.68,32.01,28.02,28.29,1685700,25.81
2012-04-23,31.53,32.5,31.09,31.82,1386700,29.03
2012-04-16,31.11,32.14,30.96,31.98,1149400,29.17
2012-04-09,30.93,31.39,30.13,31.03,1048500,28.31
2012-04-02,31.34,31.92,30.96,31.32,1019600,28.57
2012-03-26,30.99,31.69,30.87,31.59,1137700,28.82
2012-03-19,31.15,31.42,30.22,30.78,859100,28.08
2012-03-12,30.79,31.57,30.56,31.24,1027500,28.5
2012-03-05,30.69,31.21,30.1,30.87,1182200,28.16
2012-02-27,30.19,31.1,30.01,30.88,1223700,28.17
2012-02-21,30.82,30.96,30.19,30.51,808500,27.83
2012-02-13,30.05,30.82,29.66,30.7,1101300,28.
2012-02-06,30.43,30.53,29.58,29.78,999700,27.17
2012-01-30,29.95,30.76,29.23,30.69,1246600,28.
2012-01-23,31.49,31.49,30.17,30.18,1183000,27.3
2012-01-17,31.24,32.13,30.32,31.61,1839000,28.59
2012-01-09,29.43,30.97,29.13,30.95,1206600,28.
2012-01-03,30.74,31.07,29.4,29.43,1432400,26.62
2011-12-27,29.87,30.29,29.6,29.95,465700,27.09
2011-12-19,28.92,30.03,28.07,29.97,711400,27.11
2011-12-12,29.05,29.31,27.8,28.79,1351600,26.04
2011-12-05,30.32,30.55,28.39,29.42,1459800,26.61
2011-11-28,28.26,30.49,27.73,29.84,1446400,26.99
2011-11-21,28.75,28.96,26.98,27.22,1632100,24.62
2011-11-14,28.46,29.7,27.7,29.1,1749700,26.09
2011-11-07,28.62,29.22,27.68,28.84,1050500,25.86
2011-10-31,28.56,28.95,26.9,28.79,1432100,25.81
2011-10-24,27.58,29.65,27.51,28.93,1342500,25.94
2011-10-17,26.92,27.63,26.16,27.44,1164500,24.6
2011-10-10,25.63,27.19,25.63,27.18,957400,24.37
2011-10-03,24.5,25.58,22.75,25.1,1518600,22.5
2011-09-26,25.52,27.,24.56,24.56,1344700,22.02
2011-09-19,27.26,27.71,24.7,25.15,1271700,22.55
2011-09-12,25.6,28.19,25.15,27.97,1307500,25.08
2011-09-06,25.25,27.31,25.15,25.96,1152400,23.28
