Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,22.12,22.96,22.11,22.18,7889800,22.18
2014-02-18,18.2,22.77,18.05,22.,12429700,22.
2014-02-10,17.43,18.42,17.21,18.09,4375400,18.09
2014-02-03,17.11,17.7,16.53,17.39,4675400,17.39
2014-01-27,17.1,17.31,16.6,17.08,3821100,17.08
2014-01-21,17.46,17.69,16.82,17.04,3311800,17.04
2014-01-13,16.99,17.41,16.5,17.28,3568500,17.28
2014-01-06,16.88,17.18,16.43,17.07,4407100,17.07
2013-12-30,16.83,17.13,16.76,16.81,3387000,16.81
2013-12-23,16.35,16.92,16.21,16.84,2073300,16.84
2013-12-16,15.71,16.41,15.63,16.26,3795400,16.26
2013-12-09,15.72,16.2,15.32,15.72,3702200,15.72
2013-12-02,16.63,16.89,15.63,15.75,4287900,15.75
2013-11-25,17.16,17.2,16.45,16.55,1755900,16.51
2013-11-18,17.83,17.84,17.09,17.21,1925400,17.17
2013-11-11,17.99,18.33,17.2,17.79,2968500,17.75
2013-11-04,17.8,18.08,17.22,17.92,3824800,17.88
2013-10-28,16.83,18.07,16.78,17.74,5646600,17.7
2013-10-21,17.65,17.96,16.4,16.76,4918500,16.72
2013-10-14,16.96,17.92,16.88,17.8,3037000,17.76
2013-10-07,17.16,17.25,16.48,17.09,3333700,17.05
2013-09-30,16.19,17.59,16.,17.45,4296700,17.41
2013-09-23,16.26,16.72,16.03,16.42,3004500,16.38
2013-09-16,16.45,16.61,16.05,16.36,4103800,16.32
2013-09-09,16.01,16.5,16.,16.37,3002800,16.33
2013-09-03,15.63,16.27,15.21,15.96,3567200,15.92
2013-08-26,15.92,16.06,15.36,15.4,2247400,15.32
2013-08-19,15.55,16.01,15.39,15.9,2464000,15.82
2013-08-12,15.45,15.99,15.43,15.63,2832100,15.55
2013-08-05,15.68,15.89,15.16,15.58,3377000,15.5
2013-07-29,14.86,15.84,14.62,15.74,4421300,15.66
2013-07-22,15.59,15.62,14.73,14.93,4371500,14.85
2013-07-15,14.86,15.76,14.73,15.62,4028000,15.54
2013-07-08,16.26,16.26,14.5,14.8,7488300,14.73
2013-07-01,15.41,16.24,15.38,16.17,3129700,16.09
2013-06-24,15.5,16.03,14.99,15.31,3896800,15.23
2013-06-17,16.05,16.9,15.47,15.68,3784600,15.6
2013-06-10,16.74,16.74,15.76,15.9,2785000,15.82
2013-06-03,16.14,16.71,15.81,16.69,4080200,16.61
2013-05-28,16.87,17.12,16.01,16.01,3507200,15.89
2013-05-20,16.64,17.35,16.21,16.62,4224000,16.5
