Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,38.8,39.65,38.64,39.12,1063100,39.12
2014-02-18,38.91,39.79,38.73,38.93,1387800,38.93
2014-02-10,37.61,38.85,37.35,38.72,920000,38.72
2014-02-03,38.16,38.6,36.37,37.54,1628200,37.54
2014-01-27,37.83,38.65,37.06,38.15,1411100,38.15
2014-01-21,39.79,40.12,37.58,37.6,1182400,37.6
2014-01-13,39.72,40.27,38.91,39.72,1175800,39.72
2014-01-06,39.69,40.74,39.5,39.92,1209000,39.92
2013-12-30,39.81,40.15,39.15,39.78,861200,39.78
2013-12-23,39.37,40.23,39.32,39.92,564500,39.92
2013-12-16,38.73,40.08,38.47,39.96,1278300,39.96
2013-12-09,39.01,39.12,38.45,38.55,1169400,38.55
2013-12-02,39.47,40.64,38.21,38.88,1781800,38.75
2013-11-25,39.61,39.83,38.46,39.29,1046500,39.16
2013-11-18,37.17,39.68,36.87,39.61,1663100,39.48
2013-11-11,35.83,37.23,35.51,37.08,1095100,36.96
2013-11-04,35.48,36.01,35.07,35.93,702800,35.81
2013-10-28,35.69,36.04,35.01,35.3,1165000,35.18
2013-10-21,34.1,36.25,33.38,35.7,1543400,35.58
2013-10-14,33.01,34.24,33.01,34.15,838600,34.04
2013-10-07,32.66,33.32,31.76,33.17,1053700,33.06
2013-09-30,31.87,33.01,31.73,32.9,1230400,32.79
2013-09-23,31.91,32.68,31.88,32.2,1287300,32.09
2013-09-16,31.55,32.33,31.19,32.08,1676900,31.97
2013-09-09,30.57,31.33,30.36,31.25,1264100,31.15
2013-09-03,30.35,30.67,29.51,30.51,1577600,30.28
2013-08-26,30.91,31.,29.69,29.86,1415900,29.64
2013-08-19,30.76,32.04,29.83,30.83,1810700,30.6
2013-08-12,31.9,32.28,30.7,30.79,1145900,30.56
2013-08-05,32.79,32.83,31.91,31.91,792400,31.67
2013-07-29,32.78,33.21,31.87,32.98,1369000,32.73
2013-07-22,34.09,34.14,32.5,32.92,1248200,32.67
2013-07-15,34.33,34.41,33.52,33.89,711400,33.63
2013-07-08,33.39,34.38,32.96,34.3,952500,34.04
2013-07-01,32.95,33.5,32.62,33.3,705100,33.05
2013-06-24,32.42,32.94,31.52,32.79,1388400,32.54
2013-06-17,32.86,33.35,32.25,32.57,1502100,32.32
2013-06-10,33.,33.43,31.19,32.6,1354700,32.35
2013-06-03,31.46,32.89,30.53,32.88,1315800,32.5
2013-05-28,31.21,32.45,30.98,31.46,1582800,31.1
2013-05-20,31.2,31.69,30.31,30.72,1673700,30.37
2013-05-13,30.49,31.34,30.23,31.26,1368500,30.9
2013-05-06,30.53,30.68,30.02,30.5,1298700,30.15
2013-04-29,29.02,30.53,28.88,30.46,1627000,30.11
2013-04-22,27.93,29.03,27.47,28.91,1927300,28.58
2013-04-15,29.,29.28,27.78,27.97,1396200,27.65
2013-04-08,28.77,29.42,28.35,29.18,1649100,28.84
2013-04-01,32.28,32.5,27.72,28.76,4188800,28.43
2013-03-25,32.44,32.71,31.95,32.3,919800,31.93
2013-03-18,32.17,32.47,31.43,32.36,1128900,31.99
2013-03-11,32.01,32.89,31.91,32.57,1041600,32.19
2013-03-04,31.44,32.83,31.31,32.03,1510900,31.53
2013-02-25,31.52,31.9,30.82,31.58,1364200,31.09
2013-02-19,31.24,31.57,30.75,31.36,1381000,30.87
2013-02-11,29.49,32.15,29.32,31.07,4344300,30.59
2013-02-04,28.57,29.49,28.12,29.47,1069400,29.01
2013-01-28,27.63,29.06,27.4,28.64,1414800,28.2
2013-01-22,27.2,27.72,27.1,27.7,805600,27.27
2013-01-14,26.61,27.26,26.49,27.13,924300,26.71
2013-01-07,26.47,26.63,25.95,26.58,873000,26.17
2012-12-31,24.88,26.63,24.75,26.48,1727500,26.07
2012-12-24,25.59,25.59,24.83,24.89,800300,24.5
2012-12-17,24.33,26.8,24.26,25.49,2526400,25.09
2012-12-10,23.75,24.74,23.4,24.2,2220200,23.82
2012-12-03,24.34,24.4,23.45,23.71,1607200,23.21
2012-11-26,23.72,24.42,23.43,24.23,1103300,23.72
2012-11-19,23.21,23.8,22.95,23.78,942000,23.28
2012-11-12,23.66,23.82,22.63,22.95,1348100,22.47
2012-11-05,23.9,24.52,23.48,23.59,1057400,23.1
2012-10-31,23.99,24.35,23.68,24.02,1329400,23.52
2012-10-22,24.07,24.43,23.48,23.77,1536400,23.27
2012-10-15,23.28,24.58,23.11,24.27,1110800,23.76
2012-10-08,23.45,23.79,23.16,23.26,994500,22.77
2012-10-01,23.38,24.02,23.18,23.59,1224900,23.1
2012-09-24,23.65,23.9,22.88,23.29,1281700,22.8
2012-09-17,24.4,24.45,23.5,23.79,1612400,23.29
2012-09-10,23.61,24.5,23.49,24.47,1146300,23.96
2012-09-04,22.79,23.93,22.76,23.73,1172700,23.11
2012-08-27,22.92,23.25,22.6,22.87,1113400,22.27
2012-08-20,23.65,24.13,22.49,22.77,1424300,22.17
2012-08-13,23.38,23.74,23.1,23.59,1040000,22.97
2012-08-06,23.07,23.6,23.05,23.36,919800,22.74
2012-07-30,23.23,23.46,22.35,22.96,1964000,22.36
2012-07-23,22.05,23.5,21.73,23.25,1887900,22.64
2012-07-16,22.53,23.03,22.15,22.37,927300,21.78
2012-07-09,22.09,22.69,21.58,22.56,1240700,21.97
2012-07-02,22.78,22.92,22.06,22.22,1080000,21.63
2012-06-25,21.44,22.73,21.05,22.67,1578000,22.07
2012-06-18,21.44,22.5,21.33,21.77,1997000,21.2
2012-06-11,22.12,22.19,21.03,21.48,2484500,20.91
2012-06-04,21.35,22.39,21.25,22.12,2596900,21.54
2012-05-29,22.28,22.59,21.32,21.38,2499400,20.82
2012-05-21,21.6,22.97,21.48,22.06,5189700,21.48
2012-05-14,23.14,23.91,21.92,21.99,4418000,21.41
2012-05-07,23.48,24.23,23.08,23.36,3238300,22.74
2012-04-30,25.07,25.07,23.24,23.67,2893100,23.05
2012-04-23,24.73,25.53,24.72,25.14,3102100,24.48
2012-04-16,24.72,25.13,24.4,25.04,1736000,24.38
2012-04-09,25.12,25.48,24.49,24.57,1807000,23.92
2012-04-02,25.82,26.12,25.07,25.52,2222900,24.85
2012-03-26,26.89,27.34,25.68,25.9,1740800,25.22
2012-03-19,26.74,26.99,26.2,26.64,1420100,25.94
2012-03-12,26.08,26.95,25.78,26.61,1523500,25.91
2012-03-05,26.16,26.38,25.41,26.13,1326400,25.44
2012-02-27,26.46,26.99,26.07,26.11,1711800,25.42
2012-02-21,26.76,26.88,25.97,26.69,1625000,25.99
2012-02-13,26.22,26.93,26.02,26.81,1960700,26.1
2012-02-06,24.97,26.33,24.91,26.,2118300,25.32
2012-01-30,25.74,25.75,24.5,25.07,2834600,24.41
2012-01-23,25.43,26.27,25.35,25.99,1417400,25.31
2012-01-17,24.95,25.48,24.47,25.34,1178800,24.67
2012-01-09,24.41,25.25,24.27,24.8,1733600,24.15
2012-01-03,25.03,25.27,24.14,24.43,1208500,23.79
2011-12-27,24.56,24.9,24.25,24.51,642400,23.86
2011-12-19,24.1,24.71,23.56,24.69,1043000,24.04
2011-12-12,25.17,25.22,23.92,24.03,1723500,23.4
2011-12-05,26.41,26.5,24.84,25.52,1929600,24.85
2011-11-28,25.32,26.5,25.,25.9,1766900,25.22
2011-11-21,25.18,25.37,24.53,24.55,1450500,23.9
2011-11-14,26.25,26.81,25.32,25.67,1925200,24.99
2011-11-07,25.28,26.67,25.1,26.51,2123400,25.81
2011-10-31,25.44,25.63,23.27,25.3,3336300,24.63
2011-10-24,25.09,26.,23.66,25.69,3322600,25.01
2011-10-17,25.19,25.54,24.36,25.11,2598900,24.45
2011-10-10,24.64,25.96,24.55,25.46,2583300,24.79
2011-10-03,22.95,24.65,21.69,24.11,2994900,23.48
2011-09-26,24.72,25.99,23.14,23.14,2687400,22.53
2011-09-19,24.78,25.27,23.,24.39,3115300,23.75
2011-09-12,21.84,25.78,21.71,25.27,4011400,24.6
2011-09-06,21.48,23.66,21.35,22.26,3052200,21.67
2011-08-29,23.04,24.06,22.19,22.56,1975800,21.97
2011-08-22,21.67,23.43,20.9,22.73,1985200,22.13
2011-08-15,23.21,23.72,21.15,21.2,2562000,20.64
2011-08-08,22.23,24.14,20.32,22.97,4493600,22.37
2011-08-01,24.35,24.47,22.34,22.79,3304400,22.19
2011-07-25,23.88,24.7,23.14,24.07,2353400,23.44
2011-07-18,23.57,24.2,22.74,24.2,1817200,23.56
2011-07-11,24.96,25.,23.33,23.69,1609200,23.07
2011-07-05,25.51,26.32,25.11,25.37,2000800,24.7
2011-06-27,23.34,26.19,23.3,26.12,2087200,25.43
2011-06-20,23.79,24.46,23.02,23.39,1693300,22.77
2011-06-13,23.8,24.29,23.41,23.77,1753100,23.14
2011-06-06,24.07,24.31,23.39,23.8,1764400,23.17
2011-05-31,25.52,25.68,24.11,24.13,1770100,23.49
2011-05-23,25.12,25.7,24.18,25.37,2394000,24.7
2011-05-16,26.45,28.08,25.5,25.5,3548100,24.83
2011-05-09,26.61,27.58,26.51,26.91,1358700,26.2
2011-05-02,27.18,27.5,26.25,26.59,1854300,25.89
2011-04-25,27.56,27.78,27.,27.12,1465000,26.41
2011-04-18,27.77,29.,26.98,27.54,1906400,26.81
2011-04-11,28.16,28.65,27.46,28.21,2325100,27.47
2011-04-04,27.73,29.5,27.27,28.45,4776600,27.7
2011-03-28,25.32,28.64,24.95,28.23,4983800,27.49
2011-03-21,25.13,25.72,24.84,25.3,1568300,24.63
2011-03-14,27.05,27.08,24.29,24.79,3824700,24.14
2011-03-07,28.74,28.77,26.8,27.19,1829500,26.47
2011-02-28,28.38,28.75,27.48,28.02,2367300,27.28
2011-02-22,28.54,28.67,27.56,28.41,3738000,27.66
2011-02-14,28.3,29.71,27.96,29.09,5624900,28.32
2011-02-07,26.55,28.22,25.76,28.12,7231900,27.38
2011-01-31,24.53,26.75,24.3,26.56,3099900,25.86
2011-01-24,24.34,25.23,24.05,24.5,2082800,23.85
2011-01-18,24.43,24.52,23.65,24.3,1678900,23.66
2011-01-10,23.23,24.37,23.09,24.37,1778500,23.73
2011-01-03,23.99,24.29,23.25,23.38,1853200,22.76
2010-12-27,23.71,24.1,23.65,23.73,1355100,23.11
2010-12-20,23.5,24.34,23.27,23.82,2042100,23.19
