Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,92.71,92.77,91.75,91.78,2626100,91.78
2014-02-18,93.34,94.04,92.05,92.56,1842400,92.56
2014-02-10,90.35,93.36,89.94,93.27,1690100,93.27
2014-02-03,92.05,92.75,89.01,90.61,2573000,90.61
2014-01-27,87.19,92.25,86.12,91.93,2994300,91.93
2014-01-21,87.76,89.72,87.05,87.06,2328400,87.06
2014-01-13,86.85,87.85,86.1,87.66,1402300,87.66
2014-01-06,84.43,87.8,84.,87.25,2192100,87.25
2013-12-30,84.57,85.84,83.97,84.36,1630500,84.36
2013-12-23,85.3,85.37,84.05,84.7,1249300,84.7
2013-12-16,83.22,85.42,81.52,84.82,2715400,84.82
2013-12-09,84.31,84.44,81.93,82.71,2587400,82.71
2013-12-02,84.84,84.84,83.49,84.63,2286600,84.63
2013-11-25,86.74,87.11,84.38,84.59,1460000,84.59
2013-11-18,88.97,89.27,86.08,86.59,2356200,85.93
2013-11-11,87.12,88.7,84.59,88.57,1645700,87.89
2013-11-04,88.65,88.98,85.47,87.12,2292900,86.45
2013-10-28,85.56,89.75,84.1,88.14,2477000,87.46
2013-10-21,83.46,85.97,83.32,85.95,1580200,85.29
2013-10-14,81.26,83.91,80.05,83.54,1654900,82.9
2013-10-07,79.24,81.94,79.15,81.75,1450300,81.12
2013-09-30,79.77,80.72,78.97,79.65,1715800,79.04
2013-09-23,80.51,81.63,79.81,80.07,1987500,79.46
2013-09-16,80.26,83.89,78.81,80.69,3276200,80.07
2013-09-09,80.1,80.67,78.83,79.22,1933400,78.61
2013-09-03,81.07,81.12,79.12,80.01,1898500,79.4
2013-08-26,81.38,81.49,79.74,80.36,1739700,79.74
2013-08-19,82.,83.01,80.32,81.41,1350400,80.13
2013-08-12,86.,86.14,81.44,82.15,1492700,80.86
2013-08-05,87.81,87.81,85.94,86.26,1544500,84.9
2013-07-29,84.1,88.39,84.05,87.94,2579100,86.56
2013-07-22,85.03,85.41,82.96,83.95,1864800,82.63
2013-07-15,83.72,85.88,83.66,84.96,1945500,83.62
2013-07-08,80.01,84.14,79.8,84.01,1556900,82.69
2013-07-01,81.88,81.95,79.04,79.93,1620900,78.67
2013-06-24,77.84,81.77,77.21,81.48,1794300,80.2
2013-06-17,80.39,81.78,76.91,78.33,2378000,77.1
2013-06-10,78.73,80.33,77.59,79.73,2343700,78.47
2013-06-03,75.66,78.83,74.78,78.8,2431000,77.56
2013-05-28,77.58,77.61,74.86,75.62,2275200,74.43
2013-05-20,81.01,81.15,76.5,77.3,1681700,75.42
2013-05-13,79.75,81.71,79.24,81.1,1289000,79.13
2013-05-06,81.6,81.88,79.22,80.,1601100,78.05
2013-04-29,80.72,82.65,80.23,81.75,1479500,79.76
2013-04-22,80.,80.98,79.43,80.54,1209800,78.58
2013-04-15,79.39,80.22,78.55,80.08,1689700,78.13
2013-04-08,79.45,80.25,78.77,79.49,1641300,77.56
2013-04-01,77.61,79.63,77.24,79.54,1594700,77.61
2013-03-25,76.42,77.79,75.94,77.68,2260700,75.79
2013-03-18,74.17,76.25,73.96,76.17,1839300,74.32
2013-03-11,74.,74.54,72.12,74.47,2617200,72.66
2013-03-04,72.23,74.43,72.19,74.16,1785400,72.36
2013-02-25,72.85,73.5,71.42,72.36,3858700,70.6
2013-02-19,72.69,73.41,72.52,72.75,3946900,70.33
2013-02-11,72.01,72.92,71.84,72.5,1725500,70.09
