Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,46.54,47.01,46.42,46.71,1571700,46.71
2014-02-18,45.59,47.,45.52,46.31,1901900,46.31
2014-02-10,44.59,45.7,43.71,45.43,2595200,45.43
2014-02-03,42.17,44.3,40.88,44.18,2452900,44.18
2014-01-27,43.24,43.43,41.92,42.29,2583500,42.29
2014-01-21,44.67,45.38,43.24,43.24,1920100,43.24
2014-01-13,44.09,45.19,43.57,44.42,2499300,44.42
2014-01-06,45.59,45.6,43.95,44.11,2409300,44.11
2013-12-30,45.79,46.2,44.88,45.35,1844100,45.35
2013-12-23,45.95,46.06,45.45,45.7,1252600,45.7
2013-12-16,44.98,45.81,44.68,45.35,3714400,45.35
2013-12-09,43.69,45.84,42.69,45.62,2725600,45.62
2013-12-02,42.98,43.69,42.38,43.55,2793300,43.55
2013-11-25,41.49,43.33,41.49,43.16,2974200,43.16
2013-11-18,40.26,41.65,39.65,41.12,4604000,41.12
2013-11-11,39.8,40.35,39.49,40.34,1525500,40.14
2013-11-04,39.96,40.32,38.99,39.77,1304500,39.57
2013-10-28,39.24,40.06,38.59,39.94,1347300,39.74
2013-10-21,38.44,39.26,36.95,39.04,2463900,38.85
2013-10-14,37.05,38.48,36.85,38.44,1898600,38.25
2013-10-07,36.24,37.37,35.86,37.24,1591800,37.06
2013-09-30,36.36,37.22,35.96,36.4,1592800,36.22
2013-09-23,36.34,36.89,36.14,36.32,1816600,36.14
2013-09-16,35.98,37.3,35.45,35.87,2444500,35.69
2013-09-09,35.03,35.93,34.99,35.56,1642500,35.38
2013-09-03,34.81,35.4,34.38,35.,1847400,34.83
2013-08-26,33.85,34.78,33.67,34.5,2075300,34.33
2013-08-19,32.6,34.27,32.4,34.06,2030000,33.69
2013-08-12,33.01,33.63,32.47,32.73,1731500,32.38
2013-08-05,33.77,33.95,32.81,33.09,1699200,32.73
2013-07-29,33.06,34.53,33.05,33.74,2730400,33.38
2013-07-22,33.37,33.75,32.98,33.23,1539000,32.87
2013-07-15,34.47,34.76,32.63,33.2,3324200,32.84
2013-07-08,34.98,35.7,33.25,34.47,13102600,34.1
2013-07-01,33.64,34.8,33.07,34.7,5098100,34.33
2013-06-24,33.75,34.26,33.13,33.59,2998700,33.23
2013-06-17,34.5,35.77,33.9,34.01,2209400,33.64
2013-06-10,34.3,34.48,33.6,34.33,1359100,33.96
2013-06-03,33.83,34.33,33.16,34.25,1581000,33.88
2013-05-28,35.01,35.28,33.4,33.91,2359500,33.39
2013-05-20,35.28,35.47,34.01,35.01,2163000,34.47
2013-05-13,35.56,36.25,34.6,35.28,8087600,34.73
2013-05-06,36.05,37.09,35.81,36.91,1445300,36.34
2013-04-29,34.47,35.76,33.92,35.64,1982000,35.09
2013-04-22,34.9,36.74,33.37,34.74,1805200,34.2
2013-04-15,35.25,35.45,34.47,34.95,1008200,34.41
2013-04-08,34.54,35.94,34.54,35.49,838100,34.94
2013-04-01,35.52,35.7,34.5,34.61,970400,34.08
2013-03-25,34.75,35.84,34.32,35.82,827000,35.27
2013-03-18,34.42,35.,34.15,34.63,742100,34.09
2013-03-11,34.84,34.99,34.18,34.66,1080800,34.12
2013-03-04,33.68,35.18,33.41,34.89,1490300,34.35
2013-02-25,32.43,34.11,32.21,34.05,2215500,33.37
2013-02-19,32.5,33.23,31.55,32.26,2696100,31.61
2013-02-11,32.75,33.98,31.38,32.4,6220900,31.75
2013-02-04,32.39,32.91,31.86,32.81,1711900,32.15
2013-01-28,32.14,32.86,32.12,32.54,1202500,31.89
2013-01-22,31.56,32.29,31.,32.14,821900,31.49
2013-01-14,31.1,31.7,30.96,31.63,465900,30.99
2013-01-07,30.96,31.91,30.79,31.16,850600,30.53
2012-12-31,30.35,31.21,30.14,31.19,761700,30.56
2012-12-24,30.46,30.49,30.14,30.26,898200,29.65
2012-12-17,29.76,31.,29.4,30.59,2675600,29.98
2012-12-10,27.64,29.8,27.57,29.65,1454400,29.05
2012-12-03,28.36,29.36,28.12,29.24,927700,28.65
2012-11-26,28.27,28.59,27.73,28.32,859300,27.75
2012-11-19,27.91,28.4,27.3,28.26,1383000,27.69
2012-11-12,28.91,29.11,27.51,27.64,841700,27.09
2012-11-05,29.64,29.75,28.7,28.79,857300,28.21
2012-10-31,28.75,30.,28.75,29.77,1223500,29.17
2012-10-22,29.24,30.4,28.25,28.92,2270400,28.34
2012-10-15,30.65,32.07,30.49,31.45,1993500,30.82
2012-10-08,30.73,30.84,30.22,30.77,671900,30.15
2012-10-01,30.,31.18,29.61,30.79,921000,30.17
2012-09-24,30.29,30.48,29.23,29.98,878800,29.38
2012-09-17,29.41,30.5,29.4,30.47,1280000,29.86
2012-09-10,28.38,29.81,28.33,29.5,1617900,28.91
2012-09-04,28.1,29.04,27.94,28.5,819800,27.93
2012-08-27,28.24,28.49,27.81,28.04,570900,27.48
2012-08-20,28.7,28.78,27.95,28.26,520800,27.69
2012-08-13,28.88,29.08,28.33,28.78,681200,28.2
2012-08-06,29.24,29.3,28.47,28.98,823900,28.4
2012-07-30,27.99,29.43,27.95,29.19,1024000,28.6
2012-07-23,25.53,28.1,25.02,28.05,1737100,27.49
2012-07-16,26.34,26.34,25.71,25.76,702200,25.24
2012-07-09,26.5,26.86,25.87,26.32,756100,25.79
2012-07-02,26.27,26.8,25.96,26.64,675700,26.11
2012-06-25,26.47,26.62,25.14,26.22,1641400,25.69
2012-06-18,26.8,27.99,26.5,26.96,1391500,26.42
2012-06-11,27.29,27.84,26.38,26.81,2253500,26.27
2012-06-04,27.34,27.74,26.77,27.01,991200,26.47
2012-05-29,27.81,28.12,26.84,27.35,1538800,26.8
2012-05-21,27.65,28.14,27.18,27.74,773200,27.18
2012-05-14,28.41,28.62,27.07,27.5,1404900,26.95
2012-05-07,29.63,29.7,28.41,28.57,1292800,28.
2012-04-30,29.26,30.35,28.7,29.6,1068500,29.01
2012-04-23,28.84,30.27,28.74,29.37,1470800,28.78
2012-04-16,29.24,29.65,28.09,29.24,1578100,28.65
2012-04-09,29.41,29.88,28.9,29.19,1021800,28.6
2012-04-02,30.07,30.29,29.4,29.76,1283800,29.16
2012-03-26,30.51,30.62,29.27,30.14,1997900,29.53
2012-03-19,29.25,31.1,29.14,30.43,6243900,29.82
2012-03-12,29.49,30.45,29.33,30.4,557000,29.79
2012-03-05,29.5,29.75,28.86,29.49,654500,28.9
2012-02-27,27.68,29.58,27.62,29.5,1103300,28.91
2012-02-21,28.3,28.55,27.09,27.9,724000,27.34
2012-02-13,28.52,28.68,26.57,28.28,1642400,27.71
2012-02-06,29.24,29.95,27.95,28.47,1111400,27.9
2012-01-30,28.94,30.27,28.58,30.22,872400,29.61
2012-01-23,28.14,29.48,28.12,29.18,396400,28.59
2012-01-17,28.75,29.8,27.74,28.09,466300,27.53
2012-01-09,29.4,30.04,28.4,28.5,451200,27.93
2012-01-03,29.99,30.5,28.58,29.32,522800,28.73
2011-12-27,29.69,30.06,29.07,29.69,299500,29.09
2011-12-19,27.98,30.11,27.09,29.87,584800,29.27
2011-12-12,28.39,29.03,27.47,27.8,995800,27.24
2011-12-05,30.05,30.45,27.74,28.71,521500,28.13
2011-11-28,29.1,29.98,28.27,29.86,595300,29.26
2011-11-21,28.26,29.55,28.06,28.51,311600,27.94
2011-11-14,30.15,31.45,28.55,28.56,528800,27.99
