Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,120.76,123.3,120.76,122.12,1343800,122.12
2014-02-18,120.54,121.45,118.91,120.47,1052100,120.47
2014-02-10,114.72,120.79,113.12,120.28,1424300,120.28
2014-02-03,116.09,117.21,109.17,114.97,1974300,114.97
2014-01-27,113.45,123.65,110.5,115.55,1937500,115.55
2014-01-21,119.06,120.68,113.43,113.45,1450300,113.45
2014-01-13,116.44,118.66,115.18,118.24,1087100,118.24
2014-01-06,114.01,116.57,113.15,116.37,1531900,116.37
2013-12-30,114.72,115.07,112.76,113.58,1013500,113.58
2013-12-23,113.,116.19,112.04,114.7,899300,114.7
2013-12-16,108.96,113.05,108.42,112.26,1904200,112.26
2013-12-09,110.18,110.54,107.21,108.92,1439800,108.92
2013-12-02,112.6,113.24,109.24,110.26,1512100,110.26
2013-11-25,112.12,114.48,110.97,112.68,1597600,112.68
2013-11-18,110.48,112.25,109.48,112.01,1223200,111.4
2013-11-11,110.23,110.29,106.67,109.53,1102000,108.93
2013-11-04,108.45,110.76,108.21,110.73,921000,110.13
2013-10-28,108.09,109.41,106.93,108.12,1426000,107.53
2013-10-21,101.74,108.78,99.89,108.37,1469200,107.78
2013-10-14,97.7,101.6,97.15,101.59,1054200,101.04
2013-10-07,92.92,98.41,92.82,98.36,1340400,97.82
2013-09-30,95.45,96.19,92.51,93.32,1256800,92.81
2013-09-23,96.3,96.73,95.4,96.25,1073900,95.73
2013-09-16,97.04,99.1,96.09,96.3,1291700,95.78
2013-09-09,93.35,96.27,93.24,96.19,1152400,95.67
2013-09-03,93.43,94.29,92.32,93.12,1170300,92.61
2013-08-26,94.81,95.15,91.97,92.27,1108500,91.77
2013-08-19,93.88,94.98,93.52,94.57,1411400,93.44
2013-08-12,95.41,95.67,93.45,94.02,1470100,92.89
2013-08-05,94.89,96.42,94.36,95.49,1538400,94.35
2013-07-29,90.22,96.26,90.21,94.89,2855900,93.75
2013-07-22,88.67,92.99,88.23,90.56,1748800,89.48
2013-07-15,88.25,88.63,86.75,88.36,1287800,87.3
2013-07-08,84.44,88.12,84.07,88.02,1472100,86.97
2013-07-01,82.78,84.,81.74,83.95,863300,82.94
2013-06-24,81.42,83.57,80.64,82.8,1331700,81.81
2013-06-17,83.28,84.34,81.84,81.85,1529100,80.87
2013-06-10,84.17,84.3,82.5,82.88,1321400,81.89
2013-06-03,82.48,84.,80.92,83.88,1437600,82.88
2013-05-28,81.65,84.06,81.03,82.39,1570900,81.4
2013-05-20,82.22,82.61,79.59,81.26,2611900,80.29
2013-05-13,77.72,83.28,77.35,82.19,1998400,80.59
2013-05-06,77.02,78.16,76.91,77.93,1287400,76.42
2013-04-29,74.48,77.,74.04,76.84,1553500,75.35
2013-04-22,70.98,74.97,70.3,74.24,1667300,72.8
2013-04-15,71.85,71.86,69.23,70.98,1808700,69.6
2013-04-08,71.75,72.67,71.18,72.11,1536700,70.71
2013-04-01,70.1,71.77,69.13,71.56,2330000,70.17
2013-03-25,68.28,70.21,67.77,70.15,1724900,68.79
2013-03-18,68.22,68.99,67.73,68.05,1191700,66.73
2013-03-11,65.95,68.83,65.9,68.8,2190500,67.46
2013-03-04,65.29,66.02,64.2,65.96,1935000,64.68
2013-02-25,66.21,66.67,64.45,65.52,1765600,64.25
2013-02-19,65.75,66.95,65.13,65.97,1649600,64.15
2013-02-11,65.96,66.75,65.27,65.63,1476200,63.82
2013-02-04,64.68,66.14,64.35,66.09,2233400,64.27
2013-01-28,67.89,67.89,64.8,65.13,2809600,63.33
2013-01-22,67.46,68.9,67.,67.74,1965300,65.87
2013-01-14,67.1,67.65,66.6,67.49,1755600,65.63
2013-01-07,69.09,69.61,66.85,67.07,1827700,65.22
2012-12-31,66.51,68.98,65.87,68.76,1746000,66.86
2012-12-24,68.39,68.98,66.69,66.76,1188000,64.92
2012-12-17,67.04,69.17,66.74,68.63,1712800,66.74
2012-12-10,67.3,68.96,66.39,66.8,1400700,64.96
2012-12-03,66.92,67.7,65.5,67.53,1619000,65.67
2012-11-26,65.04,67.29,64.71,66.7,1572400,64.86
2012-11-19,64.22,65.41,64.02,65.36,1308700,63.56
2012-11-12,65.6,65.96,62.8,63.57,1944000,61.29
2012-11-05,68.58,70.84,64.65,65.6,2413300,63.25
2012-10-31,68.32,69.82,67.88,68.98,1709500,66.51
2012-10-22,70.26,70.99,67.93,68.02,1573000,65.58
