Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,74.98,76.81,74.98,75.94,6323600,75.94
2014-02-18,76.52,77.25,74.65,74.8,3988700,74.8
2014-02-10,74.96,76.78,74.19,76.42,4254500,76.42
2014-02-03,75.19,75.19,73.1,75.07,4955000,75.07
2014-01-27,73.92,75.66,72.67,75.01,5573100,75.01
2014-01-21,77.54,77.98,73.98,74.,5463700,74.
2014-01-13,77.9,78.17,76.55,76.97,3047600,76.97
2014-01-06,80.31,80.32,77.01,78.05,3335000,78.05
2013-12-30,79.66,80.26,78.4,78.75,2035300,78.75
2013-12-23,78.71,79.66,77.67,79.44,1849300,79.44
2013-12-16,79.02,79.16,76.6,78.37,3525100,78.37
2013-12-09,81.25,81.35,78.1,78.74,3513300,78.74
2013-12-02,81.74,82.66,81.,81.59,2231100,81.59
2013-11-25,83.12,83.5,80.82,81.5,2249800,81.24
2013-11-18,84.38,84.59,82.72,83.66,2668900,83.4
2013-11-11,82.59,84.71,81.57,84.3,2702300,84.03
2013-11-04,81.15,82.25,79.81,82.2,2447500,81.94
2013-10-28,82.65,83.07,79.8,80.83,3101800,80.58
2013-10-21,81.98,82.75,78.25,82.72,4132700,82.46
2013-10-14,78.83,82.43,78.64,82.16,2575200,81.9
2013-10-07,79.11,79.47,77.46,79.32,2458400,79.07
2013-09-30,77.34,79.95,77.2,79.54,2274200,79.29
2013-09-23,78.47,80.02,77.81,78.01,2441800,77.76
2013-09-16,78.86,80.27,78.13,78.81,2599600,78.56
2013-09-09,78.18,79.14,77.53,78.24,2664600,77.99
2013-09-03,75.09,78.37,75.09,78.01,3645500,77.51
2013-08-26,72.8,74.87,72.51,74.3,2920800,73.82
2013-08-19,72.67,72.89,70.38,72.54,2452700,72.07
2013-08-12,72.02,74.07,71.75,72.73,2487800,72.26
2013-08-05,72.01,73.28,71.5,72.49,2512700,72.02
2013-07-29,71.33,72.46,68.07,72.31,4755200,71.84
2013-07-22,73.85,74.37,71.03,71.58,2823500,71.12
2013-07-15,73.02,74.08,71.95,74.05,2901900,73.57
2013-07-08,72.25,73.86,72.06,72.96,3247200,72.49
2013-07-01,69.43,72.02,69.29,71.85,2861000,71.39
2013-06-24,67.4,69.26,66.01,68.9,3157100,68.46
2013-06-17,70.14,72.,67.68,68.21,3913600,67.77
2013-06-10,70.53,70.75,68.85,69.58,2622500,69.13
2013-06-03,70.56,71.11,68.56,70.2,3407200,69.49
2013-05-28,70.99,71.9,70.3,70.3,4020200,69.58
2013-05-20,68.59,71.,67.34,69.98,4823400,69.27
2013-05-13,67.68,68.91,66.54,68.53,4655600,67.83
2013-05-06,67.16,69.48,66.94,68.22,3302900,67.53
2013-04-29,66.65,67.2,63.25,66.88,4223100,66.2
2013-04-22,64.78,68.05,64.52,66.32,4297200,65.65
2013-04-15,67.76,68.09,63.08,64.31,4443000,63.66
2013-04-08,67.72,70.68,67.49,68.86,2900400,68.16
2013-04-01,70.76,71.09,65.95,67.62,3431400,66.93
2013-03-25,68.72,71.31,68.17,70.75,3950800,70.03
2013-03-18,69.64,70.29,67.31,68.26,4148200,67.57
2013-03-11,68.05,71.09,66.63,70.53,4557000,69.81
2013-03-04,67.,68.49,65.56,68.19,3255400,67.37
2013-02-25,68.57,69.03,66.02,66.96,3743700,66.15
2013-02-19,69.79,70.21,66.13,68.1,3988700,67.28
2013-02-11,69.32,71.12,68.02,69.33,3996200,68.49
2013-02-04,71.,71.75,66.,69.08,7890800,68.25
2013-01-28,74.36,74.57,69.52,71.26,5045900,70.4
2013-01-22,72.81,75.,72.78,74.,2850400,73.11
2013-01-14,70.99,72.78,69.84,72.76,2977700,71.88
2013-01-07,71.12,71.48,69.02,70.89,2776300,70.03
2012-12-31,65.85,71.93,65.68,71.75,3421700,70.88
2012-12-24,68.47,68.47,65.5,65.88,2132700,65.08
2012-12-17,65.01,69.62,64.9,68.33,4833800,67.5
2012-12-10,68.26,68.53,64.82,64.87,6909100,64.09
2012-12-03,69.37,69.7,67.71,68.28,3949800,67.46
2012-11-26,72.11,72.14,68.,68.3,3889700,67.35
2012-11-19,71.78,73.42,71.15,72.6,2477200,71.59
2012-11-12,69.14,71.79,68.58,70.61,3902000,69.63
2012-11-05,71.99,73.25,68.78,68.97,3726400,68.01
2012-10-31,75.21,75.72,71.36,71.65,5073700,70.65
2012-10-22,81.06,81.68,73.3,74.57,4434200,73.53
2012-10-15,78.18,82.47,77.39,80.7,2360700,79.57
2012-10-08,79.54,81.12,76.97,78.22,2241000,77.13
2012-10-01,80.84,81.53,78.79,79.92,2223000,78.81
2012-09-24,80.8,81.54,78.11,80.11,2873500,78.99
2012-09-17,84.29,89.95,79.92,81.72,4322000,80.58
2012-09-10,81.93,86.03,80.98,84.83,3251600,83.65
2012-09-04,78.55,82.,77.16,81.92,3044900,80.66
