Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,90.86,92.05,90.41,91.27,2309700,91.27
2014-02-18,92.87,92.88,90.13,90.47,2761900,90.47
2014-02-10,94.52,94.65,91.96,92.84,2232700,92.84
2014-02-03,93.13,94.93,89.46,94.74,3936700,94.74
2014-01-27,89.8,93.28,89.33,92.59,2288100,92.05
2014-01-21,89.26,95.1,88.25,89.61,3638600,89.08
2014-01-13,91.64,92.04,87.14,88.99,2150800,88.47
2014-01-06,91.49,92.14,89.19,91.59,1428500,91.05
2013-12-30,92.31,93.03,91.07,91.37,1020900,90.83
2013-12-23,91.97,93.17,91.64,92.33,976800,91.79
2013-12-16,88.83,92.,88.68,91.32,1794900,90.78
2013-12-09,90.12,91.05,87.36,87.97,1482800,87.45
2013-12-02,87.7,89.75,86.55,89.67,1936000,89.14
2013-11-25,87.15,88.42,86.45,87.69,903700,87.17
2013-11-18,87.,87.76,85.77,87.12,1161600,86.61
2013-11-11,85.43,87.86,85.41,87.15,1468500,86.64
2013-11-04,87.46,87.88,85.,85.62,1783800,85.12
2013-10-28,87.76,88.99,85.89,87.,1974000,86.49
2013-10-21,79.89,87.93,79.41,87.65,2929300,86.62
2013-10-14,78.37,79.99,77.46,79.89,2079300,78.95
2013-10-07,76.91,79.25,76.08,78.75,1634700,77.82
2013-09-30,77.03,78.77,76.4,77.51,1980900,76.6
2013-09-23,77.4,78.91,77.29,77.79,1476700,76.88
2013-09-16,76.59,78.82,75.91,77.72,1617100,76.81
2013-09-09,74.81,76.5,74.23,75.64,1295400,74.75
2013-09-03,72.89,75.33,71.88,74.39,1324300,73.52
2013-08-26,74.51,75.,71.86,72.16,1354300,71.31
2013-08-19,73.82,74.49,72.38,74.46,1334700,73.58
2013-08-12,73.6,74.56,72.5,74.,1379700,73.13
2013-08-05,75.49,75.64,73.37,73.98,1338200,73.11
2013-07-29,73.87,76.55,73.04,75.5,1940800,74.61
2013-07-22,78.13,78.2,72.46,73.92,2723500,72.53
2013-07-15,75.12,78.18,75.12,78.08,1661900,76.62
2013-07-08,72.48,75.52,72.11,75.2,1844800,73.79
2013-07-01,72.99,73.4,71.51,72.33,1873100,70.97
2013-06-24,72.11,74.36,70.27,72.65,2706200,71.29
2013-06-17,76.55,77.38,72.33,72.9,2498700,71.53
2013-06-10,77.95,78.05,75.25,76.17,1914400,74.74
2013-06-03,77.01,78.36,74.06,77.41,2096500,75.96
2013-05-28,78.79,78.97,76.56,76.59,2268500,75.15
2013-05-20,80.23,81.,76.2,77.64,2114900,76.18
2013-05-13,78.75,80.46,77.98,80.23,1536400,78.73
2013-05-06,77.75,79.34,77.56,79.01,1528200,77.53
2013-04-29,75.65,78.79,74.89,77.81,2144900,76.35
2013-04-22,74.75,76.34,73.66,75.56,1848800,73.66
2013-04-15,76.28,76.31,73.08,74.75,2172100,72.88
2013-04-08,74.45,78.08,74.34,76.81,2058400,74.88
2013-04-01,76.94,77.33,72.26,74.52,2571400,72.65
2013-03-25,75.18,77.42,74.05,77.08,1830500,75.15
2013-03-18,74.84,76.26,74.45,74.65,1804500,72.78
2013-03-11,74.6,75.62,73.89,75.62,1838900,73.72
2013-03-04,73.51,75.71,73.11,74.77,2325600,72.89
2013-02-25,73.35,74.1,70.83,73.75,2634000,71.9
2013-02-19,71.89,73.42,71.39,73.11,2434500,71.28
2013-02-11,69.19,72.75,69.15,71.5,2118100,69.71
2013-02-04,69.6,69.74,68.18,69.,2564700,67.27
2013-01-28,70.22,71.24,68.63,69.6,2960000,67.85
2013-01-22,66.63,70.,66.18,69.69,3312800,67.46
2013-01-14,65.21,66.74,64.51,66.7,2241600,64.57
2013-01-07,65.13,65.28,63.75,64.04,2443900,61.99
2012-12-31,60.82,65.75,60.7,65.37,2425500,63.28
2012-12-24,62.53,62.55,60.59,61.07,1497100,59.12
2012-12-17,61.77,62.99,61.28,62.55,4033200,60.55
2012-12-10,61.51,62.39,61.09,61.36,2068700,59.4
2012-12-03,60.67,62.05,59.26,61.51,2561800,59.54
2012-11-26,57.52,60.65,57.43,60.38,3415300,58.45
2012-11-19,56.81,58.03,56.49,57.76,2243100,55.91
2012-11-12,58.09,59.09,56.05,56.34,3474300,54.54
2012-11-05,61.,62.02,57.89,58.,4492000,56.15
2012-10-31,62.78,62.89,61.13,61.13,4406500,59.18
2012-10-22,65.64,67.14,60.96,62.77,4900700,60.28
2012-10-15,67.29,68.01,65.54,65.64,2993100,63.04
2012-10-08,66.56,67.5,65.92,67.28,1980000,64.61
2012-10-01,64.01,67.,63.78,66.9,3198200,64.25
2012-09-24,65.09,66.51,63.25,63.63,3342900,61.1
2012-09-17,74.5,74.59,64.95,65.,4821900,62.42
2012-09-10,72.11,75.14,71.86,74.69,1454400,71.73
2012-09-04,71.9,72.15,69.7,71.92,1828100,69.07
2012-08-27,73.66,73.97,72.22,72.46,1336000,69.58
2012-08-20,74.97,75.56,72.94,73.6,1301300,70.68
2012-08-13,74.42,75.33,73.79,75.1,1051400,72.12
2012-08-06,74.97,75.44,73.21,74.56,1334400,71.6
2012-07-30,74.5,75.21,72.38,74.94,1621000,71.49
2012-07-23,72.03,75.23,71.07,74.69,1968000,71.25
2012-07-16,73.29,74.87,72.79,72.99,2242600,69.62
2012-07-09,71.78,73.69,70.77,73.69,2099400,70.29
2012-07-02,71.77,72.25,70.98,72.2,1323600,68.87
2012-06-25,69.25,71.77,68.17,71.77,1893300,68.46
2012-06-18,68.7,72.17,68.47,70.,2668800,66.77
2012-06-11,67.15,69.25,65.73,68.97,2383700,65.79
2012-06-04,64.06,67.18,62.82,66.44,2261000,63.38
2012-05-29,67.,67.28,64.21,64.29,3221100,61.33
2012-05-21,65.06,68.42,65.06,66.43,2154100,63.37
2012-05-14,67.72,68.86,65.13,65.34,2346900,62.33
2012-05-07,71.36,72.49,67.84,68.44,3409300,65.28
2012-04-30,73.32,74.89,71.45,71.63,2312800,68.33
2012-04-23,68.63,73.76,68.2,73.37,3090900,69.55
2012-04-16,67.82,69.96,67.6,69.53,2991200,65.91
2012-04-09,67.08,68.42,64.91,67.44,2848200,63.92
2012-04-02,65.66,68.06,65.42,67.83,3918300,64.29
2012-03-26,65.21,66.8,64.85,65.83,3155600,62.4
2012-03-19,68.68,69.04,64.35,64.45,3086200,61.09
2012-03-12,66.69,69.39,64.1,68.98,4717000,65.38
2012-03-05,68.08,68.75,65.25,66.48,4072000,63.01
2012-02-27,69.53,71.35,67.8,68.1,3961400,64.55
2012-02-21,68.39,70.36,67.9,70.03,3829800,66.38
2012-02-13,72.03,72.39,67.56,68.81,4252100,65.22
2012-02-06,73.05,73.16,71.03,71.53,2947100,67.8
2012-01-30,72.52,74.,71.9,73.61,4977100,69.77
2012-01-23,77.49,77.69,72.4,73.94,3651800,69.63
2012-01-17,77.14,78.22,75.,77.26,3029400,72.76
2012-01-09,75.94,78.5,74.99,76.5,2341100,72.04
2012-01-03,73.99,76.35,73.35,75.31,2067000,70.92
2011-12-27,72.77,73.36,71.53,72.86,1054900,68.61
2011-12-19,70.19,72.97,69.04,72.76,2092800,68.52
2011-12-12,73.31,73.79,69.08,69.82,3282400,65.75
2011-12-05,75.82,76.49,72.84,73.79,2205100,69.49
2011-11-28,72.75,76.,72.37,75.01,2938700,70.64
2011-11-21,72.35,72.74,70.,70.44,2592600,66.33
2011-11-14,75.14,75.87,71.78,73.29,2300300,69.02
2011-11-07,73.55,76.2,71.67,75.69,2510400,71.28
2011-10-31,74.26,75.07,70.2,73.54,3352200,69.25
2011-10-24,71.,75.86,68.3,74.98,3630600,70.19
2011-10-17,68.06,70.98,66.18,70.9,2389800,66.37
2011-10-10,66.06,68.49,65.77,68.17,2340400,63.82
2011-10-03,60.51,66.04,57.57,64.87,3351900,60.73
2011-09-26,62.12,64.58,60.72,61.02,2969400,57.12
2011-09-19,69.13,69.51,59.28,61.53,4936400,57.6
2011-09-12,63.79,70.79,63.14,70.42,3736800,65.92
2011-09-06,63.13,67.09,62.45,64.83,4369900,60.69
2011-08-29,66.21,68.69,64.71,65.12,2810700,60.96
2011-08-22,64.28,66.31,61.86,65.18,3388600,61.02
2011-08-15,68.65,69.4,62.84,63.06,3167900,59.03
2011-08-08,66.07,69.47,63.95,68.17,5468800,63.82
2011-08-01,76.6,76.66,67.2,69.19,4017200,64.77
2011-07-25,75.47,78.4,74.29,75.7,2928600,70.45
2011-07-18,73.8,77.1,72.71,76.21,1768200,70.92
2011-07-11,74.75,75.49,73.07,73.91,1760800,68.78
2011-07-05,76.73,77.2,75.21,75.68,1945800,70.43
2011-06-27,71.4,77.08,71.38,76.93,2192600,71.59
2011-06-20,70.24,73.98,70.24,71.67,2370400,66.7
2011-06-13,70.59,72.6,69.67,70.97,2419900,66.05
2011-06-06,70.5,71.86,70.23,70.37,2264200,65.49
2011-05-31,73.12,73.5,70.32,70.72,2399200,65.81
2011-05-23,71.34,73.,70.57,72.57,1972300,67.53
2011-05-16,71.39,73.29,70.32,72.26,1985000,67.25
2011-05-09,72.82,74.47,71.25,71.57,2040400,66.6
2011-05-02,74.6,75.,71.32,72.95,2822600,67.89
2011-04-25,66.47,74.96,66.32,74.68,3431600,69.13
2011-04-18,67.12,68.12,65.94,66.27,2741500,61.34
2011-04-11,67.81,68.27,66.32,67.74,1942800,62.7
2011-04-04,69.63,69.9,67.1,67.69,1611000,62.66
2011-03-28,68.73,70.,68.43,69.32,2029000,64.16
2011-03-21,67.,69.,66.5,68.68,2108900,63.57
2011-03-14,65.84,67.11,63.9,66.28,3575800,61.35
2011-03-07,65.65,66.92,64.,66.53,3165200,61.58
2011-02-28,65.08,66.01,64.64,65.3,2933200,60.44
2011-02-22,64.28,65.1,62.79,64.66,4077700,59.85
2011-02-14,63.9,65.5,63.69,65.,2709200,60.17
2011-02-07,61.42,64.34,61.1,64.1,2620300,59.33
2011-01-31,60.56,62.22,60.44,61.07,3408400,56.53
2011-01-24,63.64,64.53,60.22,60.38,5106500,55.53
