Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,39.89,40.27,39.73,40.09,3237000,40.09
2014-02-18,40.68,40.9,39.65,39.89,4145000,39.89
2014-02-10,42.72,44.28,39.85,40.72,7391000,40.72
2014-02-03,43.32,43.64,40.69,42.82,4304500,42.82
2014-01-27,44.09,44.44,41.92,42.34,3406000,42.34
2014-01-21,44.68,45.96,43.92,43.96,5466800,43.96
2014-01-13,40.27,44.72,39.6,44.49,6356800,44.49
2014-01-06,40.52,41.14,40.06,40.37,2781400,40.37
2013-12-30,40.73,41.44,40.22,40.33,1842300,40.18
2013-12-23,40.61,40.81,40.22,40.7,2203700,40.55
2013-12-16,40.,40.93,39.,40.49,3507200,40.34
2013-12-09,41.39,41.84,39.3,39.77,3994000,39.62
2013-12-02,40.5,41.95,39.73,41.57,3605800,41.41
2013-11-25,40.78,41.34,40.55,41.25,2080400,41.1
2013-11-18,40.77,41.58,39.95,40.64,3167800,40.49
2013-11-11,39.75,42.69,39.53,41.42,6360600,41.27
2013-11-04,38.48,39.93,38.34,39.91,4953100,39.76
2013-10-28,39.49,40.22,38.68,39.14,4978700,38.99
2013-10-21,41.41,41.72,38.93,39.39,5210500,39.24
2013-10-14,41.27,41.94,39.79,41.37,6683900,41.22
2013-10-07,42.04,42.25,41.13,41.57,5228900,41.26
2013-09-30,42.06,43.15,42.,42.27,4598900,41.96
2013-09-23,42.97,43.62,42.45,42.58,5135200,42.26
2013-09-16,43.99,44.65,43.17,43.2,4762400,42.88
2013-09-09,42.88,43.83,42.37,43.77,4627100,43.44
2013-09-03,41.62,42.43,41.62,42.24,5682500,41.93
2013-08-26,40.8,42.23,40.8,41.54,3975600,41.23
2013-08-19,41.88,42.41,41.31,41.95,4421200,41.64
2013-08-12,43.05,43.05,40.2,42.2,8463200,41.89
2013-08-05,41.21,43.13,41.2,42.52,6463900,42.2
2013-07-29,41.3,41.71,40.7,41.24,3931600,40.93
2013-07-22,41.55,42.11,40.8,41.35,5383200,41.04
2013-07-15,40.06,41.47,39.84,41.33,6737500,41.02
2013-07-08,38.98,39.41,38.36,39.3,4035100,39.01
2013-07-01,37.74,38.96,37.72,38.77,3129400,38.33
2013-06-24,37.65,38.27,37.07,37.78,5159000,37.35
2013-06-17,38.13,39.51,37.53,37.97,6568400,37.54
2013-06-10,37.94,38.8,37.66,37.9,5907900,37.47
2013-06-03,37.51,38.16,37.02,37.97,6088700,37.54
2013-05-28,36.75,38.25,36.75,37.53,8794100,37.11
2013-05-20,37.37,38.94,36.22,36.45,18536400,36.04
2013-05-13,36.17,39.15,35.5,37.84,13986900,37.41
2013-05-06,34.87,36.26,34.76,36.15,6793300,35.74
2013-04-29,35.,35.12,33.61,34.9,9756100,34.51
2013-04-22,33.27,35.59,33.12,34.87,6970200,34.48
2013-04-15,35.25,35.97,32.75,32.99,7764700,32.62
2013-04-08,33.91,36.16,33.11,35.46,11165700,35.06
2013-04-01,34.07,34.95,33.19,34.,6787100,33.62
2013-03-25,33.55,34.22,32.97,34.16,4795300,33.77
2013-03-18,34.28,34.43,33.42,33.54,5822900,33.16
2013-03-11,34.05,34.83,33.66,34.56,4845200,34.17
2013-03-04,33.94,34.95,33.29,34.21,4372900,33.82
2013-02-25,34.56,35.,33.3,33.95,5545400,33.57
2013-02-19,36.5,36.61,34.13,34.38,6035400,33.99
2013-02-11,35.85,36.61,34.,36.55,8002100,36.14
2013-02-04,36.1,36.52,35.09,35.75,4746800,35.35
2013-01-28,36.89,37.02,35.56,36.25,5862700,35.84
2013-01-22,34.28,36.19,34.01,36.15,5712900,35.74
2013-01-14,32.78,34.63,32.47,34.36,4876700,33.97
2013-01-07,33.94,34.23,31.74,33.06,6421400,32.69
2012-12-31,32.74,34.82,32.68,34.08,5409200,33.7
2012-12-24,33.66,34.,32.75,32.82,2463300,32.45
2012-12-17,33.09,34.81,32.74,33.82,5101100,33.44
2012-12-10,33.31,34.15,32.78,32.99,5638600,32.62
2012-12-03,31.82,33.46,31.71,33.43,5779300,33.05
2012-11-26,31.12,32.26,30.72,31.71,6229100,31.35
2012-11-19,30.51,31.17,30.02,31.15,4267300,30.8
2012-11-12,27.4,30.8,26.26,30.26,12012000,29.92
2012-11-05,27.63,28.21,27.2,27.34,5145000,27.03
2012-10-31,27.99,28.71,26.83,27.74,7893600,27.43
2012-10-22,30.01,30.06,27.62,27.88,6885600,27.57
2012-10-15,28.99,30.43,28.81,29.95,6817600,29.61
2012-10-08,30.38,31.22,28.87,28.93,6145200,28.6
2012-10-01,33.76,34.04,30.14,30.59,8855000,30.24
2012-09-24,36.02,36.16,32.76,32.88,7382100,32.51
2012-09-17,35.74,36.31,35.1,36.26,4859000,35.85
2012-09-10,35.66,36.41,34.26,35.81,5660500,35.41
2012-09-04,34.37,35.98,34.01,35.8,5162900,35.4
2012-08-27,34.72,35.13,33.84,34.52,5526600,34.13
2012-08-20,33.34,34.92,32.83,34.78,5984500,34.39
2012-08-13,32.86,33.61,31.22,33.46,10576800,33.08
2012-08-06,32.63,34.19,31.85,32.58,6483400,32.21
2012-07-30,32.86,33.19,31.39,32.34,5327200,31.97
2012-07-23,30.68,33.2,29.92,32.91,6100100,32.54
2012-07-16,28.43,31.94,28.15,31.19,7231200,30.84
2012-07-09,29.72,29.8,28.12,28.6,5420800,28.28
2012-07-02,31.72,31.79,29.45,29.76,4736100,29.42
2012-06-25,29.77,31.83,29.5,31.82,7820400,31.46
2012-06-18,30.62,31.33,29.5,30.16,6965400,29.82
2012-06-11,31.,31.1,29.44,30.73,8638600,30.38
2012-06-04,29.72,32.4,29.3,30.33,10453800,29.99
2012-05-29,28.82,29.99,28.77,29.44,10302400,29.11
2012-05-21,33.21,34.01,27.79,28.61,23251400,28.29
2012-05-14,35.68,36.14,32.95,33.06,5833200,32.69
2012-05-07,38.34,38.79,35.4,36.08,7475500,35.67
2012-04-30,38.99,41.05,37.85,38.42,7736200,37.99
2012-04-23,38.44,39.5,38.12,39.03,5002100,38.59
2012-04-16,40.32,40.83,38.53,38.74,4557600,38.3
2012-04-09,42.97,43.29,40.06,40.13,7438700,39.68
2012-04-02,44.81,46.8,43.68,43.72,6641500,43.23
2012-03-26,45.97,46.52,44.15,44.77,5441000,44.26
2012-03-19,43.13,46.34,43.13,45.62,8358600,45.1
2012-03-12,42.84,43.76,42.16,43.39,5016700,42.9
2012-03-05,43.48,43.5,40.53,42.94,5266800,42.45
2012-02-27,42.64,44.14,42.6,43.55,4749600,43.06
2012-02-21,42.19,43.96,42.11,43.08,5818700,42.59
2012-02-13,39.57,43.17,38.3,42.2,14750300,41.72
2012-02-06,40.26,41.28,39.05,39.69,7201800,39.24
2012-01-30,36.64,41.15,36.2,40.35,7171600,39.89
2012-01-23,36.94,38.3,36.62,37.28,6349900,36.86
2012-01-17,34.2,37.67,33.64,36.85,11026600,36.43
2012-01-09,35.51,35.83,33.5,33.98,5929100,33.6
2012-01-03,37.,37.44,34.41,35.33,8251300,34.93
2011-12-27,36.41,36.87,35.81,36.27,2267900,35.86
2011-12-19,35.78,36.74,34.47,36.51,5186900,36.1
2011-12-12,37.48,38.97,35.63,35.71,6525500,35.31
2011-12-05,37.44,38.25,36.79,38.01,4667500,37.58
2011-11-28,34.8,37.46,34.74,36.54,5980500,36.13
2011-11-21,34.46,35.3,33.66,34.25,8974700,33.86
2011-11-14,41.94,42.51,34.74,34.74,13581100,34.35
2011-11-07,42.85,44.49,41.13,42.17,7410900,41.69
2011-10-31,40.82,42.86,38.78,42.63,7032500,42.15
2011-10-24,38.26,42.48,37.33,41.59,7474600,41.12
2011-10-17,38.89,39.93,36.78,38.1,7356900,37.67
2011-10-10,38.06,39.69,37.76,39.23,4910000,38.79
2011-10-03,34.15,38.22,33.,37.29,7444600,36.87
2011-09-26,35.34,36.93,33.81,33.93,6273100,33.55
2011-09-19,37.43,37.6,34.15,35.12,9437100,34.72
2011-09-12,35.05,38.69,34.96,37.79,7341700,37.36
2011-09-06,34.69,37.3,34.61,35.68,7601700,35.28
2011-08-29,36.8,38.3,35.38,35.81,7326200,35.41
2011-08-22,36.84,38.29,35.22,36.54,11714900,36.13
2011-08-15,44.33,44.99,33.32,35.95,16377100,35.54
2011-08-08,40.45,44.13,39.2,43.42,11286800,42.93
2011-08-01,48.18,48.24,40.73,41.87,10924900,41.4
2011-07-25,50.58,51.04,46.9,47.52,6639300,46.98
2011-07-18,50.29,52.09,48.96,51.08,4785200,50.5
2011-07-11,53.05,53.94,49.52,50.66,5883800,50.09
2011-07-05,54.13,54.32,52.6,53.48,4542900,52.88
2011-06-27,49.38,54.57,49.04,54.32,7966000,53.71
2011-06-20,49.18,51.5,49.09,49.22,5691800,48.66
2011-06-13,48.84,51.85,48.31,49.35,5686000,48.79
2011-06-06,51.64,51.69,48.95,49.01,5234100,48.46
2011-05-31,55.72,55.88,51.84,51.94,4487800,51.35
2011-05-23,52.8,56.49,51.02,55.33,8760400,54.71
2011-05-16,53.67,54.48,51.96,53.7,3731500,53.09
2011-05-09,53.33,55.18,52.81,53.99,4113500,53.38
2011-05-02,52.52,53.63,51.02,53.3,4114500,52.7
2011-04-25,51.7,52.88,51.08,52.11,5742200,51.52
2011-04-18,47.84,51.36,47.04,51.02,6514400,50.44
2011-04-11,46.66,49.07,46.23,48.56,7190000,48.01
2011-04-04,48.13,48.37,45.4,46.79,6648400,46.26
2011-03-28,48.81,48.97,47.18,48.2,5585100,47.66
2011-03-21,49.05,49.41,47.3,48.61,4495900,48.06
2011-03-14,47.1,48.7,44.5,48.69,10362600,48.14
2011-03-07,52.33,52.33,46.57,47.52,9125800,46.98
2011-02-28,52.41,52.83,50.31,52.05,5349700,51.46
2011-02-22,52.22,52.74,49.82,52.47,10004300,51.88
2011-02-14,60.7,60.7,52.22,53.05,11641600,52.45
2011-02-07,58.59,61.02,58.25,60.6,3952800,59.92
2011-01-31,53.91,58.13,53.87,57.93,3529600,57.28
2011-01-24,55.73,56.05,53.14,54.03,6033100,53.42
2011-01-18,59.38,59.79,55.25,55.77,4660600,55.14
2011-01-10,57.,59.71,56.33,59.48,3903500,58.81
2011-01-03,55.52,58.64,55.27,57.2,5218400,56.55
2010-12-27,54.67,55.29,54.01,54.96,1497400,54.34
2010-12-20,54.86,56.,54.55,54.79,3045700,54.17
2010-12-13,55.06,56.55,52.43,53.8,6285100,53.19
2010-12-06,53.97,55.37,52.83,54.15,5007600,53.54
2010-11-29,50.45,54.57,50.,54.07,5647600,53.46
2010-11-22,50.92,52.78,50.34,51.05,5169700,50.47
2010-11-15,53.8,54.93,48.6,51.46,14258000,50.88
2010-11-08,55.1,57.96,52.95,54.11,6569200,53.5
2010-11-01,53.63,55.76,52.75,55.1,3940800,54.48
2010-10-25,52.24,53.66,51.33,53.25,3972600,52.65
2010-10-18,50.25,52.42,49.,51.97,6133900,51.38
2010-10-11,48.84,51.03,46.98,50.33,5956600,49.76
2010-10-04,48.68,51.27,46.87,48.76,9042900,48.21
2010-09-27,50.17,51.4,48.47,48.64,8844700,48.09
2010-09-20,49.49,50.89,47.41,50.39,8736500,49.82
2010-09-13,46.96,49.56,46.86,49.04,9881300,48.49
2010-09-07,43.74,47.89,43.74,46.33,8857700,45.81
2010-08-30,41.15,44.33,39.95,44.05,6867600,43.55
2010-08-23,40.8,41.68,38.9,41.45,7790100,40.98
2010-08-16,37.82,41.28,37.65,40.53,10790100,40.07
2010-08-09,43.35,43.55,37.04,38.14,10224700,37.71
2010-08-02,42.82,44.89,42.25,43.11,5554700,42.62
2010-07-26,42.89,44.25,41.69,42.3,5030000,41.82
2010-07-19,40.7,43.17,39.7,43.11,6308100,42.62
2010-07-12,38.81,40.95,38.25,40.5,6200600,40.04
2010-07-06,37.64,39.99,36.66,38.76,6367400,38.32
2010-06-28,39.95,40.43,36.68,37.13,5570300,36.71
2010-06-21,41.66,41.87,38.87,39.76,6393000,39.31
2010-06-14,40.38,41.84,39.63,41.22,8758500,40.75
2010-06-07,38.25,40.09,36.33,39.99,9843500,39.54
2010-06-01,37.,39.41,37.,37.88,11245800,37.45
2010-05-24,31.66,38.65,31.07,37.68,12669500,37.25
2010-05-17,33.84,34.59,31.8,32.83,6344500,32.46
2010-05-10,32.94,34.35,32.52,33.75,6249900,33.37
2010-05-03,34.75,35.13,30.53,31.47,6819900,31.11
2010-04-26,36.21,36.49,34.59,34.67,5093100,34.28
2010-04-19,34.96,36.28,34.2,36.17,4941800,35.76
2010-04-12,35.15,36.09,34.55,35.15,5381200,34.75
2010-04-05,34.33,35.59,34.09,35.53,5719900,35.13
2010-03-29,32.94,34.67,32.05,34.26,5771400,33.87
2010-03-22,32.2,33.51,32.2,32.73,5114900,32.36
2010-03-15,33.27,33.58,32.16,32.46,4971500,32.09
2010-03-08,32.37,33.69,32.21,32.91,5452200,32.54
2010-03-01,30.27,32.23,30.12,32.05,7173600,31.69
2010-02-22,31.51,31.51,29.2,30.01,7449300,29.67
2010-02-16,31.91,32.32,30.26,31.29,12263800,30.94
2010-02-08,30.5,31.63,30.2,31.46,5362800,31.1
2010-02-01,29.1,31.16,29.1,30.38,7645400,30.04
2010-01-25,31.01,31.54,28.92,29.13,6893100,28.8
2010-01-19,33.16,33.84,30.76,30.78,7310500,30.43
2010-01-11,33.54,34.25,32.05,33.15,6120200,32.78
2010-01-04,34.59,34.87,32.78,33.54,5707800,33.16
2009-12-28,34.15,34.99,33.62,34.36,3086700,33.97
2009-12-21,33.3,34.18,33.04,34.16,3534800,33.77
2009-12-14,33.06,34.,32.71,33.23,5083900,32.85
2009-12-07,32.62,33.82,32.3,32.91,7918800,32.54
2009-11-30,30.64,32.8,30.42,32.74,7022100,32.37
2009-11-23,30.7,31.5,30.11,30.83,4225900,30.48
2009-11-16,29.96,31.25,28.95,30.44,8054000,30.1
2009-11-09,28.9,30.14,28.84,29.71,5013700,29.37
2009-11-02,27.01,28.98,27.01,28.38,4709600,28.06
2009-10-26,28.74,29.47,26.89,27.05,6623700,26.74
2009-10-19,28.67,29.35,28.16,28.75,5121200,28.43
2009-10-12,28.89,29.63,28.08,28.69,6691000,28.37
2009-10-05,26.94,29.1,25.97,28.84,12367700,28.51
2009-09-28,26.,27.03,25.41,25.89,6952200,25.6
2009-09-21,25.39,26.95,25.31,25.94,7283600,25.65
2009-09-14,24.2,25.09,24.07,24.75,6995500,24.47
2009-09-08,23.32,24.74,23.32,24.28,8993900,24.01
2009-08-31,23.35,23.36,22.02,23.33,5092500,23.07
2009-08-24,22.02,23.94,21.5,23.32,7794200,23.06
2009-08-17,23.11,23.39,21.29,21.98,12579200,21.73
2009-08-10,22.87,24.19,22.7,23.59,5083100,23.32
2009-08-03,22.79,23.3,22.33,23.07,5285300,22.81
2009-07-27,22.95,23.88,22.32,22.46,7086900,22.21
2009-07-20,21.64,23.39,21.03,22.99,10875000,22.73
2009-07-13,19.5,21.75,18.86,21.52,9349300,21.28
2009-07-06,18.81,19.34,17.86,19.21,8367200,18.99
2009-06-29,19.39,19.95,18.83,18.96,5121800,18.75
2009-06-22,19.21,19.66,18.42,19.4,5851300,19.18
2009-06-15,19.81,20.14,18.76,19.55,6975800,19.33
2009-06-08,18.53,20.23,18.43,20.14,8722300,19.91
2009-06-01,20.03,20.95,18.27,18.82,13440700,18.61
2009-05-26,18.35,19.99,18.32,19.5,13738500,19.28
2009-05-18,17.4,18.71,16.71,18.46,16335900,18.25
2009-05-11,17.22,17.92,16.79,17.57,7671200,17.37
2009-05-04,18.49,18.9,17.26,17.5,9079300,17.3
2009-04-27,18.16,18.68,17.06,18.4,12121500,18.19
2009-04-20,18.02,19.36,17.44,18.63,13458800,18.42
2009-04-13,16.61,18.11,16.31,17.59,9769500,17.39
2009-04-06,15.94,17.07,14.8,16.96,13928800,16.77
2009-03-30,14.88,16.13,14.25,16.13,7929000,15.95
2009-03-23,15.23,16.08,14.69,15.09,10903800,14.92
2009-03-16,15.06,16.4,14.23,14.84,13251900,14.67
2009-03-09,12.72,15.31,12.39,15.05,10137100,14.88
2009-03-02,13.19,13.79,12.6,12.9,10133800,12.75
2009-02-23,14.25,14.29,12.84,13.44,13053300,13.29
2009-02-17,15.67,15.92,14.,14.21,10773700,14.05
2009-02-09,16.4,16.74,14.07,16.11,17035200,15.93
2009-02-02,14.77,16.26,14.34,16.14,9443100,15.96
2009-01-26,15.3,16.32,14.7,14.83,8490400,14.66
2009-01-20,14.54,15.69,13.5,15.32,9063300,15.15
2009-01-12,14.33,14.99,13.55,14.92,9276300,14.75
2009-01-05,14.4,15.15,13.79,14.75,9236100,14.58
2008-12-29,12.58,14.83,12.4,14.77,5443100,14.6
2008-12-22,13.6,13.69,12.5,12.59,4038700,12.45
2008-12-15,13.54,14.6,13.09,13.6,10137800,13.45
2008-12-08,12.99,14.34,12.86,13.54,8691900,13.39
2008-12-01,13.13,13.22,11.66,12.87,7135800,12.72
2008-11-24,12.63,13.56,12.25,13.5,7441800,13.35
