Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,61.83,62.84,61.83,62.45,947800,62.45
2014-02-18,62.,62.46,60.98,61.9,910200,61.9
2014-02-10,60.72,62.39,60.38,62.25,843000,62.25
2014-02-03,60.3,60.93,58.31,60.73,1130900,60.73
2014-01-27,61.24,61.49,59.83,60.22,1332000,60.22
2014-01-21,61.16,63.,60.4,61.13,2411200,61.13
2014-01-13,61.04,61.39,60.26,60.71,1224700,60.71
2014-01-06,61.47,62.38,60.58,61.12,1353300,61.12
2013-12-30,61.57,62.,60.67,61.3,861900,61.3
2013-12-23,60.59,61.82,60.57,61.45,836100,61.45
2013-12-16,57.96,60.94,57.19,60.81,1871200,60.81
2013-12-09,59.,59.22,56.66,57.58,1317600,57.58
2013-12-02,58.91,59.53,57.44,58.75,1016600,58.75
2013-11-25,58.09,59.4,57.79,58.99,851600,58.68
2013-11-18,57.17,58.1,56.42,58.1,1038800,57.79
2013-11-11,58.56,58.56,56.43,57.15,999400,56.85
2013-11-04,56.35,58.42,56.04,58.4,985100,58.09
2013-10-28,56.54,57.69,56.21,56.58,1093100,56.28
2013-10-21,53.86,56.64,53.86,56.4,1114300,56.1
2013-10-14,54.44,56.98,54.18,56.52,1987000,56.22
2013-10-07,53.12,55.,52.4,54.79,1213100,54.5
2013-09-30,54.21,54.98,52.66,53.63,1473000,53.35
2013-09-23,55.33,55.99,54.52,54.78,1241300,54.49
2013-09-16,55.49,56.82,55.,55.64,1851800,55.34
2013-09-09,55.57,56.3,54.74,54.81,1222900,54.52
2013-09-03,55.38,55.95,54.19,55.47,1326400,55.18
2013-08-26,57.04,57.16,54.59,54.87,790900,54.27
2013-08-19,56.55,57.4,55.76,57.03,711400,56.41
2013-08-12,57.46,57.87,56.35,56.62,751800,56.
2013-08-05,59.05,59.09,57.22,57.86,947500,57.23
2013-07-29,58.6,59.66,58.15,59.21,892200,58.56
2013-07-22,58.93,60.44,58.49,58.96,1207200,58.32
2013-07-15,61.65,62.02,58.13,59.14,1939900,58.5
2013-07-08,60.52,61.84,60.04,61.51,1028400,60.84
2013-07-01,58.13,60.38,58.04,60.34,1043500,59.68
2013-06-24,57.54,58.57,56.79,57.9,2182100,57.27
2013-06-17,57.59,59.09,57.34,57.99,2059400,57.36
2013-06-10,58.4,58.76,56.51,57.12,927800,56.5
2013-06-03,58.53,58.62,56.4,58.23,1230500,57.6
2013-05-28,58.08,59.33,57.91,58.15,1898900,57.21
2013-05-20,57.86,58.66,56.77,57.31,1203500,56.38
2013-05-13,54.46,58.37,54.31,58.27,1539800,57.33
2013-05-06,53.51,54.67,53.48,54.43,1228500,53.55
2013-04-29,53.22,53.99,52.94,53.6,1256700,52.73
2013-04-22,52.54,53.56,51.9,52.89,1288200,52.03
2013-04-15,55.5,55.73,51.93,52.5,1830800,51.65
2013-04-08,53.64,56.66,53.56,55.64,1102500,54.74
2013-04-01,54.38,55.13,53.16,53.76,1301100,52.89
2013-03-25,55.04,55.14,53.91,54.56,937300,53.68
2013-03-18,54.15,54.84,53.54,54.77,1309800,53.88
2013-03-11,54.75,55.5,54.45,54.55,1297100,53.67
2013-03-04,53.34,54.99,53.16,54.93,973700,54.04
2013-02-25,53.49,53.69,51.93,53.28,945400,52.13
2013-02-19,53.63,53.96,52.39,53.23,971300,52.08
2013-02-11,52.69,53.73,52.33,53.47,1236800,52.31
2013-02-04,51.68,52.76,51.23,52.7,1214400,51.56
2013-01-28,51.5,52.27,51.17,52.05,1385200,50.92
2013-01-22,50.1,51.36,50.1,51.32,1222800,50.21
2013-01-14,52.53,52.86,49.27,50.25,2396700,49.16
2013-01-07,53.09,53.24,51.75,52.57,1198800,51.43
2012-12-31,50.02,53.5,49.61,53.42,1533900,52.26
2012-12-24,50.05,50.46,49.37,49.95,1020700,48.87
2012-12-17,47.44,50.26,47.27,50.16,2010800,49.07
2012-12-10,47.63,48.21,47.01,47.12,1102500,46.1
2012-12-03,48.12,48.34,47.21,47.85,781400,46.81
2012-11-26,48.04,48.4,47.27,48.02,1004600,46.68
2012-11-19,47.38,48.35,47.18,48.29,1018500,46.95
2012-11-12,46.71,47.61,45.98,46.85,1133500,45.55
2012-11-05,47.78,49.33,46.35,46.64,1180500,45.34
2012-10-31,47.29,48.66,46.77,47.8,1044500,46.47
2012-10-22,47.22,47.61,46.13,47.17,1071500,45.86
2012-10-15,46.53,48.52,46.02,47.1,1444800,45.79
2012-10-08,47.22,47.39,45.93,46.29,910200,45.
2012-10-01,46.86,48.22,46.63,47.35,1241300,46.03
2012-09-24,47.65,48.38,45.95,46.42,1076100,45.13
2012-09-17,49.14,49.67,47.13,47.84,1971400,46.51
2012-09-10,47.62,49.68,47.01,49.13,1398100,47.76
2012-09-04,46.46,48.,46.22,47.99,1182000,46.66
2012-08-27,46.54,46.67,45.65,46.44,930700,44.86
2012-08-20,47.01,47.72,45.96,46.47,779600,44.89
2012-08-13,46.13,47.39,46.,47.24,736800,45.63
2012-08-06,45.72,46.41,45.29,46.22,830800,44.65
2012-07-30,46.09,46.13,43.69,45.48,1032100,43.93
2012-07-23,44.68,46.49,44.25,46.25,909900,44.68
2012-07-16,46.94,47.32,45.09,45.3,1610200,43.76
2012-07-09,47.13,47.26,45.52,47.05,1203800,45.45
2012-07-02,45.98,47.29,45.96,46.49,1371100,44.91
2012-06-25,43.39,46.04,42.85,46.02,1227300,44.45
2012-06-18,44.05,44.83,43.27,43.94,966000,42.44
2012-06-11,43.73,44.41,42.63,44.35,1296300,42.84
2012-06-04,41.9,43.29,41.11,43.27,1416400,41.8
2012-05-29,43.88,44.11,41.69,41.72,1123500,40.01
2012-05-21,43.18,44.08,42.64,43.49,1407400,41.71
2012-05-14,44.57,44.92,43.06,43.17,1348200,41.4
2012-05-07,46.45,47.01,44.68,45.12,1216900,43.27
2012-04-30,47.5,48.31,46.44,46.61,1103000,44.7
2012-04-23,45.82,47.77,45.44,47.58,1085300,45.63
2012-04-16,46.26,47.31,45.56,46.32,1304800,44.42
2012-04-09,46.38,46.84,45.28,45.7,1071200,43.83
2012-04-02,47.59,48.02,46.81,47.1,1116600,45.17
2012-03-26,47.68,48.15,46.58,47.45,1376600,45.5
2012-03-19,47.2,47.82,46.58,47.26,1110800,45.32
2012-03-12,44.35,47.5,44.19,47.27,2207100,45.33
2012-03-05,44.71,44.72,43.11,44.28,1102400,42.46
2012-02-27,43.58,45.25,43.27,44.93,1079200,42.81
2012-02-21,43.85,44.17,42.76,43.86,780600,41.79
2012-02-13,43.93,44.22,42.87,43.88,948000,41.81
2012-02-06,43.9,44.36,43.29,43.63,1326100,41.57
2012-01-30,41.3,44.25,40.9,44.09,1673700,42.01
2012-01-23,42.76,43.47,40.64,41.67,2002200,39.7
2012-01-17,42.61,43.1,40.78,43.07,2286400,41.04
2012-01-09,41.18,42.58,40.96,42.17,1198100,40.18
2012-01-03,40.72,41.2,39.86,41.01,1142600,39.07
2011-12-27,40.43,40.97,39.4,39.66,996500,37.79
2011-12-19,39.,40.82,38.15,40.69,1470500,38.77
2011-12-12,39.38,39.93,38.64,38.98,2598400,37.14
2011-12-05,38.86,40.68,38.59,39.74,2554000,37.86
2011-11-28,36.07,38.56,35.14,38.27,1930500,36.21
2011-11-21,36.36,36.83,34.87,35.08,1678800,33.19
2011-11-14,39.89,40.,36.73,36.94,1966400,34.95
2011-11-07,39.71,40.85,38.43,40.02,1448500,37.86
2011-10-31,41.39,41.5,38.65,39.67,2126600,37.53
2011-10-24,39.91,42.7,39.16,42.02,2433700,39.76
2011-10-17,36.83,39.99,36.66,39.99,3638200,37.84
2011-10-10,36.58,38.6,36.39,36.93,2346200,34.94
2011-10-03,34.54,37.32,33.2,35.67,3089200,33.75
2011-09-26,34.63,36.69,34.01,34.98,2465200,33.1
2011-09-19,36.44,36.52,33.51,34.28,2682900,32.43
2011-09-12,35.03,37.52,34.68,37.,2269400,35.01
2011-09-06,35.27,37.42,35.12,35.51,2129100,33.6
2011-08-29,37.73,39.01,36.47,36.53,3275500,34.29
2011-08-22,35.5,38.66,34.87,37.23,3378300,34.95
2011-08-15,37.02,37.72,34.7,34.78,2542200,32.65
2011-08-08,40.68,41.22,35.71,36.71,5875200,34.46
2011-08-01,45.32,45.74,40.44,41.3,2368600,38.77
2011-07-25,45.64,45.86,44.08,44.9,1595000,42.15
2011-07-18,44.09,46.,42.98,45.92,3030600,43.11
2011-07-11,45.4,46.,43.83,44.29,1603100,41.58
2011-07-05,46.41,46.98,45.44,45.87,1490200,43.06
2011-06-27,45.06,46.63,44.96,46.5,1552400,43.65
2011-06-20,46.68,46.95,44.58,44.98,1993100,42.23
2011-06-13,47.3,48.,46.2,46.79,1889000,43.92
2011-06-06,47.2,47.5,46.27,46.77,1279700,43.91
2011-05-31,48.85,49.06,46.93,47.23,1509500,44.07
2011-05-23,48.4,48.87,47.82,48.45,1330100,45.21
2011-05-16,48.14,49.75,48.05,48.93,1163900,45.66
2011-05-09,48.37,49.35,48.,48.24,1580400,45.01
2011-05-02,50.17,50.2,48.31,48.43,1853700,45.19
2011-04-25,49.08,50.05,48.71,49.99,1526900,46.65
2011-04-18,51.44,51.5,48.64,49.38,2695800,46.08
2011-04-11,52.25,52.57,51.07,51.78,1121200,48.32
2011-04-04,51.87,52.5,51.54,52.12,990300,48.64
2011-03-28,50.33,51.78,50.14,51.69,1279900,48.23
2011-03-21,50.5,51.12,49.81,50.68,882300,47.29
2011-03-14,50.47,50.78,48.93,49.94,1515900,46.6
2011-03-07,51.57,52.1,50.68,50.95,1186000,47.54
2011-02-28,52.47,52.57,50.74,51.44,1492300,47.74
2011-02-22,53.84,54.,51.73,52.21,1338300,48.45
2011-02-14,52.9,54.9,52.27,54.55,1507900,50.62
2011-02-07,51.92,52.9,51.43,52.86,1864400,49.05
2011-01-31,51.95,52.8,51.61,51.84,1921400,48.11
2011-01-24,52.93,53.28,51.42,51.69,1936600,47.97
2011-01-18,55.58,56.1,52.4,52.91,3123100,49.1
2011-01-10,55.06,56.18,54.68,55.88,1664500,51.86
2011-01-03,55.81,56.86,55.02,55.26,1883700,51.28
2010-12-27,55.,56.05,55.,55.41,912700,51.42
2010-12-20,54.74,55.97,53.99,55.3,1474900,51.32
2010-12-13,54.22,55.09,53.9,54.26,1880000,50.35
