Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,31.79,32.31,31.79,32.07,1255500,32.07
2014-02-18,31.36,32.21,31.11,31.79,1742900,31.79
2014-02-10,30.75,31.56,30.5,31.36,2034500,31.36
2014-02-03,30.85,30.98,30.07,30.82,3032900,30.82
2014-01-27,30.98,31.2,29.59,30.9,4066000,30.9
2014-01-21,32.01,32.19,30.95,30.95,1884500,30.95
2014-01-13,31.91,32.23,31.35,31.77,1850500,31.77
2014-01-06,32.54,32.54,31.75,32.03,2014300,32.03
2013-12-30,32.24,32.54,31.99,32.4,1307400,32.4
2013-12-23,31.86,32.38,31.62,32.2,755700,32.2
2013-12-16,30.71,32.25,30.65,31.64,2555100,31.64
2013-12-09,31.,32.25,30.69,30.76,2570300,30.76
2013-12-02,30.23,30.96,29.64,30.91,2432200,30.91
2013-11-25,30.39,30.54,29.67,30.35,1085000,30.35
2013-11-18,30.1,30.35,29.55,30.34,1589100,30.19
2013-11-11,28.93,30.14,28.89,30.1,1448300,29.95
2013-11-04,29.8,29.91,28.6,29.01,1625500,28.87
2013-10-28,29.44,30.08,29.27,29.64,1875000,29.49
2013-10-21,29.19,30.44,28.78,29.4,2308800,29.25
2013-10-14,27.57,29.12,27.17,29.02,2008900,28.88
2013-10-07,27.25,27.82,26.29,27.81,1808500,27.67
2013-09-30,27.35,27.8,27.02,27.54,1282400,27.4
2013-09-23,27.18,27.82,26.83,27.59,1759500,27.45
2013-09-16,27.23,27.56,26.59,27.29,1802900,27.15
2013-09-09,26.17,26.97,26.02,26.93,1581900,26.8
2013-09-03,25.6,26.91,25.6,26.04,3234200,25.91
2013-08-26,25.48,25.9,24.32,25.3,3274500,25.17
2013-08-19,26.,26.05,24.74,25.51,2306600,25.23
2013-08-12,26.63,27.,25.79,25.95,2051000,25.67
2013-08-05,27.58,27.88,26.45,26.83,2199200,26.54
2013-07-29,26.97,27.85,26.68,27.71,1795900,27.41
2013-07-22,27.17,27.97,26.75,27.09,1496400,26.8
2013-07-15,27.12,27.3,26.7,27.15,1166100,26.85
2013-07-08,26.27,27.08,26.15,27.04,1780600,26.75
2013-07-01,26.24,26.68,25.89,26.12,1419400,25.84
2013-06-24,25.65,26.48,25.25,26.25,2885400,25.96
2013-06-17,27.39,27.52,25.67,25.95,2308100,25.67
2013-06-10,27.38,27.85,26.36,27.17,1412700,26.87
2013-06-03,27.03,27.33,26.23,27.28,2839000,26.98
2013-05-28,27.68,27.77,26.78,27.04,1798600,26.75
2013-05-20,27.95,28.47,27.07,27.39,2692200,26.94
2013-05-13,27.54,28.38,27.26,28.05,2051000,27.59
2013-05-06,26.52,27.63,26.23,27.58,3169000,27.13
2013-04-29,26.47,27.,25.9,26.57,3417200,26.14
2013-04-22,26.4,26.96,26.23,26.45,2667500,26.02
2013-04-15,25.51,26.58,25.02,26.37,2561600,25.94
2013-04-08,25.,25.86,25.,25.65,2022400,25.23
2013-04-01,26.15,26.29,24.9,25.,3215100,24.59
2013-03-25,25.33,26.11,25.04,26.1,2063100,25.68
2013-03-18,25.29,25.71,25.21,25.27,2791000,24.86
2013-03-11,24.94,25.84,24.93,25.51,3271500,25.1
2013-03-04,23.31,25.,23.19,24.94,3600100,24.53
2013-02-25,23.58,23.64,22.46,23.3,2878800,22.92
2013-02-19,24.16,24.22,23.23,23.48,4211100,22.95
2013-02-11,24.06,24.51,23.8,24.18,2422100,23.63
2013-02-04,23.3,24.39,23.16,24.14,3169900,23.59
2013-01-28,23.29,23.87,22.24,23.39,3463900,22.86
2013-01-22,23.12,23.61,22.98,23.23,2347200,22.7
2013-01-14,21.8,23.12,21.8,23.12,2151900,22.59
2013-01-07,22.52,22.79,21.72,21.8,3366400,21.3
2012-12-31,21.76,22.86,21.65,22.55,3013300,22.04
2012-12-24,21.93,22.05,21.71,21.82,2838700,21.32
2012-12-17,22.06,22.16,21.5,21.82,3267300,21.32
2012-12-10,21.88,22.49,21.73,21.97,3183700,21.47
2012-12-03,21.86,22.11,21.49,21.91,2436300,21.41
2012-11-26,21.2,21.9,21.08,21.81,2220800,21.31
2012-11-19,21.12,22.,21.06,21.35,2232300,20.72
2012-11-12,20.37,20.96,20.26,20.94,3455000,20.32
2012-11-05,20.94,21.31,19.93,20.34,3995200,19.74
2012-10-31,20.75,21.33,20.45,21.04,3895300,20.42
2012-10-22,20.53,21.23,20.03,20.59,3581300,19.98
2012-10-15,19.92,21.04,19.75,20.6,3214900,19.99
2012-10-08,19.46,19.78,19.36,19.75,2722700,19.17
2012-10-01,19.08,19.59,18.8,19.48,2003300,18.9
2012-09-24,19.19,19.43,18.9,19.09,2972800,18.53
2012-09-17,19.67,19.7,19.21,19.31,3009900,18.74
2012-09-10,18.58,19.74,18.58,19.71,3331200,19.13
2012-09-04,17.9,18.83,17.61,18.76,2649600,18.21
2012-08-27,17.67,18.03,17.1,17.93,3096400,17.4
2012-08-20,17.55,17.87,17.35,17.65,2145600,17.03
