Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,75.33,76.79,75.29,75.85,1219800,75.85
2014-02-18,76.1,76.69,74.54,74.56,1125400,74.56
2014-02-10,73.99,76.3,71.81,75.94,2837400,75.94
2014-02-03,72.71,74.47,70.59,74.2,1728400,74.2
2014-01-27,72.26,74.17,71.61,72.58,1484200,72.58
2014-01-21,74.77,75.17,72.22,72.51,1294700,72.51
2014-01-13,72.55,75.36,71.32,74.2,1440500,74.2
2014-01-06,72.6,74.22,71.47,73.22,1787300,73.22
2013-12-30,73.19,74.78,72.82,73.78,982400,73.78
2013-12-23,72.,73.79,71.09,73.42,762600,73.42
2013-12-16,69.,73.19,68.79,71.48,1708800,71.48
2013-12-09,71.3,71.78,68.79,68.82,1067900,68.43
2013-12-02,71.37,72.29,69.32,71.3,1657600,70.89
2013-11-25,71.41,72.49,70.8,71.45,766400,71.04
2013-11-18,70.2,72.16,69.5,71.74,1150600,71.33
2013-11-11,70.55,70.95,68.61,69.95,1221400,69.55
2013-11-04,69.28,71.83,68.75,70.4,1206200,70.
2013-10-28,67.44,69.11,67.41,68.98,1425300,68.58
2013-10-21,66.01,68.06,65.56,67.46,1572800,67.07
2013-10-14,63.33,66.3,63.15,65.66,1664500,65.28
2013-10-07,62.84,63.84,61.35,63.7,1087400,63.34
2013-09-30,63.79,64.18,62.94,63.13,1592300,62.77
2013-09-23,65.38,65.44,64.09,64.32,1108100,63.95
2013-09-16,65.82,66.36,64.9,65.19,1330800,64.82
2013-09-09,62.75,65.33,62.63,65.01,1064100,64.24
2013-09-03,61.61,63.14,60.14,62.6,1474900,61.86
2013-08-26,61.93,62.,59.7,60.65,1031900,59.93
2013-08-19,62.01,62.65,61.4,61.76,1393300,61.03
2013-08-12,62.38,63.,60.23,61.48,2076600,60.76
2013-08-05,63.17,64.28,62.63,62.68,2261100,61.94
2013-07-29,70.04,70.5,63.03,63.49,7058800,62.74
2013-07-22,65.4,65.48,63.79,65.11,1415500,64.34
2013-07-15,66.02,67.43,64.15,65.4,2078800,64.63
2013-07-08,63.93,66.6,63.63,66.34,1477800,65.56
2013-07-01,62.89,63.56,61.76,63.5,1513700,62.75
2013-06-24,61.55,63.61,60.67,62.87,1390700,62.13
2013-06-17,63.18,64.25,61.26,62.03,1278000,61.3
2013-06-10,64.06,64.21,61.28,62.76,1421900,62.02
