Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,96.17,96.58,95.71,96.07,4626500,96.07
2014-02-18,96.1,96.53,94.75,95.39,4673300,95.39
2014-02-10,90.45,96.06,90.16,95.76,4790900,95.76
2014-02-03,87.8,90.91,85.9,90.59,5664800,90.59
2014-01-27,87.95,89.23,86.5,87.57,4393100,87.57
2014-01-21,91.22,91.52,87.59,88.,4502900,88.
2014-01-13,93.36,94.1,90.55,90.57,4426600,90.57
2014-01-06,93.86,95.69,93.2,93.85,3384900,93.85
2013-12-30,94.64,95.32,92.88,93.52,2630100,93.52
2013-12-23,93.41,94.95,92.66,94.85,1810400,94.85
2013-12-16,91.32,93.52,90.13,92.8,4453700,92.8
2013-12-09,92.57,93.78,90.63,91.11,4265900,91.11
2013-12-02,95.13,95.6,92.54,92.65,4146400,92.65
2013-11-25,99.31,99.31,94.52,94.96,3273000,94.31
2013-11-18,97.6,99.42,96.01,99.37,2798700,98.69
2013-11-11,96.46,97.76,95.1,97.54,3046600,96.87
2013-11-04,96.23,97.82,95.42,96.33,4023700,95.67
2013-10-28,96.88,98.,94.59,95.65,3818100,94.99
2013-10-21,98.21,98.21,95.41,96.88,3071800,96.22
2013-10-14,94.99,98.7,94.61,98.29,3963300,97.62
2013-10-07,94.61,95.93,92.92,95.49,3014300,94.84
2013-09-30,93.38,95.63,92.79,95.41,3184200,94.76
2013-09-23,91.13,94.5,90.92,94.46,4312400,93.81
2013-09-16,90.24,92.89,89.46,91.56,3695800,90.93
2013-09-09,88.99,92.87,88.77,89.49,4180300,88.88
2013-09-03,88.94,90.4,87.71,89.,2619200,88.39
2013-08-26,88.33,89.87,87.11,88.21,3081000,86.98
2013-08-19,86.4,88.4,84.91,88.17,3266200,86.94
2013-08-12,87.85,88.42,85.69,86.51,3609700,85.3
2013-08-05,88.85,89.04,87.15,88.28,3500300,87.05
2013-07-29,90.72,90.74,86.12,88.92,4839900,87.68
2013-07-22,92.1,92.67,89.78,90.75,2596900,89.49
2013-07-15,90.18,92.41,88.74,92.09,3372300,90.81
2013-07-08,91.55,92.19,89.12,90.22,4141600,88.96
2013-07-01,89.92,91.36,89.03,90.83,2730300,89.56
2013-06-24,88.84,91.26,87.56,89.23,3875800,87.99
2013-06-17,92.66,93.25,88.49,89.92,4285400,88.67
2013-06-10,93.07,93.53,90.61,91.89,3713000,90.61
2013-06-03,93.,95.31,91.86,93.12,6129100,91.82
2013-05-28,92.5,95.57,92.07,92.07,6925800,90.16
2013-05-20,92.84,94.42,88.9,90.78,4753800,88.9
2013-05-13,89.07,92.84,88.85,92.84,5287700,90.92
2013-05-06,90.69,91.,87.89,89.17,5439800,87.32
