Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,41.33,41.92,41.27,41.53,1619400,41.53
2014-02-18,41.59,41.97,40.9,41.35,2579700,41.35
2014-02-10,40.73,41.79,40.57,41.59,2271900,41.59
2014-02-03,41.87,41.98,39.86,40.9,3193500,40.9
2014-01-27,41.47,42.44,41.47,41.82,2401500,41.82
2014-01-21,44.16,44.3,42.07,42.08,2631300,41.73
2014-01-13,44.4,44.43,43.37,44.1,3116800,43.73
2014-01-06,45.25,45.95,44.14,44.37,3018200,44.
2013-12-30,45.63,45.74,44.95,45.22,1577500,44.84
2013-12-23,45.46,45.94,45.16,45.58,1338200,45.2
2013-12-16,42.99,45.69,42.52,45.15,3823800,44.77
2013-12-09,43.47,43.62,42.52,42.63,2776800,42.27
2013-12-02,43.87,44.63,42.55,43.37,3004400,43.01
2013-11-25,43.56,44.01,43.41,43.73,1750200,43.37
2013-11-18,43.48,44.,42.11,43.5,2359100,43.14
2013-11-11,42.1,43.35,41.27,43.33,1738600,42.97
2013-11-04,42.24,42.25,41.42,42.21,2354000,41.86
2013-10-28,42.98,43.62,41.28,41.99,2864200,41.64
2013-10-21,41.51,43.,41.46,43.,1871700,42.3
2013-10-14,40.68,41.67,40.52,41.63,1771200,40.95
2013-10-07,39.37,40.8,39.21,40.74,2607800,40.07
2013-09-30,40.01,40.77,39.35,39.55,2802800,38.9
2013-09-23,40.94,41.,40.22,40.35,1633900,39.69
2013-09-16,40.6,41.24,40.57,40.99,1511900,40.32
2013-09-09,39.34,40.7,39.15,40.33,1186000,39.67
2013-09-03,38.96,39.45,36.8,39.17,1517500,38.53
2013-08-26,39.31,39.41,38.33,38.68,1450900,38.05
2013-08-19,39.27,39.78,39.06,39.31,1250500,38.67
2013-08-12,40.1,40.59,39.24,39.32,1586100,38.68
2013-08-05,40.49,40.69,40.01,40.4,1826400,39.74
2013-07-29,39.12,40.84,38.88,40.77,3580800,40.1
2013-07-22,39.62,39.66,38.84,39.27,3955800,38.28
2013-07-15,39.02,39.51,38.97,39.35,1599600,38.36
2013-07-08,37.99,39.49,37.67,39.4,1960300,38.41
2013-07-01,36.43,37.7,36.32,37.61,1841700,36.67
2013-06-24,36.99,38.14,35.74,36.51,3886900,35.59
2013-06-17,37.44,38.,36.67,37.17,2315500,36.24
2013-06-10,37.09,37.35,36.48,37.14,1476400,36.21
2013-06-03,37.49,37.69,36.14,37.15,1928000,36.22
2013-05-28,38.24,38.66,37.23,37.23,2233100,36.29
2013-05-20,38.33,38.55,37.59,37.86,1750400,36.91
2013-05-13,37.62,38.66,37.47,38.52,2381700,37.55
2013-05-06,37.23,37.76,36.92,37.74,1620300,36.79
2013-04-29,35.99,37.47,35.83,37.37,2135200,36.43
2013-04-22,35.6,36.33,35.1,35.87,1972500,34.97
2013-04-15,35.85,36.15,35.16,35.4,2989700,34.51
2013-04-08,34.87,36.16,34.78,36.14,2029900,35.23
2013-04-01,34.86,35.95,34.65,34.89,3161300,34.01
2013-03-25,34.49,35.18,34.1,35.06,3237800,34.18
2013-03-18,33.72,34.47,33.63,34.44,2442800,33.57
2013-03-11,34.01,34.26,33.76,33.99,2071900,33.14
2013-03-04,33.14,34.25,33.02,33.99,2272800,33.14
2013-02-25,33.39,33.62,32.73,33.35,3278100,32.51
2013-02-19,33.95,34.05,32.87,33.12,2649900,32.29
2013-02-11,33.28,34.,33.11,33.97,2139000,33.12
2013-02-04,32.95,33.6,32.61,33.32,2977300,32.48
2013-01-28,31.91,33.09,31.67,32.86,4382300,32.03
2013-01-22,32.45,32.65,31.54,31.84,3390500,31.04
2013-01-14,31.77,32.39,31.77,32.38,2037200,31.57
2013-01-07,32.19,32.24,31.55,31.78,2352400,30.98
2012-12-31,30.57,32.21,30.55,32.17,2773100,31.36
2012-12-24,31.44,31.63,30.7,30.88,2378500,30.1
2012-12-17,33.74,33.99,31.32,31.4,6909300,30.61
2012-12-10,33.11,34.06,33.11,33.71,2901400,32.22
2012-12-03,32.63,33.3,32.33,33.19,1898900,31.73
2012-11-26,32.28,32.7,31.97,32.54,1769300,31.11
2012-11-19,32.12,32.47,31.75,32.44,1989100,31.01
2012-11-12,32.21,32.43,31.27,31.74,1919700,30.34
2012-11-05,32.79,33.38,32.02,32.16,1999800,30.74
2012-10-31,32.88,33.61,32.22,32.94,3400400,31.49
2012-10-22,32.5,33.,32.22,32.93,1679800,31.16
2012-10-15,32.81,33.24,32.51,32.55,1451600,30.8
2012-10-08,33.33,33.41,32.57,32.63,1305700,30.88
2012-10-01,33.06,33.91,32.65,33.57,2210200,31.77
2012-09-24,34.49,34.54,32.9,33.29,3270100,31.5
2012-09-17,34.32,34.7,34.11,34.55,2691300,32.7
2012-09-10,34.21,34.48,33.46,34.46,2188700,32.61
2012-09-04,33.13,34.34,32.87,34.22,1851800,32.38
2012-08-27,33.17,33.44,32.98,33.26,1558000,31.48
2012-08-20,33.22,33.23,32.67,33.19,1659000,31.41
2012-08-13,33.03,33.37,32.8,33.24,1595200,31.46
2012-08-06,32.76,33.23,32.31,33.18,1849400,31.4
2012-07-30,32.82,33.,31.91,32.61,2720800,30.86
2012-07-23,32.1,33.2,31.75,33.08,3626400,31.
2012-07-16,31.86,33.4,31.72,32.43,6040300,30.39
2012-07-09,31.14,31.95,31.05,31.87,2549600,29.87
2012-07-02,31.19,31.89,31.06,31.15,2916800,29.19
2012-06-25,31.53,32.29,30.54,31.41,3375200,29.44
2012-06-18,31.92,32.73,31.86,32.26,2298000,30.23
2012-06-11,31.2,32.11,30.78,32.03,2408600,30.02
2012-06-04,29.34,31.07,29.12,31.01,2578900,29.06
2012-05-29,30.44,30.63,29.15,29.28,2626300,27.44
2012-05-21,29.38,30.59,29.12,30.29,2478400,28.39
2012-05-14,29.75,30.39,29.36,29.41,3030900,27.56
2012-05-07,29.86,30.24,29.58,29.91,2325800,28.03
2012-04-30,31.12,31.16,29.89,29.92,3061700,28.04
2012-04-23,30.66,31.3,30.3,31.14,3914600,28.88
2012-04-16,30.88,31.29,30.6,30.76,2663300,28.53
2012-04-09,31.25,31.25,30.52,30.83,1845500,28.59
2012-04-02,30.87,32.08,30.78,31.55,3584900,29.26
2012-03-26,32.,32.24,30.99,30.99,2632700,28.74
2012-03-19,31.74,32.11,31.57,31.74,2141200,29.44
2012-03-12,31.47,32.,31.37,31.83,2063300,29.52
2012-03-05,31.28,31.55,30.88,31.49,2394900,29.2
2012-02-27,31.21,32.04,31.13,31.3,2552000,29.03
2012-02-21,31.48,31.5,31.17,31.42,2491900,29.14
2012-02-13,31.57,31.82,30.87,31.48,2079900,29.19
2012-02-06,31.81,31.89,31.16,31.31,1901000,29.04
2012-01-30,31.65,32.27,31.32,31.95,2581800,29.63
2012-01-23,32.35,32.73,31.92,32.19,3526500,29.56
2012-01-17,31.48,32.47,31.11,32.31,4747000,29.67
2012-01-09,30.94,31.44,30.54,30.99,3220400,28.45
2012-01-03,30.67,30.94,29.94,30.79,3291000,28.27
2011-12-27,29.79,30.2,29.75,30.11,1682000,27.65
2011-12-19,29.83,30.59,28.76,29.85,3237600,27.41
2011-12-12,29.88,30.13,29.2,29.59,2274300,27.17
2011-12-05,29.71,30.23,29.22,30.06,2131900,27.6
2011-11-28,27.93,29.6,27.73,29.22,3071500,26.83
2011-11-21,28.,28.09,27.11,27.33,1911900,25.09
2011-11-14,29.25,29.57,28.14,28.22,3058500,25.91
2011-11-07,29.44,29.74,28.51,29.4,2208200,26.99
2011-10-31,29.06,29.61,28.27,29.41,3746000,27.
2011-10-24,28.73,30.12,28.38,29.36,5247800,26.96
2011-10-17,28.44,28.87,27.89,28.78,5217700,26.14
2011-10-10,27.5,28.6,27.39,28.5,3092200,25.89
2011-10-03,26.07,27.44,25.2,27.11,4132500,24.63
2011-09-26,26.32,27.6,26.04,26.37,5400800,23.95
2011-09-19,26.83,27.65,25.53,26.22,3444000,23.82
2011-09-12,25.65,27.5,25.5,27.08,3822300,24.6
2011-09-06,25.42,26.9,25.25,25.93,2969100,23.55
2011-08-29,26.59,27.33,26.,26.07,3414700,23.68
2011-08-22,25.97,26.58,25.12,26.23,3726400,23.83
