Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,62.7,65.36,62.53,64.19,4335300,64.19
2014-02-18,61.75,65.09,61.65,62.37,2111900,62.37
2014-02-10,58.93,61.67,58.23,61.54,2087800,61.54
2014-02-03,55.67,59.58,53.59,59.15,3837600,58.95
2014-01-27,56.07,57.75,55.12,56.,2158100,55.81
2014-01-21,59.83,60.,56.21,56.24,1618600,56.05
2014-01-13,58.86,59.73,58.04,59.53,1443800,59.33
2014-01-06,59.67,60.17,58.24,59.19,1831900,58.99
2013-12-30,58.46,59.35,58.22,58.63,958800,58.43
2013-12-23,57.68,58.89,57.59,58.47,851600,58.27
2013-12-16,56.47,58.03,56.06,57.62,1698800,57.43
2013-12-09,57.22,57.38,55.94,56.16,1044600,55.1
2013-12-02,57.2,57.45,55.01,56.95,1339500,55.87
2013-11-25,56.65,57.6,56.46,57.31,871800,56.23
2013-11-18,57.04,57.34,55.03,56.64,1147500,55.57
2013-11-11,56.85,57.44,56.04,57.,1211700,55.92
2013-11-04,56.41,57.83,55.9,56.84,1435200,55.57
2013-10-28,58.4,58.77,55.29,56.22,2530000,54.96
2013-10-21,57.43,58.64,57.14,58.55,1205800,57.24
2013-10-14,55.79,57.74,55.7,57.56,1077400,56.27
2013-10-07,54.91,56.27,53.67,56.2,1423900,54.94
2013-09-30,55.39,56.17,54.87,55.52,1549700,54.28
2013-09-23,57.15,57.63,55.57,55.8,1429000,54.55
2013-09-16,57.11,58.42,56.58,57.65,1470200,56.36
2013-09-09,54.49,56.31,54.24,56.28,995900,55.02
2013-09-03,54.53,54.97,53.07,54.24,1338000,53.03
2013-08-26,55.05,55.4,53.39,53.61,1174600,52.41
2013-08-19,54.77,55.47,53.95,55.21,943800,53.98
2013-08-12,55.58,56.6,54.48,54.74,886000,53.52
2013-08-05,56.65,56.89,55.28,55.93,971300,54.49
2013-07-29,56.05,57.13,55.79,56.94,1309600,55.47
2013-07-22,58.41,60.,55.52,56.1,2291400,54.65
2013-07-15,56.81,57.93,56.55,57.63,1275200,56.14
2013-07-08,54.74,56.91,54.45,56.65,1483300,55.19
2013-07-01,53.66,54.54,52.59,54.37,1222800,52.97
2013-06-24,51.93,53.95,51.13,53.66,1766400,52.28
2013-06-17,53.53,54.65,51.7,52.33,1406100,50.98
2013-06-10,54.55,54.64,52.33,53.22,927200,51.85
2013-06-03,53.89,54.43,52.18,54.35,1739700,52.95
2013-05-28,54.01,54.66,53.38,53.6,1168700,52.22
2013-05-20,54.2,55.05,52.83,53.35,1451800,51.97
2013-05-13,52.27,54.69,51.81,54.54,1861700,53.13
2013-05-06,51.2,53.41,50.01,52.61,1721500,51.06
2013-04-29,49.59,53.12,48.97,52.54,2169300,50.99
2013-04-22,48.56,50.15,47.79,49.52,2271300,48.06
2013-04-15,49.89,50.03,47.12,48.2,1986800,46.78
2013-04-08,48.15,50.86,47.7,50.23,2083300,48.75
2013-04-01,50.56,50.79,47.28,48.19,2651100,46.77
2013-03-25,50.2,50.65,49.18,50.56,1527300,49.07
2013-03-18,50.29,50.72,48.96,50.04,2005800,48.56
2013-03-11,50.28,51.38,49.84,50.96,1752600,49.46
2013-03-04,46.9,50.46,45.87,50.46,2597600,48.97
2013-02-25,47.18,48.02,45.81,46.97,1690300,45.58
2013-02-19,48.26,48.7,46.27,46.86,1720300,45.48
2013-02-11,47.63,48.32,47.27,48.09,1283300,46.67
2013-02-04,47.36,48.32,46.51,47.5,1959900,45.91
2013-01-28,48.41,48.75,46.94,47.55,2682900,45.96
2013-01-22,46.16,48.5,46.,48.23,2248400,46.61
2013-01-14,46.03,46.59,45.52,46.37,1364900,44.81
2013-01-07,46.49,46.65,45.42,46.03,1670600,44.49
2012-12-31,44.34,47.16,44.22,46.8,2236300,45.23
2012-12-24,44.91,45.15,43.78,44.43,1298100,42.94
2012-12-17,44.17,45.44,43.67,44.84,2455500,43.34
2012-12-10,43.79,45.34,43.74,43.91,1921800,42.44
2012-12-03,44.11,44.54,42.87,43.84,2613600,42.37
2012-11-26,42.94,44.49,42.84,43.94,1714200,42.47
2012-11-19,42.34,43.21,41.96,43.05,1578500,41.61
2012-11-12,43.22,43.47,41.17,41.84,2288800,40.44
2012-11-05,44.8,45.54,42.96,43.01,2648200,41.37
2012-10-31,43.5,45.68,42.89,45.01,4240700,43.3
2012-10-22,40.43,43.5,39.55,43.34,4705700,41.69
2012-10-15,40.43,40.98,40.04,40.41,2436600,38.87
2012-10-08,41.12,41.67,39.52,40.15,2699700,38.62
2012-10-01,40.2,42.08,40.05,41.39,2300600,39.81
2012-09-24,41.39,41.6,39.43,40.02,1986500,38.5
2012-09-17,42.96,43.,41.43,41.48,2238200,39.9
2012-09-10,41.69,43.38,40.57,43.05,2519900,41.41
2012-09-04,39.78,41.99,38.76,41.71,2030900,40.12
2012-08-27,40.32,40.44,39.22,39.91,1195700,38.39
2012-08-20,41.59,41.81,39.87,40.27,1746300,38.74
2012-08-13,41.14,41.94,40.63,41.88,1489300,40.29
2012-08-06,39.96,41.34,39.9,41.34,1551100,39.57
2012-07-30,40.8,41.,37.67,39.72,2418700,38.02
2012-07-23,36.36,41.05,35.44,40.8,3736000,39.06
2012-07-16,37.03,38.21,35.85,37.22,2028400,35.63
2012-07-09,37.67,38.22,35.21,37.22,3913200,35.63
2012-07-02,39.31,39.4,37.2,37.76,1868000,36.15
2012-06-25,37.91,39.19,37.,39.19,1987400,37.52
2012-06-18,39.21,40.64,38.,38.45,3716000,36.81
