Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,44.,44.45,43.96,44.02,3065600,44.02
2014-02-18,43.96,44.25,43.16,43.94,2302600,43.94
2014-02-10,41.73,44.04,41.41,43.94,3235400,43.94
2014-02-03,42.25,42.64,40.92,41.83,2304500,41.83
2014-01-27,40.82,42.39,40.77,42.15,3340600,42.15
2014-01-21,40.72,41.38,40.72,40.82,3039300,40.82
2014-01-13,40.93,41.13,40.13,40.67,2585600,40.67
2014-01-06,39.71,41.01,39.54,40.53,2356700,40.53
2013-12-30,40.22,40.47,39.42,39.6,2316800,39.6
2013-12-23,40.8,41.23,40.15,40.28,1657800,40.28
2013-12-16,40.66,41.16,40.04,40.56,4356100,40.1
2013-12-09,41.06,41.46,40.16,40.42,2790700,39.97
2013-12-02,40.44,41.23,40.05,41.11,2904900,40.65
2013-11-25,40.74,40.96,39.91,40.37,2674700,39.92
2013-11-18,41.2,41.25,40.13,40.63,2593500,40.17
2013-11-11,41.75,41.87,40.02,41.16,3844800,40.7
2013-11-04,42.41,42.95,41.37,41.77,2505900,41.3
2013-10-28,42.11,42.52,41.23,42.32,2075700,41.85
2013-10-21,41.22,42.27,41.07,42.12,2343400,41.65
2013-10-14,41.13,41.58,40.1,41.22,2223200,40.76
2013-10-07,40.09,41.51,39.95,41.35,2479100,40.89
2013-09-30,40.63,41.28,40.2,40.26,2747400,39.81
2013-09-23,41.4,42.42,40.63,40.78,5364700,40.32
2013-09-16,41.76,42.47,40.9,41.46,4304300,40.55
2013-09-09,40.88,41.45,40.66,41.33,2065400,40.42
2013-09-03,41.56,41.62,40.56,40.88,2712700,39.98
2013-08-26,41.54,41.93,41.08,41.36,2374400,40.45
2013-08-19,42.54,43.19,41.25,41.51,3010500,40.6
2013-08-12,44.77,44.89,42.32,42.64,2218300,41.7
2013-08-05,46.01,46.01,44.52,45.02,1789600,44.03
2013-07-29,46.11,46.9,45.06,46.18,2412800,45.17
2013-07-22,45.03,46.32,44.92,46.32,1883300,45.3
2013-07-15,45.56,47.3,44.99,45.,4237500,44.01
2013-07-08,44.74,45.73,44.55,45.54,2082400,44.54
2013-07-01,46.08,46.31,44.11,44.66,2308800,43.68
2013-06-24,43.97,46.33,43.53,45.73,5752300,44.73
2013-06-17,45.35,45.92,43.2,44.33,3681300,42.92
2013-06-10,45.36,45.38,44.23,45.17,2064700,43.73
2013-06-03,44.9,45.43,43.89,45.3,2566400,43.86
2013-05-28,46.34,46.62,44.75,44.91,2977100,43.48
2013-05-20,47.23,48.02,45.72,46.14,1926700,44.67
2013-05-13,46.42,47.74,46.35,47.23,2362400,45.73
2013-05-06,47.26,47.75,45.9,46.6,2801600,45.12
2013-04-29,48.03,48.5,46.71,47.25,2312000,45.75
2013-04-22,47.74,48.18,46.91,47.95,1937000,46.43
2013-04-15,47.15,47.77,46.26,47.77,2540300,46.25
2013-04-08,46.46,47.32,46.36,47.23,2435500,45.73
2013-04-01,44.51,46.65,44.38,46.49,3452700,45.01
2013-03-25,43.85,44.57,43.1,44.53,4533400,43.11
2013-03-18,43.38,44.02,43.23,43.8,3024600,41.97
2013-03-11,42.64,43.83,42.51,43.56,3003200,41.74
2013-03-04,42.83,43.72,42.48,42.78,2527300,40.99
2013-02-25,42.14,42.88,41.4,42.85,3835300,41.06
2013-02-19,42.79,43.29,41.,41.98,4757400,40.22
2013-02-11,42.73,42.94,42.4,42.72,2091000,40.93
2013-02-04,42.54,42.97,42.09,42.77,1681500,40.98
2013-01-28,41.9,42.79,41.65,42.6,2420100,40.82
2013-01-22,40.98,41.89,40.92,41.89,2782600,40.14
2013-01-14,41.01,41.31,40.57,41.01,2227400,39.29
2013-01-07,40.98,41.33,40.29,40.95,2524000,39.23
2012-12-31,39.61,41.44,39.4,41.17,2835300,39.45
2012-12-24,41.4,41.44,39.7,39.71,2565200,38.05
2012-12-17,40.59,41.92,40.58,41.49,3668900,39.3
2012-12-10,40.77,41.17,40.45,40.51,1872200,38.37
2012-12-03,40.93,41.01,40.23,40.77,2306200,38.62
2012-11-26,39.97,41.,39.97,40.95,2831300,38.79
2012-11-19,40.78,40.88,39.6,40.17,2305700,38.05
2012-11-12,41.13,41.25,39.99,40.44,2363900,38.31
2012-11-05,41.9,42.08,40.78,40.89,2031100,38.73
2012-10-31,42.22,42.67,41.95,42.,2798100,39.79
2012-10-22,42.67,42.78,41.83,42.,2979700,39.79
2012-10-15,42.48,43.52,42.14,42.78,2686400,40.52
2012-10-08,42.68,44.11,42.06,42.5,2763400,40.26
2012-10-01,42.68,43.07,42.12,42.67,2350800,40.42
2012-09-24,42.6,43.33,42.13,42.67,2110000,40.42
2012-09-17,43.28,43.42,42.12,42.59,2854600,39.92
2012-09-10,43.67,43.67,42.85,43.25,1604900,40.54
2012-09-04,43.45,43.66,42.95,43.47,2111800,40.74
2012-08-27,44.02,44.13,43.22,43.41,1634100,40.69
2012-08-20,44.46,44.89,43.65,44.07,1746600,41.31
2012-08-13,45.25,45.38,44.2,44.57,2168600,41.77
2012-08-06,46.71,46.92,44.88,45.24,2949600,42.4
2012-07-30,46.12,47.03,45.21,46.5,1628900,43.58
2012-07-23,45.16,46.26,44.17,46.11,1933300,43.22
2012-07-16,45.3,45.62,44.72,45.48,1819200,42.63
2012-07-09,44.9,45.76,44.75,45.37,1855000,42.52
2012-07-02,45.55,45.81,44.67,45.01,2050400,42.19
2012-06-25,43.73,45.48,43.59,45.27,2894400,42.43
2012-06-18,45.28,45.44,43.69,43.84,4355300,40.68
2012-06-11,45.24,45.56,44.5,45.28,2178200,42.01
2012-06-04,43.68,45.12,43.29,45.09,2550800,41.84
2012-05-29,43.75,43.92,43.3,43.61,2005300,40.46
2012-05-21,43.55,44.38,43.25,43.74,2069600,40.58
2012-05-14,43.87,44.38,43.36,43.44,2189000,40.3
2012-05-07,44.3,44.68,44.02,44.18,2146300,40.99
2012-04-30,43.84,44.94,43.65,44.43,2110800,41.22
2012-04-23,42.98,43.95,42.82,43.88,1483700,40.71
2012-04-16,42.54,43.3,42.28,43.2,1976200,40.08
2012-04-09,42.51,42.8,41.88,42.26,2687800,39.21
2012-04-02,43.43,43.7,42.67,42.88,2605700,39.79
2012-03-26,43.69,43.96,42.48,43.41,4197100,40.28
2012-03-19,43.31,43.8,42.92,43.39,5830600,39.84
2012-03-12,42.81,43.71,42.72,43.29,3608200,39.75
2012-03-05,41.81,42.85,41.24,42.84,2141900,39.33
2012-02-27,41.55,42.24,41.5,42.08,2796600,38.64
2012-02-21,42.36,42.62,41.54,41.75,3356500,38.33
2012-02-13,41.45,42.68,41.02,42.34,3424100,38.88
2012-02-06,41.23,41.78,40.93,41.24,2171700,37.87
2012-01-30,40.72,41.44,40.2,41.41,2568400,38.02
2012-01-23,40.51,41.38,39.85,40.83,2477600,37.49
2012-01-17,41.7,42.27,39.96,40.36,3095900,37.06
2012-01-09,41.,41.92,40.69,41.28,2690900,37.9
2012-01-03,41.42,41.52,40.4,41.06,2645500,37.7
2011-12-27,41.15,41.8,40.62,41.22,1685400,37.85
2011-12-19,40.01,41.6,39.22,41.09,3187900,37.32
2011-12-12,38.16,40.25,37.85,39.98,6325000,36.31
2011-12-05,38.41,38.92,37.83,38.24,5520600,34.73
2011-11-28,37.92,38.99,37.63,38.03,3663000,34.54
2011-11-21,38.68,38.68,36.84,37.21,2308600,33.79
2011-11-14,40.1,40.38,38.59,39.,3424200,35.42
2011-11-07,40.68,40.8,39.88,40.34,3195200,36.63
2011-10-31,42.78,43.4,39.68,40.86,3943200,37.11
2011-10-24,42.79,43.47,42.15,42.94,3200500,39.
2011-10-17,42.42,43.25,42.11,43.,2723100,39.05
