Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,42.56,42.95,42.47,42.49,720400,42.49
2014-02-18,42.98,43.21,42.23,42.39,883100,42.39
2014-02-10,42.55,43.3,42.06,42.96,675200,42.96
2014-02-03,43.09,43.13,41.63,42.65,1075300,42.22
2014-01-27,42.91,44.88,42.32,43.07,1511800,42.63
2014-01-21,44.3,44.78,42.82,42.88,1070100,42.44
2014-01-13,44.,44.51,43.77,44.25,1014600,43.8
2014-01-06,44.29,45.37,43.51,44.14,1959100,43.69
2013-12-30,46.31,46.74,46.05,46.34,597800,45.87
2013-12-23,46.48,46.99,45.97,46.4,676600,45.93
2013-12-16,44.69,46.49,44.5,46.37,1435500,45.9
2013-12-09,44.77,44.96,44.09,44.44,1196300,43.99
2013-12-02,43.73,44.86,43.45,44.78,1043600,44.32
2013-11-25,43.34,44.46,42.95,43.74,985900,43.29
2013-11-18,43.98,44.18,43.21,43.43,1146800,42.99
2013-11-11,44.62,45.01,43.16,44.06,1331500,43.61
2013-11-04,46.23,46.27,43.79,44.62,1460300,43.73
2013-10-28,50.,50.08,44.32,46.,4585800,45.08
2013-10-21,48.86,50.,48.43,49.91,586800,48.91
2013-10-14,47.22,49.39,47.02,48.82,755900,47.84
2013-10-07,46.11,47.58,45.35,47.55,709000,46.6
2013-09-30,46.77,47.98,45.97,46.38,779900,45.45
2013-09-23,47.46,47.87,46.02,47.07,762500,46.13
2013-09-16,46.87,49.06,45.76,47.78,1269800,46.82
2013-09-09,45.02,46.31,45.02,46.05,680200,45.13
2013-09-03,44.75,44.97,43.15,44.66,927900,43.76
2013-08-26,45.02,45.25,43.93,44.31,709900,43.42
2013-08-19,44.35,45.2,43.73,45.11,764500,44.21
2013-08-12,47.5,47.6,44.23,44.5,1167000,43.61
2013-08-05,48.37,48.59,47.,47.73,736000,46.33
2013-07-29,48.92,49.62,48.36,48.48,617600,47.06
2013-07-22,49.66,50.06,48.32,49.11,472900,47.67
2013-07-15,48.41,49.78,48.18,49.7,560700,48.24
2013-07-08,46.58,48.6,46.47,48.48,698800,47.06
2013-07-01,46.94,47.13,45.5,46.48,636100,45.12
2013-06-24,44.62,47.06,44.01,46.67,926600,45.3
2013-06-17,47.59,47.91,44.14,45.29,1397900,43.96
2013-06-10,48.35,48.51,46.26,47.28,913400,45.89
2013-06-03,48.36,48.88,46.59,48.32,1301100,46.9
2013-05-28,52.34,52.41,47.19,47.7,1709600,46.3
2013-05-20,54.06,54.62,51.53,51.83,834100,50.31
2013-05-13,52.2,54.07,52.15,54.04,725100,52.45
2013-05-06,51.13,52.49,51.,52.21,575100,50.26
2013-04-29,53.36,53.68,49.4,51.13,1116100,49.22
2013-04-22,52.28,53.67,52.1,53.14,750500,51.15
2013-04-15,51.84,52.34,49.76,52.29,987800,50.33
2013-04-08,51.23,52.28,51.01,51.99,614800,50.05
2013-04-01,52.07,52.64,50.72,51.23,865700,49.31
2013-03-25,50.56,52.28,50.22,52.2,821900,50.25
2013-03-18,49.31,50.55,49.11,50.48,701800,48.59
2013-03-11,49.18,49.98,49.1,49.77,798400,47.91
2013-03-04,48.74,49.79,48.55,49.18,613000,47.34
2013-02-25,48.29,48.9,47.26,48.69,813300,46.87
2013-02-19,47.93,48.32,47.1,48.18,731300,46.38
2013-02-11,48.4,48.6,47.1,47.88,543900,46.09
2013-02-04,48.06,48.59,47.97,48.44,641700,46.22
2013-01-28,47.4,49.69,47.16,48.19,1015400,45.98
2013-01-22,47.49,48.26,47.07,47.31,860500,45.14
2013-01-14,46.46,47.32,46.21,47.32,692000,45.15
2013-01-07,45.87,46.86,45.46,46.39,542400,44.27
2012-12-31,43.84,46.,43.75,45.99,839200,43.89
2012-12-24,44.22,44.63,43.76,43.86,520000,41.85
2012-12-17,42.68,44.83,42.66,44.25,1046800,42.22
2012-12-10,43.04,43.37,42.38,42.54,545200,40.59
2012-12-03,43.03,43.21,41.94,43.2,674600,41.22
2012-11-26,41.98,42.91,41.28,42.85,826700,40.89
2012-11-19,41.64,42.06,41.38,42.04,568100,40.12
2012-11-12,42.67,43.01,40.6,41.31,819800,39.42
2012-11-05,43.,43.77,42.32,42.62,873000,40.27
2012-10-31,44.11,44.51,42.7,43.11,1131700,40.73
2012-10-22,43.39,44.5,43.34,43.81,741300,41.39
2012-10-15,42.95,44.53,42.95,44.08,867700,41.65
2012-10-08,42.56,42.99,42.19,42.94,821300,40.57
2012-10-01,43.46,43.7,41.56,42.6,1654000,40.25
2012-09-24,44.7,44.99,43.64,43.84,894200,41.42
2012-09-17,43.54,44.85,43.42,44.76,1184400,42.29
2012-09-10,41.29,43.85,40.88,43.68,1038700,41.27
2012-09-04,40.94,41.39,40.51,41.23,754000,38.96
2012-08-27,40.59,41.04,40.58,40.93,711000,38.67
2012-08-20,40.53,40.85,40.22,40.53,553700,38.29
2012-08-13,40.25,40.83,39.8,40.55,771200,38.31
2012-08-06,40.76,40.91,40.,40.27,528800,37.66
2012-07-30,40.23,41.51,39.77,40.62,692000,37.98
2012-07-23,39.79,40.76,39.17,40.52,752000,37.89
2012-07-16,40.71,41.31,39.9,39.96,848300,37.37
2012-07-09,40.,40.58,39.3,40.56,586400,37.93
2012-07-02,39.9,40.34,39.49,40.,708600,37.4
2012-06-25,37.88,39.75,37.62,39.7,713500,37.12
2012-06-18,37.57,38.83,37.33,38.23,999200,35.75
2012-06-11,37.6,37.69,36.76,37.62,860200,35.18
2012-06-04,35.96,37.72,35.43,37.36,758200,34.93
2012-05-29,36.83,37.24,35.59,36.,986700,33.66
2012-05-21,36.5,37.63,36.38,36.71,866700,34.33
2012-05-14,38.36,38.61,36.31,36.39,1259500,34.03
2012-05-07,38.69,39.31,38.33,38.64,859400,35.73
2012-04-30,41.71,42.04,38.68,38.75,1716000,35.84
2012-04-23,41.04,42.1,40.65,41.89,758400,38.74
2012-04-16,40.89,41.61,40.86,41.38,962700,38.27
2012-04-09,41.05,41.43,40.31,40.84,765400,37.77
2012-04-02,41.61,41.99,41.2,41.55,720700,38.43
2012-03-26,41.51,41.86,41.18,41.56,673500,38.43
2012-03-19,41.41,41.67,40.92,41.2,626600,38.1
2012-03-12,40.19,41.49,40.19,41.43,1056900,38.31
2012-03-05,39.65,40.44,39.2,40.2,792400,37.18
2012-02-27,38.95,39.77,38.65,39.62,803500,36.64
2012-02-21,38.93,39.25,38.2,39.05,809900,36.11
2012-02-13,39.37,39.67,38.41,38.9,956300,35.97
2012-02-06,39.63,40.04,38.99,39.18,880400,35.85
2012-01-30,40.18,40.2,38.1,39.68,1772600,36.31
2012-01-23,39.87,40.7,39.29,40.47,1168400,37.03
2012-01-17,39.24,39.99,38.77,39.8,1202000,36.42
2012-01-09,37.67,39.07,37.33,38.81,1162700,35.51
2012-01-03,37.07,37.66,36.34,37.47,1109500,34.28
2011-12-27,36.75,37.25,36.52,36.56,855700,33.45
2011-12-19,35.36,36.93,34.76,36.9,1108100,33.76
2011-12-12,35.8,35.85,34.5,35.25,1386200,32.25
2011-12-05,36.85,36.88,35.2,35.99,1376000,32.93
2011-11-28,35.43,37.05,34.87,36.37,1226800,33.28
2011-11-21,35.63,35.71,34.22,34.64,1038200,31.69
2011-11-14,36.71,36.71,35.75,36.15,1192000,33.08
2011-11-07,37.18,37.7,35.96,36.79,1281900,33.66
2011-10-31,37.97,38.46,36.35,37.27,1361700,33.71
2011-10-24,36.03,38.6,35.91,38.47,2170900,34.79
2011-10-17,35.41,36.05,34.5,36.05,1682800,32.61
2011-10-10,35.38,36.36,34.75,35.77,1539500,32.35
2011-10-03,34.55,35.84,33.02,34.77,2029600,31.45
2011-09-26,35.14,36.03,34.65,34.71,1956500,31.39
2011-09-19,36.86,37.2,34.34,34.83,1701700,31.5
2011-09-12,35.02,37.37,34.84,37.33,1584700,33.76
2011-09-06,35.,36.86,34.99,35.48,1525200,32.09
2011-08-29,36.78,38.07,35.78,35.82,1529300,32.4
2011-08-22,35.26,36.51,34.45,36.34,1519700,32.87
2011-08-15,35.74,36.74,34.54,34.62,2022100,31.31
2011-08-08,35.57,37.52,34.,35.95,3986800,32.52
2011-08-01,38.69,38.76,35.82,36.51,2087100,32.65
2011-07-25,40.41,40.77,38.,38.22,1731900,34.18
2011-07-18,40.42,41.6,39.9,40.68,766100,36.38
2011-07-11,40.71,41.2,40.06,40.5,727100,36.21
2011-07-05,41.28,41.5,40.61,41.15,864700,36.8
2011-06-27,39.11,41.4,39.11,41.31,780300,36.94
2011-06-20,39.13,40.,38.6,39.2,934700,35.05
2011-06-13,38.35,39.29,38.13,39.18,1441300,35.03
2011-06-06,39.51,40.12,38.56,38.62,1302400,34.53
2011-05-31,40.36,40.6,39.32,39.7,1291600,35.5
2011-05-23,39.84,40.21,39.46,39.94,926600,35.71
2011-05-16,40.61,41.24,40.14,40.27,1057700,36.01
2011-05-09,41.75,42.46,40.76,40.8,1054500,36.48
2011-05-02,43.31,43.49,41.65,41.69,1211400,36.9
2011-04-25,43.01,44.08,42.75,43.09,1315400,38.14
2011-04-18,41.93,42.99,41.67,42.96,826600,38.03
2011-04-11,42.67,43.13,41.77,42.37,996000,37.51
2011-04-04,43.76,44.25,42.63,42.74,865700,37.83
2011-03-28,42.63,44.28,42.39,43.68,1281600,38.66
2011-03-21,43.04,43.26,42.07,42.44,1275100,37.57
2011-03-14,41.33,43.08,41.25,42.75,1547000,37.84
2011-03-07,41.11,41.59,40.31,41.52,912600,36.75
2011-02-28,41.7,42.17,40.55,40.89,1095500,36.2
2011-02-22,42.16,42.3,40.59,41.44,1198800,36.68
2011-02-14,42.62,42.71,42.01,42.53,1014500,37.65
2011-02-07,41.02,42.67,40.9,42.58,1010900,37.32
2011-01-31,41.87,42.28,39.8,40.92,1965600,35.86
2011-01-24,40.49,42.5,40.49,41.77,1630400,36.61
2011-01-18,39.95,40.61,39.53,40.56,1319500,35.55
2011-01-10,39.3,40.22,38.82,40.06,1465800,35.11
