Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,78.31,79.59,78.31,78.88,7747000,78.88
2014-02-18,78.63,78.91,77.01,78.22,9305500,78.22
2014-02-10,80.17,81.85,78.06,78.09,7736900,78.09
2014-02-03,80.35,80.51,78.28,80.22,5600400,80.22
2014-01-27,81.43,82.77,79.9,80.36,5707200,80.36
2014-01-21,82.21,83.07,81.43,81.43,5011600,81.43
2014-01-13,83.06,83.57,82.04,82.2,4609900,82.2
2014-01-06,82.2,83.99,82.08,83.5,4830400,83.5
2013-12-30,82.71,83.33,81.82,82.24,2894800,82.24
2013-12-23,82.34,83.11,81.45,82.71,2248600,82.71
2013-12-16,81.06,82.1,79.96,81.81,6288900,81.81
2013-12-09,82.92,83.2,80.85,80.93,5398500,80.93
2013-12-02,84.43,84.52,81.89,83.15,5449200,83.15
2013-11-25,85.81,86.12,84.07,84.46,3369900,83.89
2013-11-18,86.02,86.18,84.93,85.74,3834300,85.16
2013-11-11,85.75,86.63,85.03,86.03,3663900,85.45
2013-11-04,84.62,86.73,83.83,85.85,4775100,85.27
2013-10-28,83.36,85.5,83.23,84.56,4409900,83.99
2013-10-21,82.97,83.73,82.19,83.35,4672800,82.79
2013-10-14,80.45,83.01,80.34,83.01,5458800,82.45
2013-10-07,79.25,81.09,78.86,80.83,4893300,80.28
2013-09-30,79.86,79.93,78.67,79.62,4328800,79.08
2013-09-23,81.56,81.58,79.85,80.2,4723100,79.66
2013-09-16,80.79,82.94,80.61,81.74,4764400,81.19
2013-09-09,79.25,80.4,78.79,80.32,3923100,79.78
2013-09-03,80.48,80.79,78.32,79.26,4942600,78.72
2013-08-26,79.97,80.1,78.61,79.73,4859100,78.63
2013-08-19,80.11,81.05,78.71,79.85,4140000,78.75
2013-08-12,83.93,84.1,79.94,80.18,4056900,79.07
2013-08-05,84.34,85.43,83.77,84.34,3544400,83.18
2013-07-29,85.26,85.99,83.4,84.29,5202200,83.13
2013-07-22,86.19,86.94,84.36,85.31,5263200,84.13
2013-07-15,84.43,87.06,83.31,86.41,6264800,85.22
2013-07-08,81.32,84.63,81.07,84.32,4466800,83.16
2013-07-01,81.96,82.5,80.29,80.8,4016600,79.68
2013-06-24,78.68,82.54,78.2,81.79,5539200,80.66
2013-06-17,82.59,82.93,78.77,80.13,5989100,79.02
2013-06-10,82.6,83.19,81.25,82.13,5052900,81.
2013-06-03,80.67,82.51,79.73,82.51,5955800,81.37
2013-05-28,83.09,83.48,80.7,80.77,5292900,79.1
2013-05-20,83.79,84.27,81.51,82.58,4289400,80.87
2013-05-13,82.72,84.78,82.52,83.8,4127700,82.07
2013-05-06,82.7,83.65,82.22,83.,3544600,81.28
2013-04-29,82.51,83.25,82.02,82.83,3600400,81.12
2013-04-22,82.29,84.32,82.05,82.51,5682500,80.8
2013-04-15,79.53,83.45,78.77,82.77,9060200,81.06
2013-04-08,78.57,80.48,78.25,79.99,4423600,78.34
2013-04-01,78.76,79.88,78.3,78.59,4222300,76.97
2013-03-25,78.61,79.13,77.6,79.11,5249300,77.47
2013-03-18,76.66,79.27,76.,78.64,7004700,77.01
2013-03-11,77.12,77.39,76.65,77.04,4595200,75.45
2013-03-04,75.78,77.41,75.54,77.2,5136600,75.6
2013-02-25,75.68,76.33,74.53,75.93,5744500,74.36
2013-02-19,73.75,75.86,73.48,75.57,7270000,73.48
2013-02-11,72.5,73.72,70.98,73.68,7935600,71.64
2013-02-04,72.48,73.16,72.4,72.6,4731700,70.59
2013-01-28,72.41,73.46,72.3,72.67,5443600,70.66
2013-01-22,72.39,72.55,71.74,72.49,5286000,70.49
2013-01-14,70.89,72.54,70.77,72.48,6283100,70.48
2013-01-07,69.53,70.92,69.16,70.88,5720700,68.92
2012-12-31,67.78,69.63,67.39,69.46,5916900,67.54
2012-12-24,69.33,69.6,68.01,68.02,3578800,66.14
2012-12-17,70.26,70.77,69.23,69.63,6597100,67.71
2012-12-10,70.02,70.89,70.,70.16,4768300,68.22
2012-12-03,70.32,70.41,69.3,70.26,4246700,68.32
2012-11-26,69.79,70.64,69.6,70.21,4806800,67.75
2012-11-19,68.57,70.36,68.16,70.19,4625700,67.73
2012-11-12,68.78,69.17,67.72,68.31,4451100,65.91
2012-11-05,68.57,69.61,68.32,68.85,5320600,66.43
2012-10-31,69.17,69.77,68.93,69.05,4754300,66.63
2012-10-22,69.68,69.88,68.23,68.98,5427700,66.56
2012-10-15,70.04,70.93,69.61,69.88,7462000,67.43
2012-10-08,71.,71.47,69.82,70.05,4852900,67.59
2012-10-01,70.7,71.39,70.25,71.1,4682200,68.6
2012-09-24,70.57,71.03,70.26,70.77,4464500,68.29
2012-09-17,70.44,71.58,70.22,70.55,5856500,68.07
2012-09-10,72.,72.09,69.96,70.46,6923600,67.99
2012-09-04,72.55,72.68,71.36,72.1,5009700,69.57
2012-08-27,73.01,73.66,72.08,72.43,4149100,69.37
2012-08-20,73.27,73.49,72.46,73.06,3885700,69.97
2012-08-13,71.91,73.65,71.67,73.39,6458400,70.29
2012-08-06,72.86,72.95,71.69,72.13,4024200,69.08
2012-07-30,71.95,72.94,71.09,72.87,7567700,69.79
2012-07-23,69.57,72.43,68.46,72.26,7988400,69.21
2012-07-16,70.34,70.84,69.57,69.96,5275300,67.
2012-07-09,70.13,70.5,69.6,70.41,5084900,67.43
2012-07-02,70.34,70.89,69.61,70.22,4655300,67.25
2012-06-25,68.14,70.66,68.1,70.66,6818000,67.67
2012-06-18,69.42,69.75,68.29,68.7,6172900,65.8
2012-06-11,68.55,69.74,68.03,69.48,6058100,66.54
2012-06-04,67.46,68.41,66.66,68.31,5525100,65.42
2012-05-29,68.5,69.34,66.87,67.51,9736900,64.66
2012-05-21,68.19,69.1,67.38,68.64,8432600,65.23
2012-05-14,66.57,69.18,66.32,68.12,11602600,64.73
2012-05-07,66.51,67.25,65.68,66.8,6612300,63.48
2012-04-30,65.97,67.,65.77,65.9,6112800,62.62
2012-04-23,66.17,66.86,66.03,66.1,6350100,62.81
2012-04-16,65.13,66.74,65.13,66.63,6770400,63.32
2012-04-09,65.63,65.69,64.64,65.06,5774800,61.83
2012-04-02,66.26,66.82,65.7,66.15,5156100,62.86
2012-03-26,65.47,66.5,65.45,66.35,5717900,63.05
2012-03-19,64.32,65.76,64.27,65.3,6258500,62.05
2012-03-12,63.31,64.63,63.01,64.47,7216800,61.27
2012-03-05,62.5,63.32,62.15,63.15,5776200,60.01
2012-02-27,63.18,63.75,62.4,62.52,10515400,59.41
2012-02-21,63.05,63.52,62.83,63.31,11801800,59.67
2012-02-13,64.01,64.19,62.33,62.68,11422700,59.08
2012-02-06,66.42,66.98,63.63,63.95,10566600,60.28
2012-01-30,65.6,66.9,65.16,66.66,5863400,62.83
2012-01-23,65.92,66.96,65.39,65.81,5201800,62.03
2012-01-17,64.76,66.41,64.51,66.28,6641300,62.47
2012-01-09,65.26,66.05,64.13,64.4,6749800,60.7
2012-01-03,66.86,67.19,65.29,65.39,5708300,61.63
2011-12-27,66.47,66.78,65.84,66.35,2799200,62.54
2011-12-19,64.63,66.69,64.2,66.57,4177200,62.75
2011-12-12,65.1,65.4,63.89,64.71,6296600,60.99
2011-12-05,64.69,65.4,64.09,65.19,5750800,61.45
2011-11-28,62.7,64.7,62.58,64.28,7229600,60.59
2011-11-21,63.21,63.74,62.25,62.49,4997200,58.42
2011-11-14,63.19,66.65,62.5,63.89,12139900,59.73
2011-11-07,61.99,63.75,61.56,63.28,6251900,59.16
2011-10-31,62.59,63.58,61.67,61.99,8344900,57.96
2011-10-24,62.3,63.47,61.5,63.2,8714200,59.09
2011-10-17,61.86,62.88,61.67,62.28,7017100,58.23
2011-10-10,61.66,63.62,60.51,62.24,9133500,58.19
2011-10-03,61.59,62.2,58.5,61.02,9418200,57.05
2011-09-26,60.75,63.31,60.73,61.9,7874500,57.87
2011-09-19,61.12,62.01,59.59,60.34,13009500,56.41
2011-09-12,59.4,63.59,59.25,62.05,13333300,58.01
2011-09-06,61.75,62.99,59.68,59.99,12449200,56.09
2011-08-29,63.71,64.91,63.18,63.3,9387800,59.18
2011-08-22,62.79,63.92,61.77,63.16,9736000,58.58
2011-08-15,63.49,64.78,61.85,62.07,9314200,57.57
2011-08-08,64.17,64.91,60.1,63.18,18523800,58.6
2011-08-01,64.22,65.48,63.18,64.67,12364400,59.98
2011-07-25,65.2,65.38,63.55,64.04,11021100,59.4
2011-07-18,68.61,68.87,64.79,65.76,11040000,60.99
2011-07-11,69.34,69.54,68.,68.53,5360100,63.56
2011-07-05,69.87,70.75,69.46,69.93,6254700,64.86
2011-06-27,68.53,70.49,68.53,70.19,5975100,65.1
2011-06-20,68.63,69.34,67.46,68.45,7865300,63.49
2011-06-13,69.06,69.78,68.24,68.72,6241100,63.74
2011-06-06,69.03,69.95,68.41,68.69,6161700,63.71
2011-05-31,70.72,71.12,68.71,68.97,6539100,63.97
2011-05-23,70.92,71.34,69.85,70.4,5404500,64.82
2011-05-16,70.41,71.89,70.3,71.3,5803800,65.65
2011-05-09,69.64,71.27,69.48,70.56,6376800,64.97
2011-05-02,69.24,69.95,68.46,69.27,6981500,63.78
2011-04-25,67.15,69.94,66.84,68.89,7505300,63.43
2011-04-18,66.73,67.53,66.44,67.41,4702600,62.07
2011-04-11,65.71,67.14,65.56,67.11,5137400,61.79
2011-04-04,64.93,66.04,64.86,65.73,4793900,60.52
2011-03-28,64.02,65.42,63.98,65.22,5936600,60.05
2011-03-21,63.85,64.48,63.5,63.98,4933100,58.91
2011-03-14,64.26,64.43,62.05,63.24,7642600,58.23
2011-03-07,63.43,64.89,63.2,64.65,7564700,59.53
2011-02-28,63.78,63.98,62.54,63.4,7855600,58.38
2011-02-22,62.66,63.89,62.57,63.6,8702100,58.12
2011-02-14,63.96,64.71,63.06,63.41,10302900,57.94
2011-02-07,63.95,64.76,62.56,63.87,9026100,58.36
2011-01-31,64.35,65.14,63.66,63.84,7828400,58.34
2011-01-24,65.79,66.25,64.12,64.4,6754500,58.85
2011-01-18,66.46,67.15,65.67,65.87,6658400,60.19
2011-01-10,66.13,67.46,65.84,66.78,5820200,61.02
2011-01-03,65.91,66.95,65.12,66.39,7522800,60.67
2010-12-27,65.64,65.77,65.03,65.33,3032600,59.7
2010-12-20,65.82,66.51,65.12,65.69,5163800,60.03
2010-12-13,65.06,66.,64.8,65.97,6340900,60.28
2010-12-06,65.16,65.17,64.28,64.9,5432900,59.3
2010-11-29,63.76,65.72,63.43,65.17,8302700,59.55
2010-11-22,64.76,64.85,63.59,63.9,4871300,57.96
2010-11-15,64.86,65.,63.61,64.71,6213400,58.69
2010-11-08,65.,65.42,64.37,64.64,5709200,58.63
2010-11-01,65.49,66.1,64.5,65.08,7017300,59.03
2010-10-25,65.18,65.33,63.78,65.3,6685700,59.23
2010-10-18,66.82,67.02,64.82,65.01,7692200,58.96
2010-10-11,65.74,67.,65.,66.68,6303100,60.48
2010-10-04,66.99,68.11,65.18,65.75,9636000,59.63
2010-09-27,66.07,67.31,65.81,67.,5697600,60.77
2010-09-20,66.26,66.98,65.66,66.13,5996500,59.98
2010-09-13,66.45,66.9,65.76,66.12,5088500,59.97
2010-09-07,65.1,66.5,65.1,66.41,4918500,60.23
2010-08-30,64.09,65.71,63.18,65.57,5345200,59.47
2010-08-23,65.14,65.4,63.38,64.12,4772400,57.72
2010-08-16,65.3,66.,64.26,64.8,4396800,58.33
2010-08-09,66.,66.83,64.78,65.56,5577900,59.02
2010-08-02,65.47,66.35,64.88,65.9,5872900,59.32
2010-07-26,64.36,65.79,64.19,64.91,5059900,58.43
2010-07-19,62.39,64.98,61.71,64.45,7624600,58.02
2010-07-12,63.25,64.26,62.24,62.45,6967800,56.22
2010-07-06,61.74,64.11,60.95,63.5,6481900,57.16
2010-06-28,61.12,62.17,60.32,61.53,8637500,55.39
2010-06-21,64.54,64.79,60.77,60.77,9353400,54.71
2010-06-14,63.9,64.67,63.24,64.08,6255500,57.69
2010-06-07,61.37,63.9,61.29,63.56,6864500,57.22
2010-06-01,62.66,63.65,61.29,61.44,8490500,55.31
2010-05-24,63.09,64.01,61.04,62.89,9523700,56.18
2010-05-17,66.11,67.3,62.14,63.58,9644500,56.8
2010-05-10,65.8,67.61,65.66,66.07,9755400,59.02
2010-05-03,65.28,66.2,61.91,64.57,9823500,57.68
2010-04-26,64.84,65.98,63.6,65.22,8585900,58.26
2010-04-19,66.08,66.4,64.17,64.71,7673600,57.81
2010-04-12,66.35,66.67,65.8,66.14,5762000,59.08
2010-04-05,66.68,66.68,65.62,66.36,6615100,59.28
2010-03-29,66.61,67.,66.06,66.68,6439300,59.57
2010-03-22,66.43,67.,66.15,66.59,6479400,59.49
2010-03-15,65.69,66.98,65.4,66.56,8554800,59.46
2010-03-08,64.27,65.25,63.8,65.1,6725000,58.16
2010-03-01,62.65,64.5,62.47,64.37,8661800,57.5
2010-02-22,62.69,62.87,61.02,62.47,7923300,55.41
2010-02-16,61.03,62.92,60.5,62.66,6748400,55.58
2010-02-08,59.6,61.7,58.75,60.92,9772600,54.04
2010-02-01,59.93,61.4,58.95,59.51,6546200,52.79
2010-01-25,60.7,60.7,59.12,59.62,6692900,52.88
2010-01-19,62.23,62.41,60.31,60.39,6393000,53.57
2010-01-11,60.68,62.92,60.1,62.29,7699100,55.25
2010-01-04,61.19,62.47,60.27,60.77,8987300,53.9
2009-12-28,61.19,61.59,60.76,60.8,3811700,53.93
2009-12-21,59.72,60.96,59.6,60.96,4832700,54.07
2009-12-14,61.7,61.77,58.77,59.48,10032400,52.76
2009-12-07,63.7,64.48,60.76,61.27,9881100,54.35
2009-11-30,62.64,64.,62.15,63.85,7129800,56.64
2009-11-23,62.46,63.27,61.75,62.3,4309400,54.87
2009-11-16,62.21,62.63,61.35,62.08,4597300,54.68
2009-11-09,61.81,62.94,61.1,61.94,6723200,54.56
2009-11-02,60.79,61.76,59.62,61.76,5675400,54.4
