Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,44.51,45.22,44.51,44.88,1085200,44.88
2014-02-18,44.53,45.1,43.69,44.48,1182900,44.48
2014-02-10,43.5,44.72,42.76,44.54,1357400,44.54
2014-02-03,43.62,43.69,41.2,43.49,1772500,43.49
2014-01-27,44.,44.39,43.21,43.57,1459100,43.57
2014-01-21,47.74,47.96,43.97,43.97,1558000,43.97
2014-01-13,49.,49.3,47.41,47.44,1470400,47.44
2014-01-06,49.09,49.84,48.67,49.56,1116900,49.56
2013-12-30,49.39,49.47,48.35,48.96,943700,48.96
2013-12-23,49.02,49.78,48.86,49.38,608400,49.38
2013-12-16,48.42,48.99,47.28,48.75,2208800,48.75
2013-12-09,49.54,49.95,47.96,48.08,1016500,48.08
2013-12-02,50.86,50.91,48.87,49.46,1604200,49.46
2013-11-25,50.13,50.97,49.97,50.63,1168600,50.36
2013-11-18,49.27,50.2,48.89,50.16,1124600,49.9
2013-11-11,48.25,49.24,47.6,49.19,1055000,48.93
2013-11-04,47.59,48.79,46.94,48.44,1253600,48.19
2013-10-28,46.85,48.17,46.53,47.48,1289200,47.23
2013-10-21,46.51,47.93,45.83,46.85,1098700,46.6
2013-10-14,43.39,46.41,43.29,46.36,1466300,46.12
2013-10-07,42.88,43.95,41.45,43.94,1150000,43.71
2013-09-30,42.48,43.43,42.05,43.41,1058500,43.18
2013-09-23,42.9,43.76,42.65,43.19,820800,42.96
2013-09-16,43.8,44.23,43.14,43.24,1632700,43.01
2013-09-09,42.09,43.86,41.92,43.09,1197800,42.86
2013-09-03,41.22,42.46,41.05,42.04,1496200,41.82
2013-08-26,42.3,42.64,40.29,40.92,1281100,40.45
2013-08-19,42.4,42.86,41.59,42.31,890100,41.82
2013-08-12,42.52,43.12,41.81,42.48,830100,41.99
2013-08-05,44.18,44.31,42.83,42.89,1488800,42.39
2013-07-29,42.88,44.94,42.46,44.37,1757200,43.86
2013-07-22,39.69,43.18,39.59,42.99,1960800,42.49
2013-07-15,38.58,39.98,38.49,39.68,1401200,39.22
2013-07-08,38.11,39.,38.05,38.9,1520300,38.45
2013-07-01,37.74,37.97,36.75,37.91,1594000,37.47
2013-06-24,36.27,38.04,35.65,37.45,1572200,37.02
2013-06-17,38.31,39.05,36.44,36.8,1887300,36.37
2013-06-10,38.72,38.95,37.77,38.04,1270900,37.6
2013-06-03,37.99,38.68,36.86,38.58,1651400,38.13
2013-05-28,37.71,38.75,37.61,37.85,1411300,37.41
2013-05-20,37.99,38.6,36.51,37.22,1273700,36.57
2013-05-13,36.92,38.21,36.69,38.14,1141300,37.47
2013-05-06,36.47,37.41,36.38,37.05,1092800,36.4
2013-04-29,35.84,37.13,35.51,36.72,1150900,36.08
2013-04-22,34.48,36.37,33.9,35.74,1447700,35.11
2013-04-15,35.38,35.38,33.43,34.34,1545800,33.74
2013-04-08,33.44,35.47,33.18,35.45,1689600,34.83
2013-04-01,33.98,34.17,32.59,33.47,1627300,32.88
2013-03-25,33.74,34.05,33.13,34.03,1110600,33.43
2013-03-18,33.55,34.01,33.21,33.53,1563600,32.94
2013-03-11,33.39,34.58,33.36,34.09,1542500,33.49
2013-03-04,31.4,33.49,31.37,33.42,1470300,32.83
2013-02-25,31.7,31.95,30.49,31.55,2518100,30.78
2013-02-19,31.73,32.29,30.77,31.61,2370100,30.84
2013-02-11,30.86,31.74,30.78,31.69,1538500,30.91
2013-02-04,30.31,30.96,30.13,30.9,1895700,30.14
2013-01-28,30.88,31.59,30.49,30.52,2659400,29.77
2013-01-22,29.51,30.85,29.41,30.78,1547100,30.03
2013-01-14,29.18,29.68,28.75,29.51,1441300,28.79
2013-01-07,29.13,29.67,28.9,29.2,1496700,28.49
2012-12-31,27.95,29.4,27.91,29.33,1772200,28.61
2012-12-24,27.99,28.29,27.82,28.08,1031400,27.39
2012-12-17,27.69,28.71,27.63,28.05,1560700,27.36
2012-12-10,27.53,28.29,27.44,27.51,1536000,26.84
2012-12-03,27.28,27.99,27.16,27.66,2219500,26.98
2012-11-26,27.08,27.63,26.15,27.15,2121000,26.29
2012-11-19,26.67,27.33,26.41,27.33,1264900,26.46
2012-11-12,26.55,26.89,25.83,26.32,1344500,25.48
2012-11-05,27.9,28.48,26.25,26.6,1407800,25.75
2012-10-31,27.81,28.6,27.41,28.17,1914600,27.27
2012-10-22,28.09,28.48,27.24,27.7,1832500,26.82
2012-10-15,27.09,28.71,26.83,28.16,1887300,27.26
2012-10-08,27.6,27.87,26.89,26.92,1987100,26.06
2012-10-01,27.06,28.18,26.84,27.76,1838100,26.88
2012-09-24,27.82,27.96,26.53,26.94,2227400,26.08
2012-09-17,29.1,29.2,27.6,27.92,2316800,27.03
2012-09-10,28.11,29.16,27.62,29.16,2051100,28.23
2012-09-04,27.34,28.48,27.17,28.31,1703600,27.41
2012-08-27,27.3,27.74,27.,27.44,1714000,26.36
2012-08-20,26.43,27.31,26.29,27.27,2094200,26.2
2012-08-13,26.4,26.79,25.99,26.55,1453000,25.51
2012-08-06,26.22,26.65,25.96,26.23,1518600,25.2
2012-07-30,24.78,26.22,24.66,26.11,2101400,25.09
2012-07-23,24.97,26.18,24.26,24.98,3281700,24.
2012-07-16,25.99,26.31,25.49,25.58,1451300,24.58
2012-07-09,25.95,26.3,25.3,26.11,1713200,25.09
2012-07-02,26.51,26.69,25.68,26.04,1274500,25.02
2012-06-25,24.41,26.24,24.21,26.23,2014200,25.2
2012-06-18,25.13,25.61,24.53,24.85,2478800,23.88
2012-06-11,25.13,25.5,24.55,25.4,2285200,24.4
2012-06-04,23.42,24.93,23.09,24.81,2922000,23.84
2012-05-29,24.64,25.21,23.28,23.3,4142000,22.39
2012-05-21,23.57,24.94,23.38,24.44,2729900,23.31
2012-05-14,24.85,24.87,23.29,23.47,2441600,22.38
2012-05-07,25.91,26.25,25.1,25.22,2386100,24.05
2012-04-30,27.52,28.22,25.97,26.09,2402200,24.88
2012-04-23,27.58,29.26,26.01,27.69,2444700,26.41
2012-04-16,27.76,28.68,27.5,28.16,1528800,26.86
2012-04-09,28.51,28.65,27.3,27.71,1884800,26.43
2012-04-02,29.47,29.96,28.85,29.3,2352500,27.94
2012-03-26,29.43,29.84,28.63,29.51,1870600,28.14
2012-03-19,29.23,29.47,28.64,29.12,1891200,27.77
2012-03-12,27.21,29.71,26.94,29.17,2703600,27.82
2012-03-05,27.51,27.77,26.26,27.14,2168100,25.88
2012-02-27,27.5,28.16,27.3,27.58,1904300,26.13
2012-02-21,27.47,28.09,26.94,27.85,1935000,26.38
2012-02-13,26.57,27.52,26.12,27.4,2152600,25.96
2012-02-06,27.39,27.41,26.09,26.21,2974100,24.83
2012-01-30,27.17,28.32,26.84,27.5,3588500,26.05
2012-01-23,27.09,27.66,26.82,27.54,2350400,26.09
2012-01-17,26.57,27.23,26.05,27.07,2695700,25.64
2012-01-09,24.21,26.46,24.21,26.1,1922400,24.72
2012-01-03,25.43,25.76,24.35,24.47,2277500,23.18
2011-12-27,24.92,25.11,24.21,24.6,1045500,23.3
2011-12-19,23.58,25.01,22.81,24.95,2226900,23.64
2011-12-12,24.13,24.22,22.96,23.54,3198600,22.3
2011-12-05,24.91,25.72,23.99,24.53,3810600,23.24
2011-11-28,22.4,25.24,22.,24.3,4344000,23.02
2011-11-21,23.28,23.46,21.42,21.43,2475100,20.3
2011-11-14,23.79,24.35,22.66,23.75,4019300,22.5
2011-11-07,24.93,25.31,23.11,24.02,3998200,22.75
2011-10-31,26.35,26.46,24.,24.99,6919200,23.01
2011-10-24,26.2,28.76,25.12,26.98,3824700,24.84
2011-10-17,24.76,26.18,23.77,25.96,2715900,23.9
2011-10-10,23.28,25.42,23.28,25.15,2373100,23.16
2011-10-03,22.42,23.81,20.48,22.67,3475600,20.87
2011-09-26,23.26,24.82,22.58,22.67,3042700,20.87
2011-09-19,24.79,25.34,22.26,22.89,4020800,21.08
2011-09-12,22.42,26.16,22.42,25.49,4037200,23.47
2011-09-06,22.44,24.57,22.15,23.02,3526900,21.2
2011-08-29,24.04,25.78,23.25,23.25,2946800,21.41
2011-08-22,22.26,24.71,21.8,23.67,4180900,21.8
