Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,78.03,78.77,77.61,77.86,7838700,77.86
2014-02-18,79.48,79.63,77.5,77.97,10213700,77.97
2014-02-10,77.43,79.75,77.,79.4,9738500,79.4
2014-02-03,76.69,77.39,75.4,77.31,10232200,77.31
2014-01-27,79.24,79.52,75.26,76.62,11267700,76.62
2014-01-21,80.59,81.7,78.12,79.18,13625700,79.18
2014-01-13,80.01,81.18,79.69,79.88,10324500,79.28
2014-01-06,80.61,81.58,80.03,80.3,9421400,79.7
2013-12-30,82.,82.05,80.19,80.45,5954500,79.85
2013-12-23,82.14,82.48,81.01,82.01,5226400,81.39
2013-12-16,82.72,83.07,80.48,81.84,10390100,81.23
2013-12-09,84.48,84.94,81.56,82.37,8434800,81.75
2013-12-02,84.04,84.53,82.3,84.52,7439300,83.89
2013-11-25,84.96,85.82,84.02,84.22,6660400,83.59
2013-11-18,84.79,85.,84.18,84.95,7767200,84.31
2013-11-11,82.35,84.92,82.02,84.84,7840400,84.2
2013-11-04,81.46,83.1,80.85,82.51,7958300,81.89
2013-10-28,80.11,82.62,79.95,81.15,8076500,80.54
2013-10-21,79.27,81.25,78.44,80.,8427800,79.4
2013-10-14,78.01,79.57,77.26,79.41,8142200,78.81
2013-10-07,75.66,78.49,75.48,78.48,8140900,77.29
2013-09-30,76.8,77.16,75.2,76.02,9172700,74.86
2013-09-23,79.2,79.58,76.77,77.21,6554000,76.04
2013-09-16,79.72,80.53,78.53,79.39,8529200,78.18
2013-09-09,77.37,79.18,77.25,79.05,6325600,77.85
2013-09-03,78.27,78.42,76.4,77.15,6728900,75.98
2013-08-26,79.92,79.98,73.61,77.89,7489200,76.71
2013-08-19,79.64,80.12,78.87,80.01,6003300,78.79
2013-08-12,81.23,81.99,79.06,79.9,6378600,78.68
2013-08-05,81.05,82.4,80.96,81.64,5807700,80.4
2013-07-29,80.1,82.23,80.05,81.29,8006300,80.05
2013-07-22,81.23,81.45,79.39,80.39,5503000,79.17
2013-07-15,81.37,81.59,80.01,81.37,8453200,80.13
2013-07-08,78.54,81.64,78.5,81.55,10246400,79.71
2013-07-01,77.02,79.02,77.,78.34,7383000,76.58
2013-06-24,76.95,78.38,75.63,76.99,10479200,75.26
2013-06-17,78.26,79.47,75.1,77.43,11289400,75.69
2013-06-10,77.69,78.89,77.14,78.03,7467000,76.27
2013-06-03,76.87,78.47,75.83,77.75,10173200,76.
2013-05-28,82.05,82.13,76.75,76.76,13897100,75.03
2013-05-20,79.98,82.35,78.22,81.88,11256000,80.04
2013-05-13,78.51,81.,78.42,80.02,8011500,78.22
2013-05-06,78.03,78.89,77.23,78.76,8439500,76.99
2013-04-29,77.56,78.46,76.6,78.19,7970500,76.43
2013-04-22,81.31,82.54,76.35,77.1,13878900,75.36
2013-04-15,79.79,81.7,78.85,81.43,11050200,79.01
2013-04-08,78.12,80.66,77.88,80.08,8441500,77.7
2013-04-01,76.85,79.15,76.73,78.23,8879900,75.91
2013-03-25,77.27,77.62,76.44,77.06,6380200,74.77
2013-03-18,75.9,77.82,75.8,77.27,7442300,74.98
2013-03-11,77.02,77.47,76.34,76.34,8658800,74.08
2013-03-04,76.25,77.49,75.97,77.18,7781200,74.89
2013-02-25,77.07,77.67,75.56,76.49,9196700,74.22
2013-02-19,76.56,77.77,75.9,76.99,9949300,74.71
2013-02-11,75.41,76.97,75.12,76.54,8307500,74.27
2013-02-04,75.69,76.69,74.95,75.75,12396200,73.5
2013-01-28,73.73,75.97,73.19,75.92,13626000,73.67
2013-01-22,69.86,73.25,69.75,73.25,14134900,71.08
2013-01-14,69.31,70.,69.11,69.94,8613800,67.87
2013-01-07,68.92,69.3,68.38,69.22,8688600,66.63
2012-12-31,67.,69.5,66.83,69.09,8161100,66.5
2012-12-24,68.67,68.69,67.06,67.15,6156900,64.63
2012-12-17,69.95,70.28,68.38,68.72,12126000,66.15
2012-12-10,70.12,70.99,69.78,69.93,8660700,67.31
2012-12-03,69.84,70.66,69.07,70.29,8788100,67.66
2012-11-26,69.14,69.89,68.9,69.83,8914800,67.21
2012-11-19,66.99,69.61,66.86,69.59,6788100,66.98
2012-11-12,67.15,67.6,65.83,66.82,8292900,64.32
2012-11-05,69.22,69.22,66.76,67.01,7616100,64.5
2012-10-31,69.51,69.95,69.01,69.19,7920700,66.6
2012-10-22,68.35,70.83,67.26,69.44,12436400,66.84
2012-10-15,68.27,69.64,67.97,68.57,8921300,66.
2012-10-08,69.48,69.48,67.82,67.94,7370500,64.86
2012-10-01,69.33,69.85,68.52,69.63,8680000,66.48
2012-09-24,69.34,69.97,68.64,69.36,8362800,66.22
2012-09-17,68.88,69.83,68.86,69.42,12346800,66.28
2012-09-10,68.41,69.22,67.89,69.16,9484500,66.03
2012-09-04,67.22,68.6,67.01,68.52,10306600,65.42
2012-08-27,66.93,67.45,66.62,67.19,7630200,64.15
2012-08-20,66.93,67.18,66.33,67.02,8484000,63.98
2012-08-13,66.56,67.3,66.19,67.,8990800,63.96
2012-08-06,65.23,66.93,65.2,66.77,9428400,63.75
2012-07-30,64.89,65.9,63.24,65.5,10048000,62.53
2012-07-23,64.4,65.27,63.72,65.09,10004300,62.14
2012-07-16,64.62,65.4,64.24,64.73,10965600,61.8
2012-07-09,61.12,65.75,60.98,65.09,23686100,61.61
2012-07-02,61.04,61.6,60.78,61.28,21479700,58.
2012-06-25,59.54,61.27,59.07,61.25,10900500,57.97
2012-06-18,62.56,62.75,59.74,59.83,19107900,56.63
2012-06-11,62.99,63.67,62.21,62.88,9182500,59.52
2012-06-04,61.69,63.19,61.02,62.75,9369600,59.39
2012-05-29,62.64,63.03,61.2,61.55,9222700,58.26
2012-05-21,63.66,63.8,62.04,62.49,9481900,59.15
2012-05-14,63.5,64.81,63.3,63.52,11389400,60.12
2012-05-07,63.46,64.5,63.36,63.68,11175200,60.27
2012-04-30,63.58,64.76,63.29,64.28,12974000,60.84
2012-04-23,66.91,67.14,63.95,64.44,12302300,60.99
2012-04-16,66.01,67.61,65.88,67.51,13320000,63.36
2012-04-09,66.72,67.13,65.8,65.81,16312000,61.77
2012-04-02,67.43,67.92,66.71,67.31,7904400,63.17
2012-03-26,67.54,67.83,66.76,67.21,7775600,63.08
2012-03-19,67.03,67.76,66.86,67.43,6525100,63.29
