Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,117.95,119.44,117.95,118.64,1291300,118.64
2014-02-18,118.26,118.91,116.69,117.77,1082300,117.77
2014-02-10,118.29,118.32,114.97,117.85,1217200,117.85
2014-02-03,113.21,119.03,108.66,118.67,2123500,118.67
2014-01-27,115.54,116.4,111.94,113.37,1642700,112.89
2014-01-21,128.38,128.97,114.63,114.63,2082500,114.14
2014-01-13,126.42,129.4,125.26,127.43,1057600,126.89
2014-01-06,127.77,128.49,125.84,127.2,878200,126.66
2013-12-30,127.97,129.77,126.94,127.25,630400,126.71
2013-12-23,126.92,128.49,125.79,128.11,577800,127.56
2013-12-16,119.21,126.25,119.13,126.21,1048000,125.67
2013-12-09,121.21,122.52,114.32,118.97,1060300,118.46
2013-12-02,117.82,121.58,115.19,121.1,1091000,120.58
2013-11-25,118.78,120.12,117.63,117.84,696500,117.34
2013-11-18,118.2,118.86,114.44,118.62,864400,118.11
2013-11-11,116.11,117.61,115.41,117.61,764300,117.11
2013-11-04,116.4,116.99,114.27,116.13,787600,115.64
2013-10-28,116.06,117.94,115.27,115.99,935400,115.05
2013-10-21,113.48,116.44,109.89,116.42,1263400,115.47
2013-10-14,107.,113.87,104.47,112.41,1730600,111.5
2013-10-07,106.19,107.97,103.36,107.78,895700,106.9
2013-09-30,107.66,109.93,106.28,107.58,804800,106.71
2013-09-23,107.09,110.21,106.07,108.95,1066100,108.06
2013-09-16,105.11,108.96,104.61,107.54,793100,106.67
2013-09-09,103.89,107.17,103.72,104.36,974400,103.51
2013-09-03,101.99,104.62,100.32,103.22,840300,102.38
2013-08-26,103.29,103.76,99.75,99.95,578800,99.14
2013-08-19,102.84,104.96,101.52,103.09,712700,102.25
2013-08-12,103.7,107.26,103.39,103.4,995700,102.11
2013-08-05,105.,106.19,99.92,104.14,1468300,102.85
2013-07-29,101.9,107.12,101.25,105.24,811000,103.93
2013-07-22,103.18,103.81,99.48,102.12,736300,100.85
2013-07-15,99.26,103.17,98.98,103.11,905200,101.83
2013-07-08,98.03,100.26,96.27,99.16,954500,97.93
2013-07-01,96.36,97.62,94.81,97.62,805800,96.41
2013-06-24,93.8,96.66,92.08,95.4,1404700,94.21
2013-06-17,98.09,99.27,94.59,94.85,1334100,93.67
2013-06-10,98.6,98.88,96.29,97.41,827700,96.2
2013-06-03,99.96,100.27,96.,98.34,1285600,97.12
2013-05-28,99.72,101.76,97.34,99.76,987500,98.52
2013-05-20,99.65,101.88,97.52,98.29,857900,97.07
2013-05-13,93.75,100.01,93.28,100.01,1399200,98.77
2013-05-06,91.22,94.45,91.02,94.05,946300,92.88
2013-04-29,89.39,92.73,87.06,91.38,1197600,89.81
2013-04-22,85.82,91.25,84.5,88.74,1189200,87.21
2013-04-15,88.37,88.48,85.13,85.55,1395700,84.08
2013-04-08,89.29,91.09,88.47,89.04,1120200,87.51
2013-04-01,91.39,91.6,87.21,89.38,1467700,87.84
2013-03-25,92.68,92.81,88.69,91.58,1356800,90.
2013-03-18,95.56,96.74,91.71,92.08,1275700,90.5
2013-03-11,97.6,98.06,96.03,96.72,901500,95.06
2013-03-04,94.15,98.15,92.52,97.95,1004600,96.27
2013-02-25,95.09,95.26,90.83,94.45,1266500,92.83
2013-02-19,96.31,97.5,92.62,94.54,1177800,92.91
2013-02-11,94.1,97.29,93.43,96.04,1120500,94.39
2013-02-04,93.05,94.64,92.13,94.32,1073000,92.7
2013-01-28,94.75,94.81,92.8,93.85,1195200,91.81
2013-01-22,93.26,94.69,91.91,94.37,1315400,92.32
2013-01-14,88.99,93.7,88.48,93.7,1864200,91.67
2013-01-07,88.08,90.73,87.26,89.04,1342300,87.11
2012-12-31,83.53,88.92,83.16,88.82,1226500,86.89
2012-12-24,85.07,86.,83.39,83.86,476000,82.04
2012-12-17,83.73,87.04,83.18,85.15,1635200,83.3
2012-12-10,83.83,84.49,82.65,83.49,1076900,81.68
2012-12-03,82.75,83.88,80.15,83.81,1234700,81.99
