Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,43.86,44.32,43.81,44.15,1624800,44.15
2014-02-18,44.07,44.16,42.68,43.72,1481400,43.72
2014-02-10,43.8,44.42,43.36,43.98,817700,43.98
2014-02-03,43.85,44.03,41.89,43.78,1524900,43.78
2014-01-27,41.53,45.86,40.63,43.6,1777800,43.6
2014-01-21,43.36,43.4,41.15,41.18,581700,41.18
2014-01-13,43.21,43.54,42.2,43.01,628900,43.01
2014-01-06,41.8,43.48,41.58,43.18,971400,43.11
2013-12-30,41.14,41.6,40.86,41.21,583900,41.14
2013-12-23,40.92,41.41,40.43,41.18,488700,41.11
2013-12-16,39.19,40.9,38.97,40.64,710600,40.57
2013-12-09,38.14,40.61,38.12,38.97,1119900,38.91
2013-12-02,37.99,38.37,37.23,38.14,702600,38.08
2013-11-25,38.02,38.23,37.73,38.04,372400,37.98
2013-11-18,38.44,38.48,37.6,38.,386900,37.94
2013-11-11,37.12,38.33,36.73,38.3,623800,38.24
2013-11-04,38.08,38.12,36.28,37.1,763200,37.04
2013-10-28,38.55,39.09,37.55,37.96,830000,37.9
2013-10-21,37.76,38.66,37.42,38.59,492700,38.53
2013-10-14,37.01,38.07,36.38,37.77,894400,37.71
2013-10-07,37.42,37.46,36.26,37.26,714900,37.13
2013-09-30,37.85,38.34,37.24,37.78,548500,37.65
2013-09-23,38.13,38.51,37.48,38.11,537100,37.97
2013-09-16,38.06,39.05,37.87,38.24,840700,38.1
2013-09-09,37.04,37.98,37.,37.69,823200,37.56
2013-09-03,36.42,37.15,35.97,36.98,563400,36.85
2013-08-26,36.76,36.94,35.71,35.97,719200,35.84
2013-08-19,36.47,36.79,36.04,36.77,746000,36.64
2013-08-12,36.84,37.7,36.38,36.47,1409400,36.34
2013-08-05,36.26,37.,35.92,36.92,1002300,36.79
2013-07-29,33.93,37.67,33.93,36.41,1366600,36.28
2013-07-22,34.1,34.26,33.6,34.12,572400,34.
2013-07-15,33.75,34.14,33.26,34.08,862900,33.96
2013-07-08,33.04,34.24,32.97,33.81,629800,33.62
2013-07-01,32.7,33.15,32.22,32.82,600900,32.63
2013-06-24,33.23,33.28,32.47,32.5,1672800,32.32
2013-06-17,33.25,34.5,32.64,33.49,1198500,33.3
2013-06-10,32.71,33.68,32.08,33.04,1140500,32.85
2013-06-03,31.46,32.79,31.34,32.68,1519300,32.5
2013-05-28,32.07,32.56,31.32,31.32,1089800,31.14
2013-05-20,32.17,32.89,31.34,31.73,1072800,31.55
2013-05-13,32.57,32.74,31.82,32.19,1116100,32.01
2013-05-06,30.8,32.74,30.79,32.69,1380200,32.51
2013-04-29,30.36,31.38,30.09,30.92,1961900,30.75
2013-04-22,33.21,34.75,29.5,30.35,2564000,30.18
2013-04-15,35.,35.29,33.06,33.09,1242900,32.9
2013-04-08,33.34,35.08,33.21,34.91,646700,34.64
2013-04-01,33.59,33.92,33.04,33.36,823300,33.1
2013-03-25,34.22,34.22,32.76,33.64,1010500,33.38
2013-03-18,34.87,35.26,33.85,34.02,859700,33.76
2013-03-11,35.55,35.86,35.16,35.25,828400,34.98
2013-03-04,34.5,35.56,34.24,35.56,883400,35.29
2013-02-25,33.41,34.75,32.79,34.66,1373300,34.39
2013-02-19,34.23,34.43,32.88,33.24,1220000,32.99
2013-02-11,34.6,35.01,34.02,34.13,978000,33.87
2013-02-04,33.54,34.9,33.21,34.75,1329100,34.48
2013-01-28,35.76,35.84,33.37,33.74,1352500,33.48
2013-01-22,35.,35.67,34.82,35.66,642500,35.39
2013-01-14,34.33,35.18,33.81,35.15,1359000,34.88
2013-01-07,33.08,34.92,32.82,34.45,1211100,34.12
2012-12-31,31.03,33.54,30.87,33.17,1137000,32.85
2012-12-24,31.5,31.84,30.96,31.03,368400,30.73
2012-12-17,31.5,32.41,31.35,31.52,722600,31.21
2012-12-10,30.84,31.85,30.7,31.43,790100,31.13
2012-12-03,31.8,31.92,30.38,30.78,826200,30.48
2012-11-26,31.36,31.72,30.63,31.65,687300,31.34
2012-11-19,30.53,31.5,30.31,31.48,456700,31.18
2012-11-12,30.84,30.86,29.76,30.19,820200,29.9
2012-11-05,31.,31.8,30.36,30.71,675100,30.41
2012-10-31,31.04,31.84,30.6,31.28,863700,30.98
2012-10-22,28.46,31.71,27.76,31.29,1530300,30.99
2012-10-15,29.79,30.61,28.4,28.57,823200,28.29
2012-10-08,30.23,30.41,29.15,29.69,450700,29.33
2012-10-01,29.62,30.87,29.27,30.4,727000,30.04
2012-09-24,29.87,30.03,29.2,29.47,597100,29.12
2012-09-17,30.22,30.45,29.78,30.05,692900,29.69
2012-09-10,28.45,30.92,28.32,30.36,881200,30.
2012-09-04,27.28,28.69,26.98,28.55,663900,28.21
2012-08-27,27.41,27.47,26.56,27.3,736100,26.97
2012-08-20,27.18,27.78,27.,27.29,519000,26.96
2012-08-13,27.75,28.01,27.09,27.37,647200,27.04
2012-08-06,26.79,28.18,26.79,27.82,1045000,27.49
2012-07-30,25.63,27.3,24.71,26.78,850000,26.46
2012-07-23,24.62,25.85,23.73,25.74,808500,25.43
2012-07-16,24.47,25.3,24.11,24.85,729400,24.55
2012-07-09,25.28,25.42,23.85,24.52,855600,24.16
2012-07-02,26.02,26.44,25.25,25.38,681600,25.
2012-06-25,25.17,25.84,24.72,25.8,764900,25.42
2012-06-18,25.53,26.67,25.34,25.65,1022700,25.27
2012-06-11,26.28,26.34,25.16,25.56,845600,25.18
2012-06-04,25.78,26.62,25.1,26.02,832800,25.64
2012-05-29,26.67,27.01,25.75,25.8,1372700,25.42
2012-05-21,25.76,26.69,25.62,26.4,585400,26.01
2012-05-14,26.86,26.97,25.51,25.57,948400,25.19
2012-05-07,27.22,27.7,26.74,27.1,855400,26.7
2012-04-30,27.54,28.24,27.26,27.36,1095800,26.96
2012-04-23,26.19,28.07,25.56,27.55,1398500,27.14
2012-04-16,26.37,26.97,25.83,26.51,790600,26.12
2012-04-09,26.92,26.99,25.97,26.26,935000,25.8
2012-04-02,27.58,28.23,27.18,27.35,1410300,26.87
2012-03-26,27.55,28.,27.2,27.66,894400,27.18
2012-03-19,27.2,27.53,26.64,27.33,507400,26.86
2012-03-12,26.75,27.71,26.35,27.3,809400,26.83
2012-03-05,26.76,26.93,25.73,26.76,1319500,26.3
2012-02-27,27.03,27.39,26.74,26.74,1025300,26.28
2012-02-21,27.,27.34,26.48,27.24,1027200,26.77
2012-02-13,26.15,27.13,25.81,26.96,1137600,26.49
2012-02-06,26.07,26.52,25.75,25.89,1266100,25.44
2012-01-30,23.72,27.41,23.6,26.23,1973100,25.77
2012-01-23,23.33,24.36,23.01,23.99,1031400,23.57
2012-01-17,22.52,23.71,22.42,23.34,1439800,22.93
2012-01-09,21.13,22.42,20.87,22.32,1261000,21.86
2012-01-03,20.37,21.15,20.26,21.12,1005700,20.69
2011-12-27,19.82,20.15,19.46,20.,732600,19.59
2011-12-19,18.6,19.95,18.38,19.82,1044600,19.42
2011-12-12,18.7,18.87,17.73,18.57,1262400,18.19
2011-12-05,19.33,19.43,18.58,18.96,1449800,18.57
2011-11-28,18.05,19.17,17.87,19.,1429200,18.61
2011-11-21,18.51,18.53,17.45,17.49,1087200,17.13
2011-11-14,19.46,19.72,18.59,18.84,1349300,18.46
2011-11-07,19.63,20.44,19.14,19.56,1667900,19.16
2011-10-31,21.43,21.43,19.15,19.56,1860900,19.16
2011-10-24,19.44,21.67,18.81,21.61,2001200,21.17
2011-10-17,19.05,19.66,18.5,19.39,1097400,18.99
2011-10-10,18.17,19.27,18.13,19.21,1331200,18.75
2011-10-03,19.07,19.6,17.48,17.93,2378600,17.5
2011-09-26,19.25,20.61,18.91,19.21,1404900,18.75
2011-09-19,20.69,21.07,18.6,19.24,1178400,18.78
2011-09-12,20.05,21.38,19.9,21.04,1164500,20.53
2011-09-06,20.98,22.25,20.16,20.28,2000700,19.79
2011-08-29,22.18,23.22,21.51,21.63,897500,21.11
2011-08-22,21.41,22.06,20.71,21.9,779900,21.37
2011-08-15,22.69,22.99,20.82,20.92,1056200,20.42
2011-08-08,21.94,22.82,20.89,22.53,3317500,21.99
2011-08-01,24.67,24.72,20.91,22.5,2489700,21.96
2011-07-25,26.55,26.75,23.93,24.46,998100,23.87
2011-07-18,26.08,26.97,25.68,26.81,552200,26.17
2011-07-11,26.95,27.07,26.04,26.19,715500,25.49
2011-07-05,27.44,27.78,26.98,27.26,717900,26.54
2011-06-27,25.95,27.47,25.8,27.46,754400,26.73
2011-06-20,25.79,26.58,25.54,25.98,839600,25.29
2011-06-13,25.81,26.32,25.52,25.91,791300,25.22
2011-06-06,26.29,26.71,25.94,26.08,914500,25.39
2011-05-31,27.88,28.,26.35,26.4,831600,25.7
2011-05-23,27.56,27.82,27.01,27.71,778600,26.97
2011-05-16,28.04,28.5,27.57,27.89,949700,27.15
2011-05-09,27.91,28.6,27.87,28.05,859000,27.3
2011-05-02,28.4,28.75,27.61,27.94,903600,27.2
2011-04-25,27.1,28.45,26.73,28.27,890100,27.52
2011-04-18,26.44,27.17,26.,27.1,775900,26.38
2011-04-11,26.66,26.89,26.05,26.71,1078200,25.93
2011-04-04,26.49,27.13,26.35,26.72,1090700,25.94
2011-03-28,26.13,26.68,25.85,26.38,1198300,25.61
2011-03-21,25.87,26.28,25.46,26.02,1514800,25.26
2011-03-14,26.81,26.94,25.46,25.6,2133000,24.85
2011-03-07,27.92,27.92,26.4,26.98,979100,26.19
2011-02-28,26.55,28.25,26.26,27.77,2247600,26.96
2011-02-22,26.67,28.37,25.73,26.5,3517900,25.73
2011-02-14,26.96,27.16,26.59,26.98,988500,26.19
2011-02-07,26.66,27.05,26.29,27.03,1240000,26.24
2011-01-31,25.63,26.9,25.3,26.64,1197500,25.86
2011-01-24,24.75,26.06,24.68,25.57,1222300,24.82
2011-01-18,25.59,25.73,24.67,24.72,1069000,24.
2011-01-10,25.46,26.36,25.39,25.54,630200,24.73
2011-01-03,26.02,26.05,25.33,25.63,1147200,24.81
2010-12-27,26.03,26.14,25.78,25.82,549000,25.
2010-12-20,26.03,26.24,25.98,26.08,746700,25.25
2010-12-13,25.48,26.04,25.47,26.04,1028400,25.21
2010-12-06,24.37,25.66,24.3,25.42,1308900,24.61
2010-11-29,23.46,24.83,23.16,24.77,1220300,23.98
2010-11-22,23.86,24.03,23.46,23.62,933800,22.87
2010-11-15,23.99,24.1,23.14,23.98,992800,23.22
2010-11-08,23.89,24.14,23.49,23.94,1274400,23.18
2010-11-01,23.56,24.51,23.24,24.,1341500,23.24
2010-10-25,23.46,23.78,23.13,23.45,992900,22.7
2010-10-18,23.25,23.62,22.6,23.43,1185500,22.68
2010-10-11,23.28,23.74,22.9,23.21,1456500,22.4
2010-10-04,22.91,23.36,22.49,22.88,1693200,22.08
2010-09-27,23.17,23.35,22.78,23.02,1566200,22.22
2010-09-20,22.34,23.37,22.16,23.17,1359000,22.36
2010-09-13,22.16,22.81,22.06,22.23,1030500,21.46
2010-09-07,22.25,22.41,21.78,22.,1045900,21.23
2010-08-30,21.66,22.59,20.83,22.4,1596400,21.62
2010-08-23,21.16,21.69,20.32,21.67,1368700,20.92
2010-08-16,21.27,22.17,20.77,21.07,1245000,20.34
2010-08-09,22.4,22.54,21.12,21.44,1801700,20.69
2010-08-02,19.7,22.45,19.46,22.29,2230900,21.51
2010-07-26,19.65,20.17,18.91,19.46,2118300,18.78
2010-07-19,19.11,19.8,18.69,19.62,1835400,18.94
2010-07-12,19.58,20.,19.,19.06,1742000,18.33
2010-07-06,19.98,20.2,19.17,19.59,2275000,18.84
2010-06-28,21.87,22.02,19.55,19.65,1517600,18.9
2010-06-21,22.93,23.21,21.32,21.9,2006700,21.06
2010-06-14,22.7,23.09,22.43,22.72,1272900,21.85
2010-06-07,21.81,22.65,21.19,22.58,1926600,21.71
2010-06-01,22.37,23.07,21.65,21.72,1430900,20.89
2010-05-24,21.87,23.1,21.,22.69,2060500,21.82
2010-05-17,22.75,23.18,21.38,22.01,2753700,21.17
2010-05-10,23.12,23.76,22.5,22.71,1771400,21.84
2010-05-03,25.09,25.33,21.32,22.23,2847900,21.38
2010-04-26,23.85,25.45,23.43,25.05,2375800,24.09
2010-04-19,23.47,24.03,23.33,23.83,1552700,22.92
2010-04-12,23.84,24.04,23.24,23.5,884800,22.6
2010-04-05,24.29,24.35,23.5,23.8,1341200,22.82
2010-03-29,24.09,24.44,23.88,24.15,887200,23.16
2010-03-22,23.55,24.24,23.42,24.,970200,23.01
2010-03-15,23.67,24.45,23.37,23.61,1101700,22.64
2010-03-08,23.68,23.82,23.24,23.37,1133300,22.41
2010-03-01,22.38,23.79,22.26,23.79,1549200,22.81
2010-02-22,21.85,22.73,21.78,22.21,1949700,21.3
2010-02-16,21.1,22.06,20.9,21.79,1431100,20.89
2010-02-08,20.46,21.29,20.43,21.,1947100,20.14
2010-02-01,20.3,22.06,19.73,20.52,2395800,19.68
2010-01-25,20.48,20.77,20.03,20.14,1172800,19.31
2010-01-19,21.41,21.75,20.37,20.37,1805400,19.53
2010-01-11,21.56,21.89,21.04,21.41,1748700,20.46
2010-01-04,20.76,22.,20.28,21.43,1909700,20.48
2009-12-28,20.58,20.84,20.55,20.59,468600,19.68
2009-12-21,20.19,20.63,20.04,20.58,611200,19.67
2009-12-14,19.98,20.6,19.96,20.12,919700,19.23
2009-12-07,19.66,19.93,19.18,19.92,542600,19.04
2009-11-30,19.,19.7,18.53,19.69,923400,18.82
2009-11-23,19.26,19.48,18.74,18.99,679100,18.15
2009-11-16,19.47,20.12,18.87,19.04,1159700,18.2
2009-11-09,19.14,19.68,18.89,19.43,856000,18.57
2009-11-02,18.67,19.07,18.22,18.94,1415400,18.1
2009-10-26,19.73,20.5,18.41,18.61,1853500,17.79
2009-10-19,20.7,21.05,19.65,19.73,1592100,18.86
2009-10-12,19.65,21.09,19.43,20.63,1433900,19.65
2009-10-05,18.98,19.83,18.62,19.63,838100,18.7
2009-09-28,19.35,19.64,18.6,18.78,1313200,17.89
2009-09-21,19.96,20.08,18.96,19.31,1477100,18.39
2009-09-14,19.19,20.26,18.95,20.15,1280100,19.19
2009-09-08,18.17,19.69,17.89,19.25,979700,18.33
2009-08-31,18.1,18.65,17.38,18.07,986300,17.21
2009-08-24,18.29,18.6,17.91,18.2,1025500,17.33
