Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,85.75,86.91,85.75,86.,386800,86.
2014-02-18,85.78,86.23,84.64,85.42,599000,85.42
2014-02-10,82.21,85.74,81.54,85.7,524100,85.7
2014-02-03,80.02,82.44,78.34,82.38,652000,82.38
2014-01-27,79.55,81.56,78.4,80.1,630700,80.1
2014-01-21,84.09,84.17,79.44,79.44,580400,79.44
2014-01-13,84.23,84.86,82.94,83.5,477900,83.5
2014-01-06,84.62,85.48,82.93,84.52,577900,84.52
2013-12-30,85.1,85.53,83.86,84.01,321300,84.01
2013-12-23,85.5,85.58,84.47,84.99,250900,84.99
2013-12-16,82.13,85.33,81.94,85.,544100,85.
2013-12-09,84.1,84.37,79.88,81.65,443600,81.65
2013-12-02,83.51,84.22,81.09,83.87,516200,83.87
2013-11-25,82.83,85.55,81.35,83.7,620100,83.7
2013-11-18,82.66,83.57,80.7,82.75,587500,82.75
2013-11-11,81.94,83.16,81.33,82.36,526100,82.36
2013-11-04,81.67,82.85,80.72,81.87,545300,81.87
2013-10-28,80.,81.65,79.79,81.47,522700,81.47
2013-10-21,78.52,80.29,78.12,80.27,478800,80.27
2013-10-14,76.68,78.71,75.65,78.6,658600,78.6
2013-10-07,76.51,77.38,74.57,77.11,551600,76.83
2013-09-30,76.57,78.13,75.45,77.5,516900,77.22
2013-09-23,77.23,77.91,76.47,77.5,556000,77.22
2013-09-16,74.57,77.75,73.76,77.23,556300,76.95
2013-09-09,71.75,74.91,71.56,73.3,491800,73.04
2013-09-03,70.27,72.,69.38,71.47,495600,71.21
2013-08-26,70.87,71.36,68.43,69.14,510900,68.89
2013-08-19,70.34,71.19,70.14,70.9,440800,70.64
2013-08-12,71.2,72.22,68.52,70.38,305300,70.13
2013-08-05,71.27,72.11,70.95,71.56,422900,71.3
2013-07-29,70.28,71.76,69.45,71.41,386400,71.15
2013-07-22,70.45,71.23,69.87,70.37,366300,69.86
2013-07-15,70.58,70.96,69.74,70.78,389700,70.27
2013-07-08,68.,70.74,65.65,70.62,494400,70.11
2013-07-01,66.75,67.83,66.09,67.74,453800,67.25
2013-06-24,65.06,66.58,64.09,66.43,517800,65.95
2013-06-17,69.02,69.97,65.45,65.94,808500,65.47
2013-06-10,68.17,68.4,65.13,68.28,370300,67.79
2013-06-03,68.46,68.7,65.9,67.89,718800,67.4
2013-05-28,71.72,72.71,64.,68.2,1062300,67.71
2013-05-20,71.27,73.19,70.55,70.98,384900,70.47
2013-05-13,68.53,71.53,67.83,71.37,442900,70.86
2013-05-06,67.99,68.81,67.68,68.73,390700,68.24
2013-04-29,65.91,68.65,65.45,68.08,488300,67.59
2013-04-22,63.63,67.,63.35,65.65,436800,64.93
2013-04-15,66.57,66.79,62.72,63.5,557800,62.81
2013-04-08,66.73,68.15,65.58,67.05,575500,66.32
2013-04-01,68.24,68.24,66.31,66.81,547000,66.08
2013-03-25,68.87,68.87,66.16,68.37,576200,67.62
2013-03-18,67.52,69.17,66.87,68.62,331600,67.87
2013-03-11,68.79,69.01,67.93,68.59,288800,67.84
2013-03-04,67.54,69.13,66.32,69.,475800,68.25
2013-02-25,68.1,68.66,65.85,67.61,693900,66.87
2013-02-19,68.68,68.84,66.69,67.7,549500,66.96
2013-02-11,68.27,68.78,67.53,68.51,351800,67.76
2013-02-04,68.22,68.7,67.39,68.23,441200,67.49
2013-01-28,68.11,69.05,67.47,68.51,576100,67.51
2013-01-22,67.32,68.37,66.72,67.99,658300,67.
2013-01-14,64.26,67.41,64.2,67.4,750400,66.42
2013-01-07,62.48,64.47,62.34,64.29,706400,63.36
2012-12-31,59.52,63.22,59.52,62.65,807600,61.74
