Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,79.3,79.99,79.19,79.52,1025400,79.52
2014-02-18,78.88,79.95,77.72,79.17,1184700,79.17
2014-02-10,76.37,78.46,75.77,78.38,1205500,78.38
2014-02-03,74.33,76.41,71.34,76.37,1975400,76.37
2014-01-27,72.75,77.78,71.29,74.33,1854000,74.33
2014-01-21,77.95,78.18,72.03,72.22,1576800,72.22
2014-01-13,76.62,77.85,74.76,77.6,1540700,77.35
2014-01-06,77.04,77.87,76.11,77.02,998000,76.77
2013-12-30,77.57,77.91,76.42,76.63,803800,76.38
2013-12-23,76.06,77.97,75.27,77.57,756200,77.32
2013-12-16,70.75,75.91,69.76,75.4,1294700,75.16
2013-12-09,70.81,72.3,69.41,70.01,862300,69.78
2013-12-02,70.6,71.16,68.92,70.95,692600,70.72
2013-11-25,70.5,71.42,70.41,70.72,603100,70.49
2013-11-18,70.72,70.94,69.32,70.37,825000,70.14
2013-11-11,67.42,70.74,67.32,70.48,921000,70.25
2013-11-04,67.67,68.54,66.24,67.36,793200,67.14
2013-10-28,66.53,67.95,66.26,67.48,885800,67.26
2013-10-21,65.5,66.7,62.8,66.67,1615000,66.46
2013-10-14,66.04,66.26,64.18,65.24,1280400,64.78
2013-10-07,65.15,66.6,63.34,66.39,701800,65.92
2013-09-30,65.03,66.56,64.73,66.31,872300,65.84
2013-09-23,65.63,65.95,64.35,65.52,794900,65.06
2013-09-16,65.09,66.49,64.07,65.82,1036700,65.35
2013-09-09,61.95,64.67,61.93,64.09,560400,63.64
2013-09-03,61.12,62.5,60.37,61.64,722600,61.2
2013-08-26,61.73,62.19,59.89,60.11,654400,59.69
2013-08-19,62.1,62.32,61.21,61.77,492200,61.33
2013-08-12,63.17,64.88,61.97,62.11,850500,61.67
2013-08-05,62.56,63.86,62.41,63.43,832800,62.98
2013-07-29,60.5,62.79,59.84,62.53,946800,62.09
2013-07-22,60.97,61.75,59.3,60.63,1154400,60.2
2013-07-15,61.2,61.47,59.97,60.74,1003700,60.06
2013-07-08,59.06,60.98,58.24,60.97,996900,60.29
2013-07-01,58.,58.79,57.38,58.78,729200,58.12
2013-06-24,56.14,58.52,55.49,57.69,1328700,57.04
2013-06-17,60.06,60.14,56.45,56.87,1765600,56.23
2013-06-10,59.18,60.,57.3,59.72,975000,59.05
2013-06-03,58.39,59.33,56.66,59.05,1442200,58.39
2013-05-28,58.,59.59,57.05,58.24,1138200,57.59
2013-05-20,57.64,58.59,56.05,57.47,1095400,56.83
2013-05-13,55.65,58.21,55.52,57.82,1073600,57.17
2013-05-06,54.16,56.35,54.09,55.75,787700,55.12
2013-04-29,53.9,54.94,52.98,54.22,1383500,53.61
2013-04-22,50.34,54.98,49.67,53.8,1786500,53.2
2013-04-15,53.08,53.15,49.71,50.24,1557100,49.46
2013-04-08,51.88,54.77,51.77,53.35,1126700,52.52
2013-04-01,52.64,52.84,51.43,51.99,1492500,51.18
2013-03-25,53.56,53.73,50.94,52.75,1579900,51.93
2013-03-18,52.12,54.2,51.88,53.39,1281600,52.56
2013-03-11,51.7,53.21,50.55,52.69,1478700,51.87
2013-03-04,52.22,53.44,51.46,51.69,1412400,50.89
2013-02-25,51.75,53.84,50.22,52.23,1317800,51.42
2013-02-19,52.9,53.46,50.59,51.56,1069000,50.76
2013-02-11,51.08,53.23,51.07,52.91,1343200,52.09
2013-02-04,50.6,51.9,50.1,51.05,1131500,50.26
2013-01-28,53.28,53.33,49.66,51.01,2811100,50.22
2013-01-22,52.53,53.36,51.6,53.25,1543500,52.42
2013-01-14,50.27,52.59,49.87,52.58,1490200,51.54
2013-01-07,49.59,50.96,49.39,50.39,1089000,49.39
2012-12-31,47.31,50.9,47.31,49.94,1492700,48.95
2012-12-24,47.92,48.59,47.42,47.51,867400,46.57
2012-12-17,48.05,49.5,47.97,48.23,1592600,47.28
2012-12-10,48.,48.47,47.32,47.96,1167700,47.01
2012-12-03,48.74,48.99,47.43,48.04,1907100,47.09
2012-11-26,47.3,48.99,47.13,48.49,2672400,47.53
2012-11-19,45.17,47.66,45.17,47.66,2112300,46.72
2012-11-12,44.53,45.02,43.37,44.84,1936500,43.95
2012-11-05,45.58,46.12,43.68,44.41,2364200,43.53
2012-10-31,41.56,46.11,41.5,45.75,5073500,44.84
2012-10-22,42.51,42.93,40.3,41.09,2277700,40.28
2012-10-15,43.6,44.51,41.91,42.58,2586600,41.51
2012-10-08,45.17,46.12,43.2,43.63,3183000,42.54
2012-10-01,44.1,46.57,41.97,45.46,6915100,44.32
2012-09-24,44.3,45.,41.69,44.51,8016500,43.4
2012-09-17,42.82,44.47,41.97,44.04,2329100,42.94
2012-09-10,43.35,44.04,42.83,42.99,1111400,41.91
2012-09-04,42.47,43.73,42.46,43.3,1077900,42.22
2012-08-27,43.34,43.38,41.61,42.5,971100,41.44
2012-08-20,43.74,45.21,42.63,43.17,1016800,42.09
2012-08-13,42.88,43.83,42.14,43.8,722300,42.7
2012-08-06,43.89,44.31,42.54,42.87,731700,41.8
2012-07-30,44.7,44.81,42.4,43.69,775300,42.6
2012-07-23,39.19,45.03,38.91,44.75,1193700,43.63
2012-07-16,38.71,40.74,38.14,39.75,548900,38.55
2012-07-09,39.2,39.93,37.43,38.85,713800,37.68
2012-07-02,38.48,40.2,37.93,39.29,788300,38.1
2012-06-25,38.16,38.69,36.31,38.28,1046700,37.12
2012-06-18,38.75,40.69,38.43,38.59,885300,37.42
2012-06-11,40.12,40.25,38.65,38.98,893500,37.8
2012-06-04,39.88,40.28,38.59,39.81,1169700,38.61
2012-05-29,41.92,42.37,39.46,39.85,1010200,38.65
2012-05-21,40.76,42.8,40.45,41.6,791200,40.34
2012-05-14,42.98,42.98,40.36,40.53,898900,39.31
2012-05-07,42.48,43.63,41.87,43.47,704600,42.16
2012-04-30,43.65,44.12,42.34,42.67,878300,41.38
2012-04-23,44.22,45.21,43.34,43.64,1240800,42.32
2012-04-16,44.22,45.27,43.6,44.8,1124100,43.23
2012-04-09,45.11,45.16,43.34,44.05,1263000,42.51
2012-04-02,47.38,47.59,45.64,45.76,1647000,44.16
2012-03-26,39.37,48.77,39.37,47.61,2928000,45.94
2012-03-19,39.79,40.12,38.38,38.87,407200,37.51
2012-03-12,38.64,40.11,38.5,39.83,426600,38.43
2012-03-05,38.31,38.87,37.,38.69,664700,37.33
2012-02-27,38.45,39.49,38.14,38.36,807600,37.01
2012-02-21,39.47,39.7,38.51,38.83,349100,37.47
2012-02-13,38.4,39.46,37.92,39.13,367600,37.76
2012-02-06,38.08,38.73,37.72,38.07,321200,36.74
2012-01-30,36.36,38.69,36.04,38.26,480600,36.92
2012-01-23,37.25,37.78,36.23,36.69,426200,35.4
2012-01-17,36.95,37.8,36.6,37.22,426700,35.7
2012-01-09,35.31,36.85,35.2,36.48,534200,34.99
2012-01-03,34.11,35.59,33.88,35.25,839700,33.81
2011-12-27,33.51,33.73,32.75,33.29,569100,31.93
2011-12-19,33.43,33.74,32.5,33.51,870800,32.14
2011-12-12,36.28,36.7,33.02,33.19,1500800,31.84
2011-12-05,37.66,37.69,35.96,36.74,903800,35.24
2011-11-28,35.75,38.18,35.22,37.11,832800,35.59
2011-11-21,36.19,36.36,34.32,34.57,462500,33.16
2011-11-14,37.65,38.62,36.42,36.83,626500,35.33
2011-11-07,36.89,37.82,35.69,37.76,549000,36.22
2011-10-31,36.39,37.11,34.01,36.96,673100,35.45
2011-10-24,36.32,38.23,35.74,36.83,793000,35.33
2011-10-17,36.16,36.32,34.61,36.31,943700,34.64
2011-10-10,34.83,36.58,34.65,36.34,619900,34.67
2011-10-03,31.71,34.92,30.38,34.15,736600,32.58
2011-09-26,31.98,34.39,31.06,32.01,1001700,30.54
2011-09-19,33.28,34.41,31.2,31.66,1031200,30.2
2011-09-12,30.89,34.63,30.8,33.97,941700,32.41
2011-09-06,31.14,33.48,31.03,31.31,967000,29.87
2011-08-29,33.65,35.49,31.9,32.15,708000,30.67
2011-08-22,31.04,33.38,30.62,33.01,561600,31.49
2011-08-15,33.07,33.66,30.22,30.26,626600,28.87
2011-08-08,32.52,33.16,29.73,32.84,1165400,31.33
2011-08-01,37.35,37.52,32.7,33.53,1145000,31.99
2011-07-25,40.16,41.17,36.55,36.81,1086600,35.11
2011-07-18,40.38,41.17,39.63,40.48,479000,38.42
2011-07-11,41.44,41.61,40.01,40.53,538500,38.46
2011-07-05,41.35,42.43,41.16,42.06,821600,39.92
2011-06-27,38.71,41.38,38.47,41.27,538700,39.17
2011-06-20,37.65,39.4,37.65,38.74,903300,36.77
2011-06-13,37.11,38.13,36.98,37.79,605500,35.86
2011-06-06,38.23,38.38,36.91,37.,654100,35.11
2011-05-31,40.22,40.49,38.08,38.26,671800,36.31
2011-05-23,38.53,40.,38.09,39.85,599900,37.82
2011-05-16,39.17,39.84,38.39,39.01,442400,37.02
2011-05-09,39.03,40.15,38.88,39.41,435600,37.4
2011-05-02,40.39,40.57,38.74,39.07,480100,37.08
2011-04-25,38.72,40.34,38.57,40.16,950500,38.11
2011-04-18,37.31,38.74,36.74,38.72,638000,36.56
2011-04-11,38.83,39.11,37.38,37.84,601200,35.73
2011-04-04,38.65,39.77,38.46,38.89,1124000,36.72
2011-03-28,37.37,38.21,37.2,38.,460400,35.88
2011-03-21,36.59,37.67,36.32,37.29,426900,35.21
2011-03-14,35.91,36.48,34.85,36.12,445700,34.11
