Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,54.69,55.45,54.42,54.44,954600,54.44
2014-02-18,54.6,55.43,54.32,54.73,1033100,54.73
2014-02-10,52.59,54.41,52.36,54.39,1103200,54.39
2014-02-03,52.63,53.21,51.15,52.76,1225700,52.76
2014-01-27,52.04,52.73,51.37,52.63,869000,52.63
2014-01-21,52.5,53.3,52.01,52.01,733700,51.44
2014-01-13,53.41,53.78,52.3,52.39,736700,51.81
2014-01-06,52.15,53.81,51.89,53.28,889700,52.69
2013-12-30,53.11,53.37,51.84,52.07,878900,51.5
2013-12-23,53.41,53.48,52.83,53.25,575900,52.67
2013-12-16,53.13,53.79,52.32,53.08,1292200,52.5
2013-12-09,53.81,53.86,52.41,52.8,1109400,52.22
2013-12-02,53.33,53.97,52.44,53.86,1043200,53.27
2013-11-25,54.35,54.61,52.81,53.36,746600,52.77
2013-11-18,55.54,55.54,53.98,54.32,838200,53.72
2013-11-11,55.73,56.11,53.94,55.6,1398800,54.99
2013-11-04,56.54,56.57,54.8,55.73,1102000,55.12
2013-10-28,58.52,58.7,54.2,56.24,1671900,55.62
2013-10-21,56.91,58.43,56.32,58.43,1245400,57.22
2013-10-14,55.84,57.18,54.38,56.93,579400,55.75
2013-10-07,54.25,56.03,53.84,56.03,667400,54.87
2013-09-30,54.62,55.1,54.12,54.42,697300,53.29
2013-09-23,55.03,56.12,54.62,54.93,593300,53.79
2013-09-16,54.35,56.03,53.63,55.18,755600,54.04
2013-09-09,52.57,54.02,52.03,53.85,1113700,52.73
2013-09-03,54.53,54.76,52.23,52.49,1192700,51.4
2013-08-26,54.81,54.9,53.86,54.27,643600,53.15
2013-08-19,55.04,55.37,53.93,54.77,593400,53.63
2013-08-12,57.44,57.53,54.66,55.12,494600,53.98
2013-08-05,58.84,58.84,57.05,57.74,667600,56.54
2013-07-29,59.5,59.98,58.58,59.05,591700,57.83
2013-07-22,59.99,60.33,58.42,59.67,404700,57.9
2013-07-15,57.98,60.05,57.77,59.97,566500,58.19
2013-07-08,55.07,58.1,54.98,57.85,741100,56.13
2013-07-01,55.85,56.19,54.02,54.84,711100,53.21
2013-06-24,52.06,56.27,51.78,55.47,1185900,53.82
2013-06-17,57.78,58.13,51.56,52.76,1829400,51.19
2013-06-10,56.72,57.79,55.88,57.55,646000,55.84
2013-06-03,56.49,57.02,55.34,56.67,692200,54.99
2013-05-28,58.02,58.03,55.6,56.48,934000,54.8
2013-05-20,60.51,60.8,57.48,57.67,645400,55.96
2013-05-13,59.12,60.69,58.68,60.57,853800,58.77
2013-05-06,61.89,61.89,58.92,59.33,894600,57.57
2013-04-29,60.62,61.83,60.1,61.48,607400,59.66
2013-04-22,59.5,61.09,59.14,60.7,1115900,58.37
2013-04-15,59.3,59.49,57.8,59.41,747600,57.13
2013-04-08,58.15,59.54,57.89,59.49,576700,57.21
2013-04-01,57.89,58.16,57.41,58.12,559500,55.89
2013-03-25,56.89,57.96,56.5,57.89,599900,55.67
2013-03-18,56.57,57.38,56.15,56.74,429600,54.56
2013-03-11,56.9,57.17,56.63,56.98,518100,54.79
2013-03-04,55.98,57.53,55.94,57.05,562100,54.86
2013-02-25,55.65,56.1,54.38,56.04,794100,53.89
2013-02-19,54.47,55.41,54.42,55.4,562200,53.27
2013-02-11,53.97,54.78,53.87,54.34,724900,52.25
2013-02-04,53.31,53.96,52.95,53.95,642200,51.88
2013-01-28,53.51,53.62,52.63,53.43,1502700,51.38
2013-01-22,52.4,53.37,52.33,53.32,832100,50.75
2013-01-14,51.87,52.46,51.69,52.44,410500,49.91
2013-01-07,52.2,52.38,51.5,51.91,513100,49.41
2012-12-31,50.51,52.6,50.12,52.4,611000,49.87
2012-12-24,52.18,52.19,50.5,50.52,421900,48.09
2012-12-17,50.86,52.46,50.81,52.14,823700,49.63
2012-12-10,51.4,51.74,50.62,50.75,542200,48.3
2012-12-03,51.58,52.1,50.92,51.34,601800,48.87
2012-11-26,49.21,51.5,49.17,51.46,591700,48.98
2012-11-19,50.14,50.19,48.95,49.28,661700,46.91
2012-11-12,49.4,49.86,48.73,49.81,814400,47.41
2012-11-05,51.94,52.36,49.06,49.36,738100,46.98
2012-10-31,52.81,53.36,52.05,52.17,743300,49.66
2012-10-22,52.78,54.06,52.46,52.86,442700,49.79
2012-10-15,52.71,54.2,52.35,53.63,400700,50.52
2012-10-08,53.23,53.45,52.6,52.71,458200,49.65
2012-10-01,52.85,53.76,52.49,53.25,598000,50.16
2012-09-24,52.67,53.99,52.46,52.8,590000,49.74
2012-09-17,53.56,53.65,51.75,52.56,969100,49.51
2012-09-10,52.57,53.74,52.13,53.55,646700,50.44
2012-09-04,51.5,52.8,51.39,52.41,467300,49.37
2012-08-27,51.72,51.89,51.19,51.37,418800,48.39
2012-08-20,52.88,52.95,51.39,51.72,572000,48.72
2012-08-13,53.43,53.59,52.77,52.8,551200,49.74
2012-08-06,54.36,54.56,52.95,53.42,517800,50.32
2012-07-30,53.77,54.55,52.55,54.09,577200,50.95
2012-07-23,53.43,54.66,52.46,54.32,782300,50.67
2012-07-16,52.89,53.87,52.81,53.76,1105300,50.15
2012-07-09,52.08,53.09,51.5,53.05,566400,49.49
2012-07-02,52.06,52.31,51.65,52.08,575800,48.58
2012-06-25,50.27,52.21,50.27,51.74,624900,48.27
2012-06-18,51.81,52.3,50.56,50.56,983100,47.17
2012-06-11,51.29,52.07,50.68,52.01,729300,48.52
2012-06-04,49.51,51.3,49.36,51.07,843800,47.64
2012-05-29,49.3,49.59,48.37,49.43,771000,46.11
2012-05-21,47.78,49.29,47.58,49.11,861300,45.81
2012-05-14,48.32,48.69,47.65,47.8,820700,44.59
2012-05-07,47.68,49.27,47.41,48.6,936100,45.34
2012-04-30,48.18,48.49,47.48,47.82,733100,44.61
2012-04-23,47.52,48.56,47.29,48.21,695100,44.97
2012-04-16,46.34,47.78,46.28,47.77,695100,44.08
2012-04-09,46.58,46.97,45.95,46.23,610000,42.66
2012-04-02,47.83,48.3,46.99,47.14,875500,43.5
2012-03-26,47.41,47.99,47.03,47.9,665000,44.2
2012-03-19,46.89,47.32,46.61,47.24,467500,43.59
2012-03-12,47.47,48.22,46.71,47.02,694400,43.39
2012-03-05,46.59,47.54,46.15,47.45,652000,43.79
2012-02-27,47.22,47.69,46.32,46.59,710000,42.99
2012-02-21,48.04,48.04,47.23,47.51,652900,43.84
2012-02-13,47.71,48.21,47.03,47.86,597000,44.16
2012-02-06,47.4,48.38,47.17,47.49,590300,43.82
2012-01-30,47.73,48.06,47.08,47.5,729200,43.83
2012-01-23,47.74,48.86,47.09,48.2,782300,43.99
2012-01-17,47.91,48.24,47.26,47.75,964600,43.58
2012-01-09,47.48,48.12,47.,47.62,1301800,43.46
2012-01-03,48.86,48.86,47.2,47.39,778900,43.25
2011-12-27,48.46,48.87,48.15,48.18,536200,43.97
2011-12-19,45.96,48.65,45.72,48.39,873200,44.17
2011-12-12,46.07,46.91,45.11,46.63,1737400,42.56
2011-12-05,47.2,47.21,45.42,46.26,868700,42.22
2011-11-28,45.33,47.73,45.12,46.5,852200,42.44
2011-11-21,45.81,46.23,44.19,44.57,1061900,40.68
2011-11-14,46.66,46.76,45.53,46.33,745400,42.29
2011-11-07,46.16,46.92,45.45,46.88,682400,42.79
2011-10-31,46.12,46.74,43.97,46.25,1272300,42.21
2011-10-24,46.11,47.36,45.38,46.46,1452400,42.41
2011-10-17,44.53,46.45,44.12,46.16,1530800,41.66
