Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,20.7,20.93,20.62,20.62,1483400,20.62
2014-02-18,20.56,20.78,20.33,20.67,1931600,20.67
2014-02-10,19.4,20.6,19.26,20.58,2162000,20.58
2014-02-03,19.46,19.76,18.96,19.44,1632900,19.44
2014-01-27,18.71,19.51,18.7,19.43,2169100,19.43
2014-01-21,18.76,19.15,18.68,18.68,1671600,18.68
2014-01-13,18.98,19.,18.57,18.66,1701200,18.66
2014-01-06,18.67,19.24,18.53,19.03,2400000,19.03
2013-12-30,18.9,19.18,18.57,18.68,1904900,18.68
2013-12-23,18.97,19.07,18.79,18.93,1519200,18.93
2013-12-16,18.64,18.93,18.5,18.91,2260300,18.91
2013-12-09,19.07,19.13,18.5,18.58,2102400,18.58
2013-12-02,19.12,19.25,18.85,19.08,2360200,19.08
2013-11-25,19.22,19.25,18.77,19.08,1611600,18.81
2013-11-18,19.46,19.46,19.02,19.2,1294700,18.93
2013-11-11,19.22,19.38,18.75,19.38,2106200,19.11
2013-11-04,19.4,19.49,18.9,19.19,2241800,18.92
2013-10-28,19.49,19.61,18.99,19.34,1806300,19.07
2013-10-21,18.94,19.62,18.82,19.5,1754600,19.22
2013-10-14,18.63,19.08,18.34,18.98,1517200,18.71
2013-10-07,18.2,18.79,18.19,18.74,2027000,18.48
2013-09-30,18.43,18.67,18.2,18.28,2170000,18.02
2013-09-23,18.5,18.82,18.28,18.45,1634200,18.19
2013-09-16,18.36,18.87,18.11,18.51,2775500,18.25
2013-09-09,18.16,18.36,18.04,18.17,2389400,17.91
2013-09-03,19.11,19.11,18.1,18.13,2340300,17.87
2013-08-26,19.13,19.18,18.87,18.94,1912800,18.4
2013-08-19,19.2,19.34,18.75,19.13,3915900,18.58
2013-08-12,20.28,20.35,19.08,19.22,1596200,18.67
2013-08-05,20.54,20.62,20.2,20.37,1236600,19.79
2013-07-29,20.42,20.89,20.36,20.61,1457300,20.02
2013-07-22,20.34,20.49,20.07,20.42,1325800,19.84
2013-07-15,20.2,20.57,20.11,20.38,1777100,19.8
2013-07-08,19.48,20.35,19.4,20.24,4394400,19.66
2013-07-01,20.28,20.3,19.19,19.38,3901300,18.83
2013-06-24,19.75,20.45,19.52,20.16,1874800,19.58
2013-06-17,20.37,20.45,19.35,19.88,2307400,19.31
2013-06-10,20.64,20.68,19.86,20.28,1901300,19.7
2013-06-03,20.78,21.,20.12,20.62,2708800,20.03
2013-05-28,21.29,21.39,20.63,20.77,2302000,19.91
2013-05-20,22.05,22.49,21.07,21.23,1826700,20.35
2013-05-13,21.77,22.2,21.51,22.05,2050400,21.14
2013-05-06,22.51,22.53,21.5,21.81,2910700,20.91
2013-04-29,22.27,22.72,22.15,22.51,1978400,21.58
2013-04-22,21.91,22.34,21.68,22.18,1715500,21.26
2013-04-15,21.97,21.97,21.26,21.92,2646500,21.01
2013-04-08,21.65,22.13,21.63,22.05,3105900,21.14
2013-04-01,21.41,21.7,21.28,21.61,1821100,20.72
2013-03-25,20.72,21.43,20.68,21.4,1790900,20.52
2013-03-18,20.76,20.83,20.58,20.65,1734400,19.8
2013-03-11,20.41,20.89,20.4,20.86,1371600,20.
2013-03-04,20.5,20.89,20.32,20.45,1770800,19.6
2013-02-25,20.29,20.53,19.96,20.53,3031700,19.43
2013-02-19,19.91,20.34,19.87,20.26,2588900,19.17
2013-02-11,19.55,19.89,19.5,19.86,1439200,18.79
2013-02-04,19.4,19.65,19.33,19.57,1285200,18.52
2013-01-28,19.25,19.6,19.12,19.45,1184200,18.4
2013-01-22,19.04,19.38,19.03,19.26,2073000,18.22
2013-01-14,19.1,19.22,18.95,19.04,1933800,18.02
2013-01-07,20.38,20.38,18.82,19.08,4249500,18.05
2012-12-31,19.34,20.45,19.15,20.43,2798700,19.33
2012-12-24,19.74,19.82,19.13,19.31,1461000,18.27
2012-12-17,19.34,19.94,19.22,19.76,2489500,18.7
2012-12-10,19.54,19.83,19.42,19.46,2054600,18.41
2012-12-03,19.84,19.95,19.22,19.51,1640000,18.46
2012-11-26,19.11,19.75,19.11,19.74,1623800,18.42
2012-11-19,19.31,19.32,18.91,19.11,1305100,17.83
2012-11-12,19.1,19.18,18.8,19.18,1966300,17.9
2012-11-05,19.66,19.83,19.02,19.05,2102800,17.78
2012-10-31,19.76,20.04,19.58,19.64,2071300,18.33
2012-10-22,20.02,20.03,19.69,19.76,1748000,18.44
2012-10-15,19.33,20.06,19.16,20.06,2147000,18.72
2012-10-08,19.36,19.52,19.18,19.34,1159700,18.05
2012-10-01,18.96,19.53,18.88,19.37,2019700,18.08
2012-09-24,18.87,19.11,18.75,18.9,1389100,17.64
2012-09-17,19.,19.05,18.67,18.87,1663900,17.61
2012-09-10,19.28,19.35,18.78,18.99,1622700,17.72
2012-09-04,19.35,19.53,19.12,19.24,2470100,17.96
2012-08-27,19.26,19.44,19.23,19.31,2751900,17.77
2012-08-20,19.41,19.45,19.12,19.28,1714500,17.74
2012-08-13,19.62,19.78,19.35,19.41,2090300,17.86
2012-08-06,20.04,20.12,19.35,19.69,1943000,18.12
2012-07-30,19.88,20.3,19.54,19.93,1734900,18.34
2012-07-23,19.66,20.,19.42,19.92,1766900,18.33
2012-07-16,19.48,19.81,19.32,19.69,1765800,18.12
2012-07-09,19.36,19.48,19.14,19.44,1236800,17.89
2012-07-02,19.6,19.68,19.29,19.42,1372400,17.87
2012-06-25,18.92,19.63,18.88,19.57,1347600,18.01
2012-06-18,19.39,19.61,19.01,19.04,1847500,17.52
2012-06-11,19.42,19.5,19.12,19.39,1444600,17.84
2012-06-04,19.16,19.51,19.14,19.33,1873400,17.79
2012-05-29,19.,19.24,18.9,19.24,2678800,17.46
2012-05-21,18.59,18.9,18.5,18.9,1613800,17.15
2012-05-14,18.87,18.94,18.47,18.55,2195900,16.83
2012-05-07,18.86,19.1,18.74,19.02,2097700,17.26
2012-04-30,18.8,19.04,18.61,18.89,2461100,17.14
2012-04-23,18.5,18.98,18.43,18.81,1671600,17.07
2012-04-16,18.4,18.71,18.36,18.63,1944000,16.91
2012-04-09,18.45,18.66,18.14,18.36,1941400,16.66
2012-04-02,18.92,18.95,18.53,18.63,2801800,16.91
2012-03-26,19.01,19.2,18.63,18.89,2324000,17.14
2012-03-19,19.1,19.22,18.71,18.88,1929900,17.13
2012-03-12,19.48,19.74,18.94,19.13,2961500,17.36
2012-03-05,19.09,19.68,19.04,19.44,5623300,17.64
2012-02-27,19.79,19.82,19.35,19.5,2503600,17.45
2012-02-21,20.22,20.24,19.75,19.84,3209300,17.76
2012-02-13,19.91,20.24,19.63,20.14,1341000,18.03
2012-02-06,19.79,19.95,19.62,19.82,1536100,17.74
2012-01-30,19.73,19.98,19.5,19.84,1557600,17.76
2012-01-23,20.,20.21,19.6,19.81,1653800,17.73
2012-01-17,20.05,20.22,19.66,20.,1585000,17.9
2012-01-09,20.15,20.2,19.8,19.9,1715000,17.81
2012-01-03,20.44,20.48,19.91,20.04,2283300,17.94
2011-12-27,20.32,20.64,20.27,20.3,1041200,18.17
2011-12-19,19.51,20.4,19.26,20.3,1548700,18.17
2011-12-12,19.42,19.75,19.19,19.37,2230700,17.34
2011-12-05,19.85,19.97,19.02,19.5,2393800,17.45
2011-11-28,19.17,19.9,18.89,19.58,1665200,17.28
2011-11-21,19.25,19.31,18.56,18.71,1457100,16.52
2011-11-14,19.69,19.71,19.,19.43,2010300,17.15
2011-11-07,19.52,19.83,19.24,19.74,1908700,17.43
2011-10-31,19.97,20.06,19.14,19.58,2118000,17.28
2011-10-24,19.75,20.33,19.3,20.13,2059100,17.77
2011-10-17,19.3,19.8,19.01,19.8,1739200,17.48
2011-10-10,18.87,19.33,18.74,19.3,1056000,17.04
2011-10-03,18.79,19.08,17.77,18.65,2237000,16.46
2011-09-26,18.79,19.21,18.6,18.92,2584600,16.7
2011-09-19,18.95,19.4,18.09,18.61,2467300,16.43
2011-09-12,18.23,19.27,18.18,19.19,1870300,16.94
2011-09-06,18.73,19.25,18.27,18.43,2784700,16.27
2011-08-29,19.01,19.59,18.96,19.12,2668300,16.64
2011-08-22,18.83,19.36,18.36,18.8,4031900,16.36
2011-08-15,18.28,19.19,18.24,18.52,2853400,16.12
2011-08-08,17.73,18.91,16.57,18.15,4360600,15.8
2011-08-01,18.89,18.94,17.6,18.14,3627600,15.79
2011-07-25,19.15,19.41,18.62,18.68,1520300,16.26
2011-07-18,19.34,19.66,19.02,19.44,1219400,16.92
2011-07-11,19.78,19.81,19.31,19.4,1663900,16.88
2011-07-05,19.87,20.04,19.71,19.95,1479700,17.36
2011-06-27,19.17,19.9,19.17,19.88,1389300,17.3
2011-06-20,19.25,19.77,19.13,19.18,1826000,16.69
2011-06-13,19.17,19.39,18.9,19.27,1843700,16.77
2011-06-06,19.53,19.62,19.06,19.09,2429500,16.61
2011-05-31,19.98,20.,19.43,19.52,1509700,16.75
2011-05-23,19.97,20.09,19.55,19.89,1553600,17.07
2011-05-16,20.03,20.36,19.97,20.14,1789000,17.28
2011-05-09,19.51,20.34,19.51,20.04,2703100,17.2
2011-05-02,19.38,19.98,19.19,19.55,2733200,16.78
2011-04-25,18.41,19.31,18.4,19.27,1345800,16.54
2011-04-18,18.4,18.51,18.1,18.43,1971000,15.82
2011-04-11,18.52,18.61,18.15,18.55,1303700,15.92
2011-04-04,18.82,18.96,18.46,18.55,1356900,15.92
2011-03-28,18.46,18.86,18.27,18.77,1232900,16.11
2011-03-21,18.27,18.45,18.11,18.38,1196500,15.77
2011-03-14,18.47,18.47,17.83,18.07,2983600,15.51
2011-03-07,18.95,19.14,18.47,18.59,1945400,15.95
2011-02-28,18.45,19.06,18.45,18.87,2253400,15.97
2011-02-22,18.72,18.97,18.26,18.43,2522400,15.59
2011-02-14,18.98,18.98,18.56,18.9,1421700,15.99
2011-02-07,18.52,19.02,18.47,18.97,1317400,16.05
2011-01-31,18.63,18.76,18.45,18.47,1591400,15.63
2011-01-24,18.54,18.87,18.54,18.55,1965300,15.69
2011-01-18,18.31,18.63,18.26,18.53,1327500,15.68
2011-01-10,18.23,18.36,17.96,18.25,1382400,15.44
2011-01-03,18.34,18.48,18.01,18.28,1803100,15.47
2010-12-27,18.4,18.55,18.24,18.25,1283000,15.44
2010-12-20,18.37,18.48,18.15,18.45,1979200,15.61
2010-12-13,18.24,18.37,18.06,18.31,2166900,15.49
2010-12-06,18.59,18.74,18.01,18.2,2241000,15.4
2010-11-29,18.23,18.71,18.08,18.6,4060800,15.51
2010-11-22,18.58,18.64,18.19,18.27,1724100,15.23
2010-11-15,18.85,18.9,18.45,18.67,1930500,15.57
2010-11-08,19.14,19.28,18.69,18.78,1864500,15.66
2010-11-01,19.37,19.47,19.06,19.27,2211300,16.07
2010-10-25,19.5,19.58,18.74,19.26,2544700,16.06
2010-10-18,19.42,19.8,19.3,19.41,1661200,16.18
2010-10-11,19.15,19.49,19.,19.43,2112100,16.2
2010-10-04,18.78,19.31,18.74,19.11,2144600,15.93
2010-09-27,18.54,18.92,18.47,18.76,1840000,15.64
2010-09-20,18.12,18.65,18.12,18.51,1968000,15.43
2010-09-13,18.3,18.37,17.94,18.12,1704500,15.11
2010-09-07,18.41,18.55,18.01,18.19,1679500,15.17
2010-08-30,17.99,18.5,17.66,18.49,2008200,15.19
2010-08-23,17.93,18.1,17.5,18.06,3018700,14.84
2010-08-16,17.5,18.07,17.33,17.85,2732000,14.66
2010-08-09,17.42,17.77,16.97,17.52,2141900,14.39
