Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,158.87,161.,158.43,160.51,881500,160.51
2014-02-18,150.58,161.51,150.53,159.06,1378400,159.06
2014-02-10,145.73,151.95,144.83,149.28,1273600,149.28
2014-02-03,155.02,156.15,144.46,145.74,1955400,145.74
2014-01-27,152.89,157.16,151.13,155.66,941100,155.66
2014-01-21,155.68,157.47,152.76,152.79,936900,152.79
2014-01-13,161.68,162.35,155.77,156.03,1368800,156.03
2014-01-06,154.89,161.76,152.43,161.7,1272500,161.7
2013-12-30,152.71,154.52,151.81,154.23,897700,154.23
2013-12-23,153.06,153.34,150.53,152.12,580400,152.12
2013-12-16,152.23,156.47,148.15,152.26,4707200,152.26
2013-12-09,156.37,156.75,149.32,151.82,1336000,151.81
2013-12-02,156.88,157.47,153.04,155.63,826400,155.62
2013-11-25,156.47,157.02,155.06,155.89,559300,155.88
2013-11-18,153.64,156.1,151.28,155.28,702000,155.18
2013-11-11,148.98,153.38,147.92,153.13,943000,153.03
2013-11-04,142.83,148.85,141.53,148.75,1213300,148.65
2013-10-28,130.64,142.58,128.05,142.38,1763400,142.29
2013-10-21,133.02,133.06,128.3,130.61,985400,130.53
2013-10-14,128.87,132.69,128.69,132.65,1004700,132.57
2013-10-07,129.04,129.99,127.48,129.59,1124400,129.51
2013-09-30,123.14,129.14,122.56,129.05,1142600,128.97
2013-09-23,125.17,125.26,122.12,123.7,1007400,123.62
2013-09-16,124.34,126.22,123.23,124.98,890200,124.9
2013-09-09,123.59,124.41,122.23,123.44,753600,123.36
2013-09-03,122.23,124.5,121.2,123.94,1014800,123.86
2013-08-26,119.3,121.67,115.94,121.55,1091900,121.47
2013-08-19,120.26,120.91,118.11,119.38,802500,119.21
2013-08-12,128.1,128.71,119.28,120.,1766700,119.83
2013-08-05,128.48,129.43,127.05,128.37,942400,128.19
2013-07-29,129.9,131.11,122.99,128.39,4190600,128.21
2013-07-22,129.53,134.31,128.92,134.23,495300,134.04
2013-07-15,128.26,133.49,126.73,129.37,478600,129.19
2013-07-08,124.4,129.08,123.37,128.49,862800,128.31
2013-07-01,121.19,123.95,120.6,123.77,569500,123.6
2013-06-24,118.88,121.96,117.78,121.,563100,120.83
2013-06-17,119.89,122.04,118.14,119.61,654600,119.44
2013-06-10,117.38,119.06,115.43,118.6,587700,118.43
2013-06-03,116.24,118.4,112.05,116.81,1549700,116.65
2013-05-28,119.6,119.95,115.36,115.84,666700,115.68
2013-05-20,119.48,120.52,116.67,118.92,420100,118.66
2013-05-13,119.45,121.33,118.92,119.48,512400,119.22
2013-05-06,119.2,120.3,113.38,119.64,729700,119.38
2013-04-29,119.12,120.67,118.05,119.23,307400,118.97
2013-04-22,120.47,121.12,117.48,118.81,493700,118.55
2013-04-15,119.76,120.48,116.18,119.47,446100,119.21
2013-04-08,117.65,120.49,116.7,119.92,374900,119.66
2013-04-01,118.42,120.94,116.68,118.05,489300,117.79
2013-03-25,118.6,118.86,116.42,118.74,482000,118.48
2013-03-18,115.51,118.74,115.18,118.25,494300,117.99
2013-03-11,115.84,117.75,115.46,116.22,575900,115.97
2013-03-04,113.2,116.72,113.2,115.69,568100,115.44
2013-02-25,115.71,116.9,112.3,113.05,699700,112.81
2013-02-19,113.8,115.43,112.77,113.31,520800,112.98
2013-02-11,109.5,113.64,109.02,113.58,835100,113.24
2013-02-04,106.33,108.34,105.51,108.3,986100,107.98
2013-01-28,102.85,108.95,98.79,105.28,1457000,104.97
2013-01-22,103.92,104.5,100.47,103.12,983600,102.82
2013-01-14,103.65,106.08,103.43,104.,511500,103.69
2013-01-07,108.5,110.32,103.07,103.85,822200,103.54
2012-12-31,102.8,108.64,102.15,108.48,608300,108.16
2012-12-24,102.58,104.49,102.05,102.28,346100,101.98
2012-12-17,104.07,104.58,101.45,102.78,890300,102.48
