Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,83.87,85.37,83.72,84.96,1950300,84.96
2014-02-18,84.87,87.03,83.11,83.93,2365400,83.93
2014-02-10,83.34,85.34,82.28,84.99,2154400,84.46
2014-02-03,84.42,84.79,79.54,83.41,4228800,82.89
2014-01-27,84.43,85.52,82.31,84.39,2248000,83.86
2014-01-21,90.58,91.09,84.35,84.36,2528000,83.83
2014-01-13,90.43,91.05,88.32,90.23,1934300,89.66
2014-01-06,90.42,91.93,89.84,90.73,1870900,90.16
2013-12-30,91.65,92.31,90.,90.21,1332100,89.64
2013-12-23,91.69,92.68,91.08,91.83,970800,91.25
2013-12-16,88.67,91.68,87.39,91.33,2315900,90.76
2013-12-09,88.94,89.82,87.87,88.19,2032400,87.64
2013-12-02,88.93,90.53,86.95,88.91,2456600,88.35
2013-11-25,90.14,90.39,88.73,88.76,1609000,88.2
2013-11-18,88.69,90.64,88.43,90.07,2292600,89.5
2013-11-11,86.88,89.31,85.94,88.62,2498300,87.55
2013-11-04,81.27,87.85,80.7,86.9,2999800,85.85
2013-10-28,81.24,83.14,80.6,81.19,1666500,80.21
2013-10-21,82.38,82.45,79.76,81.41,1874000,80.42
2013-10-14,79.07,82.65,78.7,82.53,1770800,81.53
2013-10-07,77.56,79.88,75.21,79.87,1739200,78.9
2013-09-30,77.32,78.75,75.73,78.4,2389100,77.45
2013-09-23,78.12,79.63,77.19,78.41,1657900,77.46
2013-09-16,80.73,82.62,78.,78.24,3116400,77.29
2013-09-09,77.71,80.98,77.67,79.69,1727200,78.72
2013-09-03,76.02,79.1,75.32,77.55,2147900,76.61
2013-08-26,78.52,78.83,74.1,74.88,1973400,73.97
2013-08-19,79.41,80.01,77.19,78.7,2033300,77.75
2013-08-12,80.03,80.78,78.44,79.61,2496200,78.25
2013-08-05,82.09,82.87,78.67,80.58,3147900,79.2
2013-07-29,79.08,83.67,78.34,82.41,2242600,81.
2013-07-22,78.47,79.75,77.75,79.16,1675000,77.81
2013-07-15,78.05,78.64,76.69,78.19,1752000,76.85
2013-07-08,76.,78.64,76.,77.89,2613600,76.56
2013-07-01,73.1,75.68,72.87,75.6,2414400,74.31
2013-06-24,70.58,73.41,69.04,73.03,3564600,71.78
2013-06-17,71.27,73.48,70.75,71.55,3050500,70.33
2013-06-10,71.84,73.56,70.11,70.48,2684400,69.28
2013-06-03,69.33,71.81,67.13,71.72,3415200,70.49
2013-05-28,67.31,70.76,66.82,68.97,3049900,67.79
2013-05-20,68.11,69.38,65.54,66.46,2306400,65.32
2013-05-13,64.53,68.6,64.3,68.38,3173500,66.81
2013-05-06,64.89,66.87,64.63,65.05,2940600,63.56
2013-04-29,59.55,65.8,59.17,65.2,4364100,63.7
2013-04-22,55.82,59.86,55.03,59.25,2397700,57.89
2013-04-15,56.63,56.94,54.58,55.77,2731300,54.49
2013-04-08,55.36,58.3,54.95,56.9,2824900,55.59
2013-04-01,58.8,59.52,54.81,55.48,3899000,54.21
2013-03-25,59.02,59.61,57.96,58.99,2286600,57.64
2013-03-18,59.38,60.1,58.21,58.75,3108300,57.4
2013-03-11,59.4,60.6,59.3,60.41,3326600,59.02
2013-03-04,54.64,59.71,54.55,59.6,3649100,58.23
2013-02-25,56.53,56.88,53.7,54.98,3729800,53.72
2013-02-19,57.4,58.17,54.76,56.08,3440500,54.79
2013-02-11,57.54,57.71,56.56,57.28,2848600,55.56
2013-02-04,58.1,58.87,55.81,57.6,3287300,55.87
2013-01-28,58.98,59.63,57.65,58.84,2636400,57.07
2013-01-22,57.68,59.36,57.38,59.09,1982900,57.31
2013-01-14,57.47,58.15,56.04,57.71,2340500,55.98
2013-01-07,56.15,58.04,53.4,57.6,2480600,55.87
2012-12-31,52.24,56.56,52.11,56.52,3330100,54.82
2012-12-24,53.13,53.6,52.08,52.47,1628100,50.89
2012-12-17,51.22,54.5,51.18,53.43,5026900,51.82
2012-12-10,52.19,53.65,50.89,50.92,3172100,49.39
2012-12-03,52.4,52.82,51.51,52.47,2624000,50.89
2012-11-26,51.53,52.38,50.3,52.12,2942600,50.55
2012-11-19,49.52,52.02,49.34,52.02,3594700,50.46
2012-11-12,52.97,52.97,48.17,48.74,5650200,47.28
