Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,75.01,77.77,75.01,76.25,3631400,76.25
2014-02-18,76.21,76.99,74.75,74.95,3222300,74.95
2014-02-10,74.35,75.98,72.03,75.93,3228600,75.93
2014-02-03,73.12,74.43,68.78,74.28,5007600,73.89
2014-01-27,74.57,76.9,70.81,73.09,4507400,72.7
2014-01-21,76.03,78.1,73.6,74.44,3589600,74.05
2014-01-13,78.2,78.2,74.67,76.02,3447300,75.62
2014-01-06,76.51,79.,76.15,78.,3704100,77.59
2013-12-30,75.01,77.32,74.69,76.29,2512700,75.89
2013-12-23,74.5,75.39,74.19,74.75,1624400,74.35
2013-12-16,71.68,74.53,71.53,74.03,3510500,73.64
2013-12-09,72.3,73.17,69.54,71.6,3581100,71.22
2013-12-02,70.,72.5,68.33,71.24,4546000,70.86
2013-11-25,68.48,71.,68.13,69.61,3029300,69.24
2013-11-18,67.62,68.8,65.84,68.48,2986800,68.12
2013-11-11,65.15,68.36,64.53,67.1,3457800,66.74
2013-11-04,64.28,65.56,63.39,65.36,3045800,64.63
2013-10-28,63.77,65.64,63.05,64.13,3500300,63.41
2013-10-21,63.77,65.4,62.7,63.4,3584100,62.69
2013-10-14,59.57,63.5,59.25,63.48,3341300,62.77
2013-10-07,58.76,60.81,56.5,59.93,4220000,59.26
2013-09-30,58.01,59.83,56.88,59.17,3790600,58.51
2013-09-23,57.73,59.,56.9,58.53,3056900,57.87
2013-09-16,57.62,59.3,55.81,57.93,3978400,57.28
2013-09-09,57.07,57.92,56.06,57.13,2851900,56.49
2013-09-03,57.76,59.32,56.9,57.42,3443800,56.78
2013-08-26,58.17,59.09,56.95,57.1,2564700,56.46
2013-08-19,56.28,59.24,54.9,58.11,3365600,57.46
2013-08-12,58.44,59.19,56.07,56.3,3161500,55.67
2013-08-05,58.28,59.36,57.3,58.92,3849100,57.95
2013-07-29,59.,61.97,57.13,58.41,4529400,57.45
2013-07-22,57.88,59.84,57.18,59.,3845600,58.03
2013-07-15,59.45,59.85,56.71,57.49,4461600,56.54
2013-07-08,57.71,59.64,55.94,59.09,4735400,58.12
2013-07-01,59.24,60.24,54.8,57.24,4582300,56.3
2013-06-24,58.46,60.96,56.84,58.91,3711100,57.94
2013-06-17,64.2,65.,58.06,59.25,4092200,58.27
2013-06-10,65.93,66.39,62.37,63.81,2942500,62.76
2013-06-03,67.04,67.09,63.35,65.87,3077900,64.79
2013-05-28,66.39,67.89,65.65,66.57,3082500,65.47
2013-05-20,65.32,66.85,63.8,65.47,3683600,64.39
2013-05-13,61.13,65.92,60.39,65.46,5036000,64.38
2013-05-06,62.49,65.34,61.,61.38,4103800,60.08
2013-04-29,61.97,62.66,59.16,62.18,4668300,60.86
2013-04-22,58.12,63.09,58.07,61.6,4233600,60.29
2013-04-15,59.18,59.99,56.13,57.84,5491700,56.61
2013-04-08,62.29,65.23,59.07,60.67,5755200,59.38
2013-04-01,70.,70.2,60.2,62.31,6830400,60.99
2013-03-25,67.94,70.52,66.37,69.97,4320100,68.49
2013-03-18,63.32,68.44,63.01,67.55,3780200,66.12
2013-03-11,65.9,66.4,63.94,64.15,4739500,62.79
2013-03-04,63.84,66.97,63.54,66.03,3616700,64.63
2013-02-25,64.49,64.74,59.94,63.9,3719900,62.55
2013-02-19,63.67,64.95,61.22,64.11,4005100,62.75
2013-02-11,64.,65.38,63.53,64.17,3385000,62.5
2013-02-04,62.13,65.24,60.71,64.02,4516500,62.36
2013-01-28,57.09,63.25,56.5,62.75,6116700,61.12
2013-01-22,55.24,56.95,53.92,56.81,4267500,55.33
2013-01-14,50.67,55.83,50.12,55.07,5899900,53.64
2013-01-07,52.48,52.48,50.36,50.58,4581700,49.27
2012-12-31,50.4,55.31,50.4,53.14,4729100,51.76
2012-12-24,52.22,52.62,50.4,50.57,2295600,49.26
2012-12-17,53.56,53.86,51.33,52.16,4814000,50.81
2012-12-10,52.21,54.32,51.24,53.47,6726200,52.08
2012-12-03,52.65,52.76,50.27,52.34,4197900,50.98
2012-11-26,49.55,52.53,49.01,52.37,4452200,51.01
2012-11-19,46.4,50.,46.38,49.82,3334200,48.53
2012-11-12,47.43,48.11,44.94,45.77,3553500,44.58
2012-11-05,46.23,51.,46.23,47.41,5415300,46.18
2012-10-31,47.82,48.4,46.07,46.21,3969500,45.01
2012-10-22,44.73,47.62,43.93,47.5,4001400,46.27
2012-10-15,43.85,47.22,43.41,44.64,3542100,43.48
2012-10-08,45.96,46.75,42.45,43.92,4776300,42.78
2012-10-01,46.6,47.68,45.,46.02,4988700,44.58
2012-09-24,46.69,47.3,45.23,46.37,3085100,44.92
2012-09-17,46.17,47.09,44.44,46.82,4728200,45.35
2012-09-10,43.93,48.22,43.93,46.73,5600400,45.26
2012-09-04,42.07,44.31,41.43,44.26,3295700,42.87
2012-08-27,41.43,43.,40.9,42.,3707700,40.68
2012-08-20,42.87,43.45,40.42,41.36,3444400,40.06
2012-08-13,39.86,42.93,39.77,42.77,3631000,41.43
2012-08-06,39.94,40.83,39.46,40.,3408000,38.75
2012-07-30,36.86,40.18,36.83,39.67,5075800,38.43
2012-07-23,34.79,36.91,34.5,36.52,3651700,35.37
2012-07-16,34.69,37.67,34.56,35.32,3677500,34.21
2012-07-09,33.08,35.08,32.35,34.94,3225400,33.66
2012-07-02,33.59,34.63,32.92,33.37,3033700,32.15
2012-06-25,33.69,33.98,31.29,33.24,3624800,32.02
2012-06-18,34.38,34.85,33.03,34.16,4321100,32.91
2012-06-11,32.45,34.91,32.23,34.9,6171600,33.62
2012-06-04,29.3,32.75,29.25,32.12,5899400,30.94
2012-05-29,31.28,31.72,29.38,29.92,5944900,28.83
2012-05-21,31.23,32.34,30.75,31.3,4718400,30.15
2012-05-14,31.19,32.39,30.77,31.38,6534100,30.23
2012-05-07,30.1,33.35,28.75,31.83,10834100,30.67
2012-04-30,34.34,34.9,30.12,30.16,8990500,29.06
2012-04-23,36.24,36.24,33.97,34.11,241200,32.86
2012-04-16,37.,37.22,34.5,36.32,336900,34.99
2012-04-12,33.25,37.45,32.,37.,1169800,35.65
