Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,34.57,35.18,34.56,34.78,2153300,34.78
2014-02-18,32.,35.35,31.87,34.5,3658100,34.5
2014-02-10,31.16,32.,30.91,31.99,1167900,31.99
2014-02-03,31.2,31.33,29.85,31.24,1349700,31.24
2014-01-27,31.06,31.77,30.31,31.17,1551400,31.17
2014-01-21,31.9,32.17,31.,31.07,1311700,31.07
2014-01-13,31.76,31.87,31.,31.64,1329800,31.64
2014-01-06,31.42,32.22,30.93,31.7,1772100,31.7
2013-12-30,31.32,31.6,31.15,31.35,949000,31.35
2013-12-23,30.86,31.54,30.67,31.33,775200,31.33
2013-12-16,28.96,30.71,28.79,30.66,2330200,30.66
2013-12-09,29.5,29.93,28.58,28.73,1472900,28.73
2013-12-02,29.55,31.,29.06,29.54,1405700,29.54
2013-11-25,29.14,29.87,29.05,29.61,1008800,29.61
2013-11-18,30.1,30.22,29.1,29.12,1519100,29.12
2013-11-11,29.9,30.38,29.57,30.02,1631300,30.02
2013-11-04,30.61,30.79,29.61,29.86,1966700,29.86
2013-10-28,29.17,30.89,28.79,30.59,3344100,30.59
2013-10-21,28.7,29.66,28.45,29.15,1444400,29.15
2013-10-14,28.2,28.81,27.71,28.75,1151800,28.75
2013-10-07,27.48,28.37,26.72,28.36,1425800,28.36
2013-09-30,27.44,28.12,27.27,27.8,1465100,27.8
2013-09-23,27.25,28.36,27.02,27.64,2255500,27.64
2013-09-16,26.48,27.88,26.48,27.37,2040500,27.37
2013-09-09,25.88,26.48,25.57,26.02,2230800,26.02
2013-09-03,26.5,26.57,25.74,25.78,1628700,25.78
2013-08-26,27.14,27.23,26.06,26.14,1183400,26.14
2013-08-19,26.5,27.16,25.93,27.13,1815200,27.13
2013-08-12,27.47,27.76,26.43,26.54,1221100,26.54
2013-08-05,28.15,28.23,26.77,27.6,1869400,27.6
2013-07-29,27.39,29.13,26.5,28.16,2311200,28.16
2013-07-22,28.3,28.7,27.32,27.53,977700,27.53
2013-07-15,27.73,28.3,27.62,28.27,1334400,28.27
2013-07-08,26.64,27.75,26.54,27.74,1603600,27.74
2013-07-01,26.54,26.66,25.89,26.4,1154100,26.4
2013-06-24,25.52,26.86,25.26,26.46,2005100,26.46
2013-06-17,26.55,27.28,25.5,25.81,2467700,25.81
2013-06-10,27.6,27.69,25.77,26.27,2389600,26.27
2013-06-03,28.32,28.37,26.63,27.66,3213100,27.66
2013-05-28,29.21,29.25,28.31,28.37,1331100,28.37
2013-05-20,30.1,30.56,28.57,28.86,1590700,28.86
2013-05-13,29.03,30.22,28.62,30.2,1815200,30.2
2013-05-06,28.91,29.48,28.72,29.14,1301000,29.14
2013-04-29,27.66,29.33,26.92,28.92,1858300,28.92
2013-04-22,27.29,28.01,26.73,27.56,1553000,27.56
2013-04-15,27.76,27.76,26.4,27.31,1826800,27.31
2013-04-08,27.25,28.21,27.25,28.06,1611400,28.06
2013-04-01,28.62,28.62,26.03,26.93,3354000,26.93
2013-03-25,28.79,28.93,27.71,28.58,1528400,28.58
2013-03-18,29.07,29.78,28.55,28.75,1356600,28.75
2013-03-11,29.52,29.91,29.22,29.43,1430900,29.43
2013-03-04,28.17,29.6,27.94,29.49,1579900,29.49
2013-02-25,28.92,29.06,27.61,28.19,2396400,28.19
2013-02-19,28.82,29.2,27.64,28.7,3109500,28.7
2013-02-11,28.29,29.59,28.17,28.74,1677400,28.74
2013-02-04,28.42,28.68,27.77,28.42,2105600,28.42
2013-01-28,29.78,29.93,28.59,28.66,1829200,28.66
2013-01-22,28.76,29.94,28.76,29.72,1942600,29.72
2013-01-14,28.85,29.13,28.24,28.84,1439400,28.84
2013-01-07,27.85,29.21,27.82,29.02,1933300,29.02
2012-12-31,26.4,28.21,26.4,27.96,1811400,27.96
2012-12-24,27.31,27.46,26.45,26.48,1041100,26.48
2012-12-17,27.15,27.96,26.92,27.21,1806600,27.21
2012-12-10,26.06,27.7,26.06,27.09,2290000,27.09
2012-12-03,26.01,26.17,25.52,26.02,1718900,26.02
2012-11-26,25.3,26.28,24.7,25.86,2121300,25.86
2012-11-19,25.35,25.62,24.95,25.47,1591400,25.47
2012-11-12,26.09,26.25,24.73,25.1,2035100,25.1
2012-11-05,25.33,26.69,25.19,26.09,2351800,26.09
2012-10-31,25.3,26.34,25.01,25.45,4910400,25.45
2012-10-22,23.51,23.78,22.92,23.6,1040800,23.6
2012-10-15,24.3,24.62,23.44,23.55,2105100,23.55
2012-10-08,24.72,24.8,23.82,24.3,1682000,24.3
2012-10-01,24.6,25.16,24.5,24.75,1721500,24.75
2012-09-24,24.87,25.28,24.48,24.7,1524200,24.7
2012-09-17,25.67,25.77,24.74,24.9,1609000,24.9
2012-09-10,24.7,26.07,24.27,25.82,1932500,25.82
2012-09-04,23.98,24.92,23.9,24.75,1120600,24.75
2012-08-27,24.32,24.6,23.56,24.,1254600,24.
2012-08-20,24.9,24.96,24.06,24.2,1187100,24.2
2012-08-13,24.64,25.16,24.39,24.96,1342800,24.96
2012-08-06,24.87,25.07,24.3,24.78,1629400,24.78
2012-07-30,23.07,24.88,22.43,24.71,2487400,24.71
2012-07-23,21.7,23.27,21.63,23.14,1530600,23.14
2012-07-16,23.34,23.64,21.96,22.01,1849100,22.01
2012-07-09,23.52,23.71,22.44,23.39,1423500,23.39
2012-07-02,24.13,24.25,23.36,23.5,1668000,23.5
2012-06-25,22.52,24.07,22.22,24.07,1757100,24.07
2012-06-18,22.75,23.49,22.6,22.83,2286100,22.83
2012-06-11,22.71,23.16,21.97,22.81,2245100,22.81
2012-06-04,21.67,22.55,21.15,22.54,2288900,22.54
2012-05-29,22.88,22.99,21.4,21.6,2662400,21.6
2012-05-21,21.84,22.98,21.67,22.7,1896500,22.7
2012-05-14,22.9,23.1,21.62,21.66,1867400,21.66
2012-05-07,23.16,23.66,22.92,23.13,2169600,23.13
2012-04-30,22.,24.06,21.75,23.16,2899900,23.16
2012-04-23,20.93,22.22,20.67,22.06,1375200,22.06
2012-04-16,20.87,21.4,20.61,21.23,1809500,21.23
2012-04-09,21.31,21.45,20.21,20.74,1922300,20.74
2012-04-02,20.81,22.01,20.65,21.65,2389800,21.65
2012-03-26,21.64,21.83,20.78,20.9,1501600,20.9
2012-03-19,21.86,21.92,20.86,21.41,1392400,21.41
2012-03-12,21.61,22.15,21.48,21.94,1548400,21.94
2012-03-05,20.88,21.67,20.64,21.66,1713000,21.66
2012-02-27,20.97,21.5,20.72,20.98,1301800,20.98
2012-02-21,21.88,22.27,20.88,21.07,2046600,21.07
2012-02-13,22.05,22.35,21.69,21.74,1052400,21.74
2012-02-06,22.22,22.55,21.81,21.88,1011400,21.88
2012-01-30,21.45,22.47,21.38,22.3,993700,22.3
2012-01-23,21.45,21.78,20.59,21.67,1263400,21.67
2012-01-17,22.3,22.35,20.8,21.4,1825200,21.4
2012-01-09,21.8,22.3,21.55,22.04,1040100,22.04
2012-01-03,22.04,22.19,21.19,21.72,1307800,21.72
2011-12-27,21.74,21.95,21.17,21.54,849700,21.54
2011-12-19,21.14,21.89,20.29,21.86,1665800,21.86
2011-12-12,20.65,20.96,19.74,20.91,2083700,20.91
2011-12-05,21.03,21.33,20.12,20.89,1683100,20.89
2011-11-28,19.51,21.19,19.32,20.65,2129300,20.65
2011-11-21,19.06,19.38,18.56,18.87,1777200,18.87
2011-11-14,19.,20.29,18.49,19.36,3109000,19.36
2011-11-07,21.87,21.97,18.15,19.16,4433100,19.16
2011-10-31,21.46,22.5,19.65,21.91,3126300,21.91
2011-10-24,20.48,21.83,20.12,21.69,1811500,21.69
2011-10-17,19.77,20.45,19.18,20.39,1857500,20.39
2011-10-10,19.59,20.32,19.37,20.06,1962300,20.06
2011-10-03,18.66,19.85,16.63,19.22,3185800,19.22
2011-09-26,19.25,19.96,18.6,18.79,3222600,18.79
2011-09-19,18.92,19.75,17.97,19.03,2856200,19.03
2011-09-12,17.44,19.04,17.27,18.83,1595900,18.83
2011-09-06,17.22,18.68,17.21,17.78,1670600,17.78
2011-08-29,18.45,19.52,17.85,17.94,2445900,17.94
2011-08-22,16.72,18.47,16.1,18.12,1974500,18.12
2011-08-15,17.94,18.2,16.,16.26,2405100,16.26
2011-08-08,16.88,18.16,15.37,17.71,4248000,17.71
2011-08-01,18.83,19.09,16.78,17.35,4632800,17.35
2011-07-25,19.55,19.85,18.25,18.52,1556400,18.52
2011-07-18,19.08,19.92,18.87,19.73,1004200,19.73
2011-07-11,20.2,20.2,18.8,19.13,1731200,19.13
2011-07-05,20.48,20.97,20.25,20.5,1248700,20.5
2011-06-27,19.46,20.57,19.46,20.54,1929600,20.54
2011-06-20,18.75,19.9,18.67,19.46,1708700,19.46
2011-06-13,18.7,19.11,18.6,18.81,2161000,18.81
2011-06-06,18.95,19.11,18.49,18.74,2081900,18.74
2011-05-31,19.74,19.79,19.02,19.07,2359900,19.07
2011-05-23,19.33,19.75,18.89,19.59,1644000,19.59
2011-05-16,19.68,19.93,19.,19.74,2440700,19.74
2011-05-09,19.55,19.86,19.28,19.73,2267200,19.73
2011-05-02,21.86,21.86,18.87,19.58,4127100,19.58
2011-04-25,21.17,21.71,20.7,21.68,2347200,21.68
2011-04-18,20.71,21.28,20.4,21.19,1661000,21.19
2011-04-11,22.58,22.78,20.16,20.98,2321300,20.98
2011-04-04,22.82,22.98,22.25,22.52,1428300,22.52
2011-03-28,22.51,22.79,21.74,22.79,1468300,22.79
2011-03-21,21.87,22.87,21.56,22.51,1364600,22.51
2011-03-14,22.11,22.45,20.98,21.66,2189800,21.66
2011-03-07,22.62,22.72,21.59,22.34,1507800,22.34
2011-02-28,22.34,23.15,22.27,22.5,2543700,22.5
2011-02-22,23.38,23.5,20.88,22.28,4157400,22.28
2011-02-14,23.89,24.18,23.44,23.74,1796100,23.74
2011-02-07,23.62,24.01,23.13,23.98,1678600,23.98
2011-01-31,23.48,24.14,23.16,23.59,2209100,23.59
2011-01-24,21.98,23.8,21.98,23.12,2638900,23.12
2011-01-18,22.21,23.,21.85,21.93,2138800,21.93
2011-01-10,21.04,22.22,20.75,22.22,1898800,22.22
2011-01-03,20.02,21.42,19.98,21.16,2849300,21.16
2010-12-27,19.64,20.19,19.51,19.92,936200,19.92
2010-12-20,19.47,20.22,19.35,19.77,1754600,19.77
2010-12-13,20.04,20.47,19.23,19.47,2663400,19.47
2010-12-06,18.63,20.03,18.54,19.94,2497800,19.94
2010-11-29,17.72,18.85,17.44,18.73,2708500,18.73
2010-11-22,17.65,18.13,17.35,17.83,1738800,17.83
2010-11-15,17.38,18.21,17.01,17.7,2430700,17.7
2010-11-08,17.75,18.12,17.11,17.31,2694200,17.31
2010-11-01,19.84,20.03,17.59,17.85,5437900,17.85
2010-10-25,19.52,20.14,19.3,19.66,1269000,19.66
2010-10-18,20.11,20.31,19.35,19.4,1382500,19.4
2010-10-11,19.95,20.5,19.85,20.08,1424600,20.08
2010-10-04,18.86,20.18,18.71,20.,2099900,20.
2010-09-27,18.86,19.56,18.81,19.01,1932400,19.01
2010-09-20,18.25,18.99,18.15,18.86,1858600,18.86
2010-09-13,18.38,18.44,17.39,18.21,3525100,18.21
2010-09-07,18.75,19.,18.13,18.22,1434700,18.22
2010-08-30,18.28,19.04,17.8,18.87,1500000,18.87
2010-08-23,18.89,19.16,17.8,18.41,2572600,18.41
2010-08-16,18.75,19.65,18.5,18.85,2004900,18.85
2010-08-09,19.38,19.53,18.36,18.88,2154400,18.88
2010-08-02,21.75,22.06,19.27,19.39,4665000,19.39
2010-07-26,22.14,22.66,21.25,21.48,1987300,21.48
2010-07-19,20.38,22.18,20.18,22.18,1953000,22.18
2010-07-12,21.52,21.7,20.26,20.31,1801700,20.31
2010-07-06,20.61,21.64,20.08,21.63,1697300,21.63
2010-06-28,21.77,22.13,20.08,20.25,1998700,20.25
2010-06-21,22.99,23.23,21.43,21.86,1958600,21.86
2010-06-14,21.95,23.15,21.66,22.85,3169900,22.85
2010-06-07,20.91,21.77,19.78,21.76,2815600,21.76
2010-06-01,20.54,21.21,20.2,20.87,3370400,20.87
2010-05-24,21.01,21.22,19.96,20.73,3228800,20.73
2010-05-17,22.44,23.01,20.3,21.12,5386400,21.12
2010-05-10,20.3,23.04,20.13,22.43,4740200,22.43
2010-05-03,20.21,20.93,18.13,19.67,5125300,19.67
2010-04-26,20.02,20.41,19.38,20.13,2866100,20.13
2010-04-19,19.27,20.36,19.15,20.09,2786000,20.09
2010-04-12,20.47,20.5,19.16,19.33,3023300,19.33
2010-04-05,19.55,20.34,19.48,20.34,2469100,20.34
2010-03-29,19.54,19.57,18.84,19.55,2895700,19.55
2010-03-22,19.3,20.07,19.24,19.41,2121200,19.41
2010-03-15,19.1,20.06,18.8,19.42,2281600,19.42
2010-03-08,18.69,19.14,18.35,19.13,2274900,19.13
2010-03-01,19.12,19.37,18.41,18.69,2769100,18.69
2010-02-22,18.52,19.49,18.47,19.,4006000,19.
2010-02-16,17.7,18.17,17.48,17.88,2434500,17.88
2010-02-08,17.27,17.77,17.05,17.49,2147500,17.49
2010-02-01,18.45,18.66,16.75,17.16,3031400,17.16
2010-01-25,18.62,18.99,17.92,18.22,2999200,18.22
2010-01-19,18.5,19.17,17.96,18.37,5636400,18.37
2010-01-11,21.92,21.96,19.04,19.06,4772300,19.06
2010-01-04,21.12,22.35,21.,21.86,2414200,21.86
2009-12-28,21.75,21.75,20.84,20.84,1403400,20.84
2009-12-21,21.,22.12,20.79,21.6,2558000,21.6
2009-12-14,19.6,21.28,19.34,20.87,3551700,20.87
2009-12-07,18.39,19.,17.72,18.96,2790400,18.96
2009-11-30,19.02,19.29,18.04,18.34,2905500,18.34
2009-11-23,19.92,20.02,18.58,18.96,2376000,18.96
2009-11-16,20.64,21.,19.47,19.61,2196500,19.61
2009-11-09,21.57,21.64,20.4,20.57,3144500,20.57
2009-11-02,21.3,22.29,20.67,21.26,3067200,21.26
2009-10-26,22.77,23.34,20.82,21.2,2373000,21.2
2009-10-19,22.51,23.17,22.32,22.82,2557000,22.82
2009-10-12,22.05,22.59,21.33,22.53,2888000,22.53
2009-10-05,21.1,22.68,20.98,21.95,2718300,21.95
2009-09-28,22.18,23.19,20.91,20.99,2802600,20.99
2009-09-21,23.83,24.04,21.84,22.09,1470000,22.09
2009-09-14,24.86,24.98,23.66,23.96,3788200,23.96
2009-09-08,24.17,25.43,23.77,25.1,1750300,25.1
2009-08-31,22.72,23.94,21.38,23.89,2882800,23.89
2009-08-24,23.13,23.86,22.04,22.93,1904400,22.93
2009-08-17,21.86,23.14,21.12,23.04,1930600,23.04
2009-08-10,24.02,24.02,21.87,22.18,2379100,22.18
2009-08-03,23.74,24.39,22.,24.14,3520900,24.14
2009-07-27,23.38,23.72,22.78,23.31,1694200,23.31
2009-07-20,21.54,23.58,21.4,23.46,2097600,23.46
2009-07-13,20.06,21.9,19.45,21.46,2284500,21.46
2009-07-06,21.68,21.73,19.34,20.03,3723200,20.03
2009-06-29,22.96,23.74,21.74,21.74,12591600,21.74
2009-06-22,22.41,23.12,21.02,22.73,2342300,22.73
2009-06-15,24.44,24.6,22.27,22.83,2104500,22.83
2009-06-08,24.1,25.8,23.78,24.71,2271000,24.71
2009-06-01,23.19,24.9,22.6,24.29,2535600,24.29
2009-05-26,20.85,22.84,20.64,22.81,2192900,22.81
2009-05-18,22.16,22.53,20.46,21.08,1790800,21.08
2009-05-11,23.05,23.35,21.36,21.87,2218600,21.87
2009-05-04,22.98,25.,22.42,23.62,4037900,23.62
2009-04-27,23.81,24.9,22.49,23.,2949500,23.
2009-04-20,23.64,24.47,22.17,24.03,2663600,24.03
2009-04-13,21.59,24.48,20.99,24.33,2532100,24.33
2009-04-06,22.92,23.08,20.97,21.99,2166600,21.99
2009-03-30,21.78,23.54,20.28,23.31,2929400,23.31
2009-03-23,20.6,23.65,20.51,22.62,3095400,22.62
2009-03-16,22.47,22.5,20.24,20.38,3011500,20.38
2009-03-09,17.87,22.95,17.67,22.18,3490900,22.18
2009-03-02,17.04,18.42,16.03,17.92,3890900,17.92
2009-02-23,17.45,19.09,15.84,17.6,5363100,17.6
2009-02-17,18.08,18.47,16.58,17.27,3611100,17.27
2009-02-09,20.97,21.68,18.54,18.98,2787600,18.98
2009-02-02,21.06,21.72,20.27,21.07,3959500,21.07
2009-01-26,19.83,23.27,19.44,21.38,4134500,21.38
2009-01-20,20.47,20.5,18.11,19.76,4147900,19.76
2009-01-12,19.83,21.,17.68,20.61,4020900,20.61
2009-01-05,20.87,21.99,19.07,19.85,3698800,19.85
2008-12-29,18.26,21.21,17.96,20.92,3203800,20.92
2008-12-22,18.72,18.9,17.34,18.2,1657400,18.2
2008-12-15,18.33,19.98,17.43,18.97,3807800,18.97
2008-12-08,18.03,19.86,16.26,18.13,5918400,18.13
2008-12-01,15.58,17.4,14.,17.26,4608100,17.26
2008-11-24,12.55,16.65,11.87,16.26,7165200,16.26
2008-11-17,13.96,14.8,10.56,11.67,4915600,11.67
2008-11-10,16.23,16.4,12.27,14.12,5387000,14.12
2008-11-03,19.73,21.19,14.75,15.59,7084100,15.59
2008-10-27,17.,20.08,15.77,19.76,3647000,19.76
2008-10-20,22.1,23.,14.84,17.52,3614300,17.52
2008-10-13,21.24,24.99,17.87,21.12,4977700,21.12
2008-10-06,19.87,20.8,16.43,18.73,7225100,18.73
2008-09-29,27.39,27.54,20.52,20.96,4778400,20.96
2008-09-22,30.49,31.36,27.11,28.06,2007900,28.06
2008-09-15,26.6,31.49,26.56,31.1,4289100,31.1
2008-09-08,29.2,29.71,24.34,28.99,4368600,28.99
2008-09-02,32.,32.,26.84,28.08,3932400,28.08
2008-08-25,32.96,32.96,31.3,31.94,1910300,31.94
2008-08-18,33.5,33.6,31.89,33.17,1360900,33.17
2008-08-11,35.,35.,32.1,33.33,2751700,33.33
2008-08-04,31.32,35.39,29.09,35.22,4291400,35.22
2008-07-28,31.3,32.27,29.6,31.25,2605800,31.25
2008-07-21,33.5,33.54,30.25,31.16,2498800,31.16
2008-07-14,30.18,34.22,28.14,32.99,4518100,32.99
2008-07-07,30.85,31.15,27.66,29.89,2746400,29.89
2008-06-30,32.87,33.35,28.43,30.52,2411500,30.52
2008-06-23,34.,34.53,31.7,32.83,2087800,32.83
2008-06-16,33.28,34.25,32.61,33.86,2171900,33.86
2008-06-09,31.31,33.39,30.7,33.34,2620100,33.34
2008-06-02,32.01,32.08,30.2,31.27,2148000,31.27
2008-05-27,29.31,32.07,29.,32.04,2239100,32.04
2008-05-19,30.61,31.35,28.66,29.19,1643400,29.19
2008-05-12,27.99,30.82,27.91,30.39,2070000,30.39
2008-05-05,26.46,30.,25.82,27.86,3427900,27.86
2008-04-28,27.48,27.92,26.13,26.69,1745500,26.69
2008-04-21,25.48,27.33,24.97,27.13,1481800,27.13
2008-04-14,24.34,26.45,23.51,25.73,1699900,25.73
2008-04-07,25.68,25.78,24.24,24.34,1065800,24.34
2008-03-31,22.75,26.07,22.56,25.58,1684000,25.58
2008-03-24,22.82,24.11,22.59,22.7,1338300,22.7
2008-03-17,21.27,23.35,20.3,22.72,2210100,22.72
2008-03-10,21.91,23.27,21.,21.79,2586000,21.79
2008-03-03,23.83,24.47,21.59,21.92,2613300,21.92
2008-02-25,24.76,26.3,23.67,23.88,2555300,23.88
2008-02-19,22.71,25.92,22.55,24.74,3693900,24.74
2008-02-11,20.67,22.73,20.51,22.43,2905600,22.43
2008-02-04,22.65,22.86,19.61,20.69,1847700,20.69
2008-01-28,20.09,23.03,19.99,22.74,3121400,22.74
2008-01-22,19.15,21.3,18.38,20.25,3304100,20.25
2008-01-14,23.5,23.62,19.01,19.47,3546400,19.47
2008-01-07,23.92,23.92,21.75,23.4,5629700,23.4
2007-12-31,26.46,26.77,23.78,23.86,2120200,23.86
2007-12-24,26.34,27.2,25.98,26.39,1113600,26.39
2007-12-17,24.79,26.85,23.58,26.65,3235400,26.65
2007-12-10,26.52,27.1,24.91,24.96,3523000,24.96
2007-12-03,27.64,27.99,26.01,26.5,2355100,26.5
