Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,127.81,128.32,127.13,127.15,1602500,127.15
2014-02-18,130.2,130.36,127.27,128.07,1279600,128.07
2014-02-10,127.05,130.5,126.32,129.81,1114300,129.81
2014-02-03,124.87,127.17,121.22,127.06,1609600,127.06
2014-01-27,127.18,129.48,123.61,124.72,2168500,124.72
2014-01-21,133.41,134.23,126.95,126.97,1289600,126.97
2014-01-13,131.62,133.36,130.45,132.44,995100,132.44
2014-01-06,130.,132.55,129.22,132.49,1316500,132.49
2013-12-30,129.68,130.58,128.74,129.68,641500,129.68
2013-12-23,128.14,130.4,127.38,130.01,483700,130.01
2013-12-16,124.6,127.88,123.76,127.54,1049200,127.54
2013-12-09,125.93,128.62,122.86,124.25,1278100,124.25
2013-12-02,126.11,127.38,122.34,125.46,1033200,125.46
2013-11-25,126.51,127.09,125.6,126.26,846200,125.65
2013-11-18,127.3,127.34,124.19,126.57,710500,125.96
2013-11-11,124.7,126.83,123.49,126.8,762000,126.19
2013-11-04,124.45,126.23,123.27,124.49,1021900,123.89
2013-10-28,124.94,128.12,123.26,124.09,1069000,123.49
2013-10-21,125.,125.94,123.45,125.24,777800,124.64
2013-10-14,121.23,125.,120.98,124.94,640900,124.34
2013-10-07,120.25,121.86,117.54,121.71,745400,121.12
2013-09-30,119.42,121.6,118.62,121.41,905400,120.82
2013-09-23,121.2,122.06,119.31,119.86,1340400,119.28
2013-09-16,121.48,124.41,121.01,121.73,1267600,121.14
2013-09-09,118.18,121.34,118.18,120.47,747500,119.89
2013-09-03,118.76,119.21,116.38,118.11,787800,117.54
2013-08-26,119.,119.68,115.79,117.4,885300,116.24
2013-08-19,117.54,118.85,116.68,118.71,922600,117.53
2013-08-12,120.29,120.77,117.48,117.89,941200,116.72
2013-08-05,120.31,121.86,119.52,121.06,959900,119.86
2013-07-29,118.92,121.86,118.17,120.31,1595100,119.12
2013-07-22,117.17,119.41,116.56,119.,1718400,117.82
2013-07-15,117.09,117.43,115.43,117.14,1311600,115.98
2013-07-08,116.3,118.61,115.6,117.09,1317400,115.93
2013-07-01,116.1,117.96,113.2,115.69,1093500,114.54
2013-06-24,113.05,116.44,112.78,115.16,1433400,114.02
2013-06-17,118.73,120.16,114.55,115.26,1576400,114.12
2013-06-10,114.53,118.31,113.31,117.91,1326600,116.74
2013-06-03,114.53,116.8,112.99,114.21,1441600,113.08
2013-05-28,116.9,116.9,114.33,114.33,827800,112.61
2013-05-20,115.96,116.9,114.36,115.96,961200,114.22
2013-05-13,113.99,116.28,113.01,116.2,991300,114.46
2013-05-06,115.,115.,113.3,114.,1218300,112.29
2013-04-29,112.98,115.5,112.56,114.69,1300600,112.97
2013-04-22,109.97,113.87,108.3,112.73,1529800,111.04
2013-04-15,109.97,110.75,107.69,109.75,1586800,108.1
2013-04-08,111.01,113.37,110.35,111.,1145700,109.33
2013-04-01,111.82,111.99,109.91,110.98,1082200,109.31
2013-03-25,112.4,113.,110.58,111.54,1205200,109.87
2013-03-18,112.52,114.12,110.98,111.59,1124100,109.92
2013-03-11,113.35,114.,111.77,113.54,1103400,111.84
2013-03-04,113.06,114.53,112.06,113.64,1037100,111.93
2013-02-25,111.76,113.86,109.49,113.51,1289400,111.21
2013-02-19,110.98,111.56,109.08,111.17,1670900,108.92
2013-02-11,111.4,111.92,109.53,110.15,1148000,107.92
2013-02-04,110.43,111.81,109.64,111.61,773200,109.35
2013-01-28,111.91,111.91,109.38,111.59,1312700,109.33
2013-01-22,112.92,114.25,109.41,111.73,1657800,109.47
2013-01-14,113.89,114.57,111.85,113.52,1146600,111.22
2013-01-07,112.69,114.64,112.37,114.,830700,111.69
2012-12-31,107.79,113.74,107.71,113.34,906700,111.05
2012-12-24,107.75,110.69,107.54,107.9,763500,105.72
2012-12-17,107.18,109.98,107.1,108.66,1218700,106.46
2012-12-10,107.4,108.84,106.36,106.96,1048000,104.8
2012-12-03,107.69,107.72,104.98,107.31,926800,105.14
2012-11-26,106.28,107.43,105.,107.21,969800,104.49
2012-11-19,105.08,106.93,104.67,106.93,1047900,104.22
2012-11-12,107.56,108.11,104.28,104.29,1255600,101.65
2012-11-05,109.37,110.92,107.15,107.4,1176700,104.68
