Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,188.65,197.53,188.17,194.74,2348000,194.74
2014-02-18,186.72,191.75,182.71,187.08,1739000,187.08
2014-02-10,184.75,188.88,177.19,185.3,2752200,185.3
2014-02-03,169.36,185.87,164.1,185.06,2359300,185.06
2014-01-27,172.5,175.02,165.9,169.32,1830600,169.32
2014-01-21,173.37,184.24,172.73,172.73,1797800,172.73
2014-01-13,169.31,179.6,163.9,174.7,1758100,174.7
2014-01-06,175.94,177.39,167.85,169.75,1533300,169.75
2013-12-30,187.23,187.46,173.9,176.05,1434100,176.05
2013-12-23,187.63,190.13,182.93,187.58,1245000,187.58
2013-12-16,179.51,190.8,177.35,187.29,1708300,187.29
2013-12-09,177.62,183.75,174.35,179.75,1434900,179.75
2013-12-02,178.,186.7,174.92,177.21,1781900,177.21
2013-11-25,182.36,188.19,172.6,177.75,2098100,177.75
2013-11-18,195.03,195.5,181.11,186.68,1828800,186.68
2013-11-11,189.43,196.79,181.78,194.55,1987400,194.55
2013-11-04,207.22,221.2,184.06,189.83,3710000,189.83
2013-10-28,211.15,216.61,200.1,205.29,1503100,205.29
2013-10-21,224.23,227.42,196.4,210.77,2384200,210.77
2013-10-14,193.,225.1,190.67,224.95,2266500,224.95
2013-10-07,198.88,199.69,188.2,195.,1389800,195.
2013-09-30,186.38,202.81,184.86,201.35,1459500,201.35
2013-09-23,179.65,189.45,179.29,188.78,833700,188.78
2013-09-16,185.,189.33,181.78,182.74,972700,182.7
2013-09-09,181.89,190.15,178.58,184.83,803600,184.79
2013-09-03,177.09,185.24,175.92,180.86,1098200,180.82
2013-08-26,172.46,178.66,170.93,174.97,951400,174.93
2013-08-19,169.62,172.6,166.15,172.2,706100,172.16
2013-08-12,175.37,176.84,166.74,170.29,961600,170.25
2013-08-05,180.,182.67,174.38,175.62,1054300,175.58
2013-07-29,154.29,181.65,152.04,181.21,1845400,181.17
2013-07-22,157.21,157.75,151.41,154.78,918400,154.75
2013-07-15,153.4,157.89,150.65,157.84,817400,157.81
