Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,75.97,75.99,75.39,75.43,9191900,75.43
2014-02-18,76.25,76.55,75.11,75.61,8324200,75.61
2014-02-10,74.2,76.75,73.89,76.28,9080900,76.28
2014-02-03,73.67,74.47,72.03,74.41,11037100,74.41
2014-01-27,74.01,74.49,70.98,74.22,16111400,74.22
2014-01-21,75.,75.9,74.06,74.08,9011000,74.08
2014-01-13,73.78,74.98,72.37,74.73,10207400,74.73
2014-01-06,73.08,74.5,72.55,73.87,8104200,73.87
2013-12-30,73.66,74.32,72.44,72.89,7298900,72.89
2013-12-23,73.52,74.02,72.52,73.8,5354200,73.8
2013-12-16,73.22,73.3,71.68,72.91,11496200,72.91
2013-12-09,73.88,74.19,72.49,72.58,9170700,72.58
2013-12-02,73.53,73.97,72.85,73.76,7583200,73.76
2013-11-25,71.09,73.89,70.96,73.58,11737800,73.58
2013-11-18,72.28,73.09,70.4,72.96,12551900,72.61
2013-11-11,67.3,72.18,67.18,72.17,12652800,71.83
2013-11-04,70.14,70.19,66.25,67.45,15972300,67.13
2013-10-28,68.39,70.,67.96,69.9,9022300,69.57
2013-10-21,68.51,69.25,66.82,68.27,8928400,67.95
2013-10-14,67.11,69.1,66.92,68.4,7449400,68.07
2013-10-07,66.39,67.65,65.47,67.55,9180600,67.23
2013-09-30,66.94,68.19,66.55,68.02,7110300,67.7
2013-09-23,70.,70.23,67.08,67.38,8895900,67.06
2013-09-16,69.02,70.04,67.97,69.06,13562100,68.73
2013-09-09,68.,70.37,67.49,68.58,15667700,68.25
2013-09-03,66.92,68.45,66.52,68.02,9537100,67.7
2013-08-26,67.03,67.24,65.74,66.28,8590200,65.97
2013-08-19,66.88,67.4,66.19,67.15,8333800,66.48
2013-08-12,65.89,67.45,65.8,66.9,10904800,66.23
2013-08-05,65.41,66.64,65.,66.27,10291900,65.61
2013-07-29,64.47,66.76,64.17,66.75,12833400,66.08
2013-07-22,61.68,64.8,61.19,64.61,16944200,63.97
2013-07-15,61.39,62.66,60.82,61.46,15832900,60.85
2013-07-08,60.75,62.02,59.02,62.02,17200700,61.4
2013-07-01,61.49,61.61,60.27,60.95,7729400,60.34
2013-06-24,60.,62.92,59.46,61.09,17751400,60.48
2013-06-17,61.61,62.8,60.22,60.67,15172600,60.06
2013-06-10,62.11,62.2,60.75,61.38,11792000,60.77
2013-06-03,63.37,64.04,61.42,62.1,15674100,61.48
2013-05-28,64.64,64.88,63.48,63.48,11828900,62.5
2013-05-20,66.3,66.6,63.51,64.26,12904300,63.27
2013-05-13,64.34,66.67,64.18,66.61,10515700,65.58
2013-05-06,63.82,64.64,63.53,64.64,10077500,63.64
2013-04-29,61.8,63.85,61.25,63.77,16882400,62.79
2013-04-22,64.09,66.56,61.47,61.52,24890900,60.57
2013-04-15,66.23,66.67,63.03,63.93,12253200,62.94
2013-04-08,65.14,67.65,65.09,66.68,10141300,65.65
2013-04-01,66.7,66.84,64.55,65.16,9349600,64.15
2013-03-25,66.19,67.,65.28,66.94,8351800,65.91
2013-03-18,64.41,66.12,63.4,65.92,10854000,64.9
2013-03-11,66.73,67.5,64.74,64.97,12148200,63.97
2013-03-04,66.05,68.5,65.86,66.65,11807400,65.62
2013-02-25,65.39,67.45,64.8,66.3,10573100,65.04
2013-02-19,65.75,66.06,64.32,64.94,9674100,63.7
2013-02-11,67.,67.31,65.03,65.43,11437800,64.18
2013-02-04,66.25,67.45,65.36,66.95,11356300,65.67
2013-01-28,63.47,67.44,62.33,66.73,17201600,65.46
2013-01-22,64.73,65.3,63.37,63.66,11582400,62.45
2013-01-14,64.29,65.32,63.52,64.68,9888500,63.45
2013-01-07,63.35,65.53,63.16,64.9,11082800,63.66
2012-12-31,60.52,65.19,60.22,63.5,15208300,62.29
2012-12-24,61.5,62.26,60.55,60.64,7253000,59.48
2012-12-17,60.21,63.54,59.9,61.61,15676500,60.44
2012-12-10,63.8,64.72,59.44,59.83,15750400,58.69
2012-12-03,63.91,64.4,62.97,63.86,9720700,62.64
2012-11-26,62.75,63.81,61.67,63.62,11039400,62.16
2012-11-19,62.5,63.16,61.38,63.13,8641300,61.68
2012-11-12,61.84,62.76,60.75,61.93,13388200,60.51
2012-11-05,60.14,62.8,58.11,61.62,18411400,60.21
2012-10-31,59.15,60.1,58.32,59.3,9418800,57.94
2012-10-22,58.5,59.21,57.29,59.04,10873700,57.69
2012-10-15,59.23,61.26,58.24,58.75,13160700,57.4
2012-10-08,62.05,62.32,58.1,58.89,11510500,57.54
2012-10-01,62.73,63.75,61.52,62.64,8672200,61.2
2012-09-24,63.5,64.36,62.07,62.47,10685200,61.04
2012-09-17,65.04,65.45,63.19,64.27,12237900,62.8
2012-09-10,61.99,65.28,61.14,64.88,12014900,63.39
2012-09-04,61.2,62.96,60.28,61.93,10009000,60.51
2012-08-27,62.54,62.61,60.78,61.46,7397200,59.8
2012-08-20,63.1,63.29,61.59,62.43,7832100,60.75
2012-08-13,61.63,63.34,61.44,63.29,10280300,61.59
2012-08-06,60.41,62.05,60.01,61.98,7283300,60.31
2012-07-30,59.23,60.35,58.16,60.24,9639700,58.62
2012-07-23,56.53,59.53,56.07,59.34,10938600,57.74
2012-07-16,55.26,58.89,53.09,57.68,17604000,56.13
2012-07-09,55.39,56.,53.11,54.98,10870300,53.5
2012-07-02,55.65,56.68,54.83,55.31,9083000,53.82
2012-06-25,55.13,55.95,53.41,55.68,14360700,54.18
2012-06-18,56.12,57.68,55.04,55.64,12926700,54.14
2012-06-11,58.97,59.69,55.62,56.5,18636100,54.98
2012-06-04,55.12,59.5,54.92,58.76,10999900,57.18
2012-05-29,57.9,58.75,54.85,55.12,13234700,53.64
2012-05-21,55.85,58.68,55.85,57.32,14621500,55.54
2012-05-14,61.17,62.5,55.72,55.98,16668200,54.24
2012-05-07,61.28,63.06,60.86,61.86,10550800,59.94
2012-04-30,63.98,64.72,61.38,61.91,10363600,59.98
2012-04-23,61.82,64.49,61.26,64.18,13113500,62.18
2012-04-16,67.34,67.88,62.22,62.25,23365200,60.31
2012-04-09,66.12,68.57,65.58,66.67,14112100,64.6
2012-04-02,68.25,68.83,66.84,67.19,11934200,65.1
2012-03-26,67.34,68.87,67.3,68.06,10752700,65.94
2012-03-19,65.84,67.,65.54,66.68,11379100,64.61
2012-03-12,63.95,65.62,63.46,65.41,12489700,63.38
2012-03-05,62.23,64.28,60.93,63.93,11715700,61.94
2012-02-27,62.9,63.61,62.,62.43,10399200,60.49
2012-02-21,62.66,63.81,62.32,63.44,9239500,61.26
2012-02-13,61.99,62.71,61.1,62.52,11225800,60.37
2012-02-06,60.82,61.99,60.54,61.73,11836500,59.6
2012-01-30,57.24,61.95,57.03,61.06,21322700,58.96
2012-01-23,57.94,59.5,57.54,57.79,15374100,55.8
2012-01-17,56.93,58.24,56.72,57.73,13890600,55.74
2012-01-09,56.14,56.73,55.43,56.54,10676400,54.59
2012-01-03,55.88,56.4,54.56,56.16,12096500,54.23
2011-12-27,54.3,54.99,54.01,54.7,6068600,52.82
2011-12-19,53.,54.74,51.76,54.63,10086100,52.75
2011-12-12,54.41,55.73,52.19,52.61,13653300,50.8
2011-12-05,55.17,55.4,53.55,55.18,13229600,53.28
2011-11-28,53.42,55.7,52.85,54.34,13377400,52.47
2011-11-21,54.39,55.02,51.6,51.86,15306700,50.07
2011-11-14,56.57,57.97,55.41,55.67,15841000,53.55
2011-11-07,55.8,57.29,54.65,56.62,13640800,54.46
2011-10-31,52.68,56.96,49.78,56.5,27504100,54.34
2011-10-24,52.4,54.,50.79,53.23,14563400,51.2
2011-10-17,54.7,54.95,51.48,52.02,14851700,50.04
2011-10-10,51.01,55.03,50.59,54.98,12332700,52.88
2011-10-03,48.21,51.,46.4,50.23,20481900,48.31
2011-09-26,50.39,52.78,48.63,48.63,16980400,46.77
2011-09-19,53.06,54.3,48.96,50.29,16923100,48.37
2011-09-12,49.61,53.94,49.61,53.87,17153900,51.81
2011-09-06,48.4,53.28,47.6,50.4,17906000,48.48
2011-08-29,49.65,52.87,49.25,49.68,14930800,47.78
2011-08-22,47.7,49.61,45.98,48.94,16183400,47.07
2011-08-15,50.75,51.46,46.44,46.52,18661300,44.54
2011-08-08,49.26,51.24,46.7,50.5,28439500,48.36
