Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,48.74,49.39,48.73,49.05,1809800,49.05
2014-02-18,48.2,48.89,47.51,48.62,2409500,48.62
2014-02-10,48.91,48.99,46.55,48.21,3046600,48.21
2014-02-03,48.43,48.84,46.9,48.76,2629200,48.76
2014-01-27,49.18,49.49,47.58,48.5,2658600,48.5
2014-01-21,48.63,49.43,48.59,49.1,2043600,49.1
2014-01-13,48.26,48.71,48.05,48.32,2474200,48.32
2014-01-06,48.87,49.14,48.12,48.31,2468400,48.31
2013-12-30,49.96,50.21,48.63,48.81,1532600,48.81
2013-12-23,49.08,49.96,48.7,49.9,1164200,49.9
2013-12-16,49.07,49.1,48.01,48.77,2752200,48.77
2013-12-09,51.31,51.46,48.79,48.96,2852900,48.96
2013-12-02,50.39,51.35,49.71,51.26,1995200,50.62
2013-11-25,50.95,51.15,50.38,50.45,1110400,49.82
2013-11-18,52.57,52.57,50.23,50.87,1810700,50.24
2013-11-11,51.31,52.54,50.94,52.52,1472100,51.87
2013-11-04,51.62,51.92,50.43,51.29,1601400,50.65
2013-10-28,50.7,51.99,50.56,51.33,1581800,50.69
2013-10-21,50.69,50.9,49.72,50.62,2232600,49.99
2013-10-14,50.36,51.25,50.27,50.59,1702100,49.96
2013-10-07,48.94,50.61,48.61,50.6,1099200,49.97
2013-09-30,48.93,49.7,48.58,49.32,1106100,48.71
2013-09-23,50.14,50.14,48.96,49.34,981600,48.73
2013-09-16,49.21,50.73,49.2,49.96,1324600,49.34
2013-09-09,47.43,48.98,47.12,48.79,1367400,48.18
2013-09-03,47.9,48.17,46.82,47.41,1567400,46.82
2013-08-26,48.54,48.65,47.22,47.63,1180400,46.42
2013-08-19,48.33,48.75,47.68,48.46,2617500,47.23
2013-08-12,50.57,50.59,48.29,48.42,1290600,47.19
2013-08-05,50.54,51.,50.23,50.64,1089300,49.35
2013-07-29,50.15,50.68,49.29,50.66,1512500,49.37
2013-07-22,52.53,52.53,49.42,50.43,2016900,49.15
2013-07-15,51.26,52.93,51.04,52.8,1456700,51.46
2013-07-08,49.21,51.76,49.06,51.35,1587900,50.04
2013-07-01,48.88,49.1,48.21,48.81,1201600,47.57
2013-06-24,46.92,49.3,46.63,48.37,2074600,47.14
2013-06-17,48.55,49.4,46.05,47.19,2274400,45.99
2013-06-10,48.04,48.64,47.5,48.42,1652400,47.19
2013-06-03,48.16,49.18,47.03,47.82,1898100,46.6
2013-05-28,49.59,50.15,48.1,48.11,2748600,46.27
2013-05-20,49.62,50.01,48.32,49.26,3113000,47.38
2013-05-13,47.72,49.74,47.5,49.71,1431500,47.81
2013-05-06,47.62,47.92,47.1,47.78,1091300,45.95
2013-04-29,46.91,47.95,46.83,47.69,1747400,45.87
2013-04-22,45.33,46.95,44.55,46.9,2124700,45.11
2013-04-15,46.01,46.01,44.6,45.39,1830000,43.66
2013-04-08,44.19,46.19,44.14,46.18,1835000,44.41
2013-04-01,44.49,44.9,44.01,44.2,1831200,42.51
2013-03-25,43.76,44.69,43.61,44.49,2021500,42.79
2013-03-18,42.76,43.69,42.46,43.64,1546100,41.97
2013-03-11,43.03,43.46,42.73,43.07,2209400,41.42
2013-03-04,43.27,44.63,42.46,43.12,2394000,41.47
2013-02-25,45.01,45.17,43.24,43.36,5480800,41.15
2013-02-19,43.69,45.03,43.67,44.93,3494700,42.64
2013-02-11,44.32,44.55,43.29,43.58,2995800,41.36
2013-02-04,44.2,44.56,43.48,44.3,2071200,42.04
2013-01-28,43.75,44.67,43.68,44.47,1880000,42.2
2013-01-22,42.5,43.93,42.02,43.85,2402200,41.62
2013-01-14,42.7,42.82,42.12,42.53,1507100,40.36
2013-01-07,42.7,42.88,41.5,42.62,1450300,40.45
2012-12-31,40.9,43.03,40.79,42.79,1889200,40.61
2012-12-24,41.63,41.83,40.79,40.99,1430100,38.9
2012-12-17,42.88,43.09,41.42,41.74,3551500,39.61
2012-12-10,43.01,43.32,42.63,42.78,2024500,40.6
2012-12-03,43.97,44.33,42.83,43.03,1775500,40.84
2012-11-26,42.86,43.9,42.68,43.72,2147900,40.93
2012-11-19,41.25,43.08,41.17,43.08,1761800,40.33
2012-11-12,41.32,41.54,39.7,40.92,2590300,38.31
2012-11-05,40.93,41.96,40.64,41.39,2391800,38.75
2012-10-31,41.7,42.9,41.02,41.08,3307500,38.46
2012-10-22,41.78,42.6,40.4,41.3,3157100,38.66
2012-10-15,41.89,43.18,41.78,41.95,1845300,39.27
2012-10-08,44.16,44.35,41.66,41.98,1931500,39.3
2012-10-01,43.32,44.51,43.12,44.21,1807800,41.39
2012-09-24,44.08,44.16,43.11,43.34,1705700,40.57
2012-09-17,43.83,44.17,43.24,43.99,2587700,41.18
2012-09-10,44.46,44.65,43.12,43.96,2471900,41.15
2012-09-04,46.1,46.65,44.29,44.46,3442100,41.62
2012-08-27,45.6,46.45,45.39,46.1,3480700,42.6
2012-08-20,46.6,46.6,44.94,45.53,2209500,42.08
2012-08-13,46.01,46.7,45.8,46.58,1673200,43.05
2012-08-06,46.6,46.9,45.2,46.01,1869500,42.52
2012-07-30,46.15,46.93,45.89,46.61,2179400,43.08
2012-07-23,45.86,46.4,44.89,46.15,1693000,42.65
2012-07-16,46.,46.61,45.98,46.12,1352100,42.62
2012-07-09,45.48,46.11,45.37,46.1,2153400,42.6
2012-07-02,44.87,45.73,44.67,45.5,1217100,42.05
2012-06-25,42.99,44.9,42.96,44.87,2480600,41.47
2012-06-18,42.75,43.67,42.55,43.33,2584400,40.04
2012-06-11,41.37,42.88,41.06,42.68,2233100,39.44
2012-06-04,41.06,41.29,40.15,41.13,2671700,38.01
2012-05-29,42.06,42.38,40.96,41.06,5702500,37.4
2012-05-21,40.81,42.17,40.76,41.97,6773300,38.23
2012-05-14,40.36,41.12,40.22,40.69,2312000,37.07
2012-05-07,40.39,41.41,40.,40.5,2903900,36.89
2012-04-30,40.59,41.,40.25,40.37,1572200,36.78
2012-04-23,41.66,41.79,39.45,40.58,2952700,36.97
2012-04-16,41.68,41.93,41.07,41.8,1702000,38.08
2012-04-09,41.74,42.05,41.12,41.6,2161000,37.9
2012-04-02,41.47,42.15,41.25,42.07,2179000,38.32
2012-03-26,41.04,41.72,40.79,41.44,1674200,37.75
2012-03-19,41.24,41.56,40.31,41.,1450100,37.35
2012-03-12,42.04,42.17,40.97,41.35,2187000,37.67
2012-03-05,41.96,42.81,41.13,42.08,2545700,38.33
2012-02-27,41.18,42.26,41.13,42.07,3795300,37.82
2012-02-21,40.99,41.28,40.03,41.28,4724600,37.11
2012-02-13,39.91,41.32,39.78,40.89,2130500,36.76
2012-02-06,39.7,40.43,39.18,39.74,2009300,35.72
2012-01-30,39.16,40.22,38.95,39.75,1957100,35.73
2012-01-23,40.28,40.5,39.42,39.42,2053200,35.43
2012-01-17,41.82,41.9,39.95,40.22,2385500,36.15
2012-01-09,40.5,41.63,40.35,41.32,1921600,37.14
2012-01-03,41.87,41.9,40.,40.44,2905100,36.35
2011-12-27,41.73,41.95,41.39,41.42,1014800,37.23
2011-12-19,40.77,41.78,40.43,41.72,2079300,37.5
2011-12-12,40.53,41.25,39.94,40.66,2467300,36.55
2011-12-05,41.75,41.85,40.31,40.54,2400700,36.44
2011-11-28,40.53,42.18,40.03,41.26,3215100,36.59
2011-11-21,39.67,40.8,39.67,39.99,5353000,35.46
2011-11-14,38.78,40.42,37.95,40.11,6785000,35.57
2011-11-07,38.07,39.14,37.77,38.9,2213600,34.5
2011-10-31,38.92,39.26,37.68,38.11,2341500,33.8
2011-10-24,39.76,39.77,37.93,39.13,2810900,34.7
2011-10-17,39.05,39.8,38.44,39.73,1938500,35.23
2011-10-10,39.83,39.94,38.66,39.25,2395400,34.81
2011-10-03,37.5,39.73,36.69,39.36,3398300,34.9
2011-09-26,36.72,38.11,36.53,37.48,2860000,33.24
2011-09-19,37.33,38.43,35.97,36.46,2784400,32.33
2011-09-12,36.28,38.35,36.17,37.72,2769100,33.45
2011-09-06,36.26,37.83,36.13,36.56,2895400,32.42
2011-08-29,36.94,37.88,36.79,37.07,2892500,32.41
2011-08-22,36.37,37.15,35.5,36.57,6120600,31.98
2011-08-15,34.28,36.31,34.08,35.76,3524900,31.27
2011-08-08,33.66,34.41,31.82,34.03,5335200,29.75
2011-08-01,35.63,35.67,33.21,34.34,3592000,30.03
2011-07-25,35.71,36.18,34.92,35.2,3589000,30.78
2011-07-18,37.01,38.64,35.68,36.26,3131800,31.7
2011-07-11,37.67,37.91,36.86,37.18,1905800,32.51
2011-07-05,37.44,38.32,37.44,38.06,1851900,33.28
2011-06-27,37.13,37.73,36.6,37.46,2251300,32.75
2011-06-20,38.,38.44,36.58,37.06,2949900,32.4
2011-06-13,37.56,38.5,37.28,38.01,2219700,33.23
2011-06-06,38.73,38.92,37.27,37.53,2371200,32.82
2011-05-31,39.75,39.87,38.41,38.6,2020200,33.28
2011-05-23,38.91,39.72,38.87,39.49,1801900,34.05
2011-05-16,38.69,39.55,38.55,39.28,2390900,33.87
2011-05-09,37.5,38.93,37.22,38.69,1616300,33.36
2011-05-02,37.28,37.83,37.,37.46,2132500,32.3
2011-04-25,36.3,37.45,36.03,37.11,1591600,32.
2011-04-18,36.28,36.71,35.58,36.28,3552900,31.28
2011-04-11,35.79,36.73,35.75,36.52,1979400,31.49
2011-04-04,36.13,36.36,35.6,35.71,1852000,30.79
2011-03-28,35.25,36.33,35.22,36.04,2953700,31.08
2011-03-21,33.69,35.45,33.67,35.2,1956000,30.35
2011-03-14,33.62,33.85,32.3,33.47,3419300,28.86
2011-03-07,34.92,35.23,33.47,33.73,2071400,29.08
