Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,119.35,120.97,119.06,120.56,828900,120.56
2014-02-18,116.89,120.4,116.89,119.32,1006100,119.32
2014-02-10,112.58,117.12,111.6,117.,874400,117.
2014-02-03,114.9,115.66,108.83,112.35,1388800,111.79
2014-01-27,114.21,118.03,111.79,114.84,1293800,114.26
2014-01-21,120.18,121.01,112.87,112.99,704900,112.42
2014-01-13,116.46,119.71,114.77,119.23,894300,118.63
2014-01-06,118.2,118.74,115.03,116.96,609000,116.37
2013-12-30,117.76,118.81,116.01,117.83,486300,117.24
2013-12-23,117.26,119.03,116.19,117.98,449000,117.39
2013-12-16,110.81,117.11,109.63,116.51,766700,115.93
2013-12-09,111.44,112.95,108.78,110.52,616900,109.97
2013-12-02,113.14,113.56,108.35,111.7,842100,111.14
2013-11-25,114.21,114.76,113.02,113.58,424400,113.01
2013-11-18,112.61,114.17,110.3,114.07,684900,113.5
2013-11-11,111.82,114.07,111.42,111.98,783500,111.42
2013-11-04,110.01,113.95,108.12,111.72,951500,110.59
2013-10-28,110.3,112.26,108.84,109.43,722000,108.33
2013-10-21,110.4,112.08,109.01,110.6,572600,109.48
2013-10-14,108.11,110.69,105.59,110.42,762900,109.31
2013-10-07,106.01,108.77,103.95,108.59,770300,107.49
2013-09-30,105.62,108.77,102.98,107.13,616300,106.05
2013-09-23,107.2,108.42,106.46,107.18,524600,106.1
2013-09-16,106.93,109.72,105.38,107.4,792100,106.32
2013-09-09,100.42,109.22,99.98,105.04,799900,103.98
2013-09-03,98.55,101.22,96.98,100.04,626800,99.03
2013-08-26,99.18,100.15,96.77,97.23,597700,96.25
2013-08-19,96.74,99.95,96.31,98.8,591600,97.8
2013-08-12,98.36,100.13,93.47,97.04,681200,96.06
2013-08-05,100.,100.22,98.13,98.72,698400,97.72
2013-07-29,90.4,100.13,90.15,100.1,1373500,98.57
2013-07-22,92.2,93.3,89.26,90.81,711600,89.42
2013-07-15,90.83,93.38,90.67,92.82,792400,91.4
2013-07-08,87.47,91.03,86.8,90.91,808000,89.52
2013-07-01,84.11,86.79,83.59,86.74,782300,85.41
2013-06-24,82.79,84.64,80.6,83.14,1110300,81.87
2013-06-17,87.24,88.45,83.19,83.85,769900,82.57
2013-06-10,86.84,87.1,83.26,86.69,703800,85.36
2013-06-03,88.41,89.07,84.98,86.37,845200,85.05
2013-05-28,89.34,90.27,87.66,88.02,625900,86.67
2013-05-20,90.61,91.67,86.65,87.41,687800,86.07
2013-05-13,87.68,90.96,87.53,90.95,767100,89.56
2013-05-06,84.98,88.79,84.61,87.92,787300,86.57
2013-04-29,85.21,85.81,82.21,85.09,978900,83.3
2013-04-22,83.18,88.,82.03,84.87,1259500,83.08
2013-04-15,86.99,87.02,82.25,83.18,1036500,81.43
2013-04-08,87.95,89.79,86.07,87.63,961300,85.78
2013-04-01,86.29,88.26,83.13,87.99,1324700,86.14
2013-03-25,86.19,86.44,83.58,86.35,1052500,84.53
2013-03-18,87.58,88.27,85.21,85.94,1038100,84.13
2013-03-11,90.28,90.52,87.71,88.54,1074300,86.67
2013-03-04,88.92,90.93,87.12,90.6,929900,88.69
2013-02-25,90.41,91.41,87.57,89.28,849700,87.4
2013-02-19,91.17,91.84,88.18,90.06,1033700,88.16
2013-02-11,90.81,91.99,89.33,90.76,694100,88.85
2013-02-04,90.21,91.37,89.68,90.98,860400,88.6
2013-01-28,89.99,91.05,86.58,90.9,1250900,88.53
2013-01-22,87.39,90.08,87.03,89.65,1204900,87.31
2013-01-14,85.99,87.76,84.95,87.74,782800,85.45
2013-01-07,86.57,87.26,84.51,85.88,1123200,83.64
2012-12-31,81.97,87.49,81.79,87.29,1225800,85.01
2012-12-24,82.82,83.43,81.85,82.02,434000,79.88
2012-12-17,82.52,84.8,81.26,83.01,1308300,80.84
2012-12-10,79.94,82.51,79.83,82.25,1230100,80.1
2012-12-03,79.74,80.57,76.96,80.39,993800,78.29
2012-11-26,78.06,79.68,77.72,79.24,1001500,77.17
2012-11-19,77.48,78.47,77.18,78.39,736300,76.34
2012-11-12,77.13,78.96,75.67,76.42,1338000,74.42
2012-11-05,75.83,79.56,75.76,77.12,1469600,75.11
2012-10-31,69.5,77.42,69.26,75.51,2103600,73.09
2012-10-22,69.16,70.32,68.3,69.36,1272800,67.14
2012-10-15,70.03,72.84,69.35,69.92,907700,67.68
2012-10-08,70.23,70.93,68.5,69.73,1017400,67.5
2012-10-01,69.55,72.,68.56,70.77,995100,68.51
2012-09-24,72.,72.66,68.12,69.55,1429400,67.32
2012-09-17,70.45,73.2,70.11,71.82,1039800,69.52
2012-09-10,73.35,73.53,68.25,70.81,1505400,68.54
2012-09-04,72.03,73.31,70.29,73.21,1001500,70.87
2012-08-27,72.47,72.84,71.1,72.06,879700,69.75
2012-08-20,73.61,73.63,71.17,72.29,1102200,69.98
2012-08-13,70.99,73.98,70.35,73.72,1238700,71.36
2012-08-06,69.4,71.5,68.87,71.01,1298600,68.74
2012-07-30,67.9,69.61,65.36,68.91,1458300,66.26
2012-07-23,63.51,68.3,62.28,67.9,2593500,65.29
2012-07-16,62.42,66.37,61.32,64.9,1489100,62.4
2012-07-09,64.13,65.34,61.2,62.84,1969100,60.42
2012-07-02,65.45,65.91,63.64,65.19,1356900,62.68
2012-06-25,64.47,66.08,62.41,66.06,1571100,63.52
2012-06-18,68.41,70.18,64.89,65.58,1504400,63.06
2012-06-11,70.97,71.39,67.96,69.19,1077800,66.53
2012-06-04,68.69,71.21,65.73,69.87,1588200,67.18
2012-05-29,76.03,77.66,68.19,68.8,1712000,66.15
2012-05-21,71.64,77.26,71.4,75.33,1297400,72.43
2012-05-14,76.48,77.52,71.08,71.33,1239800,68.59
2012-05-07,76.8,78.67,76.19,77.52,1121800,74.54
2012-04-30,77.8,79.45,76.24,76.91,1143400,73.55
2012-04-23,77.62,79.01,74.,78.19,2230600,74.77
2012-04-16,78.14,80.17,77.41,78.33,1317400,74.9
2012-04-09,77.72,80.25,76.05,77.5,1461100,74.11
2012-04-02,79.72,80.67,77.67,79.27,1134800,75.8
2012-03-26,80.85,82.18,78.36,79.7,1019000,76.21
2012-03-19,83.89,84.03,79.25,80.29,759000,76.78
2012-03-12,81.32,84.71,81.02,83.71,999200,80.05
2012-03-05,80.27,81.28,76.2,80.71,1032300,77.18
