Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,67.65,69.49,67.41,69.27,2977100,69.27
2014-02-18,69.37,69.46,67.26,67.45,2278800,67.45
2014-02-10,70.58,70.89,68.9,69.42,1587600,69.42
2014-02-03,68.,69.6,65.15,69.36,2977300,69.36
2014-01-27,67.76,69.04,67.,67.91,2439000,67.91
2014-01-21,71.69,71.83,67.71,67.83,2685500,67.83
2014-01-13,74.15,74.36,71.22,71.39,1711800,71.39
2014-01-06,74.38,75.2,73.21,74.65,1814800,74.65
2013-12-30,73.96,75.35,73.75,74.33,1142900,74.33
2013-12-23,74.5,74.7,73.51,73.75,761200,73.75
2013-12-16,72.12,74.42,71.68,74.02,2148600,74.02
2013-12-09,72.,72.22,70.29,71.74,2236300,71.74
2013-12-02,75.96,76.08,71.67,72.14,2736800,71.97
2013-11-25,75.99,78.34,75.13,76.46,1926100,76.28
2013-11-18,81.7,81.99,73.,75.67,3340700,75.49
2013-11-11,78.02,81.66,77.69,81.64,1321200,81.45
2013-11-04,76.69,79.06,76.69,78.09,1106100,77.91
2013-10-28,75.99,78.52,75.78,77.63,1653200,77.45
2013-10-21,73.14,75.96,73.14,75.87,1223900,75.69
2013-10-14,72.22,74.54,72.19,74.3,1155700,74.12
2013-10-07,73.09,73.09,69.15,72.75,1235100,72.58
2013-09-30,71.91,74.05,71.71,73.48,1231000,73.31
2013-09-23,71.39,72.8,71.12,72.55,1045200,72.38
2013-09-16,71.,72.84,70.54,71.58,1454600,71.41
2013-09-09,68.85,70.81,68.72,70.15,1130100,69.98
2013-09-03,68.27,69.8,67.31,68.76,1501500,68.6
2013-08-26,70.,70.,67.07,67.26,1346300,66.93
2013-08-19,65.66,70.86,65.1,69.86,2797600,69.52
2013-08-12,66.75,68.22,64.65,64.76,1608200,64.45
2013-08-05,68.66,69.18,66.5,67.01,1422000,66.69
2013-07-29,66.74,69.36,66.42,68.93,1050300,68.6
2013-07-22,67.56,67.56,66.27,67.14,1113300,66.81
2013-07-15,67.2,67.33,65.72,66.79,1402900,66.47
2013-07-08,66.51,67.77,66.11,67.05,1335400,66.73
2013-07-01,65.3,66.56,64.64,66.12,864300,65.8
2013-06-24,63.53,65.73,62.65,64.81,1363100,64.5
2013-06-17,65.41,65.72,62.94,63.8,1200300,63.49
2013-06-10,64.95,65.95,63.36,64.86,1106000,64.55
2013-06-03,64.43,65.13,62.73,64.87,1200100,64.56
2013-05-28,66.23,66.44,63.71,64.32,1594200,63.84
2013-05-20,65.04,66.48,64.3,65.84,1455300,65.35
2013-05-13,65.82,66.22,64.67,65.59,1690800,65.1
2013-05-06,65.75,66.6,64.78,65.85,1586400,65.36
2013-04-29,65.25,66.12,64.24,65.7,1887700,65.21
2013-04-22,62.99,65.4,62.3,65.12,1568600,64.63
2013-04-15,63.45,64.48,62.04,62.86,2030900,62.39
