Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,86.19,89.19,85.88,87.53,2098600,87.53
2014-02-18,85.42,88.49,85.31,85.67,1922900,85.67
2014-02-10,83.58,85.88,82.91,85.49,1326000,85.49
2014-02-03,86.5,88.88,82.37,84.03,2498900,84.03
2014-01-27,86.,87.85,83.,86.19,1922000,86.19
2014-01-21,82.96,88.71,82.31,86.15,1901100,86.15
2014-01-13,81.75,84.97,79.28,82.64,1566100,82.64
2014-01-06,81.06,83.49,80.06,81.71,1361900,81.71
2013-12-30,84.,85.49,80.4,80.53,1499200,80.53
2013-12-23,83.59,83.99,82.48,83.56,774700,83.56
2013-12-16,79.29,83.38,77.93,82.45,2105000,82.45
2013-12-09,79.55,83.12,78.74,79.69,1653800,79.69
2013-12-02,77.73,80.85,75.21,79.06,1641000,79.02
2013-11-25,78.99,79.9,77.24,77.65,859100,77.61
2013-11-18,74.65,79.5,73.24,78.82,1673300,78.78
2013-11-11,74.,75.82,73.91,74.65,1567000,74.61
2013-11-04,74.47,76.64,73.04,75.78,1911000,75.74
2013-10-28,74.11,79.45,73.3,75.38,2571000,75.34
2013-10-21,77.72,78.36,72.54,74.73,2432300,74.69
2013-10-14,78.57,81.42,76.96,77.84,1540200,77.8
2013-10-07,75.67,79.69,73.55,78.9,1752400,78.86
2013-09-30,76.44,76.86,74.63,76.56,1483600,76.52
2013-09-23,78.18,78.45,75.68,77.31,1470700,77.27
2013-09-16,79.39,81.,78.23,78.68,1223100,78.64
2013-09-09,77.19,79.85,77.09,78.64,1073500,78.6
2013-09-03,75.98,77.9,75.33,76.5,1451300,76.42
2013-08-26,77.32,77.87,74.69,74.98,943700,74.9
2013-08-19,77.78,78.01,75.53,77.06,1121900,76.98
2013-08-12,79.18,79.82,76.4,77.66,987500,77.58
2013-08-05,81.25,82.4,77.89,79.5,1212000,79.42
2013-07-29,80.8,81.86,78.63,81.36,1273000,81.28
2013-07-22,78.32,85.23,75.33,80.46,2644900,80.38
2013-07-15,77.45,78.63,74.66,78.55,1469900,78.47
2013-07-08,78.4,80.36,76.69,77.3,1561700,77.22
2013-07-01,77.62,79.16,76.49,77.62,1365800,77.54
2013-06-24,75.74,81.13,74.53,77.32,1851700,77.24
2013-06-17,74.17,80.24,74.17,77.3,2149300,77.22
2013-06-10,76.27,76.95,72.79,73.37,1228800,73.3
2013-06-03,75.29,76.37,72.77,76.16,1179800,76.04
2013-05-28,78.42,78.66,75.17,75.18,1028500,75.06
2013-05-20,76.1,79.5,75.28,77.07,1571300,76.95
2013-05-13,75.72,77.05,74.71,76.5,1085200,76.38
2013-05-06,74.,76.5,73.33,76.18,1712600,76.06
2013-04-29,74.71,75.71,71.43,74.43,1621500,74.32
2013-04-22,75.3,78.69,73.07,74.,1786500,73.89
2013-04-15,77.87,77.87,71.14,75.55,2892400,75.43
2013-04-08,79.25,81.02,78.47,78.91,1426200,78.79
2013-04-01,80.11,81.,75.66,79.12,1344300,79.
2013-03-25,81.09,82.76,80.54,81.04,1364600,80.92
2013-03-18,81.14,82.78,79.85,80.76,1489800,80.64
2013-03-11,78.76,83.15,77.81,82.,1580100,81.87
2013-03-04,77.32,79.75,76.71,78.84,1659800,78.68
2013-02-25,72.1,78.22,70.3,77.39,1926900,77.23
2013-02-19,70.79,72.6,68.97,71.71,1450100,71.56
2013-02-11,72.14,72.15,69.94,70.36,1163700,70.22
2013-02-04,67.27,72.26,67.04,72.15,1597900,72.
2013-01-28,68.42,69.13,66.02,67.77,1607500,67.63
2013-01-22,68.25,69.4,67.07,68.7,1220800,68.56
2013-01-14,64.41,68.27,64.2,68.27,1714500,68.13
2013-01-07,65.11,65.61,63.04,64.39,1777400,64.26
2012-12-31,61.84,65.19,61.03,65.14,1732400,65.01
2012-12-24,63.17,64.23,61.95,62.02,706200,61.89
2012-12-17,62.5,64.85,62.27,63.72,1735600,63.59
2012-12-10,64.64,66.24,61.72,62.12,1673200,61.99
2012-12-03,64.74,65.18,62.64,64.68,1693800,64.51
2012-11-26,69.,69.33,63.95,64.02,2021300,63.85
2012-11-19,68.04,69.74,67.11,69.73,950400,69.54
2012-11-12,66.3,69.09,65.7,67.09,1261200,66.91
2012-11-05,64.93,68.,64.42,66.3,1493900,66.12
2012-10-31,66.35,66.37,64.33,65.1,1534400,64.93
2012-10-22,68.85,69.47,64.14,66.1,2063500,65.92
2012-10-15,71.01,72.16,68.25,68.83,1566700,68.65
2012-10-08,68.39,73.94,68.3,71.73,1561400,71.54
2012-10-01,70.71,71.29,68.39,69.03,1245200,68.85
2012-09-24,68.6,70.76,66.2,69.87,1380400,69.68
2012-09-17,69.92,70.64,67.8,69.56,1267700,69.38
2012-09-10,67.7,72.48,67.24,70.1,2108700,69.91
2012-09-04,65.,67.48,64.25,67.41,1559000,67.19
2012-08-27,66.38,67.39,64.2,65.19,943800,64.98
2012-08-20,69.57,70.,65.5,66.27,1457600,66.06
2012-08-13,65.8,69.8,64.9,69.66,2151800,69.44
2012-08-06,63.25,67.35,62.96,66.13,1588700,65.92
2012-07-30,62.83,65.68,60.05,63.18,2033000,62.98
2012-07-23,60.51,63.08,58.76,62.69,2209900,62.49
2012-07-16,58.59,63.19,58.45,61.96,1687600,61.76
2012-07-09,60.69,62.38,56.5,58.95,2126900,58.76
2012-07-02,61.48,62.74,59.47,60.8,1370300,60.6
2012-06-25,58.85,63.2,57.49,61.87,3459800,61.67
2012-06-18,56.6,61.04,56.23,59.23,2692100,59.04
2012-06-11,57.33,57.76,54.88,57.01,2529400,56.83
2012-06-04,54.91,59.74,53.09,56.6,2866500,56.38
2012-05-29,61.65,62.35,54.37,54.57,3514300,54.36
2012-05-21,61.46,65.67,60.57,61.01,2706900,60.77
2012-05-14,65.89,66.68,61.,61.46,2573300,61.22
2012-05-07,63.53,69.18,62.61,67.04,4207900,66.78
2012-04-30,63.93,68.87,63.45,63.68,3661500,63.43
2012-04-23,56.76,64.2,56.5,63.91,3259800,63.66
2012-04-16,56.21,59.45,54.95,57.69,2429700,57.46
2012-04-09,56.59,58.,54.86,55.86,2014500,55.64
2012-04-02,57.78,59.37,57.12,57.65,1379600,57.42
2012-03-26,59.43,59.55,56.11,58.14,1637200,57.91
2012-03-19,62.39,64.,58.2,59.03,2074900,58.8
2012-03-12,63.5,63.5,60.09,62.31,1851300,62.07
2012-03-05,62.68,64.96,61.5,63.51,2073900,63.22
2012-02-27,65.02,65.12,62.38,62.75,2155000,62.46
2012-02-21,66.21,68.5,63.81,65.94,3018800,65.64
2012-02-13,63.51,65.92,62.33,65.72,2147000,65.42
2012-02-06,59.09,63.93,58.25,62.82,2326100,62.53
2012-01-30,56.72,60.14,56.34,59.2,2492000,58.93
2012-01-23,55.97,60.12,55.58,57.43,4185200,57.17
2012-01-17,54.44,56.64,52.34,54.02,3380400,53.77
2012-01-09,60.6,60.86,53.22,54.16,4140400,53.91
2012-01-03,63.73,63.97,60.15,60.74,2366000,60.46
2011-12-27,62.43,63.72,61.4,61.94,1029500,61.66
2011-12-19,60.11,63.95,59.15,62.62,1554300,62.33
2011-12-12,67.42,67.42,58.91,60.2,3087700,59.92
2011-12-05,71.49,72.13,67.24,68.13,1598900,67.77
2011-11-28,66.25,73.74,66.22,70.53,1883700,70.16
2011-11-21,68.48,68.6,63.65,63.9,1526100,63.57
2011-11-14,72.37,72.72,67.88,69.76,1835800,69.4
2011-11-07,71.42,73.,67.42,72.92,1886000,72.54
2011-10-31,71.79,72.39,66.46,71.98,2702900,71.6
2011-10-24,74.74,74.74,66.61,73.25,2957300,72.87
2011-10-17,71.73,74.93,70.4,73.98,3066800,73.59
2011-10-10,61.13,72.49,61.04,72.46,3755800,72.08
2011-10-03,57.56,61.97,52.21,59.98,3060600,59.67
2011-09-26,58.97,65.4,56.92,58.46,3862500,58.16
2011-09-19,61.66,77.24,57.77,58.53,9150600,58.22
2011-09-12,61.38,64.14,60.75,63.44,2666300,63.11
2011-09-06,62.2,66.92,60.66,62.8,1923800,62.43
2011-08-29,60.95,66.71,60.7,63.62,2328400,63.25
2011-08-22,59.08,61.97,55.87,59.76,2008500,59.41
2011-08-15,60.91,64.82,56.33,57.45,2623000,57.11
2011-08-08,55.17,61.92,51.56,60.04,3850700,59.69
2011-08-01,66.07,67.33,54.84,57.13,3971600,56.8
2011-07-25,63.55,66.45,63.12,65.16,2933800,64.78
2011-07-18,61.4,64.63,59.44,64.43,3659400,64.05
2011-07-11,55.37,61.99,53.35,61.78,3422300,61.42
2011-07-05,56.45,58.3,55.48,56.15,1941300,55.82
