Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,33.85,34.22,33.76,33.76,2060400,33.76
2014-02-18,34.34,34.36,33.42,33.76,2295200,33.76
2014-02-10,33.3,34.48,32.89,34.4,1859900,34.4
2014-02-03,32.03,33.83,31.42,33.4,3010900,33.4
2014-01-27,31.83,32.34,31.64,32.03,2720200,32.03
2014-01-21,32.33,32.43,31.67,31.74,2341900,31.74
2014-01-13,32.3,32.4,31.98,32.25,1903300,32.25
2014-01-06,33.08,33.11,32.27,32.42,2532900,32.42
2013-12-30,33.35,33.43,32.8,32.98,1397100,32.98
2013-12-23,33.53,33.9,33.31,33.58,889100,33.58
2013-12-16,34.,34.03,32.45,33.29,2484800,33.29
2013-12-09,34.92,34.95,33.65,33.94,1376600,33.94
2013-12-02,34.97,35.06,34.14,34.9,1243300,34.9
2013-11-25,35.12,35.15,34.67,34.91,1013200,34.91
2013-11-18,35.19,35.29,34.34,35.02,1022900,35.02
2013-11-11,34.33,35.13,33.85,35.11,1267900,35.11
2013-11-04,34.23,34.38,33.84,34.32,1881300,34.32
2013-10-28,33.74,34.96,33.22,34.34,1483800,34.34
2013-10-21,33.2,33.83,32.93,33.74,1503200,33.74
2013-10-14,32.89,33.3,32.81,33.12,1807900,33.12
2013-10-07,32.79,33.09,32.29,33.05,1729200,33.05
2013-09-30,33.5,33.64,32.58,33.03,1322600,33.03
2013-09-23,34.08,34.36,33.55,33.75,1335600,33.75
2013-09-16,33.42,34.2,33.19,34.18,2168300,33.92
2013-09-09,32.24,33.3,32.24,33.,1722700,32.75
2013-09-03,32.84,32.86,31.94,32.17,1658300,31.92
2013-08-26,33.76,33.87,32.43,32.51,1103100,32.26
2013-08-19,33.41,33.82,33.15,33.78,781600,33.52
2013-08-12,34.66,34.99,33.3,33.49,1909200,33.23
2013-08-05,34.42,35.04,34.15,34.83,1144100,34.56
2013-07-29,34.14,34.58,33.67,34.54,1719300,34.28
2013-07-22,35.27,35.61,33.99,34.27,1447500,34.01
2013-07-15,35.26,35.59,35.,35.3,799100,35.03
2013-07-08,34.2,35.5,34.05,35.26,1088600,34.99
2013-07-01,33.97,34.31,33.47,34.15,1204200,33.89
2013-06-24,33.24,34.11,32.75,33.94,1946300,33.68
2013-06-17,34.33,34.77,33.15,33.45,1492200,32.97
2013-06-10,33.96,34.19,33.33,34.06,1333800,33.57
2013-06-03,34.12,34.39,32.81,33.92,1925600,33.43
2013-05-28,34.83,34.92,33.85,34.1,1920000,33.61
2013-05-20,34.88,35.28,34.49,34.62,1370000,34.12
2013-05-13,33.97,34.98,33.69,34.89,2167300,34.38
2013-05-06,34.43,35.08,33.94,33.95,1448300,33.46
2013-04-29,33.76,34.62,33.58,34.48,1706800,33.98
2013-04-22,32.64,34.54,32.28,34.31,1833200,33.81
2013-04-15,33.39,33.48,32.1,32.68,1632700,32.21
2013-04-08,32.32,33.79,32.07,33.52,1804200,33.03
2013-04-01,32.93,32.99,32.12,32.38,1016800,31.91
2013-03-25,32.66,33.01,32.06,33.,1425700,32.52
2013-03-18,31.77,32.76,31.7,32.65,1070300,31.95
2013-03-11,31.31,32.21,31.19,31.97,1750900,31.28
2013-03-04,31.12,31.46,30.87,31.3,1918700,30.62
2013-02-25,31.43,31.57,30.68,31.09,1858000,30.42
2013-02-19,31.35,31.46,30.94,31.34,1832200,30.66
2013-02-11,31.17,31.62,30.98,31.31,2158400,30.63
2013-02-04,31.66,31.95,29.96,31.12,3246100,30.45
2013-01-28,31.34,32.4,31.34,31.82,2727400,31.13
2013-01-22,30.54,31.14,30.47,31.11,1283100,30.44
2013-01-14,30.25,30.6,30.01,30.6,1199000,29.94
2013-01-07,29.72,30.26,29.55,30.19,1231800,29.54
2012-12-31,29.,29.95,28.82,29.86,1634500,29.22
2012-12-24,29.74,29.83,28.99,29.01,836200,28.38
2012-12-17,29.13,29.97,29.,29.79,1687500,28.91
2012-12-10,29.07,29.28,28.8,29.13,2145200,28.27
2012-12-03,28.54,29.26,28.27,29.1,1999400,28.25
2012-11-26,27.73,28.47,27.73,28.47,1950000,27.63
2012-11-19,27.2,27.93,27.02,27.93,1881700,27.11
2012-11-12,26.73,27.05,26.45,27.01,4833800,26.22
2012-11-05,26.42,27.18,26.25,26.75,2770400,25.96
2012-10-31,28.5,28.9,26.3,26.48,3755900,25.7
2012-10-22,28.33,28.6,27.98,28.22,1380900,27.39
2012-10-15,27.79,28.79,27.58,28.34,1587900,27.51
